symbol,date,open,high,low,close,volume
HITECHGEAR,2025-07-22,687.5,687.5,652.0,674.3,3209
HITECHGEAR,2025-07-23,674.0,706.0,655.1,688.55,5404
HITECHGEAR,2025-07-24,695.9,703.0,688.25,698.35,1343
HITECHGEAR,2025-07-25,685.0,697.5,676.0,691.1,2994
HITECHGEAR,2025-07-28,690.0,710.0,686.0,697.05,1694
HITECHGEAR,2025-07-29,678.0,698.0,678.0,694.8,437
HITECHGEAR,2025-07-30,698.0,720.0,690.0,714.9,5798
HITECHGEAR,2025-07-31,685.2,709.2,685.2,700.55,782
HITECHGEAR,2025-08-01,729.0,729.0,700.0,707.15,2052
HITECHGEAR,2025-08-04,700.0,728.0,681.1,720.6,3369
HITECHGEAR,2025-08-05,724.2,727.95,692.05,706.5,1937
HITECHGEAR,2025-08-06,705.0,709.5,692.0,699.9,2026
HITECHGEAR,2025-08-07,700.0,705.0,680.0,689.85,1310
HITECHGEAR,2025-08-08,678.0,688.85,662.0,677.55,1629
HITECHGEAR,2025-08-11,680.0,689.7,650.15,659.15,2663
HITECHGEAR,2025-08-12,652.0,670.0,635.05,655.0,3134
HITECHGEAR,2025-08-13,655.0,655.0,622.25,632.9,8149
HITECHGEAR,2025-08-14,626.3,648.9,626.3,628.8,1242
HITECHGEAR,2025-08-18,628.75,659.95,628.75,632.0,3374
HITECHGEAR,2025-08-19,622.0,663.6,622.0,662.75,4128
HITECHGEAR,2025-08-20,651.55,693.95,645.0,668.9,1445
HITECHGEAR,2025-08-21,670.0,678.0,653.2,672.0,467
HITECHGEAR,2025-08-22,670.0,670.0,641.0,647.2,2466
HITECHGEAR,2025-08-25,648.0,662.0,630.0,641.5,1098
HITECHGEAR,2025-08-26,641.5,655.0,624.15,633.95,612
HITECHGEAR,2025-08-28,649.0,649.0,626.0,640.95,141
HITECHGEAR,2025-08-29,626.6,650.0,625.0,631.2,2348
HITECHGEAR,2025-09-01,638.1,649.95,616.25,642.25,1617
HITECHGEAR,2025-09-02,642.25,660.0,640.0,657.2,1705
HITECHGEAR,2025-09-03,668.5,675.0,654.0,668.8,962
HITECHGEAR,2025-09-04,668.8,675.0,642.55,645.2,1621
HITECHGEAR,2025-09-05,648.0,677.0,632.55,675.15,1925
HITECHGEAR,2025-09-08,690.0,690.0,663.0,674.85,4535
HITECHGEAR,2025-09-09,670.0,675.0,641.1,669.0,2355
HITECHGEAR,2025-09-10,685.0,685.0,660.0,673.45,2356
HITECHGEAR,2025-09-11,650.0,694.0,650.0,682.5,3011
HITECHGEAR,2025-09-12,689.95,689.95,660.0,676.3,700
HITECHGEAR,2025-09-15,691.0,700.0,670.0,682.75,3681
HITECHGEAR,2025-09-16,715.85,716.0,666.8,702.2,8053
HITECHGEAR,2025-09-17,695.0,720.0,695.0,713.95,1867
HITECHGEAR,2025-09-18,710.4,735.0,695.0,724.1,3791
HITECHGEAR,2025-09-19,715.0,743.9,715.0,739.25,2024
HITECHGEAR,2025-09-22,739.25,764.3,712.2,744.85,3310
HITECHGEAR,2025-09-23,748.55,780.7,747.95,775.9,5779
HITECHGEAR,2025-09-24,770.05,785.1,755.0,766.0,2307
HITECHGEAR,2025-09-25,755.05,768.0,735.3,746.35,1133
HITECHGEAR,2025-09-26,731.0,760.0,731.0,751.6,2658
HITECHGEAR,2025-09-29,735.0,760.0,735.0,743.25,2421
HITECHGEAR,2025-09-30,728.0,753.8,728.0,737.0,1275
HITECHGEAR,2025-10-01,737.0,751.7,737.0,749.35,1063
HITECHGEAR,2025-10-03,750.0,762.8,740.0,757.85,1817
HITECHGEAR,2025-10-06,760.0,785.0,740.3,750.95,3568
HITECHGEAR,2025-10-07,751.1,785.0,751.1,779.95,5946
HITECHGEAR,2025-10-08,779.0,809.9,777.0,779.45,3160
HITECHGEAR,2025-10-09,781.0,818.0,777.0,814.1,8987
HITECHGEAR,2025-10-10,821.0,854.8,814.0,854.8,12700
HITECHGEAR,2025-10-13,897.45,897.45,872.0,876.05,12618
HITECHGEAR,2025-10-14,876.05,895.0,855.0,869.8,5927
HITECHGEAR,2025-10-15,855.0,860.0,826.35,843.05,3742
HITECHGEAR,2025-10-16,860.0,860.0,840.8,849.95,3986
HITECHGEAR,2025-10-17,847.5,879.95,832.0,836.0,6877
HITECHGEAR,2025-10-20,823.0,836.0,820.0,823.85,1688
HITECHGEAR,2025-10-21,812.0,845.0,785.2,822.3,1454
HITECHGEAR,2025-10-23,840.0,840.4,821.0,824.85,2300
HITECHGEAR,2025-10-24,804.0,825.0,790.0,800.95,3899
HITECHGEAR,2025-10-27,831.0,831.0,772.0,798.05,4528
HITECHGEAR,2025-10-28,799.9,805.25,775.6,780.05,897
HITECHGEAR,2025-10-29,780.05,819.0,780.05,810.15,9076
HITECHGEAR,2025-10-30,805.0,824.0,792.0,807.8,1863
HITECHGEAR,2025-10-31,807.8,807.8,789.1,798.05,2095
HITECHGEAR,2025-11-03,805.0,807.0,761.2,774.05,3122
HITECHGEAR,2025-11-04,785.0,795.0,751.2,764.9,1888
HITECHGEAR,2025-11-06,751.0,775.0,750.0,752.85,1570
HITECHGEAR,2025-11-07,752.85,760.0,728.1,735.75,2829
HITECHGEAR,2025-11-10,720.0,756.0,720.0,734.95,1111
HITECHGEAR,2025-11-11,750.0,754.0,720.6,731.9,1351
HITECHGEAR,2025-11-12,760.0,768.45,730.0,747.05,2592
HITECHGEAR,2025-11-13,773.85,773.85,726.0,735.2,1594
HITECHGEAR,2025-11-14,731.55,755.0,731.55,736.6,622
HITECHGEAR,2025-11-17,767.5,767.5,736.6,751.55,1570
HITECHGEAR,2025-11-18,751.0,779.85,734.05,760.0,1015
HITECHGEAR,2025-11-19,760.0,765.0,740.05,745.4,1135
HITECHGEAR,2025-11-20,744.0,754.9,736.6,748.0,284
HITECHGEAR,2025-11-21,748.0,765.0,720.0,741.2,3162
HITECHGEAR,2025-11-24,714.0,750.0,704.15,708.5,3455
HITECHGEAR,2025-11-25,680.5,714.95,680.5,709.55,989
HITECHGEAR,2025-11-26,738.0,738.0,701.0,705.65,1337
HITECHGEAR,2025-11-27,722.0,729.5,708.0,716.35,1349
HITECHGEAR,2025-11-28,735.95,735.95,695.0,704.9,364
HITECHGEAR,2025-12-01,719.95,725.0,700.75,703.3,3577
HITECHGEAR,2025-12-02,734.0,734.0,691.1,691.8,877
HITECHGEAR,2025-12-03,693.0,719.95,675.2,690.15,2192
HITECHGEAR,2025-12-04,698.9,698.9,673.0,677.6,619
HITECHGEAR,2025-12-05,673.0,695.0,662.0,668.85,1790
HITECHGEAR,2025-12-08,638.0,670.0,638.0,647.1,1856
HITECHGEAR,2025-12-09,631.05,674.0,627.9,673.2,1813
HITECHGEAR,2025-12-10,673.0,705.0,655.0,669.35,1478
HITECHGEAR,2025-12-11,699.95,699.95,669.0,675.15,2841
HITECHGEAR,2025-12-12,666.0,698.5,666.0,690.0,1664
HITECHGEAR,2025-12-15,657.1,684.0,655.5,679.0,2123
HITECHGEAR,2025-12-16,678.95,678.95,651.0,658.25,440
HITECHGEAR,2025-12-17,660.1,673.0,636.0,665.0,804
HITECHGEAR,2025-12-18,661.7,665.0,639.0,652.95,1017
HITECHGEAR,2025-12-19,652.5,662.95,645.0,655.0,1168
HITECHGEAR,2025-12-22,679.95,687.75,640.0,682.45,4759
HITECHGEAR,2025-12-23,655.5,685.0,655.5,679.45,2224
HITECHGEAR,2025-12-24,675.0,700.0,655.0,690.05,4041
HITECHGEAR,2025-12-26,706.0,721.0,682.0,693.9,3817
HITECHGEAR,2025-12-29,710.0,710.0,675.0,690.0,3056
HITECHGEAR,2025-12-30,689.95,710.0,673.0,681.85,2496
HITECHGEAR,2025-12-31,709.0,709.0,684.0,688.7,3208
HITECHGEAR,2026-01-01,710.95,723.1,693.05,717.0,8107
HITECHGEAR,2026-01-02,723.1,752.85,713.15,752.75,4475
HITECHGEAR,2026-01-05,779.95,785.0,761.6,765.5,5206
HITECHGEAR,2026-01-06,775.0,778.15,750.0,752.6,2205
HITECHGEAR,2026-01-07,741.0,760.0,722.35,758.45,1473
HITECHGEAR,2026-01-08,734.55,766.95,734.5,739.55,1099
HITECHGEAR,2026-01-09,726.0,737.0,721.15,727.15,1256
HITECHGEAR,2026-01-12,721.0,760.85,714.5,749.45,4277
HITECHGEAR,2026-01-13,759.0,779.95,741.0,764.65,3298
HITECHGEAR,2026-01-14,751.0,776.9,740.0,743.5,1043
HITECHGEAR,2026-01-16,765.95,765.95,725.0,745.65,448
HITECHGEAR,2026-01-19,745.0,761.0,710.2,718.45,2339
HITECHGEAR,2026-01-20,721.0,736.0,682.55,694.75,3734
HITECHGEAR,2026-01-21,694.0,694.0,660.05,673.2,6474
HITECHGEAR,2026-01-22,673.2,706.85,673.2,681.1,1560
HITECHGEAR,2026-01-23,705.0,705.0,650.0,655.75,1570
HITECHGEAR,2026-01-27,655.75,680.0,636.05,656.5,3141
HITECHGEAR,2026-01-28,660.0,671.6,655.1,665.9,1010
HITECHGEAR,2026-01-29,648.0,690.0,648.0,662.5,2810
HITECHGEAR,2026-01-30,655.55,669.9,652.1,654.9,1048
HITECHGEAR,2026-02-02,635.0,678.0,635.0,664.95,366
HITECHGEAR,2026-02-03,666.2,698.0,664.95,685.25,2963
HITECHGEAR,2026-02-04,685.0,690.0,675.0,677.6,1556
HITECHGEAR,2026-02-05,675.0,690.0,668.0,682.95,565
HITECHGEAR,2026-02-06,663.05,680.0,650.9,653.6,1325
HITECHGEAR,2026-02-09,654.9,665.0,650.0,657.0,827
HITECHGEAR,2026-02-10,674.4,675.0,650.0,668.85,6544
HITECHGEAR,2026-02-11,673.0,673.0,646.0,655.45,2886
HITECHGEAR,2026-02-12,650.0,656.75,650.0,654.85,1393
HITECHGEAR,2026-02-13,645.0,659.85,625.2,650.25,1929
HITECHGEAR,2026-02-16,627.15,650.0,627.15,632.25,1369
HITECHGEAR,2026-02-17,640.0,649.6,636.0,642.4,665
HITECHGEAR,2026-02-18,649.5,674.5,630.0,674.35,4630
HITECHGEAR,2026-02-19,675.1,700.0,654.0,678.95,3738
HITECHGEAR,2026-02-20,660.0,683.9,646.55,675.45,1298
HITECHGEAR,2026-02-23,694.05,694.05,641.7,644.05,3210
HITECHGEAR,2026-02-24,645.0,648.8,625.0,629.95,3243
HITECHGEAR,2026-02-25,636.9,639.8,625.0,630.0,1695
HITECHGEAR,2026-02-26,611.0,660.0,611.0,638.1,6078
HITECHGEAR,2026-02-27,622.0,650.0,622.0,642.6,1846
HITECHGEAR,2026-03-02,625.0,640.0,615.0,620.85,3350
HITECHGEAR,2026-03-04,624.0,624.0,605.0,611.55,7037
HITECHGEAR,2026-03-05,625.0,625.0,609.0,610.6,800
HITECHGEAR,2026-03-06,629.0,629.0,600.5,619.75,501
HITECHGEAR,2026-03-09,602.1,625.0,589.0,603.15,3899
HITECHGEAR,2026-03-10,600.0,619.0,595.0,608.35,6620
HITECHGEAR,2026-03-11,605.0,625.0,605.0,614.95,4075
HITECHGEAR,2026-03-12,603.0,617.4,600.0,614.95,1172
HITECHGEAR,2026-03-13,613.45,613.45,590.0,606.15,901
HITECHGEAR,2026-03-16,606.15,606.15,581.5,601.45,2108
HITECHGEAR,2026-03-17,601.45,610.0,590.0,590.3,946
HITECHGEAR,2026-03-18,600.0,618.0,600.0,616.6,2374
HITECHGEAR,2026-03-19,610.0,610.0,602.5,604.45,1964
HITECHGEAR,2026-03-20,607.45,615.5,599.0,603.35,546
HITECHGEAR,2026-03-23,605.0,605.0,573.2,579.35,5274
HITECHGEAR,2026-03-24,599.0,600.0,569.2,587.5,1591
HITECHGEAR,2026-03-25,600.0,610.95,570.0,579.2,3401
HITECHGEAR,2026-03-27,589.0,596.9,550.3,568.4,7336
HITECHGEAR,2026-03-30,568.8,568.8,545.0,548.3,5446
HITECHGEAR,2026-04-01,521.25,575.0,521.25,567.9,396
HITECHGEAR,2026-04-02,574.0,574.0,550.0,561.1,2140
HITECHGEAR,2026-04-06,565.0,568.0,552.55,567.65,826
HITECHGEAR,2026-04-07,568.0,579.2,555.15,560.35,1764
HITECHGEAR,2026-04-08,574.9,587.9,572.0,581.55,1432
HITECHGEAR,2026-04-09,565.0,603.0,565.0,589.45,1096
HITECHGEAR,2026-04-10,592.35,618.0,586.55,614.0,3466
HITECHGEAR,2026-04-13,618.0,630.0,605.5,619.05,1073
HITECHGEAR,2026-04-15,625.1,640.5,620.0,620.25,1703
HITECHGEAR,2026-04-16,625.0,643.9,620.0,638.1,3874
HITECHGEAR,2026-04-17,649.0,649.85,620.0,626.5,3079
HITECHGEAR,2026-04-20,633.0,633.0,620.0,624.6,225
HITECHGEAR,2026-04-21,627.0,640.0,625.05,631.95,956
HITECHGEAR,2026-04-22,635.1,635.1,620.0,630.45,1152
HITECHGEAR,2026-04-23,633.6,633.6,601.0,625.95,1832
HITECHGEAR,2026-04-24,629.05,629.05,602.15,624.0,1169
HITECHGEAR,2026-04-27,637.75,650.0,605.3,616.1,2143
HITECHGEAR,2026-04-28,630.0,630.0,615.0,621.6,740
HITECHGEAR,2026-04-29,627.0,630.0,602.2,610.0,1632
HITECHGEAR,2026-04-30,613.05,619.85,610.0,617.55,294
HITECHGEAR,2026-05-04,619.0,625.0,600.0,602.95,2030
HITECHGEAR,2026-05-05,608.0,614.0,590.0,596.55,1346
HITECHGEAR,2026-05-06,598.0,619.5,586.0,615.5,2031
HITECHGEAR,2026-05-07,617.5,618.0,606.6,614.8,955
HITECHGEAR,2026-05-08,613.0,614.0,596.1,614.0,573
HITECHGEAR,2026-05-11,609.0,618.0,598.05,615.0,1225
HITECHGEAR,2026-05-12,596.05,615.0,591.0,602.15,2508
HITECHGEAR,2026-05-13,602.15,602.15,588.0,599.8,893
HITECHGEAR,2026-05-14,596.0,601.0,587.0,595.2,1681
