symbol,date,open,high,low,close,volume
HLEGLAS,2025-07-24,423.05,452.45,416.0,447.1,305663
HLEGLAS,2025-07-25,460.0,473.0,424.4,429.8,891085
HLEGLAS,2025-07-28,430.2,443.95,425.7,431.45,158436
HLEGLAS,2025-07-29,429.95,432.5,416.05,423.0,86231
HLEGLAS,2025-07-30,423.0,439.0,423.0,429.75,79735
HLEGLAS,2025-07-31,420.0,460.0,412.0,447.35,243124
HLEGLAS,2025-08-01,444.0,453.7,434.25,437.25,103793
HLEGLAS,2025-08-04,431.05,450.0,423.0,434.55,72305
HLEGLAS,2025-08-05,428.05,440.8,425.0,429.8,62246
HLEGLAS,2025-08-06,429.0,432.2,418.25,421.35,44583
HLEGLAS,2025-08-07,416.0,439.7,416.0,427.7,119235
HLEGLAS,2025-08-08,425.1,439.9,422.6,430.05,88722
HLEGLAS,2025-08-11,431.15,438.9,420.35,436.6,118635
HLEGLAS,2025-08-12,444.0,476.85,442.0,446.35,853640
HLEGLAS,2025-08-13,448.0,456.75,425.4,429.4,124814
HLEGLAS,2025-08-14,431.6,437.85,418.5,422.2,126938
HLEGLAS,2025-08-18,424.8,428.9,414.0,415.8,98821
HLEGLAS,2025-08-19,460.0,498.95,455.3,498.95,7658458
HLEGLAS,2025-08-20,520.0,548.0,511.0,535.2,7058040
HLEGLAS,2025-08-21,521.0,529.45,495.55,507.1,901828
HLEGLAS,2025-08-22,509.55,536.2,505.8,523.25,1229196
HLEGLAS,2025-08-25,533.0,553.5,523.55,542.95,1376177
HLEGLAS,2025-08-26,546.45,547.0,525.3,530.3,324863
HLEGLAS,2025-08-28,530.0,530.3,503.65,510.0,241084
HLEGLAS,2025-08-29,505.0,543.85,503.05,525.95,535607
HLEGLAS,2025-09-01,529.85,548.0,527.75,545.3,402922
HLEGLAS,2025-09-02,550.05,567.95,518.05,527.45,448471
HLEGLAS,2025-09-03,530.05,542.0,521.8,534.7,176943
HLEGLAS,2025-09-04,535.0,549.8,522.0,527.15,191352
HLEGLAS,2025-09-05,531.0,579.5,528.65,549.8,1018972
HLEGLAS,2025-09-08,555.0,579.0,545.2,573.85,682175
HLEGLAS,2025-09-09,577.0,579.0,555.35,564.0,262809
HLEGLAS,2025-09-10,569.0,576.35,550.0,559.15,311947
HLEGLAS,2025-09-11,559.15,562.45,533.1,535.75,244861
HLEGLAS,2025-09-12,538.4,543.7,516.0,521.25,264072
HLEGLAS,2025-09-15,532.7,536.25,515.4,520.8,162724
