symbol,date,open,high,low,close,volume
HONDAPOWER,2021-07-26,1264.0,1279.0,1252.75,1259.95,10548
HONDAPOWER,2021-07-27,1283.95,1288.9,1230.6,1237.3,11844
HONDAPOWER,2021-07-28,1240.7,1252.0,1213.05,1226.8,9438
HONDAPOWER,2021-07-29,1225.0,1244.65,1207.0,1214.65,10977
HONDAPOWER,2021-07-30,1220.75,1227.0,1200.2,1209.05,7814
HONDAPOWER,2021-08-02,1230.0,1237.0,1204.0,1216.7,9517
HONDAPOWER,2021-08-03,1216.7,1216.7,1201.1,1204.2,6789
HONDAPOWER,2021-08-04,1210.25,1234.5,1197.0,1199.8,11307
HONDAPOWER,2021-08-05,1185.0,1196.9,1170.0,1173.25,13429
HONDAPOWER,2021-08-06,1178.0,1202.45,1150.35,1170.3,17022
HONDAPOWER,2021-08-09,1176.2,1181.2,1150.0,1170.55,5363
HONDAPOWER,2021-08-10,1176.45,1176.45,1121.5,1134.65,11470
HONDAPOWER,2021-08-11,1165.0,1236.0,1145.0,1220.0,62991
HONDAPOWER,2021-08-12,1240.0,1295.0,1235.0,1264.8,51479
HONDAPOWER,2021-08-13,1270.0,1270.0,1235.0,1246.5,8861
HONDAPOWER,2021-08-16,1246.5,1252.35,1212.15,1229.7,8574
HONDAPOWER,2021-08-17,1235.8,1322.0,1230.0,1268.3,48225
HONDAPOWER,2021-08-18,1288.0,1288.0,1246.5,1254.85,8872
HONDAPOWER,2021-08-20,1254.85,1254.85,1208.0,1215.6,11079
HONDAPOWER,2021-08-23,1269.85,1269.85,1181.75,1197.6,18550
HONDAPOWER,2021-08-24,1200.0,1236.55,1190.0,1229.8,13532
HONDAPOWER,2021-08-25,1235.0,1272.5,1211.0,1254.85,12997
HONDAPOWER,2021-08-26,1261.0,1267.05,1230.0,1238.55,5710
HONDAPOWER,2021-08-27,1260.0,1260.0,1211.6,1229.95,7126
HONDAPOWER,2021-08-30,1259.8,1259.8,1220.65,1231.8,17749
HONDAPOWER,2021-08-31,1232.8,1240.3,1214.0,1227.9,5860
HONDAPOWER,2021-09-01,1234.05,1248.0,1220.0,1222.9,9372
HONDAPOWER,2021-09-02,1225.0,1244.95,1212.7,1222.8,4929
HONDAPOWER,2021-09-03,1228.95,1237.0,1212.7,1217.0,5916
HONDAPOWER,2021-09-06,1217.0,1228.15,1190.15,1199.3,10007
HONDAPOWER,2021-09-07,1205.3,1209.95,1190.05,1204.95,7165
HONDAPOWER,2021-09-08,1211.0,1211.0,1190.0,1206.3,3904
HONDAPOWER,2021-09-09,1220.0,1220.0,1198.0,1203.25,6149
HONDAPOWER,2021-09-13,1199.0,1215.0,1190.0,1210.5,8107
HONDAPOWER,2021-09-14,1220.3,1220.3,1202.55,1213.4,4292
HONDAPOWER,2021-09-15,1219.5,1236.0,1215.0,1222.2,5473
HONDAPOWER,2021-09-16,1224.0,1239.45,1213.05,1215.85,5545
HONDAPOWER,2021-09-17,1221.95,1245.0,1195.2,1197.0,8483
HONDAPOWER,2021-09-20,1196.0,1208.55,1178.0,1186.85,3581
HONDAPOWER,2021-09-21,1176.0,1189.95,1172.1,1177.3,4552
HONDAPOWER,2021-09-22,1175.0,1197.95,1165.2,1171.45,7767
HONDAPOWER,2021-09-23,1177.35,1197.95,1177.35,1184.45,5567
HONDAPOWER,2021-09-24,1190.4,1190.4,1170.35,1177.0,2727
HONDAPOWER,2021-09-27,1190.0,1210.05,1174.0,1175.9,7836
HONDAPOWER,2021-09-28,1181.75,1194.0,1165.05,1172.75,5157
HONDAPOWER,2021-09-29,1165.4,1280.0,1165.4,1252.85,83902
HONDAPOWER,2021-09-30,1260.0,1307.95,1251.0,1258.5,56480
HONDAPOWER,2021-10-01,1260.0,1295.25,1210.6,1220.55,37002
HONDAPOWER,2021-10-04,1234.0,1249.95,1232.3,1236.8,8127
HONDAPOWER,2021-10-05,1237.0,1264.0,1225.0,1241.05,7498
HONDAPOWER,2021-10-06,1250.0,1256.45,1214.1,1217.8,8631
HONDAPOWER,2021-10-07,1223.9,1255.0,1223.9,1228.25,6479
HONDAPOWER,2021-10-08,1234.4,1245.0,1200.1,1207.1,11119
HONDAPOWER,2021-10-11,1230.0,1443.0,1214.3,1418.8,344987
HONDAPOWER,2021-10-12,1388.0,1426.0,1344.9,1360.85,63821
HONDAPOWER,2021-10-13,1389.4,1397.0,1356.4,1378.7,32930
HONDAPOWER,2021-10-14,1391.4,1444.0,1354.65,1398.35,42846
HONDAPOWER,2021-10-18,1440.0,1440.0,1382.95,1403.6,24288
HONDAPOWER,2021-10-19,1401.0,1415.35,1355.0,1378.7,21102
HONDAPOWER,2021-10-20,1380.0,1381.75,1331.0,1333.75,12700
HONDAPOWER,2021-10-21,1320.0,1400.0,1320.0,1353.4,8768
HONDAPOWER,2021-10-22,1360.2,1365.0,1310.0,1349.05,14139
HONDAPOWER,2021-10-25,1349.05,1351.15,1270.0,1288.95,11490
HONDAPOWER,2021-10-26,1295.4,1325.0,1276.25,1305.9,8585
HONDAPOWER,2021-10-27,1306.0,1341.1,1289.9,1298.85,3993
HONDAPOWER,2021-10-28,1300.0,1314.35,1275.0,1301.3,7593
HONDAPOWER,2021-10-29,1276.05,1329.0,1276.05,1315.45,5831
HONDAPOWER,2021-11-01,1322.05,1327.05,1297.3,1316.55,10051
HONDAPOWER,2021-11-02,1339.0,1356.9,1307.55,1328.75,5971
HONDAPOWER,2021-11-03,1328.75,1359.7,1323.05,1325.35,3498
HONDAPOWER,2021-11-04,1326.0,1344.9,1309.0,1320.85,1487
HONDAPOWER,2021-11-08,1310.0,1375.0,1310.0,1358.3,7080
HONDAPOWER,2021-11-09,1360.0,1380.0,1340.1,1355.7,8860
HONDAPOWER,2021-11-10,1342.55,1394.0,1342.55,1364.75,12283
HONDAPOWER,2021-11-11,1340.05,1366.0,1330.0,1351.3,5873
HONDAPOWER,2021-11-12,1380.0,1380.0,1325.0,1350.65,11499
HONDAPOWER,2021-11-15,1303.0,1425.0,1303.0,1401.1,42256
HONDAPOWER,2021-11-16,1402.0,1431.9,1400.0,1416.0,20178
HONDAPOWER,2021-11-17,1410.0,1469.5,1396.9,1400.25,18932
HONDAPOWER,2021-11-18,1403.95,1436.2,1375.0,1399.95,25107
HONDAPOWER,2021-11-22,1390.0,1419.0,1335.05,1350.0,9129
HONDAPOWER,2021-11-23,1356.75,1361.85,1322.55,1348.85,5951
HONDAPOWER,2021-11-24,1350.0,1368.4,1326.8,1344.7,5088
HONDAPOWER,2021-11-25,1348.95,1374.7,1343.25,1363.1,2388
HONDAPOWER,2021-11-26,1363.0,1365.05,1324.0,1337.3,5001
HONDAPOWER,2021-11-29,1338.0,1338.0,1281.55,1307.3,3949
HONDAPOWER,2021-11-30,1295.0,1340.0,1286.25,1326.1,5623
HONDAPOWER,2021-12-01,1332.75,1340.0,1309.9,1320.55,2819
HONDAPOWER,2021-12-02,1315.05,1339.0,1305.0,1317.3,5982
HONDAPOWER,2021-12-03,1310.1,1360.0,1310.0,1346.4,7327
HONDAPOWER,2021-12-06,1360.0,1360.0,1321.25,1328.85,3418
HONDAPOWER,2021-12-07,1330.0,1360.0,1323.6,1341.45,2086
HONDAPOWER,2021-12-08,1348.2,1350.0,1324.0,1328.4,6059
HONDAPOWER,2021-12-09,1329.1,1356.2,1321.0,1331.3,4911
HONDAPOWER,2021-12-10,1322.0,1349.4,1320.0,1337.85,4015
HONDAPOWER,2021-12-13,1344.55,1370.0,1342.5,1365.35,9613
HONDAPOWER,2021-12-14,1372.2,1385.0,1341.0,1345.75,4659
HONDAPOWER,2021-12-15,1352.5,1372.0,1330.0,1348.6,4017
HONDAPOWER,2021-12-16,1354.6,1355.0,1326.1,1343.5,8392
HONDAPOWER,2021-12-17,1350.25,1350.25,1315.0,1325.1,3090
HONDAPOWER,2021-12-20,1310.0,1314.75,1272.05,1300.05,8523
HONDAPOWER,2021-12-21,1304.45,1337.1,1286.2,1294.05,3583
HONDAPOWER,2021-12-22,1295.0,1322.0,1290.7,1309.55,743
HONDAPOWER,2021-12-23,1309.55,1317.55,1300.25,1310.35,1484
HONDAPOWER,2021-12-24,1316.9,1318.1,1301.0,1301.6,1815
HONDAPOWER,2021-12-27,1308.15,1319.0,1275.65,1302.55,4470
HONDAPOWER,2021-12-28,1303.05,1309.1,1302.05,1305.65,1395
HONDAPOWER,2021-12-29,1311.9,1321.95,1294.0,1302.0,2748
HONDAPOWER,2021-12-30,1302.75,1311.3,1286.25,1296.05,1086
HONDAPOWER,2021-12-31,1302.55,1320.5,1290.25,1306.7,1608
HONDAPOWER,2022-01-03,1313.25,1340.5,1300.8,1305.45,5265
HONDAPOWER,2022-01-04,1306.0,1309.7,1274.1,1286.65,8686
HONDAPOWER,2022-01-05,1286.85,1302.65,1283.9,1285.95,2930
HONDAPOWER,2022-01-06,1280.0,1329.0,1274.95,1320.95,7145
HONDAPOWER,2022-01-07,1325.25,1338.1,1304.15,1320.1,3253
HONDAPOWER,2022-01-10,1344.0,1344.0,1320.05,1329.55,5722
HONDAPOWER,2022-01-11,1329.6,1332.7,1307.25,1314.6,3329
HONDAPOWER,2022-01-12,1314.6,1350.0,1314.6,1338.75,4792
HONDAPOWER,2022-01-13,1345.45,1450.0,1330.75,1376.3,35346
HONDAPOWER,2022-01-14,1380.1,1399.0,1362.0,1367.6,9020
HONDAPOWER,2022-01-17,1374.45,1420.45,1374.45,1387.95,12152
HONDAPOWER,2022-01-18,1384.05,1390.7,1348.05,1357.15,7700
