symbol,date,open,high,low,close,volume
HTMEDIA,2021-07-26,31.65,32.9,31.2,31.45,605465
HTMEDIA,2021-07-27,31.75,32.3,30.15,30.4,741139
HTMEDIA,2021-07-28,30.65,30.7,28.2,29.05,934292
HTMEDIA,2021-07-29,29.65,33.4,29.25,32.7,2688439
HTMEDIA,2021-07-30,32.85,33.1,30.35,30.75,972289
HTMEDIA,2021-08-02,30.9,31.55,30.6,30.8,596093
HTMEDIA,2021-08-03,30.5,31.35,30.2,30.55,528219
HTMEDIA,2021-08-04,30.45,31.5,27.55,28.3,1642775
HTMEDIA,2021-08-05,28.75,28.75,26.25,27.05,979384
HTMEDIA,2021-08-06,27.6,28.05,27.1,27.25,307086
HTMEDIA,2021-08-09,27.5,28.95,25.55,28.1,1091636
HTMEDIA,2021-08-10,28.85,28.85,26.7,26.85,717049
HTMEDIA,2021-08-11,26.9,27.45,25.55,26.3,408197
HTMEDIA,2021-08-12,26.2,27.8,26.2,27.55,399828
HTMEDIA,2021-08-13,28.0,28.0,26.85,27.0,187412
HTMEDIA,2021-08-16,27.4,27.5,26.6,26.7,156475
HTMEDIA,2021-08-17,26.6,26.9,26.1,26.2,154410
HTMEDIA,2021-08-18,26.6,26.7,24.5,25.1,384723
HTMEDIA,2021-08-20,25.0,25.4,24.3,24.35,229311
HTMEDIA,2021-08-23,24.75,25.4,22.6,22.8,592939
HTMEDIA,2021-08-24,22.95,24.2,22.8,23.45,264034
HTMEDIA,2021-08-25,23.5,24.0,23.3,23.45,206649
HTMEDIA,2021-08-26,23.85,23.95,23.3,23.5,228914
HTMEDIA,2021-08-27,23.15,23.85,22.7,23.5,185299
HTMEDIA,2021-08-30,24.2,24.4,23.3,23.9,174490
HTMEDIA,2021-08-31,23.9,24.35,23.7,23.95,150341
HTMEDIA,2021-09-01,24.3,24.35,23.05,23.55,181489
HTMEDIA,2021-09-02,23.85,24.05,23.6,23.8,134673
HTMEDIA,2021-09-03,24.3,24.4,23.75,23.95,174711
HTMEDIA,2021-09-06,24.45,24.45,23.55,23.7,150317
HTMEDIA,2021-09-07,23.7,24.0,23.5,23.8,121908
HTMEDIA,2021-09-08,24.25,24.25,23.7,23.85,110335
HTMEDIA,2021-09-09,24.15,24.15,23.6,23.75,180159
HTMEDIA,2021-09-13,24.0,24.25,23.7,23.95,117961
HTMEDIA,2021-09-14,24.7,27.0,24.25,25.25,1469816
HTMEDIA,2021-09-15,25.7,26.7,25.05,25.3,624272
HTMEDIA,2021-09-16,25.35,25.35,24.25,25.0,442322
HTMEDIA,2021-09-17,25.05,25.7,24.15,24.55,336660
HTMEDIA,2021-09-20,25.0,26.6,24.8,25.05,1197242
HTMEDIA,2021-09-21,25.55,26.05,24.3,25.05,721152
HTMEDIA,2021-09-22,25.5,25.75,24.65,24.9,517535
HTMEDIA,2021-09-23,25.35,25.6,24.75,24.9,362171
HTMEDIA,2021-09-24,25.0,25.5,24.5,24.8,248508
HTMEDIA,2021-09-27,24.85,26.25,24.55,25.3,394086
HTMEDIA,2021-09-28,25.7,26.0,24.9,25.65,241286
HTMEDIA,2021-09-29,25.35,25.55,25.0,25.05,191800
HTMEDIA,2021-09-30,25.3,25.4,24.95,25.0,118566
HTMEDIA,2021-10-01,25.0,26.85,24.8,26.3,758861
HTMEDIA,2021-10-04,26.7,26.95,26.0,26.45,418164
HTMEDIA,2021-10-05,26.15,27.35,26.1,26.95,707066
HTMEDIA,2021-10-06,27.0,27.45,26.1,26.3,384346
HTMEDIA,2021-10-07,26.8,27.0,26.05,26.4,282862
HTMEDIA,2021-10-08,26.8,27.45,26.35,26.9,506682
HTMEDIA,2021-10-11,27.25,27.25,26.1,26.25,364783
HTMEDIA,2021-10-12,26.25,26.7,26.1,26.2,290678
HTMEDIA,2021-10-13,26.5,26.6,25.6,25.8,318269
HTMEDIA,2021-10-14,25.95,26.9,25.6,26.2,394213
HTMEDIA,2021-10-18,26.8,26.85,25.1,25.95,427180
HTMEDIA,2021-10-19,25.95,26.5,25.3,25.8,386045
HTMEDIA,2021-10-20,25.65,25.7,25.0,25.05,237706
HTMEDIA,2021-10-21,25.3,25.6,24.65,24.9,341480
HTMEDIA,2021-10-22,25.2,25.6,24.7,24.95,228684
HTMEDIA,2021-10-25,25.0,25.4,23.75,24.65,333572
HTMEDIA,2021-10-26,25.3,26.9,24.75,26.65,861084
HTMEDIA,2021-10-27,26.7,26.8,26.05,26.15,213066
HTMEDIA,2021-10-28,26.2,26.8,25.55,26.35,270101
HTMEDIA,2021-10-29,26.85,29.0,26.0,26.2,2414251
HTMEDIA,2021-11-01,26.7,27.95,26.45,27.1,854054
HTMEDIA,2021-11-02,27.1,28.0,26.55,26.9,472174
HTMEDIA,2021-11-03,26.7,27.4,26.45,26.7,356165
HTMEDIA,2021-11-04,26.5,27.4,26.5,27.15,187837
HTMEDIA,2021-11-08,27.55,27.6,26.65,26.8,220895
HTMEDIA,2021-11-09,26.6,27.25,26.6,27.0,243769
HTMEDIA,2021-11-10,26.9,28.5,26.7,27.75,1196768
HTMEDIA,2021-11-11,27.9,28.2,27.25,27.8,551852
HTMEDIA,2021-11-12,28.0,28.2,27.15,27.85,586172
HTMEDIA,2021-11-15,27.5,28.6,27.5,28.5,1148457
HTMEDIA,2021-11-16,28.5,28.6,27.5,27.75,407008
HTMEDIA,2021-11-17,27.85,28.65,27.35,28.0,948725
HTMEDIA,2021-11-18,28.3,28.3,26.15,26.7,743518
HTMEDIA,2021-11-22,26.7,26.9,22.05,24.35,993734
HTMEDIA,2021-11-23,24.25,24.75,23.25,24.0,585474
HTMEDIA,2021-11-24,24.45,24.85,24.05,24.3,305908
HTMEDIA,2021-11-25,24.3,24.7,24.2,24.4,220104
HTMEDIA,2021-11-26,24.2,25.5,23.8,24.0,713758
HTMEDIA,2021-11-29,24.0,24.2,22.9,23.25,245873
HTMEDIA,2021-11-30,23.05,23.8,22.75,22.95,371848
HTMEDIA,2021-12-01,23.4,23.85,23.2,23.5,125815
HTMEDIA,2021-12-02,23.8,24.3,23.25,24.15,198413
HTMEDIA,2021-12-03,24.25,24.8,23.95,24.25,154318
HTMEDIA,2021-12-06,24.45,24.45,23.65,23.85,269157
HTMEDIA,2021-12-07,24.25,24.55,23.8,24.0,282640
HTMEDIA,2021-12-08,24.1,25.8,24.1,25.35,506457
HTMEDIA,2021-12-09,25.7,25.8,25.05,25.4,278648
HTMEDIA,2021-12-10,25.5,26.45,25.3,26.15,430191
HTMEDIA,2021-12-13,26.4,27.45,26.25,26.6,479194
HTMEDIA,2021-12-14,26.75,28.65,26.25,27.9,1730450
HTMEDIA,2021-12-15,28.0,28.4,27.0,27.2,481311
HTMEDIA,2021-12-16,27.1,27.5,26.15,26.55,309560
HTMEDIA,2021-12-17,26.75,26.9,25.65,25.8,294686
HTMEDIA,2021-12-20,25.5,25.55,24.1,24.55,234968
HTMEDIA,2021-12-21,24.9,25.3,24.4,24.55,91259
HTMEDIA,2021-12-22,24.9,25.4,24.75,24.9,116572
HTMEDIA,2021-12-23,25.2,25.85,25.05,25.15,199114
HTMEDIA,2021-12-24,25.5,25.75,25.05,25.15,226700
HTMEDIA,2021-12-27,24.75,25.7,24.7,25.4,129792
HTMEDIA,2021-12-28,25.6,26.75,25.5,26.2,352866
HTMEDIA,2021-12-29,26.0,28.5,26.0,27.6,2075678
HTMEDIA,2021-12-30,28.0,28.6,27.2,27.45,660388
HTMEDIA,2021-12-31,27.45,28.45,27.45,27.6,489092
HTMEDIA,2022-01-03,27.95,31.0,27.7,29.65,7805093
HTMEDIA,2022-01-04,29.95,30.35,27.4,27.9,2060479
HTMEDIA,2022-01-05,28.0,29.5,27.6,28.35,1430609
HTMEDIA,2022-01-06,28.3,29.2,28.0,28.7,642942
HTMEDIA,2022-01-07,29.0,30.25,28.5,28.8,1445312
HTMEDIA,2022-01-10,28.9,30.5,28.9,29.75,1499913
HTMEDIA,2022-01-11,29.9,30.8,29.2,29.55,1731566
HTMEDIA,2022-01-12,30.0,30.25,28.85,28.95,574835
HTMEDIA,2022-01-13,29.3,30.1,28.6,29.15,584276
HTMEDIA,2022-01-14,29.25,30.75,28.85,29.85,1243009
HTMEDIA,2022-01-17,30.25,31.0,30.05,30.4,1580271
HTMEDIA,2022-01-18,30.75,30.9,28.8,28.95,723928
HTMEDIA,2022-01-19,28.95,29.55,28.25,28.9,632997
HTMEDIA,2022-01-20,29.0,29.9,28.9,29.25,501130
HTMEDIA,2022-01-21,29.25,29.25,28.0,28.35,651171
HTMEDIA,2022-01-24,28.25,28.5,26.0,26.3,664040
HTMEDIA,2022-01-25,26.3,27.95,25.6,27.35,458348
HTMEDIA,2022-01-27,27.35,29.4,27.15,28.65,860746
HTMEDIA,2022-01-28,29.05,32.95,28.0,32.0,10261448
HTMEDIA,2022-01-31,33.0,33.75,32.05,32.2,4660368
HTMEDIA,2022-02-01,32.45,32.45,30.7,30.95,1340329
HTMEDIA,2022-02-02,31.35,31.9,30.75,31.15,863148
HTMEDIA,2022-02-03,31.35,35.0,31.1,34.45,7991342
HTMEDIA,2022-02-04,34.7,35.95,34.3,34.75,5098867
HTMEDIA,2022-02-07,36.0,37.5,35.1,37.0,6116765
HTMEDIA,2022-02-08,37.35,37.6,34.05,35.15,2928118
HTMEDIA,2022-02-09,35.4,36.05,34.25,35.0,1293013
HTMEDIA,2022-02-10,35.3,35.9,34.6,34.85,1166776
HTMEDIA,2022-02-11,34.6,38.6,34.25,38.1,8010888
HTMEDIA,2022-02-14,37.0,39.2,35.3,35.8,6301356
HTMEDIA,2022-02-15,36.45,37.15,34.8,36.75,1972428
HTMEDIA,2022-02-16,37.25,37.75,35.25,35.8,1471473
HTMEDIA,2022-02-17,36.15,36.4,34.1,34.65,923659
HTMEDIA,2022-02-18,34.85,35.25,32.5,32.85,1676847
HTMEDIA,2022-02-21,32.8,32.85,30.75,31.0,1231975
HTMEDIA,2022-02-22,30.15,33.2,29.1,31.7,2349724
HTMEDIA,2022-02-23,32.2,32.9,30.6,31.05,1039016
HTMEDIA,2022-02-24,29.3,31.0,27.55,27.9,1696057
HTMEDIA,2022-02-25,29.25,30.5,29.25,30.0,820124
