symbol,date,open,high,low,close,volume
IBULLSLTD,2021-07-26,79.1076,83.5459,79.1076,80.8605,201664
IBULLSLTD,2021-07-27,80.5621,83.4713,78.3243,79.9654,96170
IBULLSLTD,2021-07-28,82.8,82.8,77.5784,79.1821,79472
IBULLSLTD,2021-07-29,80.5621,80.8605,78.5854,79.5178,100791
IBULLSLTD,2021-07-30,80.5621,80.5621,77.5784,78.2124,131380
IBULLSLTD,2021-08-02,78.2124,80.5621,76.8324,78.0632,193099
IBULLSLTD,2021-08-03,81.3081,81.3081,76.0865,76.8324,111922
IBULLSLTD,2021-08-04,78.2497,78.2497,74.9676,75.4897,123931
IBULLSLTD,2021-08-05,75.9,76.4594,72.9535,74.7811,89928
IBULLSLTD,2021-08-06,74.7811,78.3243,73.8486,77.3919,118917
IBULLSLTD,2021-08-09,76.8324,78.6973,74.6319,74.9303,111623
IBULLSLTD,2021-08-10,74.9676,75.9,71.2005,71.2005,181364
IBULLSLTD,2021-08-11,68.254,73.8113,67.6573,71.5362,161988
IBULLSLTD,2021-08-12,71.4989,75.0794,70.8648,75.0794,35267
IBULLSLTD,2021-08-13,77.5784,77.5784,74.5946,75.6762,461588
IBULLSLTD,2021-08-16,73.9232,74.1843,72.2821,73.0654,63619
IBULLSLTD,2021-08-17,73.0654,74.1843,70.8648,72.0957,48974
IBULLSLTD,2021-08-18,72.133,73.8486,69.0746,70.7157,165718
IBULLSLTD,2021-08-20,70.7903,70.7903,67.2097,68.5897,1297560
IBULLSLTD,2021-08-23,68.5897,70.1189,65.1957,65.7924,149870
IBULLSLTD,2021-08-24,63.0324,68.627,63.0324,67.8438,61322
IBULLSLTD,2021-08-25,69.0,70.8648,66.3892,69.7459,38965
IBULLSLTD,2021-08-26,68.627,73.2146,68.627,72.9162,156255
IBULLSLTD,2021-08-27,73.8486,74.4081,71.0513,72.9908,61934
IBULLSLTD,2021-08-30,76.0492,76.0492,70.8648,73.14,41858
IBULLSLTD,2021-08-31,70.2308,73.8486,70.2308,72.133,39648
IBULLSLTD,2021-09-01,70.8648,73.5503,70.8648,73.2892,51566
IBULLSLTD,2021-09-02,73.4757,76.0865,72.3567,75.2659,66389
IBULLSLTD,2021-09-03,76.0492,76.7951,73.8859,75.6389,81442
IBULLSLTD,2021-09-06,73.1027,78.1005,73.1027,75.9746,141498
IBULLSLTD,2021-09-07,76.7205,76.7205,73.8859,74.6319,48014
IBULLSLTD,2021-09-08,74.5946,78.3616,74.5946,78.3616,135871
IBULLSLTD,2021-09-09,82.2778,82.2778,78.5481,82.2778,259879
IBULLSLTD,2021-09-13,84.5902,84.5902,79.3686,80.413,293856
IBULLSLTD,2021-09-14,80.8978,84.4038,79.8162,81.8675,695511
IBULLSLTD,2021-09-15,83.5459,85.7838,82.054,84.2919,291175
IBULLSLTD,2021-09-16,84.8513,87.7978,80.1892,82.054,481882
IBULLSLTD,2021-09-17,81.9421,82.0167,77.9513,77.9513,316760
IBULLSLTD,2021-09-20,76.8324,78.8465,74.6692,75.0048,125674
IBULLSLTD,2021-09-21,73.1027,75.2659,72.1703,74.0351,200700
IBULLSLTD,2021-09-22,74.0724,76.8324,72.394,73.8859,204486
IBULLSLTD,2021-09-23,74.8184,76.3848,74.2216,75.6762,78496
IBULLSLTD,2021-09-24,75.3405,76.3475,73.8486,74.6692,104655
IBULLSLTD,2021-09-27,74.7811,76.8697,72.8789,73.9978,84475
IBULLSLTD,2021-09-28,74.2589,75.0794,72.7297,74.147,84739
IBULLSLTD,2021-09-29,74.1843,75.3405,73.1027,73.6994,78768
IBULLSLTD,2021-09-30,74.4454,75.0794,72.8789,73.4384,85791
IBULLSLTD,2021-10-01,74.2216,74.5946,72.9535,73.4011,50467
IBULLSLTD,2021-10-04,73.8486,77.0562,73.8486,75.2286,127519
IBULLSLTD,2021-10-05,74.7065,76.8324,74.6319,75.0794,100579
IBULLSLTD,2021-10-06,75.3405,78.8092,75.3405,77.4665,330158
IBULLSLTD,2021-10-07,78.0259,78.9211,76.1611,76.534,148504
IBULLSLTD,2021-10-08,77.5038,77.9886,75.3405,76.6832,166652
IBULLSLTD,2021-10-11,76.6832,77.5411,75.4524,76.2357,117645
IBULLSLTD,2021-10-12,76.7578,76.7578,73.9232,75.2286,82849
IBULLSLTD,2021-10-13,75.4524,76.3475,73.8486,74.1097,152434
IBULLSLTD,2021-10-14,75.3405,75.3405,73.8486,74.147,99850
IBULLSLTD,2021-10-18,75.3032,77.8394,74.4081,77.8394,470577
IBULLSLTD,2021-10-19,77.914,79.4432,74.6319,75.2659,233464
IBULLSLTD,2021-10-20,75.2659,75.9,72.0211,73.6248,139018
IBULLSLTD,2021-10-21,73.8486,75.3032,69.9697,73.5503,161105
IBULLSLTD,2021-10-22,74.1097,74.2962,71.6108,72.3194,100512
IBULLSLTD,2021-10-25,73.7367,73.7367,69.373,70.4919,110302
IBULLSLTD,2021-10-26,69.373,73.8486,69.373,73.14,106463
