symbol,date,open,high,low,close,volume
IDEA,2021-07-26,8.35,8.5,8.1,8.3,219484526
IDEA,2021-07-27,8.3,8.5,8.3,8.4,141166507
IDEA,2021-07-28,8.45,8.75,8.2,8.35,268614790
IDEA,2021-07-29,8.35,8.6,8.15,8.25,208357478
IDEA,2021-07-30,8.25,8.4,8.2,8.25,119176003
IDEA,2021-08-02,8.35,8.55,8.2,8.25,177255904
IDEA,2021-08-03,8.25,8.25,7.15,7.4,839530394
IDEA,2021-08-04,7.15,7.35,5.95,6.0,198746192
IDEA,2021-08-05,5.4,6.1,4.55,5.95,2515
IDEA,2021-08-06,6.5,7.35,6.5,7.1,186436853
IDEA,2021-08-09,7.3,7.6,6.4,6.9,946049079
IDEA,2021-08-10,7.0,7.2,6.6,6.65,424588646
IDEA,2021-08-11,6.6,6.75,6.3,6.65,280814303
IDEA,2021-08-12,6.7,6.75,6.45,6.5,121102582
IDEA,2021-08-13,6.45,6.6,6.25,6.3,184754336
IDEA,2021-08-16,6.0,6.25,5.85,5.95,180162546
IDEA,2021-08-17,6.05,6.05,5.6,5.75,197222207
IDEA,2021-08-18,5.65,6.85,5.6,6.45,459576977
IDEA,2021-08-20,5.95,6.4,5.9,5.95,309374862
IDEA,2021-08-23,6.05,6.45,5.8,6.0,478730436
IDEA,2021-08-24,6.15,6.3,6.05,6.25,160571972
IDEA,2021-08-25,6.25,6.4,6.2,6.3,132510533
IDEA,2021-08-26,6.25,6.3,5.8,5.9,282965357
IDEA,2021-08-27,5.9,6.1,5.85,6.0,161965520
IDEA,2021-08-30,6.05,6.1,5.9,5.95,84925689
IDEA,2021-08-31,5.95,6.4,5.85,6.1,298905204
IDEA,2021-09-01,6.05,6.35,6.0,6.1,278532142
IDEA,2021-09-02,6.2,7.25,6.15,7.15,736165238
IDEA,2021-09-03,7.3,8.1,6.9,7.25,964239433
IDEA,2021-09-06,7.25,7.6,7.05,7.25,252682376
IDEA,2021-09-07,7.3,8.4,7.15,8.25,1060683827
IDEA,2021-09-08,8.8,9.05,7.8,8.05,266753969
IDEA,2021-09-09,8.05,8.5,7.7,8.4,432353363
IDEA,2021-09-13,8.5,8.55,7.85,7.95,357392698
IDEA,2021-09-14,7.95,9.0,7.9,8.7,776770515
IDEA,2021-09-15,8.95,9.3,8.55,8.95,967395027
IDEA,2021-09-16,9.8,11.5,9.65,11.25,1277
IDEA,2021-09-17,12.0,12.35,10.55,11.15,334284294
IDEA,2021-09-20,11.4,11.85,10.6,10.75,681707927
IDEA,2021-09-21,10.85,11.0,10.1,10.8,642657663
IDEA,2021-09-22,10.7,10.7,10.3,10.4,332186145
IDEA,2021-09-23,10.75,10.85,10.4,10.55,341449899
IDEA,2021-09-24,10.6,11.65,10.45,11.5,948798242
IDEA,2021-09-27,11.3,11.5,11.05,11.35,336469438
IDEA,2021-09-28,11.5,11.6,10.8,10.95,319440917
IDEA,2021-09-29,10.95,11.45,10.9,11.25,323684354
IDEA,2021-09-30,11.4,12.1,11.25,11.9,1004213104
IDEA,2021-10-01,11.65,11.75,11.35,11.4,371738193
IDEA,2021-10-04,11.5,11.6,11.3,11.4,202808054
IDEA,2021-10-05,11.3,12.25,11.25,11.55,654039214
IDEA,2021-10-06,11.7,12.0,11.15,11.45,455208528
IDEA,2021-10-07,11.65,11.8,11.25,11.35,267547079
IDEA,2021-10-08,11.45,11.55,11.25,11.35,181782419
IDEA,2021-10-11,11.4,11.4,10.8,10.85,313737218
IDEA,2021-10-12,11.1,11.15,10.5,10.65,311795594
IDEA,2021-10-13,10.8,11.0,10.6,10.7,176514112
IDEA,2021-10-14,10.8,10.9,10.7,10.75,118675965
IDEA,2021-10-18,10.85,10.85,10.5,10.6,137172814
IDEA,2021-10-19,10.7,10.8,9.9,10.0,348088357
IDEA,2021-10-20,10.0,10.95,9.55,10.6,416526281
