symbol,date,open,high,low,close,volume
IEML,2025-07-22,150.65,155.95,150.65,152.05,14000
IEML,2025-07-23,155.7,155.7,148.1,152.05,9000
IEML,2025-07-24,152.05,152.05,149.2,149.2,4500
IEML,2025-07-25,148.0,152.4,147.5,148.0,7500
IEML,2025-07-28,150.0,155.0,150.0,153.9,18500
IEML,2025-07-29,150.1,153.0,146.2,146.45,37000
IEML,2025-07-30,146.2,146.3,139.5,140.65,21500
IEML,2025-07-31,140.0,145.0,136.8,137.95,79000
IEML,2025-08-01,140.0,144.8,140.0,144.75,20000
IEML,2025-08-04,145.05,148.9,145.05,146.95,9000
IEML,2025-08-05,146.95,150.0,139.6,146.0,66000
IEML,2025-08-06,145.1,145.5,138.7,145.0,86500
IEML,2025-08-07,145.0,145.0,137.75,142.8,66500
IEML,2025-08-08,137.55,141.0,136.0,140.0,50500
IEML,2025-08-11,135.2,139.95,134.0,137.0,8500
IEML,2025-08-12,133.05,142.85,133.05,141.9,14000
IEML,2025-08-13,142.0,142.25,139.0,139.0,2000
IEML,2025-08-14,135.1,135.1,135.1,135.1,1000
IEML,2025-08-18,133.45,137.5,133.45,136.25,3500
IEML,2025-08-19,132.0,143.05,132.0,143.0,5500
IEML,2025-08-20,136.6,147.45,136.55,143.7,15000
IEML,2025-08-21,145.8,147.95,143.0,147.55,30000
IEML,2025-08-22,147.5,147.55,141.25,142.1,17000
IEML,2025-08-25,150.0,162.95,146.1,148.15,31500
IEML,2025-08-26,148.15,154.0,145.05,149.65,61500
IEML,2025-08-28,150.0,150.0,143.0,148.25,25000
IEML,2025-08-29,148.25,150.0,145.0,145.0,14500
IEML,2025-09-01,154.8,154.8,139.1,140.15,27000
IEML,2025-09-02,143.5,145.0,139.0,139.0,11000
IEML,2025-09-03,138.0,143.0,134.0,137.85,45500
IEML,2025-09-04,137.1,139.5,134.25,139.25,20000
IEML,2025-09-05,140.0,141.0,136.0,139.8,9500
IEML,2025-09-08,139.0,147.0,135.0,144.85,46000
IEML,2025-09-09,140.0,173.8,139.05,172.05,214500
IEML,2025-09-10,182.0,183.35,170.05,181.6,136500
IEML,2025-09-11,181.6,189.0,180.15,187.8,64000
IEML,2025-09-12,189.8,196.25,189.8,191.85,68500
IEML,2025-09-15,191.85,191.85,175.0,183.15,29000
IEML,2025-09-16,187.5,187.5,176.15,180.6,40500
IEML,2025-09-17,180.0,180.0,178.0,178.85,20500
IEML,2025-09-18,186.9,190.5,170.5,172.9,32000
IEML,2025-09-19,168.05,196.4,168.05,193.65,79000
IEML,2025-09-22,194.95,199.6,183.7,185.95,40500
IEML,2025-09-23,180.0,180.0,150.9,157.3,252500
IEML,2025-09-24,154.15,158.5,142.6,143.65,223500
IEML,2025-09-25,140.0,156.0,140.0,145.6,92500
IEML,2025-09-26,143.0,147.95,136.0,139.55,57500
IEML,2025-09-29,138.0,150.0,138.0,147.5,36000
IEML,2025-09-30,147.5,147.5,139.0,140.65,19500
IEML,2025-10-01,122.8227,124.9126,116.6838,117.6416,67181
IEML,2025-10-03,117.1191,118.4688,108.8468,112.9394,125750
IEML,2025-10-06,117.5545,121.0376,112.5911,117.0321,95891
IEML,2025-10-07,118.4253,118.4253,111.7639,112.4605,73497
IEML,2025-10-08,112.3299,116.1613,107.976,112.5476,104504
IEML,2025-10-09,118.3818,118.4253,111.7639,113.7667,85556
IEML,2025-10-10,127.6,127.65,109.0,118.35,105500
IEML,2025-10-13,105.5,129.7,105.5,124.5,119500
IEML,2025-10-14,127.9,134.8,123.2,127.55,101000
IEML,2025-10-15,127.65,128.9,121.0,121.55,24500
IEML,2025-10-16,126.8,135.0,121.3,122.6,14000
IEML,2025-10-17,126.0,126.0,110.0,116.25,64000
IEML,2025-10-20,119.85,124.0,113.5,115.45,27500
IEML,2025-10-21,122.95,129.95,116.3,119.75,45500
IEML,2025-10-23,121.95,121.95,115.0,118.9,54500
IEML,2025-10-24,120.95,128.35,108.0,109.2,191500
IEML,2025-10-27,113.8,113.8,100.0,103.25,160000
IEML,2025-10-28,105.5,107.85,96.75,99.75,216500
IEML,2025-10-29,102.8,103.8,98.85,102.25,38000
IEML,2025-10-30,105.0,106.65,101.0,101.85,50000
IEML,2025-10-31,105.0,105.0,97.0,100.7,61000
IEML,2025-11-03,100.9,103.45,97.75,101.3,57000
IEML,2025-11-04,101.5,103.45,98.0,99.4,63000
IEML,2025-11-06,97.0,99.85,94.9,95.85,52000
IEML,2025-11-07,98.0,102.0,94.0,100.8,38000
IEML,2025-11-10,120.95,120.95,116.0,120.95,445500
IEML,2025-11-11,121.0,128.0,111.05,121.3,658500
IEML,2025-11-12,123.5,128.0,119.9,122.5,274000
IEML,2025-11-13,123.0,125.55,113.7,115.4,285000
IEML,2025-11-14,118.8,121.95,116.0,118.75,244000
IEML,2025-11-17,121.95,122.0,104.95,107.2,311000
IEML,2025-11-18,111.7,125.25,108.05,116.6,520500
IEML,2025-11-19,121.45,121.45,112.0,112.9,132500
IEML,2025-11-20,113.0,119.8,105.0,109.2,177000
IEML,2025-11-21,107.0,111.95,105.0,107.85,70500
IEML,2025-11-24,105.1,106.4,101.5,102.5,88500
IEML,2025-11-25,102.0,109.9,96.3,104.15,208500
IEML,2025-11-26,97.9,101.5,96.0,100.55,430000
IEML,2025-11-27,102.9,107.2,99.05,105.2,155000
IEML,2025-11-28,105.2,106.9,102.05,103.15,87000
IEML,2025-12-01,103.5,105.5,101.5,102.05,51000
IEML,2025-12-02,104.2,104.2,98.0,99.55,133500
IEML,2025-12-03,99.5,100.0,96.65,97.4,93000
IEML,2025-12-04,99.35,99.8,93.1,94.05,81500
IEML,2025-12-05,94.05,98.5,94.05,94.8,63000
IEML,2025-12-08,94.8,94.8,90.6,91.15,53500
IEML,2025-12-09,90.0,96.5,86.0,96.05,69000
IEML,2025-12-10,98.9,98.9,94.0,94.7,32500
IEML,2025-12-11,95.0,95.0,94.0,94.1,18500
IEML,2025-12-12,95.0,96.9,94.4,94.85,19500
IEML,2025-12-15,97.4,97.4,92.1,93.1,29500
IEML,2025-12-16,93.95,94.95,90.75,92.05,28500
IEML,2025-12-17,92.85,95.9,91.5,92.35,41000
IEML,2025-12-18,92.0,92.25,90.0,90.6,30500
IEML,2025-12-19,92.4,92.45,89.7,89.95,36500
IEML,2025-12-22,90.2,91.95,88.25,89.8,31500
IEML,2025-12-23,90.65,90.75,86.85,87.4,96500
IEML,2025-12-24,88.85,89.9,88.0,88.5,22500
IEML,2025-12-26,91.0,96.0,88.3,88.95,82500
IEML,2025-12-29,90.95,90.95,87.7,88.1,26000
IEML,2025-12-30,88.0,88.5,88.0,88.0,21000
IEML,2025-12-31,87.5,94.0,87.5,89.85,39500
IEML,2026-01-01,92.8,92.8,88.6,89.35,11000
IEML,2026-01-02,89.5,93.0,89.5,93.0,22500
IEML,2026-01-05,94.4,95.0,92.3,93.1,15000
IEML,2026-01-06,93.1,93.1,90.5,92.2,12500
IEML,2026-01-07,92.5,92.5,89.55,89.75,27000
IEML,2026-01-08,92.2,92.2,89.1,90.0,7500
IEML,2026-01-09,89.0,89.95,87.05,87.35,22500
IEML,2026-01-12,86.5,87.2,81.65,84.4,42000
IEML,2026-01-13,82.05,85.0,82.05,83.6,19000
IEML,2026-01-14,83.65,85.8,77.2,79.2,157000
IEML,2026-01-16,77.45,81.7,77.45,80.6,42500
IEML,2026-01-19,78.65,80.0,77.45,78.25,30000
IEML,2026-01-20,77.4,79.0,74.5,76.95,79500
IEML,2026-01-21,77.5,79.8,72.55,78.25,67000
IEML,2026-01-22,82.45,82.45,75.45,80.15,17500
IEML,2026-01-23,80.25,81.5,79.0,79.1,41000
IEML,2026-01-27,78.0,80.65,74.0,76.55,21000
IEML,2026-01-28,74.05,78.6,74.0,75.3,20000
IEML,2026-01-29,76.95,76.95,73.0,74.8,34000
IEML,2026-01-30,75.85,76.95,74.8,76.3,26500
IEML,2026-02-02,77.35,78.5,71.1,73.8,88500
IEML,2026-02-03,79.9,79.95,74.0,75.8,26000
IEML,2026-02-04,74.0,75.6,72.0,74.2,20500
IEML,2026-02-05,74.2,74.5,72.0,72.55,10500
IEML,2026-02-06,74.8,74.8,71.35,72.0,23000
IEML,2026-02-09,74.45,77.45,72.25,74.1,45500
IEML,2026-02-10,75.0,78.0,74.25,78.0,14500
IEML,2026-02-11,79.0,93.0,79.0,85.25,181000
IEML,2026-02-12,85.5,90.0,81.6,88.2,51500
IEML,2026-02-13,89.9,89.9,86.4,87.5,24000
IEML,2026-02-16,87.5,89.35,84.05,84.05,18500
IEML,2026-02-17,84.2,86.6,82.5,86.15,22000
IEML,2026-02-18,87.5,87.5,85.0,85.05,19500
IEML,2026-02-19,85.0,86.0,83.15,85.1,23000
IEML,2026-02-20,83.0,86.0,83.0,83.9,12500
IEML,2026-02-23,83.9,84.75,80.9,81.1,23000
IEML,2026-02-24,80.45,80.7,76.6,77.45,27000
IEML,2026-02-25,77.0,78.75,75.45,76.85,18000
IEML,2026-02-26,74.1,76.25,72.65,73.5,43000
IEML,2026-02-27,72.1,79.45,72.1,76.7,17500
IEML,2026-03-02,75.0,76.0,71.6,72.7,122000
IEML,2026-03-04,71.5,71.7,68.0,69.05,87500
IEML,2026-03-05,69.05,73.5,68.55,69.95,70500
IEML,2026-03-06,67.5,73.1,67.5,70.15,119000
IEML,2026-03-09,70.5,76.5,68.25,71.1,206000
IEML,2026-03-10,71.1,73.0,71.0,71.3,91000
IEML,2026-03-11,70.55,72.3,70.0,71.45,179000
IEML,2026-03-12,71.5,72.35,69.0,70.0,152500
IEML,2026-03-13,69.95,71.75,66.6,67.15,76500
IEML,2026-03-16,66.85,66.85,63.0,64.35,137000
IEML,2026-03-17,66.9,66.9,63.0,65.2,81500
IEML,2026-03-18,65.4,77.9,65.4,74.1,213500
IEML,2026-03-19,70.75,75.0,70.0,71.05,44000
IEML,2026-03-20,72.5,77.0,72.05,73.15,33000
IEML,2026-03-23,70.1,74.6,68.95,69.4,79500
IEML,2026-03-24,72.4,72.4,68.0,69.05,53000
IEML,2026-03-25,69.05,74.0,69.0,69.6,88500
IEML,2026-03-27,70.2,70.35,66.5,66.9,281000
IEML,2026-03-30,64.1,65.0,58.45,60.6,214000
IEML,2026-04-01,62.55,70.45,62.55,69.55,38000
IEML,2026-04-02,66.05,75.85,66.05,74.05,77000
IEML,2026-04-06,76.3,76.3,73.8,75.5,16500
IEML,2026-04-07,75.85,80.75,75.8,80.0,37500
IEML,2026-04-08,83.0,86.75,79.2,85.05,51000
IEML,2026-04-09,85.5,87.0,80.0,80.6,35500
IEML,2026-04-10,79.7,83.35,79.7,82.1,13500
IEML,2026-04-13,77.0,83.0,77.0,81.7,27000
IEML,2026-04-15,85.4,85.9,82.0,85.55,27500
IEML,2026-04-16,85.25,87.4,81.7,83.7,28500
IEML,2026-04-17,85.0,88.55,83.15,87.65,16500
IEML,2026-04-20,87.65,91.0,84.85,86.6,52000
IEML,2026-04-21,87.1,87.1,83.0,84.2,27000
IEML,2026-04-22,83.95,86.6,81.0,82.0,38000
IEML,2026-04-23,81.5,82.45,79.35,80.15,41000
IEML,2026-04-24,80.5,94.0,78.1,83.35,46500
IEML,2026-04-27,85.4,85.7,79.0,84.1,40500
IEML,2026-04-28,84.1,85.0,78.0,79.8,48000
IEML,2026-04-29,81.4,81.4,77.0,78.5,42500
IEML,2026-04-30,79.05,79.45,77.05,78.0,12000
IEML,2026-05-04,78.7,78.8,76.55,77.1,22000
IEML,2026-05-05,76.6,76.95,75.05,75.85,28500
IEML,2026-05-06,78.3,78.3,76.0,77.2,9000
IEML,2026-05-07,77.25,85.0,77.25,82.8,51000
IEML,2026-05-08,82.0,83.0,79.5,82.0,15000
IEML,2026-05-11,80.05,80.05,77.0,77.3,31500
IEML,2026-05-12,76.5,76.5,73.0,74.15,29500
IEML,2026-05-13,73.05,75.25,73.0,74.75,14000
IEML,2026-05-14,74.75,76.1,73.35,75.6,26500
IEML,2026-05-15,76.5,79.0,75.85,78.0,19000
IEML,2026-05-18,74.05,75.0,62.4,62.4,344500
IEML,2026-05-19,59.5,59.5,50.5,51.05,939500
IEML,2026-05-20,50.1,56.0,50.1,52.2,238000
IEML,2026-05-21,52.2,53.85,51.35,52.45,74000
IEML,2026-05-22,52.5,57.65,52.45,57.65,159000
IEML,2026-05-25,54.1,55.9,51.9,51.9,313500
IEML,2026-05-26,47.8,49.7,46.75,46.75,393500
IEML,2026-05-27,47.0,47.85,42.1,42.1,311500
IEML,2026-05-28,42.1,42.1,42.1,42.1,0
IEML,2026-05-29,40.3,40.75,37.9,38.0,1334500
IEML,2026-06-01,39.85,39.9,37.9,39.9,123500
IEML,2026-06-02,41.8,41.85,41.15,41.85,175500
IEML,2026-06-03,43.9,43.9,43.9,43.9,44000
IEML,2026-06-04,46.05,46.05,46.05,46.05,32000
IEML,2026-06-05,48.35,48.35,48.35,48.35,32000
IEML,2026-06-08,50.75,50.75,46.15,47.2,430000
IEML,2026-06-09,47.85,47.85,44.85,46.7,225500
IEML,2026-06-10,47.0,48.95,45.0,45.55,198500
IEML,2026-06-11,45.0,45.0,43.3,43.3,235500
IEML,2026-06-12,42.6,45.45,41.55,45.45,207500
IEML,2026-06-15,47.7,47.7,47.65,47.7,99500
IEML,2026-06-16,50.0,50.05,50.0,50.05,130000
IEML,2026-06-17,52.5,52.55,47.55,48.3,474000
IEML,2026-06-18,46.25,49.75,45.9,45.9,138000
IEML,2026-06-19,44.3,47.15,43.9,46.6,75000
IEML,2026-06-22,47.15,48.1,47.15,47.5,58500
IEML,2026-06-23,48.0,48.0,45.55,46.05,48500
IEML,2026-06-24,47.0,47.7,45.3,45.85,36500
IEML,2026-06-25,46.5,46.5,45.0,45.6,28500
IEML,2026-06-26,45.6,45.6,45.6,45.6,0
IEML,2026-06-29,47.75,47.75,43.55,46.3,105500
IEML,2026-06-30,46.1,46.5,44.5,45.6,39500
IEML,2026-07-01,45.6,45.6,43.35,43.55,56000
IEML,2026-07-02,43.55,44.75,43.0,43.95,17500
IEML,2026-07-03,43.0,44.5,41.8,42.35,93000
IEML,2026-07-06,42.3,43.25,42.3,43.0,22500
IEML,2026-07-07,45.0,45.0,43.2,44.35,39500
IEML,2026-07-08,43.1,43.8,42.15,42.2,42500
IEML,2026-07-09,42.95,42.95,41.95,42.25,9500
IEML,2026-07-10,42.75,43.55,41.85,42.65,22500
IEML,2026-07-13,43.0,43.35,40.75,43.05,53500
IEML,2026-07-14,41.55,43.45,41.55,41.75,17500
IEML,2026-07-15,41.65,41.65,39.7,40.5,85500
IEML,2026-07-16,40.5,42.5,40.5,41.7,24000
IEML,2026-07-17,40.95,41.95,40.0,40.45,36500
IEML,2026-07-20,40.45,42.45,40.3,42.45,57000
IEML,2026-07-21,44.0,44.25,42.3,43.9,42500
IEML,2026-07-22,43.9,44.05,42.0,42.25,30000
IEML,2026-07-23,41.05,43.15,41.05,42.05,9000
IEML,2026-07-24,42.5,42.7,40.55,41.95,13500
