symbol,date,open,high,low,close,volume
IFBAGRO,2025-07-24,807.45,815.15,760.0,780.75,7338
IFBAGRO,2025-07-25,777.0,815.1,766.5,804.5,11427
IFBAGRO,2025-07-28,830.0,836.9,804.2,833.55,13078
IFBAGRO,2025-07-29,875.2,875.2,875.2,875.2,9506
IFBAGRO,2025-07-30,918.9,918.95,871.0,918.95,46669
IFBAGRO,2025-07-31,900.0,929.0,891.0,919.3,11949
IFBAGRO,2025-08-01,920.0,925.0,873.35,873.35,5486
IFBAGRO,2025-08-04,836.5,895.0,829.7,836.25,3737
IFBAGRO,2025-08-05,842.0,850.0,795.0,804.75,4355
IFBAGRO,2025-08-06,805.0,844.95,803.0,840.5,5459
IFBAGRO,2025-08-07,812.0,849.7,798.55,811.7,4076
IFBAGRO,2025-08-08,811.0,812.1,771.15,775.8,5614
IFBAGRO,2025-08-11,775.8,781.0,741.0,764.2,1212
IFBAGRO,2025-08-12,788.4,790.4,760.0,774.9,810
IFBAGRO,2025-08-13,774.9,787.9,774.8,782.35,971
IFBAGRO,2025-08-14,783.0,792.4,752.2,774.2,937
IFBAGRO,2025-08-18,774.2,790.0,736.3,762.7,2854
IFBAGRO,2025-08-19,784.6,796.2,779.0,781.65,2240
IFBAGRO,2025-08-20,803.4,814.0,776.0,793.05,1950
IFBAGRO,2025-08-21,808.0,817.0,781.0,807.7,2431
IFBAGRO,2025-08-22,775.0,824.2,775.0,820.2,1435
IFBAGRO,2025-08-25,796.2,838.8,796.0,803.0,829
IFBAGRO,2025-08-26,803.0,814.9,790.1,797.5,451
IFBAGRO,2025-08-28,780.0,805.5,760.0,769.0,961
IFBAGRO,2025-08-29,775.0,775.8,750.0,750.0,1066
IFBAGRO,2025-09-01,750.0,777.0,735.0,770.5,640
IFBAGRO,2025-09-02,752.0,804.4,736.25,763.1,2555
IFBAGRO,2025-09-03,788.0,801.0,773.0,794.0,1834
IFBAGRO,2025-09-04,794.0,803.0,769.0,771.5,1765
IFBAGRO,2025-09-05,771.0,792.45,760.5,782.95,1953
IFBAGRO,2025-09-08,800.0,818.3,768.0,769.45,1461
IFBAGRO,2025-09-09,780.0,780.0,751.2,756.85,3770
IFBAGRO,2025-09-10,765.05,784.8,765.0,775.4,6775
IFBAGRO,2025-09-11,788.0,795.0,775.7,789.05,3467
IFBAGRO,2025-09-12,797.3,808.75,775.2,789.95,4261
IFBAGRO,2025-09-15,783.65,790.0,780.0,785.4,11490
IFBAGRO,2025-09-16,792.15,793.15,770.05,777.2,1413
IFBAGRO,2025-09-17,795.0,795.0,777.1,781.9,7330
IFBAGRO,2025-09-18,786.05,793.0,777.2,778.1,2219
IFBAGRO,2025-09-19,782.25,791.15,772.05,789.05,3400
IFBAGRO,2025-09-22,789.05,790.1,766.9,775.15,6224
IFBAGRO,2025-09-23,789.8,813.9,789.8,813.9,6304
IFBAGRO,2025-09-24,854.55,854.55,811.65,842.3,19853
IFBAGRO,2025-09-25,846.5,846.5,810.8,824.15,5388
IFBAGRO,2025-09-26,845.0,845.0,810.05,824.5,5983
IFBAGRO,2025-09-29,849.0,849.0,815.15,831.05,4071
