symbol,date,open,high,low,close,volume
IMPAL,2025-07-23,1092.1,1111.9,1083.5,1091.9,1924
IMPAL,2025-07-24,1103.0,1133.9,1074.2,1099.7,5857
IMPAL,2025-07-25,1100.7,1117.6,1081.1,1096.3,3061
IMPAL,2025-07-28,1105.5,1105.5,1058.1,1066.6,3301
IMPAL,2025-07-29,1058.1,1098.0,1052.8,1071.0,1461
IMPAL,2025-07-30,1068.0,1082.9,1046.0,1059.6,3176
IMPAL,2025-07-31,1053.2,1070.5,1044.0,1051.0,2625
IMPAL,2025-08-01,1059.9,1060.0,1025.5,1035.3,3627
IMPAL,2025-08-04,1046.0,1046.0,1011.2,1028.5,3579
IMPAL,2025-08-05,1035.8,1054.9,1033.1,1042.3,1898
IMPAL,2025-08-06,1039.7,1041.0,1026.0,1031.0,1445
IMPAL,2025-08-07,1031.0,1037.9,1022.0,1032.3,1284
IMPAL,2025-08-08,1035.4,1039.2,1028.0,1033.4,765
IMPAL,2025-08-11,1042.0,1050.7,1022.1,1028.0,2262
IMPAL,2025-08-12,1030.6,1048.5,1019.4,1042.3,1191
IMPAL,2025-08-13,1037.3,1057.3,1037.3,1045.4,979
IMPAL,2025-08-14,1036.7,1047.0,1022.6,1043.1,2131
IMPAL,2025-08-18,1045.0,1052.0,1030.0,1051.1,2456
IMPAL,2025-08-19,1035.1,1060.9,1031.1,1057.3,1451
IMPAL,2025-08-20,1056.0,1062.0,1050.2,1056.1,1616
IMPAL,2025-08-21,1062.0,1063.0,1050.5,1054.3,913
IMPAL,2025-08-22,1060.3,1060.3,1045.0,1049.4,756
IMPAL,2025-08-25,1046.0,1054.9,1031.9,1034.7,2358
IMPAL,2025-08-26,1033.8,1033.8,1001.2,1019.3,2108
IMPAL,2025-08-28,1028.0,1028.0,996.0,998.3,6264
IMPAL,2025-08-29,1006.5,1006.5,989.1,992.2,3852
IMPAL,2025-09-01,1000.5,1034.0,992.0,1025.55,1611
IMPAL,2025-09-02,1025.55,1036.0,986.0,1001.05,2522
IMPAL,2025-09-03,1013.3,1013.45,994.05,999.95,2505
IMPAL,2025-09-04,1007.7,1015.0,997.25,1004.85,2003
IMPAL,2025-09-05,1013.0,1022.0,1008.75,1017.0,781
IMPAL,2025-09-08,1024.9,1035.0,1007.1,1029.25,1071
IMPAL,2025-09-09,1028.3,1030.9,1006.05,1016.7,3514
IMPAL,2025-09-10,1011.0,1024.3,1009.0,1015.9,2419
IMPAL,2025-09-11,1022.4,1040.0,1014.05,1027.55,8285
IMPAL,2025-09-12,1032.75,1037.2,1017.0,1027.05,2000
IMPAL,2025-09-15,1033.1,1040.0,1008.1,1034.2,5654
IMPAL,2025-09-16,1034.85,1065.0,1028.85,1060.25,4328
IMPAL,2025-09-17,1044.75,1100.0,1039.55,1084.35,4097
IMPAL,2025-09-18,1084.35,1090.05,1068.0,1073.1,1016
IMPAL,2025-09-19,1082.0,1083.95,1034.9,1070.7,2156
IMPAL,2025-09-22,1077.2,1080.65,1064.05,1067.8,1231
IMPAL,2025-09-23,1079.0,1079.0,1050.0,1058.95,2005
IMPAL,2025-09-24,1064.0,1083.45,1058.35,1062.8,3500
IMPAL,2025-09-25,1071.5,1075.0,1045.6,1068.0,2209
IMPAL,2025-09-26,1055.05,1084.0,1041.25,1054.85,3157
IMPAL,2025-09-29,1065.5,1065.5,1043.25,1050.95,1409
IMPAL,2025-09-30,1059.5,1059.5,1046.75,1048.9,1315
IMPAL,2025-10-01,1049.8,1093.0,1042.7,1082.6,3069
IMPAL,2025-10-03,1085.0,1118.5,1076.0,1098.2,2582
IMPAL,2025-10-06,1108.5,1125.0,1080.3,1092.4,2181
IMPAL,2025-10-07,1095.3,1105.5,1067.2,1081.6,3096
IMPAL,2025-10-08,1081.6,1088.7,1070.0,1080.8,1315
IMPAL,2025-10-09,1089.3,1089.3,1074.6,1079.7,1281
IMPAL,2025-10-10,1080.1,1084.0,1061.0,1067.8,1105
IMPAL,2025-10-13,1060.0,1071.9,1036.0,1042.9,2076
IMPAL,2025-10-14,1048.8,1055.8,1041.2,1047.0,1354
IMPAL,2025-10-15,1052.3,1056.0,1030.3,1042.7,1799
IMPAL,2025-10-16,1043.8,1060.0,1028.4,1050.3,1471
IMPAL,2025-10-17,1059.0,1075.0,1048.1,1070.8,1365
IMPAL,2025-10-20,1070.8,1073.7,1049.5,1059.8,1264
IMPAL,2025-10-21,1068.4,1089.0,1062.2,1067.5,639
IMPAL,2025-10-23,1076.5,1078.5,1064.1,1071.9,1803
IMPAL,2025-10-24,1083.0,1083.0,1066.0,1076.2,1211
IMPAL,2025-10-27,1083.0,1089.0,1062.0,1078.8,2973
IMPAL,2025-10-28,1080.8,1120.0,1065.2,1097.6,6215
IMPAL,2025-10-29,1098.9,1101.6,1075.0,1082.3,2433
IMPAL,2025-10-30,1090.0,1108.4,1074.9,1077.1,4125
IMPAL,2025-10-31,1082.5,1095.0,1074.0,1080.5,2053
IMPAL,2025-11-03,1079.0,1087.9,1074.0,1075.2,2855
IMPAL,2025-11-04,1080.1,1083.7,1060.0,1066.7,5233
IMPAL,2025-11-06,1061.0,1068.9,1028.5,1042.4,4681
IMPAL,2025-11-07,1046.7,1079.9,1030.0,1069.3,3384
IMPAL,2025-11-10,1053.0,1079.8,1052.3,1058.9,878
IMPAL,2025-11-11,1065.0,1074.0,1053.6,1066.6,1178
IMPAL,2025-11-12,1075.5,1077.5,1045.0,1058.4,1033
IMPAL,2025-11-13,1045.0,1073.6,1045.0,1061.1,990
IMPAL,2025-11-14,1057.5,1065.7,1025.5,1046.0,2622
IMPAL,2025-11-17,1049.6,1060.6,1044.0,1048.2,1171
IMPAL,2025-11-18,1048.2,1053.9,1033.1,1035.6,3202
IMPAL,2025-11-19,1036.0,1045.4,1033.2,1035.4,1779
IMPAL,2025-11-20,1026.0,1052.8,1026.0,1035.4,3228
IMPAL,2025-11-21,1032.0,1043.8,1025.5,1031.5,2413
IMPAL,2025-11-24,1030.8,1052.0,1026.2,1042.3,1628
IMPAL,2025-11-25,1038.0,1049.8,1035.0,1045.7,2116
IMPAL,2025-11-26,1041.0,1060.0,1041.0,1049.1,1605
IMPAL,2025-11-27,1046.8,1055.3,1040.0,1048.0,1614
IMPAL,2025-11-28,1056.0,1056.0,1042.7,1046.4,461
IMPAL,2025-12-01,1046.1,1054.4,1028.1,1029.6,3748
IMPAL,2025-12-02,1030.2,1035.2,1025.1,1028.1,1299
IMPAL,2025-12-03,1020.1,1049.0,1020.1,1044.4,1727
IMPAL,2025-12-04,1053.6,1053.6,1020.1,1035.1,1827
IMPAL,2025-12-05,1041.6,1055.0,1024.0,1049.6,1659
IMPAL,2025-12-08,1044.6,1055.0,1020.0,1023.4,1698
IMPAL,2025-12-09,1018.3,1043.0,1015.9,1036.4,1254
IMPAL,2025-12-10,1023.9,1053.3,1023.9,1043.7,1692
IMPAL,2025-12-11,1035.9,1059.9,1034.0,1036.9,1981
IMPAL,2025-12-12,1027.0,1045.5,1024.3,1035.7,1655
IMPAL,2025-12-15,1040.0,1044.4,1034.2,1034.6,1298
IMPAL,2025-12-16,1043.5,1043.5,1028.0,1029.0,1044
IMPAL,2025-12-17,1028.3,1042.2,1026.2,1035.5,1221
IMPAL,2025-12-18,1038.0,1041.9,1022.2,1036.5,1325
IMPAL,2025-12-19,1038.3,1049.9,1035.9,1040.6,1324
IMPAL,2025-12-22,1016.0,1050.0,990.0,1028.6,13418
IMPAL,2025-12-23,1028.6,1049.0,1021.4,1047.9,4466
IMPAL,2025-12-24,1052.0,1052.0,1025.0,1037.4,2307
IMPAL,2025-12-26,1046.7,1046.7,1035.0,1040.5,1454
IMPAL,2025-12-29,1038.0,1049.0,1032.4,1040.7,963
IMPAL,2025-12-30,1050.9,1050.9,1020.0,1030.3,2878
IMPAL,2025-12-31,1010.0,1043.9,1010.0,1038.4,1195
IMPAL,2026-01-01,1037.1,1045.0,1034.2,1043.0,887
IMPAL,2026-01-02,1049.0,1049.0,1023.4,1042.6,2161
IMPAL,2026-01-05,1042.6,1050.0,1017.0,1025.0,3113
IMPAL,2026-01-06,1024.0,1028.4,992.5,1010.4,8139
IMPAL,2026-01-07,1010.0,1045.0,998.5,1009.9,6210
IMPAL,2026-01-08,1022.5,1028.5,1015.0,1019.2,1566
IMPAL,2026-01-09,1019.9,1023.3,1001.3,1011.8,1663
IMPAL,2026-01-12,1005.7,1012.0,997.3,1005.3,1345
IMPAL,2026-01-13,1005.3,1013.4,997.1,998.2,1539
IMPAL,2026-01-14,998.9,1018.9,981.1,1003.8,1693
IMPAL,2026-01-15,1003.8,1003.8,1003.8,1003.8,0
IMPAL,2026-01-16,1003.4,1010.0,990.0,997.6,1940
IMPAL,2026-01-19,990.0,1025.7,990.0,1007.4,3173
IMPAL,2026-01-20,1017.0,1017.0,991.1,1002.9,1891
IMPAL,2026-01-21,1004.0,1070.0,997.1,1032.3,6849
IMPAL,2026-01-22,1005.3,1059.8,1001.0,1046.8,6337
IMPAL,2026-01-23,1046.9,1128.1,1036.6,1072.9,14926
IMPAL,2026-01-27,1090.0,1091.8,1048.8,1073.4,12792
IMPAL,2026-01-28,1082.9,1095.5,1066.2,1087.3,10133
IMPAL,2026-01-29,1045.0,1100.0,1045.0,1092.7,13092
IMPAL,2026-01-30,1072.4,1091.0,1044.1,1086.5,10794
IMPAL,2026-02-02,1049.9,1080.0,1040.1,1067.4,5568
IMPAL,2026-02-03,1078.0,1089.8,1051.2,1083.4,2940
