symbol,date,open,high,low,close,volume
INDIANHUME,2025-07-23,433.4,439.2,428.25,434.5,33035
INDIANHUME,2025-07-24,437.0,437.0,423.65,428.35,21795
INDIANHUME,2025-07-25,426.8,428.35,420.2,424.95,22754
INDIANHUME,2025-07-28,427.0,435.7,407.3,409.65,39524
INDIANHUME,2025-07-29,415.0,418.8,408.0,411.2,27394
INDIANHUME,2025-07-30,414.8,430.15,411.95,419.6,67396
INDIANHUME,2025-07-31,417.9,418.7,406.35,409.55,27759
INDIANHUME,2025-08-01,411.8,428.5,406.5,408.0,39500
INDIANHUME,2025-08-04,412.5,420.25,407.1,417.3,16862
INDIANHUME,2025-08-05,417.8,417.8,401.05,403.25,46495
INDIANHUME,2025-08-06,404.2,408.0,395.3,404.35,27070
INDIANHUME,2025-08-07,404.35,405.4,396.0,402.1,17145
INDIANHUME,2025-08-08,412.0,412.0,392.05,394.95,27770
INDIANHUME,2025-08-11,395.0,397.0,383.0,387.6,27222
INDIANHUME,2025-08-12,387.6,390.7,363.0,367.25,85640
INDIANHUME,2025-08-13,362.3,384.5,357.0,381.5,96922
INDIANHUME,2025-08-14,383.5,383.5,365.65,368.25,42937
INDIANHUME,2025-08-18,369.85,374.9,368.0,370.9,47474
INDIANHUME,2025-08-19,371.0,395.0,369.8,392.85,55739
INDIANHUME,2025-08-20,390.4,391.05,385.3,387.6,13858
INDIANHUME,2025-08-21,389.8,390.05,381.2,382.8,9258
INDIANHUME,2025-08-22,382.05,384.0,378.0,378.45,14733
INDIANHUME,2025-08-25,378.45,382.8,368.15,369.85,28917
INDIANHUME,2025-08-26,369.85,378.0,367.0,374.95,21947
INDIANHUME,2025-08-28,376.8,376.8,364.1,368.1,21380
INDIANHUME,2025-08-29,365.85,373.7,357.0,359.85,69489
INDIANHUME,2025-09-01,361.95,375.4,361.9,372.6,36046
INDIANHUME,2025-09-02,370.1,397.5,370.1,388.35,71565
INDIANHUME,2025-09-03,395.4,409.0,387.05,403.0,143454
INDIANHUME,2025-09-04,407.85,408.95,395.5,398.9,32323
INDIANHUME,2025-09-05,395.15,402.4,379.45,383.25,56594
INDIANHUME,2025-09-08,384.2,395.8,380.0,381.1,22156
INDIANHUME,2025-09-09,384.7,387.35,376.25,381.85,24262
INDIANHUME,2025-09-10,381.85,393.95,381.05,391.6,22566
INDIANHUME,2025-09-11,393.9,393.9,383.05,384.8,13399
INDIANHUME,2025-09-12,386.0,387.9,378.4,383.75,37260
INDIANHUME,2025-09-15,385.8,388.85,381.75,387.15,19535
INDIANHUME,2025-09-16,387.15,393.4,385.7,387.0,22733
INDIANHUME,2025-09-17,389.2,397.0,386.9,393.7,39239
INDIANHUME,2025-09-18,395.0,396.9,385.5,386.6,17603
INDIANHUME,2025-09-19,384.3,389.2,380.2,381.85,19188
INDIANHUME,2025-09-22,382.15,386.8,376.0,378.55,20962
INDIANHUME,2025-09-23,378.0,380.6,376.65,378.0,8812
INDIANHUME,2025-09-24,376.4,384.25,374.5,375.45,18787
INDIANHUME,2025-09-25,373.35,379.95,368.65,369.95,16840
INDIANHUME,2025-09-26,369.95,371.65,362.75,366.6,16145
INDIANHUME,2025-09-29,366.6,370.35,349.1,355.05,31487
INDIANHUME,2025-09-30,355.0,363.15,354.9,358.9,13722
INDIANHUME,2025-10-01,360.65,368.8,358.9,366.7,14208
INDIANHUME,2025-10-03,363.7,375.7,363.65,373.95,17393
INDIANHUME,2025-10-06,375.95,375.95,363.05,364.8,15675
INDIANHUME,2025-10-07,367.1,372.0,365.0,367.75,14309
INDIANHUME,2025-10-08,367.75,369.7,361.6,364.95,12933
INDIANHUME,2025-10-09,363.0,366.9,357.9,359.6,11583
INDIANHUME,2025-10-10,361.45,364.8,357.4,359.15,9096
INDIANHUME,2025-10-13,359.15,360.95,352.85,354.5,14243
INDIANHUME,2025-10-14,354.5,356.5,343.2,346.1,23738
INDIANHUME,2025-10-15,346.1,350.0,339.35,342.65,33191
INDIANHUME,2025-10-16,343.0,352.0,343.0,349.25,12494
INDIANHUME,2025-10-17,349.8,356.85,346.05,354.55,48030
INDIANHUME,2025-10-20,357.7,359.8,348.65,350.7,58801
INDIANHUME,2025-10-21,351.05,360.0,351.05,354.95,6355
INDIANHUME,2025-10-23,353.0,358.0,347.05,348.0,14526
INDIANHUME,2025-10-24,349.2,349.9,344.4,347.1,11474
INDIANHUME,2025-10-27,348.45,356.8,343.1,352.55,23237
INDIANHUME,2025-10-28,356.1,356.25,347.5,348.25,17381
INDIANHUME,2025-10-29,349.65,369.0,348.4,365.65,35742
INDIANHUME,2025-10-30,369.35,369.9,363.8,365.0,16396
INDIANHUME,2025-10-31,361.4,367.0,357.0,358.05,6162
INDIANHUME,2025-11-03,359.5,367.7,359.45,364.75,17747
INDIANHUME,2025-11-04,360.4,364.5,358.1,359.85,3802
INDIANHUME,2025-11-06,357.85,369.0,350.65,354.5,19432
INDIANHUME,2025-11-07,349.1,354.85,349.1,351.4,9114
INDIANHUME,2025-11-10,353.3,375.8,353.25,373.6,76711
INDIANHUME,2025-11-11,382.0,400.45,371.0,373.0,191432
INDIANHUME,2025-11-12,376.0,386.0,369.9,380.4,47898
INDIANHUME,2025-11-13,381.8,382.75,368.3,370.45,22806
INDIANHUME,2025-11-14,368.15,389.2,368.15,382.35,60252
INDIANHUME,2025-11-17,382.35,390.0,376.65,387.5,41747
INDIANHUME,2025-11-18,389.9,389.9,380.1,381.05,15319
INDIANHUME,2025-11-19,381.45,385.4,376.1,382.25,22839
INDIANHUME,2025-11-20,382.1,384.3,376.4,378.75,17140
INDIANHUME,2025-11-21,377.75,381.2,375.4,376.5,9902
INDIANHUME,2025-11-24,376.55,379.2,372.95,374.65,21965
INDIANHUME,2025-11-25,372.8,386.75,372.8,382.3,54985
INDIANHUME,2025-11-26,384.9,397.8,382.3,395.65,64903
INDIANHUME,2025-11-27,403.35,408.15,394.1,396.95,76710
INDIANHUME,2025-11-28,399.5,405.45,394.55,396.8,26897
INDIANHUME,2025-12-01,397.35,421.35,397.35,412.25,101861
INDIANHUME,2025-12-02,415.0,416.3,404.9,411.4,44820
INDIANHUME,2025-12-03,414.3,414.3,403.25,409.6,27261
INDIANHUME,2025-12-04,407.0,409.05,399.45,403.0,19209
INDIANHUME,2025-12-05,398.95,409.0,396.55,406.95,19454
INDIANHUME,2025-12-08,406.95,409.8,387.9,392.55,57794
INDIANHUME,2025-12-09,388.4,409.55,383.1,405.9,51087
INDIANHUME,2025-12-10,405.6,410.25,405.0,408.15,22511
INDIANHUME,2025-12-11,408.0,409.9,404.1,406.95,15456
INDIANHUME,2025-12-12,406.0,429.0,406.0,412.45,74449
INDIANHUME,2025-12-15,414.25,414.25,407.55,411.45,11168
INDIANHUME,2025-12-16,415.0,415.05,401.0,404.4,21949
INDIANHUME,2025-12-17,405.8,406.75,391.35,398.65,14736
INDIANHUME,2025-12-18,398.05,404.75,392.65,404.05,15456
INDIANHUME,2025-12-19,404.8,404.8,398.0,400.0,20117
INDIANHUME,2025-12-22,403.2,417.5,402.65,416.35,37719
