symbol,date,open,high,low,close,volume
INDIGRID,2025-07-23,157.87,157.87,157.0,157.47,493792
INDIGRID,2025-07-24,157.01,157.99,157.01,157.49,448564
INDIGRID,2025-07-25,157.49,157.98,157.0,157.51,1304974
INDIGRID,2025-07-28,157.97,158.77,157.5,158.22,734415
INDIGRID,2025-07-29,155.0,158.0,155.0,156.45,2072914
INDIGRID,2025-07-30,155.7,156.5,155.15,156.08,576056
INDIGRID,2025-07-31,155.1,156.7,155.1,156.39,457547
INDIGRID,2025-08-01,156.99,156.99,156.0,156.37,165563
INDIGRID,2025-08-04,156.99,156.99,153.22,155.95,473920
INDIGRID,2025-08-05,155.6,156.95,155.13,156.32,610397
INDIGRID,2025-08-06,156.86,156.99,156.1,156.25,335544
INDIGRID,2025-08-07,156.25,156.93,155.5,155.86,562295
INDIGRID,2025-08-08,155.51,157.48,155.5,157.04,586249
INDIGRID,2025-08-11,156.34,159.49,156.34,156.88,715610
INDIGRID,2025-08-12,158.5,158.5,156.25,157.15,331396
INDIGRID,2025-08-13,158.39,158.39,157.3,158.09,309306
INDIGRID,2025-08-14,158.2,159.8,157.5,159.7,981083
INDIGRID,2025-08-18,160.0,160.0,159.0,159.5,1195267
INDIGRID,2025-08-19,160.0,160.0,159.15,159.87,1002312
INDIGRID,2025-08-20,159.99,160.0,159.0,159.99,1103187
INDIGRID,2025-08-21,160.0,160.0,158.75,159.2,676181
INDIGRID,2025-08-22,159.8,160.0,159.19,159.49,523545
INDIGRID,2025-08-25,159.89,160.0,159.7,159.97,1930982
INDIGRID,2025-08-26,160.39,163.89,159.26,161.06,1315694
INDIGRID,2025-08-28,162.47,162.47,159.35,161.46,1591640
INDIGRID,2025-08-29,161.88,165.47,161.88,164.34,1735984
INDIGRID,2025-09-01,165.48,166.97,163.75,164.49,1889304
INDIGRID,2025-09-02,165.0,165.0,164.02,164.4,1248709
INDIGRID,2025-09-03,165.4,166.0,164.4,165.22,1126035
INDIGRID,2025-09-04,166.4,166.4,165.11,165.49,776373
INDIGRID,2025-09-05,166.29,166.29,165.15,165.39,610263
INDIGRID,2025-09-08,165.39,165.39,165.39,165.39,0
INDIGRID,2025-09-09,165.39,165.39,165.39,165.39,0
INDIGRID,2025-09-10,165.39,165.39,165.39,165.39,0
INDIGRID,2025-09-11,170.65,170.65,168.05,168.49,1096207
INDIGRID,2025-09-12,169.4,169.9,167.51,167.89,878738
INDIGRID,2025-09-15,169.48,169.48,167.5,168.05,836137
INDIGRID,2025-09-16,169.0,169.0,167.9,168.6,1962811
INDIGRID,2025-09-17,168.99,169.0,168.11,168.49,1365954
INDIGRID,2025-09-18,168.94,168.98,167.51,167.81,313307
INDIGRID,2025-09-19,168.3,172.05,162.15,168.9,37601209
INDIGRID,2025-09-22,168.9,169.0,167.0,167.74,426675
INDIGRID,2025-09-23,167.01,168.25,165.9,166.77,362214
INDIGRID,2025-09-24,168.0,168.0,166.75,167.49,421290
INDIGRID,2025-09-25,168.89,168.89,167.25,167.88,251157
INDIGRID,2025-09-26,168.4,168.4,167.4,167.74,418901
INDIGRID,2025-09-29,168.25,168.5,167.32,167.45,374472
INDIGRID,2025-09-30,167.4,167.95,162.1,165.01,410184
INDIGRID,2025-10-01,165.1,168.56,165.1,168.16,561515
INDIGRID,2025-10-03,168.69,169.0,168.16,168.79,549611
INDIGRID,2025-10-06,168.17,169.19,167.96,168.5,306358
INDIGRID,2025-10-07,168.5,168.88,168.01,168.34,620509
INDIGRID,2025-10-08,168.85,168.85,168.0,168.49,986025
INDIGRID,2025-10-09,168.8,173.79,168.1,168.22,464719
INDIGRID,2025-10-10,168.7,168.99,168.22,168.69,271596
INDIGRID,2025-10-13,168.98,168.98,168.25,168.49,184899
INDIGRID,2025-10-14,168.77,169.5,168.53,168.93,493817
INDIGRID,2025-10-15,168.75,169.32,168.51,168.98,213724
