symbol,date,open,high,low,close,volume
INFOBEAN,2021-07-26,122.125,122.5,118.75,120.2375,50032
INFOBEAN,2021-07-27,122.0,126.2375,118.525,121.0,199828
INFOBEAN,2021-07-28,123.25,123.25,116.25,119.525,89908
INFOBEAN,2021-07-29,122.45,123.75,117.525,121.525,56880
INFOBEAN,2021-07-30,121.525,123.75,120.15,121.45,76368
INFOBEAN,2021-08-02,120.0,122.4875,116.25,118.2375,165944
INFOBEAN,2021-08-03,118.5,119.75,113.75,116.375,83492
INFOBEAN,2021-08-04,116.5,117.0,110.5625,110.5625,179044
INFOBEAN,2021-08-05,110.5625,110.5625,105.0375,105.0375,81060
INFOBEAN,2021-08-06,99.7875,110.2875,99.7875,104.775,265300
INFOBEAN,2021-08-09,105.5,109.675,102.275,104.3875,71248
INFOBEAN,2021-08-10,106.475,106.75,99.175,99.3875,145588
INFOBEAN,2021-08-11,94.5,99.225,94.425,94.425,108700
INFOBEAN,2021-08-12,90.0,99.1375,90.0,99.1375,247484
INFOBEAN,2021-08-13,103.75,103.75,94.1875,101.2125,130264
INFOBEAN,2021-08-16,101.2125,103.75,96.5375,98.6875,38480
INFOBEAN,2021-08-17,98.775,100.95,95.0,98.025,38336
INFOBEAN,2021-08-18,97.5,100.0,95.0,95.5,56400
INFOBEAN,2021-08-20,93.0,97.5,91.35,93.575,70660
INFOBEAN,2021-08-23,93.75,96.625,88.9,88.925,128504
INFOBEAN,2021-08-24,85.05,93.3625,84.4875,93.3625,93344
INFOBEAN,2021-08-25,97.7375,97.7375,92.5,95.8375,40016
INFOBEAN,2021-08-26,96.25,97.25,91.05,94.8625,57512
INFOBEAN,2021-08-27,96.7375,97.25,93.0,96.0875,48780
INFOBEAN,2021-08-30,96.25,99.75,94.0375,96.0125,37140
INFOBEAN,2021-08-31,95.125,98.6125,92.7625,96.325,36460
INFOBEAN,2021-09-01,99.7375,99.7375,95.5,97.725,22044
INFOBEAN,2021-09-02,97.725,99.5,96.25,96.6,33896
INFOBEAN,2021-09-03,97.5,98.75,91.775,92.7375,107816
INFOBEAN,2021-09-06,88.7625,92.5,88.75,91.4625,58360
INFOBEAN,2021-09-07,91.4625,93.5625,88.75,91.3,73748
INFOBEAN,2021-09-08,92.25,92.5,90.0,91.9875,32216
INFOBEAN,2021-09-09,91.0,93.0,90.0,91.8,55188
INFOBEAN,2021-09-13,91.8,94.2,87.75,90.6125,60108
INFOBEAN,2021-09-14,90.6125,92.55,90.0,91.0125,58352
INFOBEAN,2021-09-15,92.475,92.475,87.5,89.0625,145632
INFOBEAN,2021-09-16,90.875,93.5125,88.75,93.5125,107324
INFOBEAN,2021-09-17,98.1875,98.1875,94.025,96.375,94120
INFOBEAN,2021-09-20,94.0,95.5,92.0125,92.6625,59516
INFOBEAN,2021-09-21,90.0875,92.5,88.3,92.4875,70684
INFOBEAN,2021-09-22,90.025,95.975,90.025,94.875,56756
INFOBEAN,2021-09-23,95.5,95.5,92.75,94.025,48364
INFOBEAN,2021-09-24,93.75,97.5,92.5,94.05,55644
INFOBEAN,2021-09-27,96.9625,98.0,89.35,97.4625,104932
INFOBEAN,2021-09-28,97.4625,100.0,95.0,97.325,75668
INFOBEAN,2021-09-29,97.325,97.325,92.5,94.8125,43928
INFOBEAN,2021-09-30,96.25,96.75,93.0,94.825,41708
INFOBEAN,2021-10-01,94.3,97.4875,92.75,93.5375,70480
INFOBEAN,2021-10-04,95.4125,96.75,93.075,95.2,34200
INFOBEAN,2021-10-05,96.25,97.4625,95.0,95.5125,33800
