symbol,date,open,high,low,close,volume
ITC,1996-01-01,5.3442,5.3923,5.3281,5.3763,1023454
ITC,1996-01-02,5.2639,5.3602,5.0928,5.173,7757692
ITC,1996-01-03,4.943,5.0596,4.9119,5.0072,15744376
ITC,1996-01-04,5.0072,5.1345,4.9537,5.1013,12874964
ITC,1996-01-05,5.1013,5.0821,4.9965,5.0093,5201392
ITC,1996-01-08,5.0093,5.0446,4.8253,4.8552,13131996
ITC,1996-01-09,4.8552,4.9194,4.7985,4.8424,9313903
ITC,1996-01-10,4.8424,4.9216,4.7932,4.8263,3103076
ITC,1996-01-11,4.8263,4.8563,4.8039,4.852,2313287
ITC,1996-01-12,4.852,4.943,4.836,4.9002,4991093
ITC,1996-01-15,4.9002,4.9216,4.8413,4.8477,2098315
ITC,1996-01-16,4.8477,4.8798,4.8146,4.8328,3201216
ITC,1996-01-17,4.8328,4.8574,4.8167,4.8317,3196543
ITC,1996-01-18,4.8317,4.8124,4.7076,4.7718,5346264
ITC,1996-01-19,4.7718,4.7825,4.4562,4.5653,16749137
ITC,1996-01-22,4.5653,4.5985,4.4733,4.5332,4098491
ITC,1996-01-23,4.5332,4.5717,4.2154,4.2529,8253062
ITC,1996-01-24,4.2529,4.3117,3.9961,4.0689,16370599
ITC,1996-01-25,4.0689,4.0656,3.9907,4.0271,8454015
ITC,1996-01-26,4.0271,4.0271,4.0271,4.0271,0
ITC,1996-01-29,4.0271,4.3385,4.0132,4.2529,10010226
ITC,1996-01-30,4.2529,4.6423,4.2753,4.5182,16272460
ITC,1996-01-31,4.5182,4.4776,4.2946,4.3492,9968167
ITC,1996-02-01,4.3492,4.6862,4.3545,4.6199,13057223
ITC,1996-02-02,4.7065,5.2425,4.6648,5.1495,29264257
ITC,1996-02-05,5.1495,5.6705,5.1569,5.4127,19599855
ITC,1996-02-06,5.5207,5.5624,5.2115,5.3613,14655495
ITC,1996-02-07,5.2853,5.3923,5.1377,5.2821,14505949
ITC,1996-02-08,5.3495,5.8374,5.2853,5.8374,22801072
ITC,1996-02-09,5.8374,6.1594,5.8438,6.03,12650646
ITC,1996-02-12,6.1092,6.1092,5.7775,5.8406,14991973
ITC,1996-02-13,5.8406,6.0557,5.7775,5.9797,12169295
ITC,1996-02-14,6.0771,6.3445,6.0771,6.1659,9968167
ITC,1996-02-15,6.1659,6.398,6.0985,6.2269,17576313
ITC,1996-02-16,6.0771,6.2483,5.9273,6.0418,13356315
ITC,1996-02-19,6.0428,6.152,6.0343,6.0396,6140727
ITC,1996-02-20,6.0985,6.0985,5.6491,5.7743,10201832
ITC,1996-02-21,5.7743,5.7743,5.7743,5.7743,0
ITC,1996-02-22,5.7743,5.9904,5.9005,5.9155,3355435
ITC,1996-02-23,5.9155,5.9273,5.7582,5.8395,3290009
ITC,1996-02-26,5.8395,5.9915,5.7796,5.8535,4392909
ITC,1996-02-27,5.8535,5.9166,5.7989,5.8353,4603208
ITC,1996-02-28,5.8353,5.9883,5.7775,5.8021,3341415
ITC,1996-02-29,5.8021,5.7775,5.3506,5.4362,8482054
ITC,1996-03-01,5.4362,5.5849,5.3955,5.5293,7145488
ITC,1996-03-04,5.5293,5.617,5.4779,5.5517,6318313
ITC,1996-03-05,5.5517,5.5517,5.5517,5.5517,0
ITC,1996-03-06,5.5517,5.5656,5.4351,5.5453,4112511
ITC,1996-03-07,5.5453,5.6063,5.4469,5.4758,4621902
ITC,1996-03-08,5.4758,5.4137,5.3067,5.3955,5682743
ITC,1996-03-11,5.3955,5.3677,5.2008,5.2479,4832200
ITC,1996-03-12,5.2479,5.2425,5.0724,5.096,4276077
ITC,1996-03-13,5.096,5.5207,5.1163,5.5004,9285863
ITC,1996-03-14,5.5207,5.6491,5.4148,5.464,13019837
ITC,1996-03-15,5.464,5.4993,5.3816,5.3987,14347057
ITC,1996-03-18,5.1141,5.1741,4.9751,5.0211,17903444
ITC,1996-03-19,4.9644,5.1141,4.8189,4.9002,16001408
ITC,1996-03-20,4.9002,4.9002,4.9002,4.9002,0
ITC,1996-03-21,4.943,5.1462,4.943,5.0382,11290713
ITC,1996-03-22,5.0382,5.0072,4.622,4.7525,22702932
ITC,1996-03-25,4.6006,4.6006,4.301,4.4315,57836865
