symbol,date,open,high,low,close,volume
IZMO,2021-07-26,113.4,117.05,112.4,117.05,181739
IZMO,2021-07-27,122.9,122.9,122.9,122.9,104675
IZMO,2021-07-28,129.0,129.0,120.0,128.95,1370580
IZMO,2021-07-29,133.3,135.35,131.0,135.35,191707
IZMO,2021-07-30,142.1,142.1,142.1,142.1,33381
IZMO,2021-08-02,149.2,149.2,135.0,135.0,729942
IZMO,2021-08-03,128.25,133.0,128.25,128.25,412952
IZMO,2021-08-04,123.7,127.75,121.85,121.85,356626
IZMO,2021-08-05,115.8,118.0,115.8,115.8,460169
IZMO,2021-08-06,112.2,120.8,112.2,118.8,430222
IZMO,2021-08-09,119.7,122.9,112.9,114.85,205093
IZMO,2021-08-10,115.5,115.65,109.15,109.15,128034
IZMO,2021-08-11,107.0,111.6,103.7,103.7,370303
IZMO,2021-08-12,103.9,108.85,101.8,108.85,234248
IZMO,2021-08-13,112.9,112.9,104.0,106.3,208695
IZMO,2021-08-16,101.0,104.9,101.0,101.15,127682
IZMO,2021-08-17,102.4,106.2,96.75,105.9,308794
IZMO,2021-08-18,105.8,107.3,101.0,103.3,80185
IZMO,2021-08-20,102.0,104.95,98.15,98.55,77089
IZMO,2021-08-23,96.7,103.35,93.65,93.65,63854
IZMO,2021-08-24,91.15,97.85,89.0,96.85,141498
IZMO,2021-08-25,99.75,99.75,93.1,93.65,57942
IZMO,2021-08-26,93.7,98.3,93.5,98.3,68368
IZMO,2021-08-27,101.6,101.6,96.1,99.2,109978
IZMO,2021-08-30,101.8,103.4,99.2,101.95,59598
IZMO,2021-08-31,102.7,102.75,98.9,99.35,39619
IZMO,2021-09-01,97.05,99.3,95.4,96.0,47667
IZMO,2021-09-02,96.0,100.8,95.55,100.65,104443
IZMO,2021-09-03,101.0,101.45,97.3,98.45,68021
IZMO,2021-09-06,102.5,102.5,97.2,97.6,45347
IZMO,2021-09-07,100.85,100.85,95.8,96.9,31932
IZMO,2021-09-08,97.05,99.5,95.9,96.45,31630
IZMO,2021-09-09,99.0,101.25,95.5,97.5,184933
IZMO,2021-09-13,99.8,99.8,95.15,96.05,67297
IZMO,2021-09-14,97.9,97.9,93.5,95.65,65022
IZMO,2021-09-15,95.65,98.9,95.1,97.65,70646
IZMO,2021-09-16,98.0,98.85,97.0,97.65,38052
IZMO,2021-09-17,99.2,99.2,94.1,95.9,60375
IZMO,2021-09-20,99.45,99.45,92.0,93.1,64371
IZMO,2021-09-21,92.0,95.0,89.45,90.9,70383
IZMO,2021-09-22,91.7,95.4,90.9,95.25,51726
IZMO,2021-09-23,97.0,97.75,94.3,94.6,38938
IZMO,2021-09-24,94.0,96.45,93.05,93.65,19069
IZMO,2021-09-27,94.0,96.5,90.05,93.3,41003
IZMO,2021-09-28,92.05,93.8,90.55,91.05,51453
IZMO,2021-09-29,92.6,95.0,89.5,92.1,42762
IZMO,2021-09-30,94.0,94.0,90.8,91.6,33298
IZMO,2021-10-01,91.0,93.5,90.05,90.55,55129
IZMO,2021-10-04,92.6,93.5,91.0,91.5,34404
IZMO,2021-10-05,92.0,96.05,92.0,96.05,70129
IZMO,2021-10-06,99.35,100.85,95.45,96.65,139058
IZMO,2021-10-07,99.5,99.9,96.45,97.5,74572
IZMO,2021-10-08,98.85,98.85,96.05,96.9,52497
IZMO,2021-10-11,98.35,99.25,96.05,96.25,62349
