symbol,date,open,high,low,close,volume
JAGSNPHARM,2021-07-26,67.12,69.96,66.04,68.62,312785
JAGSNPHARM,2021-07-27,68.8,75.04,68.34,72.34,1441992
JAGSNPHARM,2021-07-28,72.94,73.4,69.4,70.9,506832
JAGSNPHARM,2021-07-29,70.88,71.66,69.52,69.7,159747
JAGSNPHARM,2021-07-30,70.16,73.88,70.16,71.74,390275
JAGSNPHARM,2021-08-02,72.0,81.56,71.82,77.78,1374185
JAGSNPHARM,2021-08-03,77.6,81.46,75.42,77.88,736547
JAGSNPHARM,2021-08-04,78.12,78.48,72.82,73.48,395792
JAGSNPHARM,2021-08-05,73.48,77.08,70.04,74.66,359175
JAGSNPHARM,2021-08-06,75.2,76.8,74.0,74.38,118970
JAGSNPHARM,2021-08-09,74.94,75.84,72.32,72.6,123955
JAGSNPHARM,2021-08-10,73.54,73.66,66.52,70.94,333712
JAGSNPHARM,2021-08-11,70.94,73.08,66.0,71.38,580760
JAGSNPHARM,2021-08-12,71.9,73.96,71.32,72.6,143210
JAGSNPHARM,2021-08-13,72.98,75.3,70.54,71.2,183925
JAGSNPHARM,2021-08-16,72.28,73.36,68.54,69.02,338882
JAGSNPHARM,2021-08-17,69.02,70.56,67.16,67.54,193872
JAGSNPHARM,2021-08-18,67.96,68.72,63.24,64.2,288367
JAGSNPHARM,2021-08-20,62.92,65.96,59.6,60.06,300555
JAGSNPHARM,2021-08-23,61.0,63.18,53.42,54.94,496130
JAGSNPHARM,2021-08-24,55.92,59.92,54.8,59.44,378122
JAGSNPHARM,2021-08-25,61.38,62.0,59.32,61.42,207957
JAGSNPHARM,2021-08-26,62.0,63.0,61.4,61.56,130800
JAGSNPHARM,2021-08-27,61.98,62.78,59.3,60.5,142580
JAGSNPHARM,2021-08-30,60.8,62.32,60.2,60.82,82585
JAGSNPHARM,2021-08-31,61.36,61.92,59.52,60.02,84477
JAGSNPHARM,2021-09-01,60.0,60.18,58.3,58.46,108905
JAGSNPHARM,2021-09-02,58.4,59.76,58.2,59.2,85807
JAGSNPHARM,2021-09-03,59.78,59.78,57.24,57.82,157532
JAGSNPHARM,2021-09-06,58.16,58.56,55.6,56.62,148745
JAGSNPHARM,2021-09-07,57.92,57.92,56.0,56.36,93330
JAGSNPHARM,2021-09-08,56.68,57.36,55.82,56.48,95827
JAGSNPHARM,2021-09-09,56.4,67.76,55.72,67.46,2568570
JAGSNPHARM,2021-09-13,67.8,70.4,64.06,66.08,1026692
JAGSNPHARM,2021-09-14,65.88,67.88,64.52,65.14,204172
JAGSNPHARM,2021-09-15,65.56,65.94,63.24,63.96,184467
JAGSNPHARM,2021-09-16,64.16,64.16,62.4,63.16,150962
JAGSNPHARM,2021-09-17,63.78,69.38,63.6,64.6,616130
JAGSNPHARM,2021-09-20,63.6,65.3,61.28,62.06,156742
JAGSNPHARM,2021-09-21,63.0,63.12,59.3,61.04,177835
JAGSNPHARM,2021-09-22,61.64,62.54,60.8,61.68,76945
JAGSNPHARM,2021-09-23,62.36,63.46,60.84,61.6,82582
JAGSNPHARM,2021-09-24,62.38,62.38,60.0,60.58,70255
JAGSNPHARM,2021-09-27,61.0,61.8,59.28,59.82,95495
JAGSNPHARM,2021-09-28,60.16,68.96,60.16,63.66,1258167
JAGSNPHARM,2021-09-29,63.2,63.96,62.1,63.38,152402
JAGSNPHARM,2021-09-30,63.8,65.92,62.0,62.54,232480
JAGSNPHARM,2021-10-01,62.0,63.38,61.84,62.24,100317
JAGSNPHARM,2021-10-04,62.48,63.86,61.26,61.72,213797
JAGSNPHARM,2021-10-05,62.0,62.18,61.2,61.56,109715
