symbol,date,open,high,low,close,volume
JAYSREETEA,2002-07-01,26.5,26.85,26.325,26.85,8960
JAYSREETEA,2002-07-02,27.45,28.15,26.55,27.05,33478
JAYSREETEA,2002-07-03,26.275,26.9,26.0,26.375,6916
JAYSREETEA,2002-07-04,26.5,26.95,26.0,26.15,12110
JAYSREETEA,2002-07-05,26.75,26.75,26.0,26.075,4468
JAYSREETEA,2002-07-08,26.25,26.825,25.75,26.225,6630
JAYSREETEA,2002-07-09,26.525,26.575,25.775,26.45,23268
JAYSREETEA,2002-07-10,25.8,26.025,25.625,25.75,4790
JAYSREETEA,2002-07-11,24.525,25.975,24.525,25.075,5934
JAYSREETEA,2002-07-12,25.125,25.125,23.5,23.7,6052
JAYSREETEA,2002-07-15,24.7,24.7,23.5,23.525,1020
JAYSREETEA,2002-07-16,24.9,24.9,23.75,23.85,2360
JAYSREETEA,2002-07-17,24.0,24.0,23.25,23.325,3332
JAYSREETEA,2002-07-18,23.125,23.675,22.825,23.4,2928
JAYSREETEA,2002-07-19,23.0,23.35,22.825,23.35,3100
JAYSREETEA,2002-07-22,22.8,22.8,22.0,22.05,3910
JAYSREETEA,2002-07-23,22.575,22.575,21.4,22.425,1882
JAYSREETEA,2002-07-24,22.575,22.575,21.75,21.775,1490
JAYSREETEA,2002-07-25,22.0,22.0,21.925,22.0,1200
JAYSREETEA,2002-07-26,21.125,21.5,21.0,21.0,1800
JAYSREETEA,2002-07-29,20.55,20.625,20.55,20.575,800
JAYSREETEA,2002-07-30,21.0,21.1,20.775,20.9,1780
JAYSREETEA,2002-07-31,21.25,21.25,20.5,20.5,600
JAYSREETEA,2002-08-01,21.15,21.15,21.15,21.15,150
JAYSREETEA,2002-08-02,20.5,21.225,20.05,20.35,3096
JAYSREETEA,2002-08-05,18.8,21.225,18.775,20.65,1280
JAYSREETEA,2002-08-06,20.525,21.25,20.525,21.25,2426
JAYSREETEA,2002-08-07,21.375,21.375,21.1,21.1,840
JAYSREETEA,2002-08-08,20.4,20.75,20.4,20.4,2800
JAYSREETEA,2002-08-09,20.5,20.925,19.55,20.425,3098
JAYSREETEA,2002-08-12,21.125,21.125,20.7,20.7,300
JAYSREETEA,2002-08-13,20.7,20.7,20.7,20.7,0
JAYSREETEA,2002-08-14,20.275,20.875,20.275,20.875,1250
JAYSREETEA,2002-08-15,20.875,20.875,20.875,20.875,0
JAYSREETEA,2002-08-16,21.3,21.35,20.5,20.55,1100
JAYSREETEA,2002-08-19,20.95,20.95,20.3,20.625,760
JAYSREETEA,2002-08-20,20.5,20.975,20.425,20.975,1406
JAYSREETEA,2002-08-21,20.575,20.875,20.575,20.725,670
JAYSREETEA,2002-08-22,20.7,20.7,20.5,20.5,1200
JAYSREETEA,2002-08-23,20.375,20.675,20.375,20.375,2250
JAYSREETEA,2002-08-26,20.5,20.5,20.25,20.325,1400
JAYSREETEA,2002-08-27,20.25,20.475,20.05,20.075,1300
JAYSREETEA,2002-08-28,20.375,20.375,19.75,20.0,2600
