symbol,date,open,high,low,close,volume
JENBURPH,2026-08-18,1065.0,1073.9,1040.2,1047.3,327
JENBURPH,2026-08-19,1064.0,1064.9,1045.0,1054.4,450
JENBURPH,2026-08-20,1050.2,1059.9,1045.0,1045.5,1147
JENBURPH,2026-08-21,1042.7,1048.0,1027.0,1028.5,1103
JENBURPH,2026-08-24,1042.6,1049.0,1010.0,1043.8,2162
JENBURPH,2026-08-25,1069.9,1069.9,1037.8,1046.2,2829
JENBURPH,2026-08-26,1067.9,1067.9,1050.1,1050.1,384
JENBURPH,2026-08-27,1056.0,1056.0,1026.6,1032.8,665
JENBURPH,2026-08-28,1031.0,1055.0,1030.1,1048.0,501
JENBURPH,2026-08-31,1053.2,1064.0,1026.1,1043.4,54
