symbol,date,open,high,low,close,volume
JKTYRE,2021-07-26,143.0,143.6,140.7,141.5,491821
JKTYRE,2021-07-27,142.3,143.5,140.05,141.1,592153
JKTYRE,2021-07-28,141.05,141.45,136.6,139.5,721769
JKTYRE,2021-07-29,140.6,142.2,139.4,140.75,1613720
JKTYRE,2021-07-30,141.0,149.5,140.2,148.4,3434772
JKTYRE,2021-08-02,150.6,151.5,145.5,146.4,4478809
JKTYRE,2021-08-03,146.9,159.7,146.1,158.15,15882121
JKTYRE,2021-08-04,159.0,164.8,155.4,157.25,13118098
JKTYRE,2021-08-05,157.0,163.9,152.15,162.05,9009134
JKTYRE,2021-08-06,162.1,166.25,158.65,160.95,6908542
JKTYRE,2021-08-09,158.0,158.0,151.0,152.05,4290061
JKTYRE,2021-08-10,152.05,153.95,143.0,145.45,3473635
JKTYRE,2021-08-11,146.0,146.7,138.8,144.8,2686525
JKTYRE,2021-08-12,145.6,161.0,145.6,157.45,4615566
JKTYRE,2021-08-13,160.45,162.8,158.2,161.35,4516088
JKTYRE,2021-08-16,161.85,161.9,157.25,159.25,2070892
JKTYRE,2021-08-17,159.2,161.9,156.35,160.3,2225784
JKTYRE,2021-08-18,160.8,160.8,157.5,158.05,1184597
JKTYRE,2021-08-20,154.0,157.0,146.05,148.7,1751058
JKTYRE,2021-08-23,150.2,153.15,139.0,141.15,1774503
JKTYRE,2021-08-24,142.65,151.25,141.05,147.8,2642969
JKTYRE,2021-08-25,147.5,148.0,143.5,144.45,1171673
JKTYRE,2021-08-26,144.35,148.0,143.5,144.25,1090615
JKTYRE,2021-08-27,145.05,146.2,144.05,144.95,659719
JKTYRE,2021-08-30,144.95,147.75,144.65,145.85,693192
JKTYRE,2021-08-31,145.95,147.6,144.6,145.25,618374
JKTYRE,2021-09-01,146.0,146.05,143.5,144.1,564056
JKTYRE,2021-09-02,144.0,147.0,144.0,145.05,960245
JKTYRE,2021-09-03,145.85,156.7,145.4,155.35,5063126
JKTYRE,2021-09-06,156.25,158.55,155.4,157.35,2226118
JKTYRE,2021-09-07,157.2,157.2,153.15,155.0,1205808
JKTYRE,2021-09-08,155.5,155.5,152.4,152.8,585759
JKTYRE,2021-09-09,153.6,156.5,153.0,154.05,1072270
JKTYRE,2021-09-13,153.95,153.95,150.05,150.45,621397
JKTYRE,2021-09-14,151.85,157.95,150.95,156.4,1846514
JKTYRE,2021-09-15,157.5,159.85,155.5,156.6,1223953
JKTYRE,2021-09-16,155.5,156.8,153.4,153.95,618698
JKTYRE,2021-09-17,154.0,156.7,149.3,153.4,1048744
JKTYRE,2021-09-20,149.75,153.75,149.1,149.7,594550
JKTYRE,2021-09-21,149.7,150.9,146.55,149.0,553327
JKTYRE,2021-09-22,150.2,156.95,150.2,155.4,2001517
JKTYRE,2021-09-23,156.65,161.0,152.0,155.75,2217394
JKTYRE,2021-09-24,156.7,157.1,152.5,153.0,655581
JKTYRE,2021-09-27,153.0,154.6,150.5,150.95,1015033
JKTYRE,2021-09-28,151.75,152.7,148.3,149.1,754423
JKTYRE,2021-09-29,148.95,150.85,145.65,149.9,961197
JKTYRE,2021-09-30,150.8,152.0,149.85,150.4,456954
JKTYRE,2021-10-01,150.2,150.2,148.4,148.9,508984
JKTYRE,2021-10-04,149.6,151.1,149.5,149.75,544871
JKTYRE,2021-10-05,150.0,151.5,149.55,149.85,601567
JKTYRE,2021-10-06,150.6,153.7,146.6,147.35,1504978
JKTYRE,2021-10-07,148.8,152.9,148.25,149.35,1080397
JKTYRE,2021-10-08,150.45,153.15,149.25,152.25,1379903
JKTYRE,2021-10-11,153.2,157.6,152.2,153.0,2464418
JKTYRE,2021-10-12,153.65,154.2,150.65,151.3,935788
JKTYRE,2021-10-13,152.5,153.95,150.1,151.1,960845
JKTYRE,2021-10-14,152.2,153.0,150.7,151.7,853580
