symbol,date,open,high,low,close,volume
JMA,2025-07-22,95.8,95.8,93.91,93.99,4951
JMA,2025-07-23,92.5,94.0,90.15,91.64,13223
JMA,2025-07-24,91.66,94.0,91.66,92.77,10435
JMA,2025-07-25,93.1,93.43,90.15,90.89,8703
JMA,2025-07-28,91.1,92.29,90.25,90.48,1744
JMA,2025-07-29,90.87,95.98,90.67,94.49,9585
JMA,2025-07-30,95.0,95.0,92.02,92.52,6444
JMA,2025-07-31,92.15,93.79,92.0,92.08,4435
JMA,2025-08-01,93.19,93.19,91.01,92.04,9350
JMA,2025-08-04,92.36,92.99,88.99,91.84,10910
JMA,2025-08-05,90.65,92.26,88.01,89.41,15413
JMA,2025-08-06,91.0,91.2,89.5,90.3,8029
JMA,2025-08-07,91.4,91.4,89.0,89.95,8059
JMA,2025-08-08,91.7,91.7,89.76,90.7,2120
JMA,2025-08-11,90.0,92.64,86.3,87.2,19035
JMA,2025-08-12,88.12,93.0,88.12,90.87,7235
JMA,2025-08-13,92.74,92.74,87.01,87.64,9893
JMA,2025-08-14,88.94,89.03,86.6,87.2,9658
JMA,2025-08-18,88.0,90.74,86.11,87.01,17000
JMA,2025-08-19,89.9,90.0,88.0,89.11,8650
JMA,2025-08-20,89.5,96.58,88.85,94.06,56191
JMA,2025-08-21,94.09,94.09,90.22,90.77,12922
JMA,2025-08-22,92.0,92.11,89.12,91.57,8231
JMA,2025-08-25,92.5,92.5,88.76,89.51,4044
JMA,2025-08-26,89.5,90.3,88.61,89.52,3846
JMA,2025-08-28,91.5,91.5,86.0,86.97,7085
JMA,2025-08-29,88.23,90.0,86.2,87.69,5665
JMA,2025-09-01,88.0,89.7,86.06,87.68,6219
JMA,2025-09-02,88.34,88.99,87.41,87.55,3999
JMA,2025-09-03,89.3,91.99,89.29,90.29,5225
JMA,2025-09-04,91.9,91.98,90.01,91.04,9292
JMA,2025-09-05,90.82,93.8,88.81,92.13,11119
JMA,2025-09-08,92.1,92.47,90.02,91.77,4575
JMA,2025-09-09,92.79,92.79,90.2,90.5,3124
JMA,2025-09-10,91.99,92.11,87.0,88.29,17158
JMA,2025-09-11,89.01,90.0,87.1,87.89,7165
JMA,2025-09-12,89.0,90.0,88.3,89.28,6707
JMA,2025-09-15,90.0,91.5,89.72,90.93,8351
JMA,2025-09-16,92.8,95.7,91.17,94.3,74847
JMA,2025-09-17,94.3,96.2,92.1,94.53,51862
JMA,2025-09-18,95.7,95.7,93.59,93.92,11280
JMA,2025-09-19,92.25,94.24,90.0,91.32,11490
JMA,2025-09-22,91.32,94.0,90.87,91.79,7482
JMA,2025-09-23,93.96,93.96,90.52,92.21,8340
JMA,2025-09-24,93.8,93.8,90.5,91.09,4542
JMA,2025-09-25,90.5,92.7,90.0,91.51,3780
JMA,2025-09-26,93.0,93.0,90.0,90.74,4900
JMA,2025-09-29,90.74,90.74,89.01,89.91,3296
JMA,2025-09-30,91.71,92.8,89.1,90.63,4819
JMA,2025-10-01,91.8,92.0,90.4,91.96,4579
JMA,2025-10-03,90.15,92.0,89.0,90.04,4094
JMA,2025-10-06,91.69,91.69,90.0,90.3,2445
JMA,2025-10-07,91.98,91.98,85.88,87.35,17340
JMA,2025-10-08,88.79,90.95,88.59,90.01,7313
JMA,2025-10-09,91.98,91.98,87.0,88.63,15183
JMA,2025-10-10,91.0,91.0,88.63,89.36,2654
JMA,2025-10-13,90.8,90.8,88.0,88.93,4274
JMA,2025-10-14,90.49,97.46,90.03,93.49,152758
JMA,2025-10-15,94.0,97.5,93.89,94.42,41392
JMA,2025-10-16,94.89,96.78,90.8,92.88,20807
JMA,2025-10-17,93.98,96.5,87.42,89.53,37741
JMA,2025-10-20,90.8,92.0,89.0,91.0,5851
JMA,2025-10-21,90.0,92.75,89.99,91.54,4073
JMA,2025-10-23,93.0,93.0,88.35,89.84,10063
