symbol,date,open,high,low,close,volume
JTEKTINDIA,2021-07-26,110.2,112.35,108.3,109.0,184355
JTEKTINDIA,2021-07-27,109.85,111.85,108.0,108.95,209140
JTEKTINDIA,2021-07-28,110.45,114.65,108.05,111.75,710166
JTEKTINDIA,2021-07-29,112.95,125.5,111.5,123.3,4837878
JTEKTINDIA,2021-07-30,124.4,127.0,117.2,118.6,2015149
JTEKTINDIA,2021-08-02,119.7,119.85,116.75,117.55,360846
JTEKTINDIA,2021-08-03,118.0,132.9,116.65,125.35,10206470
JTEKTINDIA,2021-08-04,123.85,125.2,118.5,119.75,1427222
JTEKTINDIA,2021-08-05,120.5,120.5,114.0,115.15,842657
JTEKTINDIA,2021-08-06,115.45,118.25,114.5,115.4,612844
JTEKTINDIA,2021-08-09,115.6,119.3,115.55,116.5,579618
JTEKTINDIA,2021-08-10,117.05,117.05,106.55,108.8,800356
JTEKTINDIA,2021-08-11,109.45,110.0,101.65,105.9,804510
JTEKTINDIA,2021-08-12,106.0,114.05,106.0,111.15,993491
JTEKTINDIA,2021-08-13,107.7,114.0,106.25,108.45,926717
JTEKTINDIA,2021-08-16,108.5,110.75,106.3,106.95,304619
JTEKTINDIA,2021-08-17,107.55,110.35,105.6,107.7,424104
JTEKTINDIA,2021-08-18,108.3,108.8,104.0,106.15,374925
JTEKTINDIA,2021-08-20,106.0,106.0,102.5,103.2,265580
JTEKTINDIA,2021-08-23,104.05,106.0,97.15,99.25,700078
JTEKTINDIA,2021-08-24,100.0,103.6,98.5,100.85,368836
JTEKTINDIA,2021-08-25,101.75,106.5,101.1,102.3,473462
JTEKTINDIA,2021-08-26,102.95,103.95,100.4,101.1,319087
JTEKTINDIA,2021-08-27,101.5,103.7,100.9,102.6,264771
JTEKTINDIA,2021-08-30,103.35,106.9,102.85,105.25,380099
JTEKTINDIA,2021-08-31,105.95,107.0,102.25,103.1,196856
JTEKTINDIA,2021-09-01,103.5,104.0,101.85,102.3,136725
JTEKTINDIA,2021-09-02,102.8,104.5,102.55,103.05,136564
JTEKTINDIA,2021-09-03,103.5,105.05,102.65,103.0,143017
JTEKTINDIA,2021-09-06,103.9,106.25,102.25,103.45,281498
JTEKTINDIA,2021-09-07,103.95,104.55,101.1,101.75,199932
JTEKTINDIA,2021-09-08,102.45,102.5,99.75,100.25,199497
JTEKTINDIA,2021-09-09,100.25,102.25,99.95,101.15,169802
