symbol,date,open,high,low,close,volume
KALYANIFRG,2025-07-23,754.95,778.0,735.0,741.4,2696
KALYANIFRG,2025-07-24,711.0,754.95,711.0,747.05,2012
KALYANIFRG,2025-07-25,757.9,757.9,731.0,738.75,1358
KALYANIFRG,2025-07-28,738.75,747.05,709.45,716.7,1271
KALYANIFRG,2025-07-29,703.0,723.9,703.0,711.25,1338
KALYANIFRG,2025-07-30,735.0,736.0,713.55,732.35,764
KALYANIFRG,2025-07-31,730.0,730.0,695.75,705.3,1420
KALYANIFRG,2025-08-01,738.0,738.0,690.3,698.0,1186
KALYANIFRG,2025-08-04,698.3,714.95,691.0,696.3,4337
KALYANIFRG,2025-08-05,706.0,709.0,699.05,704.95,777
KALYANIFRG,2025-08-06,727.0,727.0,700.05,702.55,996
KALYANIFRG,2025-08-07,710.65,715.0,685.0,704.0,1373
KALYANIFRG,2025-08-08,689.55,726.5,689.55,691.6,1293
KALYANIFRG,2025-08-11,698.0,718.0,691.55,701.9,2852
KALYANIFRG,2025-08-12,730.0,744.0,706.55,731.9,2616
KALYANIFRG,2025-08-13,731.9,746.5,714.35,734.6,1392
KALYANIFRG,2025-08-14,705.05,724.45,691.45,700.05,4454
KALYANIFRG,2025-08-18,714.95,714.95,695.2,702.85,2218
KALYANIFRG,2025-08-19,721.9,721.95,705.05,712.25,1959
KALYANIFRG,2025-08-20,720.0,720.0,696.05,699.6,1403
KALYANIFRG,2025-08-21,709.7,719.95,706.0,708.15,505
KALYANIFRG,2025-08-22,719.95,719.95,701.65,704.9,851
KALYANIFRG,2025-08-25,705.6,712.6,696.1,698.55,871
KALYANIFRG,2025-08-26,698.5,702.7,695.0,697.6,702
KALYANIFRG,2025-08-28,697.6,717.0,649.95,653.9,7467
KALYANIFRG,2025-08-29,702.0,702.0,660.1,672.25,2383
KALYANIFRG,2025-09-01,686.15,694.35,677.85,683.35,1297
KALYANIFRG,2025-09-02,687.95,687.95,676.0,685.0,777
KALYANIFRG,2025-09-03,681.8,689.15,679.0,680.95,690
KALYANIFRG,2025-09-04,694.9,710.0,681.9,700.25,2421
KALYANIFRG,2025-09-05,703.75,720.0,700.05,715.85,1111
KALYANIFRG,2025-09-08,730.0,730.0,711.05,718.25,816
KALYANIFRG,2025-09-09,734.65,739.7,708.55,714.65,980
KALYANIFRG,2025-09-10,717.7,730.0,711.05,712.75,832
KALYANIFRG,2025-09-11,726.95,726.95,690.0,699.05,1047
KALYANIFRG,2025-09-12,699.4,705.0,699.4,703.85,688
KALYANIFRG,2025-09-15,706.0,707.0,698.45,706.6,706
KALYANIFRG,2025-09-16,707.0,709.1,688.95,699.5,1078
KALYANIFRG,2025-09-17,709.35,710.0,693.2,694.9,957
KALYANIFRG,2025-09-18,695.4,707.95,690.0,692.35,1314
KALYANIFRG,2025-09-19,692.4,699.95,676.05,697.45,1193
KALYANIFRG,2025-09-22,697.45,704.35,687.1,692.6,1669
KALYANIFRG,2025-09-23,692.6,709.4,676.5,682.75,828
KALYANIFRG,2025-09-24,686.45,697.35,680.35,683.0,471
KALYANIFRG,2025-09-25,680.0,697.35,675.2,676.75,1142
KALYANIFRG,2025-09-26,680.1,680.1,660.0,662.35,854
KALYANIFRG,2025-09-29,665.1,684.4,657.0,660.6,605
KALYANIFRG,2025-09-30,660.65,679.4,652.4,659.9,798
KALYANIFRG,2025-10-01,680.0,696.8,655.2,658.9,1050
KALYANIFRG,2025-10-03,688.8,690.0,668.0,674.7,1271
KALYANIFRG,2025-10-06,673.0,689.4,655.05,670.3,456
KALYANIFRG,2025-10-07,665.1,680.0,655.5,661.75,1677
KALYANIFRG,2025-10-08,669.85,794.1,669.85,788.75,70739
KALYANIFRG,2025-10-09,794.1,849.65,743.05,785.85,30727
