symbol,date,open,high,low,close,volume
KEL,2023-09-26,75.0,78.75,71.25,78.75,897600
KEL,2023-09-27,74.85,82.65,74.85,81.7,202800
KEL,2023-09-28,77.65,82.9,77.65,78.0,196800
KEL,2023-09-29,79.8,80.0,75.0,75.2,88800
KEL,2023-10-03,76.0,77.9,72.0,73.35,85200
KEL,2023-10-04,72.5,72.5,69.7,69.7,78000
KEL,2023-10-05,66.3,71.75,66.3,70.2,108000
KEL,2023-10-06,71.95,73.7,66.85,73.7,141600
KEL,2023-10-09,72.95,75.9,71.0,74.55,70800
KEL,2023-10-10,75.75,77.25,74.0,77.05,78000
KEL,2023-10-11,76.85,77.4,75.0,75.35,61200
KEL,2023-10-12,77.2,78.25,75.05,75.75,52800
KEL,2023-10-13,77.0,77.65,76.05,76.85,64800
KEL,2023-10-16,80.35,80.35,76.15,77.25,48000
KEL,2023-10-17,77.6,77.6,76.0,76.4,21600
KEL,2023-10-18,76.0,76.2,73.35,74.1,34800
KEL,2023-10-19,74.5,75.0,72.0,72.2,44400
KEL,2023-10-20,71.5,73.0,71.15,72.5,38400
KEL,2023-10-23,71.55,72.95,70.0,70.4,56400
KEL,2023-10-25,68.4,70.7,68.05,69.95,30000
KEL,2023-10-26,68.0,69.45,65.0,69.2,40800
KEL,2023-10-27,72.0,72.9,71.5,72.45,42000
KEL,2023-10-30,72.45,72.45,71.0,71.5,7200
KEL,2023-10-31,71.2,71.2,70.05,70.5,10800
KEL,2023-11-01,70.55,70.55,69.25,69.25,13200
KEL,2023-11-02,69.3,69.5,68.5,69.5,7200
KEL,2023-11-03,72.0,78.0,71.8,73.7,63600
KEL,2023-11-06,77.25,79.65,75.0,78.25,94800
KEL,2023-11-07,81.0,83.9,73.4,75.95,150000
KEL,2023-11-08,77.0,79.0,76.0,76.0,16800
KEL,2023-11-09,76.0,77.45,74.0,77.2,36000
KEL,2023-11-10,77.25,77.45,74.65,75.75,26400
KEL,2023-11-13,87.75,98.4,87.05,95.75,729600
KEL,2023-11-15,99.0,103.5,94.0,102.05,398400
KEL,2023-11-16,107.8,122.45,105.05,122.45,345600
KEL,2023-11-17,134.65,134.65,120.5,126.3,355200
KEL,2023-11-20,125.0,132.9,115.5,115.95,115200
KEL,2023-11-21,118.95,118.95,107.35,115.8,109200
KEL,2023-11-22,115.9,126.8,113.45,125.6,171600
KEL,2023-11-23,127.5,130.0,122.5,123.8,84000
KEL,2023-11-24,124.0,127.0,122.1,125.15,48000
KEL,2023-11-28,129.9,137.65,129.9,137.6,310800
KEL,2023-11-29,139.95,151.35,137.65,151.35,235200
KEL,2023-11-30,158.7,158.9,158.0,158.9,44400
KEL,2023-12-01,163.8,163.8,150.95,150.95,108000
KEL,2023-12-04,146.0,155.5,143.4,143.85,242400
KEL,2023-12-05,147.35,151.0,143.15,151.0,162000
KEL,2023-12-06,158.55,158.55,158.55,158.55,9600
KEL,2023-12-07,166.45,166.45,166.45,166.45,10800
KEL,2023-12-08,174.75,174.75,174.75,174.75,18000
KEL,2023-12-11,183.45,183.45,183.45,183.45,27600
KEL,2023-12-12,191.0,192.6,191.0,192.6,31200
KEL,2023-12-13,199.0,200.0,183.0,198.0,420000
KEL,2023-12-14,200.0,207.9,200.0,207.9,62400
KEL,2023-12-15,218.2,218.25,218.2,218.25,14400
KEL,2023-12-18,229.15,229.15,215.0,229.05,229200
KEL,2023-12-19,232.0,240.5,229.75,240.5,94800
KEL,2023-12-20,249.45,252.5,228.5,252.5,195600
KEL,2023-12-21,257.55,265.1,250.1,265.1,99600
KEL,2023-12-22,274.7,278.35,251.85,252.3,184800
KEL,2023-12-26,247.25,247.25,239.7,239.7,46800
KEL,2023-12-27,227.75,227.75,227.75,227.75,164400
KEL,2023-12-28,221.25,239.1,220.5,224.35,139200
KEL,2023-12-29,221.0,222.9,214.25,215.9,44400
KEL,2024-01-01,215.9,215.9,205.1,206.05,42000
KEL,2024-01-02,214.45,216.35,213.95,216.35,40800
KEL,2024-01-03,221.8,227.15,220.0,227.15,16800
KEL,2024-01-04,238.5,238.5,226.65,234.0,31200
KEL,2024-01-05,234.05,234.05,222.3,222.3,33600
KEL,2024-01-08,214.0,221.0,211.2,212.8,38400
KEL,2024-01-09,211.0,219.95,202.2,203.25,62400
KEL,2024-01-10,197.0,213.4,193.1,213.4,170400
KEL,2024-01-11,221.0,224.05,211.0,223.8,90000
KEL,2024-01-12,223.8,234.95,220.0,232.95,46800
KEL,2024-01-15,232.95,232.95,232.95,232.95,0
KEL,2024-01-16,240.25,240.25,228.05,228.05,40800
KEL,2024-01-17,220.05,223.0,216.65,221.7,56400
KEL,2024-01-18,221.7,227.0,214.0,227.0,31200
KEL,2024-01-19,226.0,236.0,222.15,236.0,10800
KEL,2024-01-23,235.0,235.0,223.25,223.25,15600
KEL,2024-01-24,224.0,224.0,212.1,214.9,37200
KEL,2024-01-25,214.9,214.9,205.6,208.05,24000
KEL,2024-01-29,207.0,214.7,197.65,198.0,69600
KEL,2024-01-30,190.05,207.6,190.05,206.8,30000
KEL,2024-01-31,206.8,214.9,206.8,214.0,9600
KEL,2024-02-01,214.0,214.0,214.0,214.0,0
KEL,2024-02-02,214.0,214.0,203.3,203.85,18000
KEL,2024-02-05,213.0,213.0,193.65,193.65,57600
KEL,2024-02-06,199.0,199.0,189.0,191.0,9600
KEL,2024-02-07,189.0,193.5,185.15,187.95,25200
KEL,2024-02-08,180.0,200.95,180.0,191.75,15600
KEL,2024-02-09,190.0,190.0,182.5,185.3,12000
KEL,2024-02-12,198.95,201.6,195.0,200.75,44400
KEL,2024-02-13,201.6,210.0,200.0,210.0,30000
KEL,2024-02-14,210.1,228.0,210.1,225.95,16800
KEL,2024-02-15,230.0,230.0,212.05,223.8,14400
KEL,2024-02-16,227.0,229.0,220.0,220.0,8400
KEL,2024-02-19,212.0,218.95,208.0,213.0,18000
KEL,2024-02-20,208.0,208.0,191.7,191.7,57600
KEL,2024-02-21,177.8,191.4,177.0,183.5,72000
KEL,2024-02-22,188.0,192.9,183.55,184.2,16800
KEL,2024-02-23,185.0,185.0,183.1,184.0,10800
KEL,2024-02-26,189.9,189.9,181.2,187.0,21600
KEL,2024-02-27,188.0,189.95,187.0,187.0,4800
KEL,2024-02-28,186.0,186.0,176.5,184.95,19200
KEL,2024-02-29,181.0,181.0,179.0,179.0,6000
KEL,2024-03-01,184.0,184.0,179.0,179.0,19200
KEL,2024-03-04,180.1,182.0,173.0,177.9,42000
KEL,2024-03-05,178.0,178.0,170.7,170.7,20400
KEL,2024-03-06,170.0,170.0,164.0,164.0,22800
KEL,2024-03-07,164.0,174.0,164.0,172.15,8400
KEL,2024-03-11,173.0,175.0,165.0,167.7,16800
KEL,2024-03-12,163.05,167.0,161.25,165.3,18000
KEL,2024-03-13,158.0,164.0,156.0,158.5,10800
KEL,2024-03-14,158.5,165.0,148.25,153.95,44400
KEL,2024-03-18,147.6,154.8,147.6,153.8,43200
KEL,2024-03-19,158.0,168.9,158.0,167.3,26400
KEL,2024-03-20,163.5,165.95,161.5,165.95,13200
KEL,2024-03-21,163.5,164.0,149.45,152.2,63600
KEL,2024-03-22,146.0,149.0,144.0,146.95,40800
KEL,2024-03-26,149.0,149.0,143.0,144.85,18000
KEL,2024-03-27,145.0,148.9,145.0,147.0,13200
KEL,2024-03-28,149.0,152.0,145.0,145.65,32400
KEL,2024-04-01,145.65,154.15,142.0,154.15,33600
KEL,2024-04-02,154.2,154.2,147.0,149.05,28800
KEL,2024-04-03,150.0,156.0,147.0,150.0,34800
KEL,2024-04-04,165.0,165.0,146.0,148.6,64800
KEL,2024-04-05,150.0,161.0,144.0,158.3,57600
KEL,2024-04-08,160.0,160.0,145.0,147.4,44400
KEL,2024-04-09,147.4,148.5,147.2,147.85,6000
KEL,2024-04-10,149.05,153.0,149.05,152.65,16800
KEL,2024-04-12,153.0,155.0,148.25,150.4,21600
KEL,2024-04-15,132.05,151.0,132.05,150.95,14400
KEL,2024-04-16,153.0,153.0,150.0,150.0,12000
KEL,2024-04-18,152.7,153.8,151.0,151.0,7200
KEL,2024-04-19,150.0,150.0,146.05,148.15,6000
KEL,2024-04-22,150.35,153.0,150.35,153.0,4800
KEL,2024-04-23,153.5,155.8,153.5,155.7,8400
KEL,2024-04-24,155.7,155.7,154.7,154.85,4800
KEL,2024-04-25,160.0,160.0,155.6,160.0,9600
KEL,2024-04-26,160.5,160.5,160.0,160.0,2400
KEL,2024-04-29,160.0,172.0,160.0,165.65,7200
KEL,2024-04-30,165.65,166.3,163.05,163.1,7200
KEL,2024-05-02,157.7,166.9,157.7,166.9,6000
KEL,2024-05-03,163.0,164.0,156.65,158.0,14400
KEL,2024-05-06,160.0,160.5,160.0,160.5,7200
KEL,2024-05-07,160.0,160.0,154.15,157.5,8400
KEL,2024-05-08,157.5,157.5,154.0,156.0,6000
KEL,2024-05-09,156.0,159.5,156.0,158.5,3600
KEL,2024-05-10,136.55,150.95,136.55,146.3,16800
KEL,2024-05-13,148.0,148.3,148.0,148.3,6000
KEL,2024-05-14,148.0,166.0,148.0,157.1,39600
KEL,2024-05-15,166.95,183.8,165.0,176.95,182400
KEL,2024-05-16,184.0,211.4,184.0,194.5,216000
KEL,2024-05-17,190.25,196.0,185.25,185.25,32400
KEL,2024-05-21,181.6,181.6,173.05,180.45,20400
KEL,2024-05-22,181.05,181.05,170.0,171.5,21600
KEL,2024-05-23,179.5,179.95,165.0,166.5,51600
KEL,2024-05-24,165.0,171.95,165.0,169.45,19200
KEL,2024-05-27,175.0,186.0,174.3,176.6,38400
KEL,2024-05-28,182.0,182.0,169.95,170.95,25200
KEL,2024-05-29,167.0,173.75,165.0,168.15,21600
KEL,2024-05-30,168.15,169.95,163.3,168.0,7200
KEL,2024-05-31,134.4,151.0,134.4,140.65,333600
KEL,2024-06-03,142.25,158.05,142.25,143.55,38400
KEL,2024-06-04,144.45,144.45,131.05,133.7,50400
KEL,2024-06-05,132.55,140.95,132.55,134.85,24000
KEL,2024-06-06,136.5,144.85,136.5,142.85,8400
KEL,2024-06-07,143.95,146.0,142.0,146.0,8400
KEL,2024-06-10,156.9,156.9,147.0,147.05,15600
KEL,2024-06-11,143.55,150.0,142.0,145.0,14400
KEL,2024-06-12,143.95,145.0,140.0,141.45,32400
KEL,2024-06-13,140.1,142.0,137.9,142.0,14400
KEL,2024-06-14,144.95,144.95,139.0,139.05,12000
KEL,2024-06-18,139.1,147.9,139.1,144.5,32400
KEL,2024-06-19,140.65,145.05,140.65,145.05,3600
KEL,2024-06-20,146.0,147.0,144.1,144.1,9600
KEL,2024-06-21,146.0,148.0,144.2,147.95,13200
KEL,2024-06-24,145.0,148.95,145.0,148.95,2400
KEL,2024-06-25,149.0,149.0,145.2,145.6,9600
KEL,2024-06-26,145.0,147.0,142.5,147.0,7200
KEL,2024-06-27,143.0,143.0,143.0,143.0,1200
KEL,2024-06-28,151.95,151.95,142.1,142.1,8400
KEL,2024-07-01,142.1,151.75,142.1,147.75,19200
KEL,2024-07-02,153.5,153.5,148.5,149.65,10800
KEL,2024-07-03,150.0,150.0,147.0,147.0,3600
KEL,2024-07-04,147.1,148.0,146.25,147.95,12000
KEL,2024-07-05,150.0,150.0,145.0,146.05,14400
KEL,2024-07-08,147.0,147.0,147.0,147.0,1200
KEL,2024-07-09,152.0,164.8,152.0,160.65,34800
KEL,2024-07-10,163.75,165.2,160.0,164.4,19200
KEL,2024-07-11,163.0,163.0,159.8,159.8,8400
KEL,2024-07-12,172.0,172.0,157.5,159.2,26400
KEL,2024-07-15,159.2,159.2,148.0,150.7,50400
KEL,2024-07-16,148.1,153.0,148.05,153.0,15600
KEL,2024-07-18,147.0,149.5,147.0,148.65,4800
KEL,2024-07-19,144.1,148.65,137.0,148.15,30000
KEL,2024-07-22,137.15,147.9,137.0,147.9,7200
KEL,2024-07-23,138.0,145.95,138.0,144.85,13200
KEL,2024-07-24,146.0,150.3,146.0,150.3,2400
KEL,2024-07-25,147.0,147.05,145.5,146.65,8400
KEL,2024-07-26,142.7,145.0,142.65,145.0,3600
KEL,2024-07-29,145.0,147.95,144.0,147.95,8400
KEL,2024-07-30,145.0,147.95,142.25,143.5,25200
KEL,2024-07-31,149.45,149.45,144.0,144.0,6000
KEL,2024-08-01,144.0,144.0,144.0,144.0,2400
KEL,2024-08-02,142.0,142.0,142.0,142.0,1200
KEL,2024-08-05,139.0,147.0,138.5,141.85,7200
KEL,2024-08-06,139.05,143.0,139.05,140.05,6000
KEL,2024-08-07,143.0,144.0,143.0,144.0,2400
KEL,2024-08-08,140.1,144.0,140.1,144.0,3600
