symbol,date,open,high,low,close,volume
KERNEX,2005-12-20,318.1818,363.5909,265.9546,313.5,25552435
KERNEX,2005-12-21,315.4546,333.9091,313.0909,319.6818,6660091
KERNEX,2005-12-22,320.6364,322.5454,287.2727,289.8182,3083019
KERNEX,2005-12-23,291.0,309.5454,284.0454,288.2273,4449655
KERNEX,2005-12-26,289.0909,294.5454,271.5909,273.8636,1944871
KERNEX,2005-12-27,275.0,284.3636,272.7273,279.5,1346844
KERNEX,2005-12-28,280.9091,288.1818,277.2727,279.7727,881564
KERNEX,2005-12-29,286.1818,289.0909,282.0454,283.8182,766546
KERNEX,2005-12-30,286.3636,286.3636,276.9546,279.2273,393082
KERNEX,2006-01-02,279.0909,282.7727,275.8182,276.8182,242781
KERNEX,2006-01-03,277.3182,281.8182,276.4546,277.5454,229479
KERNEX,2006-01-04,279.9091,288.5454,275.7273,281.1364,420721
KERNEX,2006-01-05,283.6364,285.3636,276.4546,277.5,179899
KERNEX,2006-01-06,281.8182,283.8182,275.0,276.0909,218546
KERNEX,2006-01-09,278.7727,279.9091,271.5909,273.9546,124920
KERNEX,2006-01-10,276.2727,297.7273,273.7727,285.0454,1889442
KERNEX,2006-01-12,282.7273,291.3636,280.0909,282.7273,603145
KERNEX,2006-01-13,290.9091,293.6364,284.5454,285.3636,544332
KERNEX,2006-01-16,287.2727,294.0454,286.3636,287.2273,404724
KERNEX,2006-01-17,284.0,292.6364,277.5454,279.3636,248355
KERNEX,2006-01-18,274.7273,280.9091,270.9091,274.1364,186615
KERNEX,2006-01-19,274.5454,287.9546,274.5454,283.5,497054
KERNEX,2006-01-20,284.9091,302.6818,284.9091,295.0,1517885
KERNEX,2006-01-23,294.3636,300.9091,287.2727,292.6364,678673
KERNEX,2006-01-24,293.1818,304.4546,290.0454,292.3636,1149182
KERNEX,2006-01-25,291.8182,294.5454,280.0909,283.7727,638277
KERNEX,2006-01-27,281.8182,286.1364,277.3636,278.6364,226938
KERNEX,2006-01-30,279.5454,282.5,264.5454,265.8636,279002
KERNEX,2006-01-31,263.6364,277.7273,260.5,269.0909,336883
