symbol,date,open,high,low,close,volume
KFINTECH,2025-07-24,1263.0,1263.5,1225.0,1232.6,684175
KFINTECH,2025-07-25,1201.0,1208.0,1139.0,1164.6,4336918
KFINTECH,2025-07-28,1150.0,1165.3,1142.0,1149.0,1308160
KFINTECH,2025-07-29,1135.0,1149.0,1114.5,1126.3,934848
KFINTECH,2025-07-30,1128.0,1137.0,1105.1,1109.2,1290937
KFINTECH,2025-07-31,1091.0,1105.3,1077.2,1082.9,1360170
KFINTECH,2025-08-01,1082.9,1124.2,1082.5,1101.5,2136082
KFINTECH,2025-08-04,1102.4,1128.8,1094.3,1123.8,731600
KFINTECH,2025-08-05,1131.8,1135.6,1110.5,1120.6,472698
KFINTECH,2025-08-06,1120.6,1128.0,1099.5,1110.9,479104
KFINTECH,2025-08-07,1100.0,1120.9,1072.5,1089.7,1123685
KFINTECH,2025-08-08,1085.1,1088.3,1048.1,1073.0,1959646
KFINTECH,2025-08-11,1073.1,1097.0,1068.4,1091.4,883832
KFINTECH,2025-08-12,1098.0,1112.0,1082.3,1086.3,831097
KFINTECH,2025-08-13,1096.0,1125.2,1088.1,1114.5,925152
KFINTECH,2025-08-14,1115.0,1133.0,1107.7,1128.9,741668
KFINTECH,2025-08-18,1149.0,1149.0,1105.5,1115.5,949186
KFINTECH,2025-08-19,1115.5,1129.9,1110.0,1125.4,644479
KFINTECH,2025-08-20,1131.0,1132.8,1107.4,1115.8,683902
KFINTECH,2025-08-21,1124.0,1131.6,1108.8,1127.7,1125821
KFINTECH,2025-08-22,1126.0,1139.7,1115.5,1126.2,843260
KFINTECH,2025-08-25,1132.0,1136.7,1105.1,1109.6,565192
KFINTECH,2025-08-26,1111.0,1114.7,1050.0,1054.1,1357572
KFINTECH,2025-08-28,1054.1,1071.8,1039.1,1050.0,1160529
KFINTECH,2025-08-29,1042.0,1052.4,1018.7,1021.2,1097260
KFINTECH,2025-09-01,1028.3,1077.0,1027.1,1070.2,823855
KFINTECH,2025-09-02,1076.1,1077.0,1054.8,1057.0,499827
KFINTECH,2025-09-03,1058.0,1074.1,1055.9,1067.0,420037
KFINTECH,2025-09-04,1078.1,1079.0,1051.2,1058.0,1072142
KFINTECH,2025-09-05,1058.0,1098.1,1058.0,1087.5,1053785
KFINTECH,2025-09-08,1087.5,1107.8,1084.6,1098.9,393307
KFINTECH,2025-09-09,1097.7,1101.0,1085.0,1099.4,377783
KFINTECH,2025-09-10,1100.0,1128.0,1100.0,1115.9,762476
KFINTECH,2025-09-11,1124.5,1124.5,1102.0,1106.9,676043
KFINTECH,2025-09-12,1109.0,1119.8,1103.0,1107.3,368507
KFINTECH,2025-09-15,1100.2,1114.9,1095.0,1099.6,563443
KFINTECH,2025-09-16,1099.7,1109.0,1095.3,1100.3,438634
KFINTECH,2025-09-17,1104.9,1121.5,1102.3,1117.6,615086
KFINTECH,2025-09-18,1124.0,1148.0,1117.7,1144.8,1477449
KFINTECH,2025-09-19,1153.9,1159.6,1142.2,1149.9,1163137
KFINTECH,2025-09-22,1147.9,1148.2,1082.6,1093.9,1591817
KFINTECH,2025-09-23,1105.9,1118.0,1072.0,1080.4,1853357
KFINTECH,2025-09-24,1082.3,1083.5,1058.0,1060.7,711780
KFINTECH,2025-09-25,1059.0,1093.7,1055.6,1063.1,1085398
KFINTECH,2025-09-26,1064.0,1079.0,1056.4,1070.8,704238
KFINTECH,2025-09-29,1070.8,1093.6,1056.1,1062.4,994466
KFINTECH,2025-09-30,1072.2,1072.2,1044.0,1051.7,479562
KFINTECH,2025-10-01,1052.0,1083.0,1049.8,1080.4,496189
KFINTECH,2025-10-03,1079.0,1087.9,1056.0,1067.3,1148293
KFINTECH,2025-10-06,1067.3,1069.4,1056.0,1062.5,698509
KFINTECH,2025-10-07,1067.7,1080.5,1046.2,1049.8,1046963
KFINTECH,2025-10-08,1058.0,1061.5,1029.0,1033.5,1218429
KFINTECH,2025-10-09,1040.0,1055.7,1030.0,1050.8,565327
KFINTECH,2025-10-10,1054.5,1076.0,1049.1,1072.5,993167
KFINTECH,2025-10-13,1090.0,1149.0,1085.4,1143.8,5986348
KFINTECH,2025-10-14,1154.9,1160.0,1100.5,1111.2,2100961
KFINTECH,2025-10-15,1111.2,1135.0,1103.1,1127.8,645572
KFINTECH,2025-10-16,1128.0,1131.9,1116.0,1123.9,480716
KFINTECH,2025-10-17,1124.0,1139.9,1117.6,1124.3,668312
KFINTECH,2025-10-20,1130.0,1135.4,1115.0,1120.6,427719
KFINTECH,2025-10-21,1129.6,1134.4,1115.5,1127.3,126614
KFINTECH,2025-10-23,1129.1,1157.0,1127.5,1139.9,999003
KFINTECH,2025-10-24,1139.0,1153.9,1123.0,1149.4,853901
KFINTECH,2025-10-27,1159.2,1178.0,1154.3,1168.9,1419829
KFINTECH,2025-10-28,1184.0,1215.0,1158.0,1174.8,3249672
KFINTECH,2025-10-29,1165.0,1168.0,1112.8,1129.3,1783314
KFINTECH,2025-10-30,1135.0,1135.9,1097.1,1112.0,1359143
KFINTECH,2025-10-31,1102.0,1118.0,1091.2,1098.1,652110
KFINTECH,2025-11-03,1098.1,1115.0,1095.6,1102.8,313462
KFINTECH,2025-11-04,1104.8,1104.8,1066.0,1069.4,660313
KFINTECH,2025-11-06,1070.0,1089.4,1053.6,1062.1,552399
KFINTECH,2025-11-07,1062.1,1116.8,1051.0,1111.0,1132039
KFINTECH,2025-11-10,1109.6,1109.6,1079.2,1081.6,1168913
KFINTECH,2025-11-11,1085.0,1095.3,1073.6,1094.1,245241
KFINTECH,2025-11-12,1094.1,1126.4,1093.8,1100.3,824642
KFINTECH,2025-11-13,1105.0,1109.9,1080.5,1083.1,441405
KFINTECH,2025-11-14,1080.0,1093.8,1076.2,1084.1,276013
