symbol,date,open,high,low,close,volume
KHANDSE,2021-07-26,19.05,19.05,17.3,18.2,7353
KHANDSE,2021-07-27,18.5,18.5,17.5,18.45,2121
KHANDSE,2021-07-28,18.5,18.5,17.55,18.45,8553
KHANDSE,2021-07-29,17.65,19.35,17.55,17.75,11295
KHANDSE,2021-07-30,18.6,18.6,17.2,17.7,7809
KHANDSE,2021-08-02,18.45,18.55,17.5,18.5,9002
KHANDSE,2021-08-03,18.5,19.0,18.05,18.5,14212
KHANDSE,2021-08-04,18.1,19.4,17.8,18.3,12079
KHANDSE,2021-08-05,17.65,18.8,17.65,18.8,1967
KHANDSE,2021-08-06,18.2,19.7,18.2,19.35,13668
KHANDSE,2021-08-09,20.3,20.3,18.5,19.0,2287
KHANDSE,2021-08-10,18.3,19.6,18.3,18.75,4021
KHANDSE,2021-08-11,18.75,19.65,18.1,19.25,6207
KHANDSE,2021-08-12,18.5,19.65,18.5,19.45,3771
KHANDSE,2021-08-13,18.7,18.95,18.5,18.95,3725
KHANDSE,2021-08-16,18.15,19.6,18.15,19.55,3706
KHANDSE,2021-08-17,19.6,19.6,18.6,19.2,1896
KHANDSE,2021-08-18,18.5,19.85,18.35,19.2,7575
KHANDSE,2021-08-20,19.2,19.2,18.25,18.5,840
KHANDSE,2021-08-23,17.85,19.25,17.85,18.05,582
KHANDSE,2021-08-24,17.15,17.75,17.15,17.15,7649
KHANDSE,2021-08-25,17.1,17.65,16.45,17.65,2561
KHANDSE,2021-08-26,18.25,18.25,16.8,17.3,1523
KHANDSE,2021-08-27,16.75,18.05,16.75,17.75,660
KHANDSE,2021-08-30,18.6,18.6,16.9,17.0,1066
KHANDSE,2021-08-31,17.75,17.85,17.05,17.05,586
KHANDSE,2021-09-01,17.9,17.9,17.9,17.9,2631
KHANDSE,2021-09-02,18.75,18.75,18.15,18.75,2685
KHANDSE,2021-09-03,19.25,19.65,18.5,19.5,52546
KHANDSE,2021-09-06,20.45,20.45,19.15,19.85,12506
KHANDSE,2021-09-07,20.8,20.8,19.5,20.05,29518
KHANDSE,2021-09-08,20.75,20.75,20.0,20.1,24897
KHANDSE,2021-09-09,20.9,20.9,19.1,19.1,91678
KHANDSE,2021-09-13,19.2,19.2,18.15,18.15,11231
KHANDSE,2021-09-14,17.4,18.15,17.25,17.25,10005
KHANDSE,2021-09-15,17.3,17.8,16.75,17.5,16322
KHANDSE,2021-09-16,17.0,18.2,17.0,17.8,13152
KHANDSE,2021-09-17,17.8,18.1,17.15,17.55,2105
KHANDSE,2021-09-20,17.8,17.8,16.7,17.25,10328
KHANDSE,2021-09-21,16.6,17.95,16.6,17.85,1172
KHANDSE,2021-09-22,17.9,17.9,17.0,17.15,4595
KHANDSE,2021-09-23,17.7,17.7,16.35,16.45,3387
KHANDSE,2021-09-24,16.45,16.85,15.9,16.45,7725
KHANDSE,2021-09-27,16.15,16.6,16.15,16.6,1083
KHANDSE,2021-09-28,16.3,17.15,16.1,16.2,1793
KHANDSE,2021-09-29,16.75,16.75,15.65,16.35,1699
KHANDSE,2021-09-30,16.9,16.9,15.9,16.65,2448
KHANDSE,2021-10-01,16.7,16.7,15.95,16.65,2842
KHANDSE,2021-10-04,16.7,17.3,16.2,16.9,6138
KHANDSE,2021-10-05,16.2,17.7,16.2,16.95,6219
KHANDSE,2021-10-06,16.4,17.25,16.3,16.75,4948
KHANDSE,2021-10-07,16.3,16.95,16.05,16.4,8841
KHANDSE,2021-10-08,16.1,17.3,16.05,16.85,3523
KHANDSE,2021-10-11,17.95,17.95,16.75,17.2,2792
KHANDSE,2021-10-12,17.2,17.2,16.65,16.9,1016
KHANDSE,2021-10-13,17.9,17.9,16.5,16.7,10396
KHANDSE,2021-10-14,16.25,17.35,16.25,17.2,829
KHANDSE,2021-10-18,18.05,18.05,16.6,17.2,7481
KHANDSE,2021-10-19,16.6,18.0,16.35,17.0,4998
KHANDSE,2021-10-20,17.15,17.15,16.25,16.4,2064
KHANDSE,2021-10-21,16.9,17.25,16.65,16.95,1403
KHANDSE,2021-10-22,17.3,17.3,15.85,16.15,3178
KHANDSE,2021-10-25,16.0,16.8,15.9,16.7,1224
KHANDSE,2021-10-26,16.65,16.7,15.3,16.0,4147
KHANDSE,2021-10-27,16.7,17.3,15.3,17.0,5171
KHANDSE,2021-10-28,16.7,16.75,15.9,16.0,899
KHANDSE,2021-10-29,14.7,16.6,14.45,15.85,2721
KHANDSE,2021-11-01,16.8,16.8,15.2,16.45,515
KHANDSE,2021-11-02,17.0,17.0,15.35,16.4,4829
KHANDSE,2021-11-03,16.85,17.4,16.5,17.05,5313
KHANDSE,2021-11-04,18.0,18.05,15.9,16.55,1378
KHANDSE,2021-11-08,15.45,17.5,15.2,16.9,974
KHANDSE,2021-11-09,17.0,17.5,16.0,17.45,4933
KHANDSE,2021-11-10,17.8,18.0,16.15,17.6,2784
KHANDSE,2021-11-11,17.9,17.9,16.5,17.7,6335
KHANDSE,2021-11-12,16.7,17.55,16.7,17.35,6901
KHANDSE,2021-11-15,17.65,17.8,16.6,17.5,2919
KHANDSE,2021-11-16,17.85,19.25,16.15,17.45,14989
KHANDSE,2021-11-17,17.5,17.8,16.15,17.4,5979
KHANDSE,2021-11-18,16.2,17.95,16.15,17.75,2847
KHANDSE,2021-11-22,16.4,18.7,16.4,17.9,4230
KHANDSE,2021-11-23,17.9,17.9,16.15,16.95,9646
KHANDSE,2021-11-24,17.65,17.65,15.3,16.3,19377
KHANDSE,2021-11-25,16.4,16.95,16.0,16.05,3671
KHANDSE,2021-11-26,16.55,16.55,15.65,16.2,1039
KHANDSE,2021-11-29,15.7,16.8,15.7,16.6,1768
KHANDSE,2021-11-30,15.9,17.0,15.8,15.8,2744
KHANDSE,2021-12-01,16.5,16.5,15.2,16.25,5378
KHANDSE,2021-12-02,15.65,17.15,15.35,16.75,12083
KHANDSE,2021-12-03,17.75,18.4,16.6,17.85,28971
KHANDSE,2021-12-06,18.1,18.4,17.0,17.2,7734
KHANDSE,2021-12-07,17.1,17.9,17.1,17.2,3923
KHANDSE,2021-12-08,17.9,20.6,16.4,18.3,50112
KHANDSE,2021-12-09,18.9,18.9,17.55,18.6,2936
KHANDSE,2021-12-10,19.95,22.3,19.7,20.25,243813
KHANDSE,2021-12-13,21.0,21.2,19.15,19.55,27240
KHANDSE,2021-12-14,19.3,20.0,18.3,19.35,12997
KHANDSE,2021-12-15,19.75,20.2,18.1,19.45,23943
KHANDSE,2021-12-16,19.85,20.2,18.3,19.1,14242
KHANDSE,2021-12-17,19.8,19.8,18.5,18.65,2481
KHANDSE,2021-12-20,19.65,19.65,16.0,17.0,17787
KHANDSE,2021-12-21,17.6,19.0,16.55,18.8,24909
KHANDSE,2021-12-22,18.2,22.5,18.2,20.45,102242
KHANDSE,2021-12-23,22.75,22.75,19.1,19.6,50488
KHANDSE,2021-12-24,20.65,20.65,18.85,19.3,11056
KHANDSE,2021-12-27,19.35,20.0,18.9,18.9,7555
KHANDSE,2021-12-28,20.0,20.0,18.6,18.95,2638
KHANDSE,2021-12-29,18.95,19.9,18.6,19.5,11296
KHANDSE,2021-12-30,19.85,20.35,19.0,19.35,3934
KHANDSE,2021-12-31,19.25,20.1,19.0,19.5,10783
KHANDSE,2022-01-03,20.3,20.3,19.15,19.55,13239
KHANDSE,2022-01-04,20.15,20.2,19.15,19.45,12087
KHANDSE,2022-01-05,20.0,20.0,19.25,19.3,7366
KHANDSE,2022-01-06,19.95,19.95,19.15,19.25,6644
KHANDSE,2022-01-07,19.9,19.9,18.7,19.65,3782
KHANDSE,2022-01-10,20.0,21.15,19.45,19.85,15130
KHANDSE,2022-01-11,20.25,20.25,19.7,19.8,3019
KHANDSE,2022-01-12,20.4,20.4,19.2,19.7,3930
KHANDSE,2022-01-13,19.55,20.2,19.55,19.9,4273
KHANDSE,2022-01-14,20.15,20.15,18.25,19.1,15093
KHANDSE,2022-01-17,19.9,20.65,19.5,20.25,15233
KHANDSE,2022-01-18,20.8,24.3,20.75,24.3,120511
KHANDSE,2022-01-19,29.0,29.15,28.1,29.15,189050
KHANDSE,2022-01-20,32.05,32.05,32.05,32.05,36168
KHANDSE,2022-01-21,33.65,33.65,30.45,30.7,354915
KHANDSE,2022-01-24,29.2,29.2,29.2,29.2,9239
KHANDSE,2022-01-25,27.75,27.75,27.75,27.75,3717
