symbol,date,open,high,low,close,volume
KINGFA,2021-07-26,1210.0,1213.95,1145.6,1149.7,5339
KINGFA,2021-07-27,1180.0,1180.0,1106.6,1125.0,5198
KINGFA,2021-07-28,1130.0,1130.0,1068.75,1098.35,11726
KINGFA,2021-07-29,1113.0,1113.05,1070.1,1079.95,3392
KINGFA,2021-07-30,1100.0,1113.0,1070.4,1079.65,3546
KINGFA,2021-08-02,1078.0,1133.6,1042.65,1109.55,10981
KINGFA,2021-08-03,1111.0,1165.0,1111.0,1165.0,5405
KINGFA,2021-08-04,1180.0,1180.0,1106.75,1119.7,8855
KINGFA,2021-08-05,1119.7,1174.0,1077.05,1127.3,6568
KINGFA,2021-08-06,1159.95,1183.65,1156.0,1183.65,14141
KINGFA,2021-08-09,1199.0,1242.8,1192.45,1242.8,15938
KINGFA,2021-08-10,1245.0,1297.95,1180.7,1196.55,23153
KINGFA,2021-08-11,1250.0,1250.0,1136.75,1245.4,30231
KINGFA,2021-08-12,1279.7,1285.0,1223.0,1248.15,32903
KINGFA,2021-08-13,1302.0,1302.0,1196.1,1213.85,18720
KINGFA,2021-08-16,1227.25,1227.25,1154.3,1187.75,6129
KINGFA,2021-08-17,1160.0,1179.95,1128.4,1133.6,7675
KINGFA,2021-08-18,1134.0,1164.9,1090.0,1119.6,9444
KINGFA,2021-08-20,1099.9,1115.0,1092.05,1092.55,6515
KINGFA,2021-08-23,1102.5,1114.9,1046.6,1062.5,5669
KINGFA,2021-08-24,1085.0,1114.8,1048.1,1070.35,5396
KINGFA,2021-08-25,1081.05,1119.7,1061.0,1074.0,6031
KINGFA,2021-08-26,1061.3,1099.1,1059.15,1069.45,3988
KINGFA,2021-08-27,1063.0,1115.9,1054.7,1091.45,4761
KINGFA,2021-08-30,1082.75,1102.25,1080.0,1084.45,2608
KINGFA,2021-08-31,1080.0,1086.0,1065.0,1073.4,3951
KINGFA,2021-09-01,1069.45,1070.0,1033.7,1057.35,5409
KINGFA,2021-09-02,1078.15,1110.2,1056.8,1110.2,7762
KINGFA,2021-09-03,1147.9,1147.9,1092.45,1120.3,5432
KINGFA,2021-09-06,1145.0,1145.0,1086.6,1090.1,5289
KINGFA,2021-09-07,1092.8,1124.95,1083.6,1088.7,2650
KINGFA,2021-09-08,1116.5,1116.5,1081.55,1093.4,2187
KINGFA,2021-09-09,1085.0,1108.35,1081.65,1088.05,2077
KINGFA,2021-09-13,1097.05,1100.0,1052.0,1061.15,9406
KINGFA,2021-09-14,1085.0,1085.0,1049.9,1064.45,3398
KINGFA,2021-09-15,1065.15,1082.2,1055.35,1059.85,4489
KINGFA,2021-09-16,1079.0,1079.95,1055.0,1061.25,3209
KINGFA,2021-09-17,1056.0,1073.95,1022.0,1046.75,8602
KINGFA,2021-09-20,1044.45,1056.4,1011.25,1020.0,4434
KINGFA,2021-09-21,1021.0,1035.0,982.65,1011.0,7593
KINGFA,2021-09-22,1004.4,1059.0,999.8,1027.3,8392
KINGFA,2021-09-23,1063.95,1078.65,1050.3,1066.7,6587
KINGFA,2021-09-24,1089.7,1089.7,1013.4,1017.7,5577
KINGFA,2021-09-27,1026.0,1035.0,986.6,997.7,6393
KINGFA,2021-09-28,991.3,1026.95,991.3,1003.55,4089
KINGFA,2021-09-29,991.3,1004.95,957.0,1000.05,4035
KINGFA,2021-09-30,1006.2,1020.1,990.05,998.25,2826
KINGFA,2021-10-01,1001.1,1013.55,984.0,997.9,2371
KINGFA,2021-10-04,1010.0,1019.95,999.05,1005.5,2602
KINGFA,2021-10-05,1003.75,1015.0,976.3,998.8,3346
KINGFA,2021-10-06,1014.95,1014.95,973.0,982.25,4321
KINGFA,2021-10-07,995.0,1013.95,993.0,994.9,5201
KINGFA,2021-10-08,1009.0,1009.55,982.4,988.0,5793
KINGFA,2021-10-11,983.3,998.75,965.5,986.75,4458
KINGFA,2021-10-12,999.9,1006.8,985.0,999.35,3142
KINGFA,2021-10-13,991.0,1011.9,979.8,986.1,6573
KINGFA,2021-10-14,994.95,1084.7,991.05,1084.7,23251
KINGFA,2021-10-18,1088.0,1094.0,1025.1,1032.75,16402
KINGFA,2021-10-19,1059.0,1059.0,970.0,997.45,8118
KINGFA,2021-10-20,986.0,1048.75,986.0,1004.3,4111
KINGFA,2021-10-21,1010.0,1017.95,983.0,997.9,4793
KINGFA,2021-10-22,988.05,1075.0,983.25,992.8,3213
KINGFA,2021-10-25,992.8,1000.0,932.6,947.7,6210
KINGFA,2021-10-26,944.0,996.25,944.0,979.85,2676
KINGFA,2021-10-27,1003.55,1004.0,964.85,967.35,2162
KINGFA,2021-10-28,975.0,977.5,950.0,960.6,3159
KINGFA,2021-10-29,960.65,965.05,938.0,955.25,5576
KINGFA,2021-11-01,951.2,1039.75,940.0,951.1,3545
KINGFA,2021-11-02,963.85,966.0,949.0,957.1,1865
KINGFA,2021-11-03,960.6,977.2,946.85,955.8,1423
KINGFA,2021-11-04,942.3,987.9,925.0,959.1,841
KINGFA,2021-11-08,953.0,975.0,929.0,943.0,9763
KINGFA,2021-11-09,958.0,959.0,939.1,945.65,3575
KINGFA,2021-11-10,960.6,960.6,940.0,952.3,1877
KINGFA,2021-11-11,960.6,965.15,941.85,958.6,3053
