symbol,date,open,high,low,close,volume
KITEX,2021-07-26,58.3333,59.8833,58.3333,58.5833,1456146
KITEX,2021-07-27,59.6667,59.6667,56.2833,56.8333,1424541
KITEX,2021-07-28,57.4333,59.1167,55.35,58.4167,1743324
KITEX,2021-07-29,58.6167,59.3,56.8667,57.3333,930654
KITEX,2021-07-30,57.1667,57.8167,56.35,56.6,593397
KITEX,2021-08-02,57.4833,57.4833,56.3333,56.5833,544827
KITEX,2021-08-03,57.3167,57.5,55.8333,55.95,687615
KITEX,2021-08-04,56.3333,58.2667,55.95,56.3667,1520505
KITEX,2021-08-05,55.8333,56.7833,53.6667,54.45,1038876
KITEX,2021-08-06,55.2333,55.6667,54.0,54.2167,475353
KITEX,2021-08-09,54.9833,54.9833,52.4833,52.8,541452
KITEX,2021-08-10,52.8,53.3333,49.3333,49.4667,1097430
KITEX,2021-08-11,49.3333,54.4,47.3333,54.4,2977344
KITEX,2021-08-12,56.6667,58.2,55.0,55.3333,2518455
KITEX,2021-08-13,56.0,56.4833,54.0167,54.5833,791982
KITEX,2021-08-16,53.5,55.1667,52.2,52.8,496647
KITEX,2021-08-17,53.6333,53.6333,51.7667,52.0167,422130
KITEX,2021-08-18,52.2167,53.0,51.5,51.8667,401865
KITEX,2021-08-20,50.0,51.4,49.4167,49.6833,470607
KITEX,2021-08-23,50.3333,50.6667,47.0667,48.6167,559479
KITEX,2021-08-24,49.5667,51.2,47.0833,50.4833,454245
KITEX,2021-08-25,51.3,51.4833,50.0,50.3,303129
KITEX,2021-08-26,49.6,50.65,49.35,49.55,246792
KITEX,2021-08-27,49.0,52.5,48.75,51.0333,949491
KITEX,2021-08-30,51.6667,51.7667,50.3333,50.5667,451458
KITEX,2021-08-31,50.6,51.1167,50.0,50.25,265587
KITEX,2021-09-01,50.3333,50.6,48.95,49.7333,417534
KITEX,2021-09-02,52.3333,54.7,52.3333,54.7,851286
KITEX,2021-09-03,60.1667,60.1667,55.8833,57.0667,4765251
KITEX,2021-09-06,57.4167,57.6333,54.7333,55.7333,1101705
KITEX,2021-09-07,56.3333,58.2667,54.1833,57.65,1293363
KITEX,2021-09-08,58.3333,58.65,56.1167,56.7333,918264
KITEX,2021-09-09,57.3333,58.3,56.0,56.9167,983790
KITEX,2021-09-13,57.4833,59.9667,55.1833,57.6667,1779555
KITEX,2021-09-14,58.1333,58.3,56.6667,56.9333,495891
KITEX,2021-09-15,57.3667,57.4,56.4,56.5833,369138
KITEX,2021-09-16,56.9667,56.9667,55.4,55.9,386559
KITEX,2021-09-17,56.0667,56.6667,55.0,55.8167,578283
KITEX,2021-09-20,60.3333,60.3333,56.0,56.5333,2110803
KITEX,2021-09-21,59.5667,59.5667,56.5833,57.6667,1257522
KITEX,2021-09-22,57.6667,57.6667,56.6667,56.9833,546963
KITEX,2021-09-23,57.1,57.6,56.6667,56.75,377805
KITEX,2021-09-24,56.8333,57.2833,56.05,56.1667,310716
KITEX,2021-09-27,56.6333,56.8333,55.7,56.0833,343761
KITEX,2021-09-28,56.4167,56.4167,54.8333,55.2667,359226
KITEX,2021-09-29,55.0,56.45,54.4,55.5333,290007
KITEX,2021-09-30,55.9,56.0667,55.2667,55.45,229638
KITEX,2021-10-01,55.6333,56.0,54.75,55.6667,243468
KITEX,2021-10-04,55.0833,56.9667,55.0833,56.5,632154
KITEX,2021-10-05,56.0667,58.2667,56.0667,57.7167,1041258
KITEX,2021-10-06,58.0,58.8333,56.6667,56.8333,739722
KITEX,2021-10-07,57.3,58.0,56.5667,57.0833,360306
KITEX,2021-10-08,57.6,58.0,56.6667,56.8333,309855
KITEX,2021-10-11,56.9,57.25,55.9667,56.3,306483
KITEX,2021-10-12,56.85,56.85,55.2667,55.85,393285
KITEX,2021-10-13,56.1667,56.5,55.5,55.65,394956
KITEX,2021-10-14,55.6667,56.5,55.3333,55.45,315393
KITEX,2021-10-18,56.0,56.0,54.8167,55.0667,389418
KITEX,2021-10-19,55.65,55.8167,54.2167,54.3,363246
KITEX,2021-10-20,54.35,54.5,52.0,53.05,351174
KITEX,2021-10-21,53.5,53.7167,52.5,52.7,195570
KITEX,2021-10-22,53.7,53.7,52.0,52.2333,202164
KITEX,2021-10-25,52.8667,53.1167,51.0,51.1833,322686
KITEX,2021-10-26,51.6333,53.3,51.5167,52.8833,357039
KITEX,2021-10-27,52.9667,54.3,52.4,52.8333,313788
KITEX,2021-10-28,53.3333,53.3333,51.8,52.05,220113
KITEX,2021-10-29,52.6333,52.6333,50.7667,52.1167,262596
KITEX,2021-11-01,52.6667,53.3167,51.95,53.0667,290328
KITEX,2021-11-02,53.4,54.5,53.0167,53.3167,340062
