symbol,date,open,high,low,close,volume
KODYTECH,2025-07-23,721.1,731.45,715.0,718.1,9400
KODYTECH,2025-07-24,719.05,761.75,719.0,744.65,11300
KODYTECH,2025-07-25,746.0,748.0,725.1,729.9,3700
KODYTECH,2025-07-28,732.0,732.0,717.8,722.7,4400
KODYTECH,2025-07-29,735.65,735.65,660.0,695.2,15500
KODYTECH,2025-07-30,695.2,764.7,688.2,760.55,27000
KODYTECH,2025-07-31,777.6,836.6,730.0,812.85,32200
KODYTECH,2025-08-01,814.0,814.0,751.0,768.45,8700
KODYTECH,2025-08-04,772.25,790.0,760.0,783.7,3900
KODYTECH,2025-08-05,783.7,783.7,746.3,749.9,3600
KODYTECH,2025-08-06,750.0,759.0,705.0,751.8,6600
KODYTECH,2025-08-07,715.0,745.0,715.0,739.9,3100
KODYTECH,2025-08-08,750.0,778.0,745.0,757.95,5200
KODYTECH,2025-08-11,757.95,757.95,730.1,735.7,3500
KODYTECH,2025-08-12,720.2,743.0,720.2,735.0,1500
KODYTECH,2025-08-13,748.95,748.95,710.2,716.9,7500
KODYTECH,2025-08-14,716.9,721.0,705.0,717.6,2900
KODYTECH,2025-08-18,729.0,744.5,714.05,740.0,3700
KODYTECH,2025-08-19,730.0,730.0,700.0,717.15,5100
KODYTECH,2025-08-20,720.0,765.0,715.0,740.7,13700
KODYTECH,2025-08-21,740.7,759.9,740.7,754.0,1000
KODYTECH,2025-08-22,760.0,760.0,716.0,720.5,11900
KODYTECH,2025-08-25,720.5,740.0,705.0,710.75,16400
KODYTECH,2025-08-26,710.0,719.9,689.95,717.8,18100
KODYTECH,2025-08-28,700.3,747.0,700.3,739.6,20100
KODYTECH,2025-08-29,745.0,770.0,735.0,740.45,18100
KODYTECH,2025-09-01,745.0,750.0,705.6,730.8,4900
KODYTECH,2025-09-02,732.0,748.0,720.0,728.2,5300
KODYTECH,2025-09-03,721.65,736.8,718.0,728.55,4700
KODYTECH,2025-09-04,735.0,736.0,709.0,721.3,7700
KODYTECH,2025-09-05,720.0,720.0,705.2,708.75,9100
KODYTECH,2025-09-08,710.0,719.95,709.0,711.75,3700
KODYTECH,2025-09-09,712.0,717.45,700.1,706.65,5800
KODYTECH,2025-09-10,705.0,724.8,705.0,708.0,6600
KODYTECH,2025-09-11,713.95,714.0,701.0,703.8,8200
KODYTECH,2025-09-12,700.05,747.5,678.0,717.3,69700
KODYTECH,2025-09-15,700.05,734.5,700.05,723.65,4700
KODYTECH,2025-09-16,725.0,742.0,712.6,731.9,6600
KODYTECH,2025-09-17,731.9,739.0,710.0,712.95,10000
KODYTECH,2025-09-18,715.0,720.0,700.0,705.7,9900
KODYTECH,2025-09-19,714.5,728.75,706.0,709.35,11900
KODYTECH,2025-09-22,700.0,723.9,699.0,721.45,35400
KODYTECH,2025-09-23,722.9,728.65,703.0,716.0,9900
KODYTECH,2025-09-24,706.0,726.65,700.0,703.45,15700
KODYTECH,2025-09-25,710.0,710.0,700.0,704.35,8900
KODYTECH,2025-09-26,700.0,712.0,670.0,701.4,22400
KODYTECH,2025-09-29,700.0,700.0,686.0,691.55,19700
KODYTECH,2025-09-30,695.0,702.0,609.9,659.0,59900
KODYTECH,2025-10-01,650.0,685.1,645.0,674.5,28800
KODYTECH,2025-10-03,668.0,711.95,668.0,696.5,26900
KODYTECH,2025-10-06,709.0,711.9,685.0,693.4,23100
KODYTECH,2025-10-07,704.7,704.8,675.0,679.6,16300
KODYTECH,2025-10-08,675.0,684.95,670.0,677.55,14600
KODYTECH,2025-10-09,677.0,684.95,669.7,676.5,25400
KODYTECH,2025-10-10,675.25,683.8,670.0,673.25,12800
KODYTECH,2025-10-13,674.05,680.0,662.95,663.15,9500
KODYTECH,2025-10-14,663.0,672.85,649.0,651.6,7800
KODYTECH,2025-10-15,662.9,663.0,630.0,646.15,11200
KODYTECH,2025-10-16,632.0,660.0,625.0,630.05,12600
KODYTECH,2025-10-17,625.0,636.0,612.6,629.5,14300
KODYTECH,2025-10-20,628.0,630.0,600.0,619.4,15100
KODYTECH,2025-10-21,630.0,639.2,620.0,621.25,2000
KODYTECH,2025-10-23,623.6,623.6,616.0,620.25,5900
KODYTECH,2025-10-24,617.0,630.0,610.0,623.4,5600
KODYTECH,2025-10-27,617.2,625.9,603.1,604.65,8800
KODYTECH,2025-10-28,601.65,610.0,585.1,586.35,18100
KODYTECH,2025-10-29,588.0,592.0,567.0,580.6,13400
KODYTECH,2025-10-30,583.5,596.0,566.0,572.7,14000
KODYTECH,2025-10-31,572.7,579.0,556.05,569.45,6800
KODYTECH,2025-11-03,584.95,683.3,575.0,679.85,46800
KODYTECH,2025-11-04,699.0,757.0,699.0,712.65,58500
KODYTECH,2025-11-06,713.8,713.8,655.45,680.1,10700
KODYTECH,2025-11-07,654.0,674.0,623.0,667.25,7100
KODYTECH,2025-11-10,694.0,705.0,676.0,690.85,14600
KODYTECH,2025-11-11,691.0,709.0,691.0,705.45,11400
KODYTECH,2025-11-12,705.0,750.0,700.0,738.85,26900
KODYTECH,2025-11-13,749.0,749.0,720.0,730.4,7700
KODYTECH,2025-11-14,730.0,731.0,721.5,724.55,3500
KODYTECH,2025-11-17,691.05,754.4,655.05,745.05,58600
KODYTECH,2025-11-18,735.0,795.0,735.0,765.15,20400
KODYTECH,2025-11-19,759.0,765.0,742.25,743.7,8400
KODYTECH,2025-11-20,743.9,744.0,726.05,739.0,7400
KODYTECH,2025-11-21,739.0,739.0,715.0,719.95,4800
KODYTECH,2025-11-24,720.0,743.95,720.0,728.1,10100
KODYTECH,2025-11-25,731.7,746.0,710.15,728.0,9200
KODYTECH,2025-11-26,730.05,755.0,721.0,728.05,8500
KODYTECH,2025-11-27,741.0,847.65,728.05,831.4,86200
KODYTECH,2025-11-28,850.0,964.0,850.0,919.9,198600
KODYTECH,2025-12-01,921.0,1044.0,915.0,1030.25,73900
KODYTECH,2025-12-02,1060.0,1093.8,962.0,1039.3,82700
KODYTECH,2025-12-03,1055.0,1119.95,1024.9,1106.0,59600
KODYTECH,2025-12-04,1131.0,1145.0,1075.45,1128.25,42800
KODYTECH,2025-12-05,1131.0,1147.0,1025.0,1052.5,30800
KODYTECH,2025-12-08,1055.0,1055.0,947.25,954.9,62100
KODYTECH,2025-12-09,938.0,1003.0,891.0,993.3,24000
KODYTECH,2025-12-10,978.0,1045.0,978.0,1032.6,15700
KODYTECH,2025-12-11,1042.0,1061.85,1018.15,1028.85,17400
KODYTECH,2025-12-12,1028.0,1033.0,1000.5,1011.4,13900
KODYTECH,2025-12-15,1011.4,1011.4,971.0,986.9,7800
KODYTECH,2025-12-16,985.0,985.0,950.0,954.4,9800
KODYTECH,2025-12-17,988.0,990.0,916.0,927.3,6700
KODYTECH,2025-12-18,911.0,945.9,880.3,927.9,7900
KODYTECH,2025-12-19,927.9,950.0,911.1,926.95,5800
KODYTECH,2025-12-22,945.0,955.0,920.2,934.35,4100
KODYTECH,2025-12-23,922.0,943.45,917.05,925.65,2100
KODYTECH,2025-12-24,920.05,935.8,902.0,910.2,4700
KODYTECH,2025-12-26,905.25,925.0,876.0,889.1,7100
KODYTECH,2025-12-29,866.9,926.0,850.55,897.75,15700
KODYTECH,2025-12-30,880.0,909.95,880.0,894.5,4500
KODYTECH,2025-12-31,919.15,925.0,898.05,910.2,6300
KODYTECH,2026-01-01,922.75,930.0,911.0,928.5,2200
KODYTECH,2026-01-02,930.0,944.4,920.0,930.0,6900
KODYTECH,2026-01-05,913.25,940.0,913.25,934.6,7100
KODYTECH,2026-01-06,931.0,945.0,920.0,935.35,5100
KODYTECH,2026-01-07,904.55,1028.0,904.55,1015.15,21300
KODYTECH,2026-01-08,1000.05,1034.0,975.0,1011.05,10600
KODYTECH,2026-01-09,995.0,1006.85,938.0,953.5,9200
KODYTECH,2026-01-12,922.0,935.05,866.65,880.4,44200
KODYTECH,2026-01-13,894.0,897.0,851.0,860.4,7400
KODYTECH,2026-01-14,857.0,869.75,842.05,850.05,4800
KODYTECH,2026-01-16,860.0,873.75,850.0,854.85,3200
