symbol,date,open,high,low,close,volume
KROSS,2025-07-24,189.34,195.59,188.69,189.85,246479
KROSS,2025-07-25,194.4,194.4,183.73,186.53,153391
KROSS,2025-07-28,187.9,187.9,177.3,178.41,173228
KROSS,2025-07-29,178.25,180.96,176.41,177.93,124421
KROSS,2025-07-30,178.05,179.86,176.51,176.95,94661
KROSS,2025-07-31,173.9,177.7,172.4,175.55,89670
KROSS,2025-08-01,177.3,177.68,171.11,172.11,81020
KROSS,2025-08-04,173.05,175.75,172.72,174.09,92220
KROSS,2025-08-05,176.2,176.39,171.0,171.45,78905
KROSS,2025-08-06,171.3,172.0,166.0,168.69,121948
KROSS,2025-08-07,168.1,171.0,165.7,169.09,163600
KROSS,2025-08-08,169.0,173.43,168.13,169.94,109011
KROSS,2025-08-11,170.5,171.0,159.25,160.38,325686
KROSS,2025-08-12,161.0,163.65,159.0,159.53,115899
KROSS,2025-08-13,162.5,163.0,160.1,160.75,78908
KROSS,2025-08-14,162.0,162.8,159.64,160.7,54972
KROSS,2025-08-18,162.65,164.4,160.2,160.99,160713
KROSS,2025-08-19,161.8,171.68,161.7,169.36,197996
KROSS,2025-08-20,170.9,175.3,169.29,171.97,275435
KROSS,2025-08-21,173.0,174.49,170.5,171.02,80627
KROSS,2025-08-22,172.0,199.3,169.41,189.11,18434921
KROSS,2025-08-25,191.5,207.8,191.5,203.35,33880582
KROSS,2025-08-26,206.5,209.6,200.55,204.0,15047044
KROSS,2025-08-28,201.0,201.23,191.39,193.5,2524185
KROSS,2025-08-29,193.0,196.0,187.05,188.43,1614739
KROSS,2025-09-01,189.41,193.59,188.76,190.95,818116
KROSS,2025-09-02,195.43,208.98,195.0,199.31,4656783
KROSS,2025-09-03,200.0,203.7,198.05,201.03,1314805
KROSS,2025-09-04,203.0,206.8,197.63,203.36,1358692
KROSS,2025-09-05,205.0,234.5,204.37,225.91,27012643
KROSS,2025-09-08,226.75,226.75,216.5,217.72,1530252
KROSS,2025-09-09,217.8,231.5,210.25,224.55,3752329
KROSS,2025-09-10,227.0,229.8,220.5,223.89,2160371
KROSS,2025-09-11,223.98,237.46,214.1,216.91,4349865
KROSS,2025-09-12,218.89,221.3,211.3,217.47,979022
KROSS,2025-09-15,218.4,219.79,214.0,214.96,577720
KROSS,2025-09-16,216.89,231.0,216.89,229.25,4506125
KROSS,2025-09-17,232.0,233.7,224.13,229.75,1863377
KROSS,2025-09-18,230.5,237.6,226.17,229.37,1929531
KROSS,2025-09-19,230.8,235.0,213.5,217.21,1822892
KROSS,2025-09-22,217.0,220.86,211.5,213.18,841732
KROSS,2025-09-23,213.95,220.3,212.53,218.73,790265
KROSS,2025-09-24,219.6,226.0,216.3,219.94,1191251
KROSS,2025-09-25,219.0,219.19,202.3,206.14,1215818
KROSS,2025-09-26,205.2,205.2,195.9,198.78,795880
KROSS,2025-09-29,200.9,203.95,196.37,198.3,434700
KROSS,2025-09-30,199.5,199.55,190.71,192.15,484499
KROSS,2025-10-01,192.99,203.83,191.89,202.36,814055
KROSS,2025-10-03,202.45,202.52,197.55,198.21,402682
KROSS,2025-10-06,198.25,202.65,196.17,200.41,438762
KROSS,2025-10-07,201.7,201.7,194.3,195.16,306326
KROSS,2025-10-08,196.7,196.7,190.0,190.69,364396
KROSS,2025-10-09,192.9,192.9,187.52,189.42,469401
KROSS,2025-10-10,191.5,193.5,188.52,189.33,310977
KROSS,2025-10-13,189.3,190.0,184.0,184.68,408485
KROSS,2025-10-14,185.65,187.0,180.0,180.7,402060
KROSS,2025-10-15,181.45,182.9,179.51,181.57,246797
KROSS,2025-10-16,182.99,189.04,182.31,182.91,603162
KROSS,2025-10-17,183.0,183.25,178.0,180.04,285079
KROSS,2025-10-20,180.89,182.99,176.15,181.3,321633
KROSS,2025-10-21,181.84,188.7,181.34,184.1,167127
KROSS,2025-10-23,186.3,187.79,183.26,186.37,332545
KROSS,2025-10-24,187.98,187.98,182.7,183.46,160686
KROSS,2025-10-27,183.5,185.55,183.5,184.77,161120
KROSS,2025-10-28,184.8,185.56,182.02,182.74,143235
KROSS,2025-10-29,183.3,185.4,181.35,184.62,162315
KROSS,2025-10-30,184.3,185.43,182.75,183.34,143143
KROSS,2025-10-31,183.34,184.08,181.06,181.7,117825
KROSS,2025-11-03,181.6,182.86,180.7,181.12,105374
KROSS,2025-11-04,181.14,184.9,179.35,180.81,278602
KROSS,2025-11-06,180.5,180.5,176.54,177.39,172822
KROSS,2025-11-07,176.5,182.0,174.2,175.04,235143
KROSS,2025-11-10,175.4,177.0,174.2,175.68,117995
KROSS,2025-11-11,176.54,177.5,172.66,173.89,126613
KROSS,2025-11-12,174.4,181.49,174.4,180.22,253035
KROSS,2025-11-13,180.0,183.0,179.07,181.08,156052
KROSS,2025-11-14,181.25,184.9,179.25,182.25,213593
KROSS,2025-11-17,177.45,177.5,168.11,170.19,542716
KROSS,2025-11-18,171.55,171.79,167.45,169.25,183428
KROSS,2025-11-19,171.5,171.5,163.72,164.48,302518
KROSS,2025-11-20,166.9,171.9,165.61,166.79,403578
KROSS,2025-11-21,165.05,167.5,164.0,164.83,183868
KROSS,2025-11-24,165.67,167.0,158.5,159.79,291865
KROSS,2025-11-25,159.3,162.63,158.63,160.65,215485
KROSS,2025-11-26,161.5,162.8,157.7,158.76,243559
KROSS,2025-11-27,158.85,165.37,158.8,161.04,420610
KROSS,2025-11-28,160.45,169.96,159.42,168.19,353248
KROSS,2025-12-01,169.54,173.99,168.38,172.76,373378
KROSS,2025-12-02,172.11,172.9,168.63,169.32,136294
KROSS,2025-12-03,169.3,172.0,166.01,166.48,189564
KROSS,2025-12-04,167.81,167.87,164.01,165.97,136303
KROSS,2025-12-05,166.0,166.01,160.68,165.19,218571
KROSS,2025-12-08,165.0,165.79,160.01,160.89,137729
KROSS,2025-12-09,161.0,163.48,156.32,162.32,193560
KROSS,2025-12-10,163.99,165.5,160.25,161.59,173793
KROSS,2025-12-11,161.5,170.5,161.1,167.85,197261
KROSS,2025-12-12,170.37,179.8,168.06,177.67,1062863
KROSS,2025-12-15,179.45,179.59,173.27,174.28,214917
KROSS,2025-12-16,174.5,180.98,173.11,179.3,276852
KROSS,2025-12-17,180.0,180.06,171.35,172.08,155427
KROSS,2025-12-18,172.01,181.7,169.0,175.25,456564
KROSS,2025-12-19,176.47,176.67,174.41,176.22,101179
KROSS,2025-12-22,177.4,202.44,177.0,198.5,2847113
KROSS,2025-12-23,197.5,211.07,192.5,203.3,1955609
KROSS,2025-12-24,201.9,203.25,197.01,199.16,430133
KROSS,2025-12-26,198.97,203.3,192.45,195.01,506915
KROSS,2025-12-29,194.0,195.7,186.0,186.75,342938
KROSS,2025-12-30,186.3,189.75,182.25,184.52,233651
KROSS,2025-12-31,184.85,186.79,184.35,185.41,104138
KROSS,2026-01-01,185.7,213.98,185.7,206.37,30170435
KROSS,2026-01-02,206.38,212.6,200.96,204.87,14670783
KROSS,2026-01-05,201.2,204.38,196.35,201.54,1422270
KROSS,2026-01-06,201.0,210.86,200.64,203.05,1459951
