symbol,date,open,high,low,close,volume
LAKPRE,2006-09-26,59.0,59.8,52.0,53.55,2235
LAKPRE,2006-09-27,52.25,57.2,52.25,56.75,330
LAKPRE,2006-09-28,52.15,62.95,52.15,59.8,1400
LAKPRE,2006-09-29,59.0,59.65,57.5,59.5,900
LAKPRE,2006-10-03,58.95,61.0,58.95,61.0,1800
LAKPRE,2006-10-04,64.0,73.2,64.0,69.35,15900
LAKPRE,2006-10-05,74.0,74.25,67.0,68.65,22000
LAKPRE,2006-10-06,69.1,70.2,68.0,69.45,6800
LAKPRE,2006-10-09,69.0,74.8,69.0,69.05,4500
LAKPRE,2006-10-10,69.5,69.5,67.5,67.5,2800
LAKPRE,2006-10-11,68.5,69.8,68.0,68.75,2900
LAKPRE,2006-10-12,68.75,68.75,66.05,66.5,3000
LAKPRE,2006-10-13,67.0,67.75,66.25,66.25,3000
LAKPRE,2006-10-16,66.5,70.0,66.5,67.7,4200
LAKPRE,2006-10-17,67.9,69.0,66.4,66.9,1300
LAKPRE,2006-10-18,69.2,69.25,65.9,66.55,1687
LAKPRE,2006-10-19,65.3,68.0,65.3,66.6,459
LAKPRE,2006-10-20,66.35,69.45,66.35,68.5,2500
LAKPRE,2006-10-23,70.85,70.9,69.0,70.05,1500
LAKPRE,2006-10-26,68.55,70.5,68.55,70.1,1400
LAKPRE,2006-10-27,69.25,70.65,69.25,70.05,500
LAKPRE,2006-10-30,69.3,73.9,69.0,70.45,3100
LAKPRE,2006-10-31,73.75,73.85,70.45,71.0,1596
LAKPRE,2006-11-01,70.0,71.0,70.0,70.0,1300
LAKPRE,2006-11-02,71.0,76.25,70.5,74.95,16500
LAKPRE,2006-11-03,75.0,82.35,72.6,76.05,7000
LAKPRE,2006-11-06,77.0,78.9,76.0,76.2,8800
LAKPRE,2006-11-07,75.0,83.9,75.0,77.3,5600
LAKPRE,2006-11-08,78.0,78.5,73.0,74.85,1000
LAKPRE,2006-11-09,70.05,74.7,70.05,72.5,1800
LAKPRE,2006-11-10,73.9,77.25,71.1,75.1,39800
LAKPRE,2006-11-13,76.0,86.8,76.0,81.95,14200
LAKPRE,2006-11-14,84.0,93.4,82.5,85.75,51400
LAKPRE,2006-11-15,88.0,91.0,85.35,85.65,14900
LAKPRE,2006-11-16,90.0,90.0,87.25,87.85,14000
LAKPRE,2006-11-17,88.75,89.0,85.5,86.1,4200
LAKPRE,2006-11-20,87.0,90.0,82.0,83.35,7800
LAKPRE,2006-11-21,87.75,96.5,85.0,93.35,67200
LAKPRE,2006-11-22,108.0,108.0,92.25,93.1,70500
LAKPRE,2006-11-23,93.5,94.75,88.55,91.75,44000
LAKPRE,2006-11-24,91.0,91.8,89.05,89.7,14900
LAKPRE,2006-11-27,97.0,97.0,91.0,95.7,27900
LAKPRE,2006-11-28,97.95,98.5,93.0,96.6,33700
LAKPRE,2006-11-29,99.0,100.7,97.6,98.8,29300
LAKPRE,2006-11-30,98.75,114.0,98.0,109.4,93000
LAKPRE,2006-12-01,114.0,120.35,113.5,120.35,74900
LAKPRE,2006-12-04,126.85,132.4,124.5,132.4,132800
