symbol,date,open,high,low,close,volume
LANCER,2022-05-10,112.5,115.0,104.975,108.025,161784
LANCER,2022-05-11,109.5,112.5,97.5,101.175,207254
LANCER,2022-05-12,104.075,104.075,92.3,95.8,34252
LANCER,2022-05-13,98.225,105.375,97.625,98.125,29110
LANCER,2022-05-16,102.5,107.0,97.475,99.2,34858
LANCER,2022-05-17,99.725,102.35,98.9,100.075,9218
LANCER,2022-05-18,98.125,110.075,98.125,109.875,194024
LANCER,2022-05-19,109.875,114.0,104.775,109.025,102258
LANCER,2022-05-20,111.0,117.4,107.05,111.2,48352
LANCER,2022-05-23,122.0,122.0,112.55,117.525,168982
LANCER,2022-05-24,118.95,118.95,105.775,107.175,208408
LANCER,2022-05-25,107.0,111.95,101.125,105.125,109610
LANCER,2022-05-26,105.125,107.375,101.0,101.9,62726
LANCER,2022-05-27,101.05,104.45,99.0,99.875,42502
LANCER,2022-05-30,105.95,105.95,100.75,103.175,38956
LANCER,2022-05-31,104.95,113.475,100.15,110.1,206536
LANCER,2022-06-01,114.0,114.0,109.0,109.925,129660
LANCER,2022-06-02,112.0,112.8,109.25,109.725,462116
LANCER,2022-06-03,109.725,110.725,108.5,108.5,369634
LANCER,2022-06-06,110.5,110.5,103.45,105.0,396976
LANCER,2022-06-07,105.5,107.025,101.775,102.425,42574
LANCER,2022-06-08,103.5,110.75,101.375,106.45,187806
LANCER,2022-06-09,107.4,113.175,102.225,106.275,111438
LANCER,2022-06-10,107.45,108.45,102.55,104.025,92192
LANCER,2022-06-13,101.55,102.475,95.775,97.25,68344
LANCER,2022-06-14,97.25,98.7,96.075,97.0,23998
LANCER,2022-06-15,99.175,99.725,97.025,97.775,9788
LANCER,2022-06-16,97.25,100.95,92.425,93.775,44372
LANCER,2022-06-17,92.775,101.075,90.25,97.075,912354
LANCER,2022-06-20,98.675,98.675,88.3,91.225,41450
LANCER,2022-06-21,91.2,102.125,88.375,96.4,473728
LANCER,2022-06-22,95.45,95.95,93.1,93.375,13846
LANCER,2022-06-23,93.375,93.675,91.125,91.975,35570
LANCER,2022-06-24,94.225,104.7,92.1,98.125,422884
LANCER,2022-06-27,101.5,101.675,99.325,100.0,23950
LANCER,2022-06-28,101.45,112.475,98.85,103.4,137130
LANCER,2022-06-29,102.05,103.975,98.75,99.375,1607454
LANCER,2022-06-30,99.375,105.1,99.375,101.325,97622
LANCER,2022-07-01,102.175,109.75,100.25,106.125,176984
LANCER,2022-07-04,107.45,109.55,103.5,106.95,66670
LANCER,2022-07-05,106.95,109.7,105.05,106.075,34060
LANCER,2022-07-06,106.075,125.025,102.55,113.725,551584
LANCER,2022-07-07,116.95,121.775,115.05,117.45,349868
LANCER,2022-07-08,118.925,119.825,115.6,118.05,126540
LANCER,2022-07-11,119.9,120.5,116.0,117.575,64498
LANCER,2022-07-12,117.45,117.725,113.0,113.925,67038
LANCER,2022-07-13,112.0,116.8,112.0,112.85,19182
LANCER,2022-07-14,110.5,112.5,110.5,111.125,25132
LANCER,2022-07-15,111.0,117.4,109.225,114.825,81720
LANCER,2022-07-18,113.275,119.4,112.075,116.625,71288
LANCER,2022-07-19,118.9,118.9,114.5,115.5,59082
LANCER,2022-07-20,117.425,118.9,115.75,116.975,156874
LANCER,2022-07-21,116.0,118.675,113.55,114.925,31384
LANCER,2022-07-22,117.475,137.9,113.425,125.175,959274
LANCER,2022-07-25,131.1,140.0,126.55,127.775,633252
LANCER,2022-07-26,128.9,132.5,119.275,123.225,333218
LANCER,2022-07-27,125.0,130.45,120.55,122.95,162038
LANCER,2022-07-28,122.95,124.975,122.0,123.075,64558
LANCER,2022-07-29,125.0,127.5,121.7,122.825,137492
LANCER,2022-08-01,122.5,124.625,120.0,123.25,169598
LANCER,2022-08-02,124.5,127.5,122.525,124.125,304094
LANCER,2022-08-03,126.4,127.475,121.05,122.45,349786
LANCER,2022-08-04,123.975,128.0,123.0,125.925,381254
LANCER,2022-08-05,126.625,132.4,124.875,127.775,474062
LANCER,2022-08-08,128.0,133.0,128.0,132.175,227848
LANCER,2022-08-10,136.725,141.575,133.075,137.45,370424
LANCER,2022-08-11,140.15,140.85,132.675,134.1,242618
LANCER,2022-08-12,135.0,136.55,128.5,130.275,252064
LANCER,2022-08-16,130.0,132.65,120.0,121.525,360410
LANCER,2022-08-17,123.425,123.425,118.525,120.225,176396
