symbol,date,open,high,low,close,volume
LCCINFOTEC,2002-07-01,1.8,1.97,1.77,1.84,1150700
LCCINFOTEC,2002-07-02,2.14,2.14,1.8,1.87,1111100
LCCINFOTEC,2002-07-03,2.15,2.15,1.8,1.85,1012100
LCCINFOTEC,2002-07-04,2.09,2.09,1.86,1.87,1189325
LCCINFOTEC,2002-07-05,2.06,2.06,1.86,1.9,1458875
LCCINFOTEC,2002-07-08,1.94,2.08,1.93,2.04,2632500
LCCINFOTEC,2002-07-09,2.1,2.1,1.95,1.97,1415300
LCCINFOTEC,2002-07-10,1.84,2.0,1.84,1.91,553525
LCCINFOTEC,2002-07-11,1.88,1.92,1.81,1.82,658775
LCCINFOTEC,2002-07-12,1.85,1.87,1.8,1.82,387675
LCCINFOTEC,2002-07-15,1.8,2.19,1.73,1.98,871625
LCCINFOTEC,2002-07-16,1.89,1.98,1.84,1.84,853525
LCCINFOTEC,2002-07-17,1.83,1.85,1.73,1.79,550750
LCCINFOTEC,2002-07-18,1.87,1.87,1.8,1.81,248825
LCCINFOTEC,2002-07-19,1.75,1.82,1.73,1.75,216350
LCCINFOTEC,2002-07-22,1.58,1.79,1.58,1.66,888250
LCCINFOTEC,2002-07-23,1.98,1.98,1.62,1.71,320500
LCCINFOTEC,2002-07-24,1.71,1.72,1.62,1.65,220325
LCCINFOTEC,2002-07-25,1.87,1.87,1.63,1.63,136975
LCCINFOTEC,2002-07-26,1.85,1.85,1.42,1.48,495100
LCCINFOTEC,2002-07-29,1.77,1.77,1.43,1.47,380400
LCCINFOTEC,2002-07-30,1.2,1.55,1.2,1.45,339450
LCCINFOTEC,2002-07-31,1.42,1.58,1.25,1.41,682300
LCCINFOTEC,2002-08-01,1.39,1.44,1.36,1.4,196250
LCCINFOTEC,2002-08-02,1.35,1.4,1.35,1.4,122500
LCCINFOTEC,2002-08-05,1.41,1.45,1.38,1.42,243750
LCCINFOTEC,2002-08-06,1.41,1.46,1.35,1.44,242000
LCCINFOTEC,2002-08-07,1.45,1.47,1.42,1.43,213500
LCCINFOTEC,2002-08-08,1.45,1.46,1.37,1.41,234675
LCCINFOTEC,2002-08-09,1.36,1.4,1.36,1.4,55625
LCCINFOTEC,2002-08-12,1.41,1.41,1.37,1.4,155000
LCCINFOTEC,2002-08-13,1.42,1.43,1.39,1.4,40000
LCCINFOTEC,2002-08-14,1.38,1.4,1.37,1.39,37500
LCCINFOTEC,2002-08-15,1.39,1.39,1.39,1.39,0
LCCINFOTEC,2002-08-16,1.4,1.41,1.38,1.4,59000
LCCINFOTEC,2002-08-19,1.33,1.4,1.33,1.36,78050
LCCINFOTEC,2002-08-20,1.35,1.4,1.35,1.37,206250
LCCINFOTEC,2002-08-21,1.35,1.45,1.35,1.43,333100
LCCINFOTEC,2002-08-22,1.47,1.48,1.37,1.38,274850
LCCINFOTEC,2002-08-23,1.39,1.43,1.39,1.41,96250
