symbol,date,open,high,low,close,volume
LIBAS,2021-07-26,56.1032,56.5303,53.3466,53.8513,445621
LIBAS,2021-07-27,54.3561,55.3267,53.1913,53.929,384602
LIBAS,2021-07-28,54.9384,55.5208,53.2301,53.7737,464861
LIBAS,2021-07-29,54.3172,55.4044,53.5019,54.0455,427776
LIBAS,2021-07-30,55.0549,55.0549,52.7254,53.3078,343440
LIBAS,2021-08-02,53.8125,54.4337,53.4631,54.0455,534928
LIBAS,2021-08-03,54.822,55.0938,54.2396,55.0161,578426
LIBAS,2021-08-04,55.8314,55.8703,53.3078,53.7737,647705
LIBAS,2021-08-05,53.8513,54.589,52.5701,53.5795,298151
LIBAS,2021-08-06,55.5208,55.9091,54.1619,54.4725,1007201
LIBAS,2021-08-09,57.6951,57.6951,54.2008,55.0161,847353
LIBAS,2021-08-10,56.8409,56.8409,54.1619,54.5114,442291
LIBAS,2021-08-11,54.5114,55.0549,53.3466,53.5795,479116
LIBAS,2021-08-12,53.1913,55.1326,53.1913,54.4725,417181
LIBAS,2021-08-13,55.0161,55.0549,53.4631,54.1619,447203
LIBAS,2021-08-16,54.9773,55.9091,54.1619,54.4725,693936
LIBAS,2021-08-17,54.9773,57.0739,54.1231,54.3172,1761304
LIBAS,2021-08-18,54.9384,54.9384,52.6477,53.2689,678913
LIBAS,2021-08-20,52.8419,53.6184,47.2121,49.0369,1032031
LIBAS,2021-08-23,48.7652,48.7652,39.2528,41.233,1111545
LIBAS,2021-08-24,43.4848,43.7955,40.4176,41.3883,868552
LIBAS,2021-08-25,41.8542,49.6193,41.1941,48.7263,1376741
LIBAS,2021-08-26,48.0663,51.2112,46.9792,49.1534,1320445
LIBAS,2021-08-27,49.697,50.3958,49.464,50.3182,502242
LIBAS,2021-08-30,50.3182,52.4148,48.2604,49.8134,1131124
LIBAS,2021-08-31,51.1723,51.1723,46.5909,48.1439,841890
LIBAS,2021-09-01,48.8816,49.1146,47.5616,48.4157,350259
LIBAS,2021-09-02,48.1439,49.1534,46.0085,47.1733,498498
LIBAS,2021-09-03,48.1439,49.0758,46.9792,48.1439,327263
LIBAS,2021-09-06,48.6487,48.9205,47.7557,48.2604,359813
LIBAS,2021-09-07,49.1534,49.1534,47.7557,48.0275,303081
LIBAS,2021-09-08,48.7652,48.9205,46.8627,47.2509,447427
LIBAS,2021-09-09,48.2216,49.3087,47.8333,48.1439,555835
LIBAS,2021-09-13,48.9205,49.1922,47.9498,48.5322,668611
LIBAS,2021-09-14,48.804,48.8816,46.8627,47.4839,570864
LIBAS,2021-09-15,48.3381,48.7652,47.3674,47.8722,538204
LIBAS,2021-09-16,48.5322,48.5322,47.3674,47.7945,419452
LIBAS,2021-09-17,48.9205,48.9205,46.0473,46.5521,680432
LIBAS,2021-09-20,46.8239,47.1345,46.2027,46.5521,295390
LIBAS,2021-09-21,48.8273,50.3182,46.125,48.6875,1088528
LIBAS,2021-09-22,49.2466,50.1784,48.175,48.5011,699517
LIBAS,2021-09-23,49.0602,50.1318,47.2898,47.8489,803228
LIBAS,2021-09-24,48.3614,49.0136,47.2898,48.6875,1042951
LIBAS,2021-09-27,48.967,49.3864,47.0568,47.5693,312206
LIBAS,2021-09-28,48.3614,50.0386,46.6375,46.7307,908493
LIBAS,2021-09-29,46.5909,47.8489,46.4511,47.0102,201773
LIBAS,2021-09-30,47.5693,47.7557,46.5909,46.6841,287046
LIBAS,2021-10-01,47.1034,47.1034,45.4727,45.892,170462
LIBAS,2021-10-04,45.9386,46.4511,43.7955,45.2398,212335
LIBAS,2021-10-05,45.2864,45.5659,43.9818,44.5409,127272
LIBAS,2021-10-06,45.1932,45.1932,42.7239,42.9568,210312
LIBAS,2021-10-07,43.5159,46.5909,42.1648,46.2182,433328
LIBAS,2021-10-08,47.4295,48.2216,46.1716,46.6841,223181
LIBAS,2021-10-11,46.7773,49.3864,46.2648,46.7307,334520
LIBAS,2021-10-12,47.2898,47.2898,45.7523,46.0784,108713
LIBAS,2021-10-13,47.0568,50.3182,45.9386,48.5477,1174386
LIBAS,2021-10-14,48.4545,48.8273,46.358,46.6841,286984
LIBAS,2021-10-18,48.3148,48.3148,45.2864,47.5227,546930
LIBAS,2021-10-19,48.1284,48.1284,45.4727,45.7523,149115
LIBAS,2021-10-20,45.7523,45.7523,43.4693,43.7955,126442
LIBAS,2021-10-21,45.4261,45.4261,43.5159,43.9352,64557
LIBAS,2021-10-22,43.842,44.7273,43.3761,43.6091,55780
LIBAS,2021-10-25,43.7955,44.4011,41.3261,42.025,100519
LIBAS,2021-10-26,41.9318,43.6557,41.5125,42.2114,52740
LIBAS,2021-10-27,42.3977,42.817,41.6057,41.8386,60187
LIBAS,2021-10-28,41.7455,44.7273,40.8136,41.8386,250414
LIBAS,2021-10-29,42.6773,42.7239,40.6739,41.9784,187841
LIBAS,2021-11-01,42.025,44.9602,41.2795,43.1432,168227
LIBAS,2021-11-02,43.7955,44.8205,41.9784,42.2114,211286
LIBAS,2021-11-03,42.7239,43.7489,42.025,43.5159,306743
LIBAS,2021-11-04,43.7955,44.4943,42.4909,43.0966,213064
LIBAS,2021-11-08,43.2364,44.6341,41.792,42.025,606044
LIBAS,2021-11-09,42.817,44.5409,41.7455,43.7023,302978
LIBAS,2021-11-10,43.6557,47.0102,43.5625,45.7523,619634
LIBAS,2021-11-11,46.3114,50.3182,46.0318,49.1068,886115
LIBAS,2021-11-12,49.992,51.483,48.5477,50.4114,617819
LIBAS,2021-11-15,50.5045,51.017,46.7307,47.8023,291684
LIBAS,2021-11-16,47.1966,47.7557,42.025,42.3977,1121211
LIBAS,2021-11-17,41.4193,43.5625,41.4193,41.8852,796621
LIBAS,2021-11-18,41.9318,42.6773,36.9466,39.0432,1527525
LIBAS,2021-11-22,38.6705,38.6705,31.2625,31.2625,1570632
LIBAS,2021-11-23,28.1409,28.1409,28.1409,28.1409,358318
LIBAS,2021-11-24,25.3455,25.3455,25.3455,25.3455,297355
LIBAS,2021-11-25,23.7614,27.8614,22.8295,27.8614,2186107
LIBAS,2021-11-26,29.3989,30.6102,28.4205,30.5636,1388100
LIBAS,2021-11-29,29.7716,29.7716,27.5352,27.5352,652709
LIBAS,2021-11-30,27.4886,29.3057,27.4886,27.7216,307900
LIBAS,2021-12-01,28.5602,28.7932,27.4886,27.6284,197127
LIBAS,2021-12-02,28.2341,28.5136,27.6284,28.0011,184539
LIBAS,2021-12-03,27.9545,28.467,27.4886,27.6284,211849
LIBAS,2021-12-06,28.2807,28.3739,27.1159,27.3489,925013
LIBAS,2021-12-07,27.8148,27.8614,26.3705,27.1159,164346
LIBAS,2021-12-08,27.2091,27.8148,26.8364,27.1159,617269
LIBAS,2021-12-09,27.5818,27.5818,26.8364,27.1159,196608
LIBAS,2021-12-10,27.3955,29.8182,26.9761,29.2125,958649
LIBAS,2021-12-13,30.1909,30.8898,29.2591,30.0511,771563
LIBAS,2021-12-14,30.0977,30.0977,28.5136,29.3523,808460
LIBAS,2021-12-15,29.3523,29.9114,28.4205,28.8864,424989
LIBAS,2021-12-16,29.3523,29.3523,28.0943,28.2341,184539
LIBAS,2021-12-17,28.6534,30.0511,27.3955,27.6284,563364
LIBAS,2021-12-20,27.675,27.7216,26.0909,26.5102,205972
LIBAS,2021-12-21,26.5568,27.675,26.5568,26.8364,185783
LIBAS,2021-12-22,27.442,28.2341,26.883,27.1625,247092
LIBAS,2021-12-23,27.1159,27.6284,26.1841,27.0227,364365
LIBAS,2021-12-24,27.675,27.675,26.7898,26.9761,185319
LIBAS,2021-12-27,27.0227,27.3489,26.5568,26.883,171560
LIBAS,2021-12-28,27.442,28.0011,26.7432,27.3955,343472
LIBAS,2021-12-29,27.908,29.1193,27.3955,28.3273,612848
LIBAS,2021-12-30,28.7466,29.0261,28.5136,28.6534,263239
LIBAS,2021-12-31,28.2807,28.7932,28.2341,28.4205,160415
LIBAS,2022-01-03,28.4205,30.1909,28.4205,29.6784,689347
LIBAS,2022-01-04,30.75,30.75,27.9545,28.8864,287749
LIBAS,2022-01-05,29.2591,29.3523,28.1409,28.7932,357843
LIBAS,2022-01-06,28.7932,28.7932,27.9545,28.1875,386038
LIBAS,2022-01-07,28.8398,29.9114,28.3739,28.7466,449076
LIBAS,2022-01-10,29.2591,29.6784,28.7932,28.8398,354048
LIBAS,2022-01-11,29.2591,29.2591,28.3739,28.8864,296614
LIBAS,2022-01-12,28.8864,29.1659,27.675,28.3739,504578
LIBAS,2022-01-13,29.1193,29.1193,28.2341,28.5136,212659
LIBAS,2022-01-14,28.8398,28.8398,28.3739,28.467,202677
LIBAS,2022-01-17,28.467,30.0511,28.467,29.0727,383383
LIBAS,2022-01-18,29.0727,29.4455,28.5136,28.6534,421315
LIBAS,2022-01-19,28.8864,29.5852,28.4205,28.933,431598
LIBAS,2022-01-20,28.9795,31.8216,28.9795,30.2375,1159244
LIBAS,2022-01-21,29.8182,30.3773,28.4205,28.7932,380767
LIBAS,2022-01-24,29.0261,29.0261,26.1841,26.6966,338621
LIBAS,2022-01-25,26.0909,27.908,25.9045,27.3489,497187
LIBAS,2022-01-27,27.3023,29.0261,27.0227,28.0011,214625
LIBAS,2022-01-28,28.0011,28.7932,27.3023,27.7216,184161
LIBAS,2022-01-31,28.2807,28.8864,27.1159,27.7216,105722
LIBAS,2022-02-01,27.675,28.2341,27.4886,27.908,87404
LIBAS,2022-02-02,27.9545,28.2807,27.675,27.9545,317276
LIBAS,2022-02-03,27.9545,28.1875,27.5818,27.7682,313965
LIBAS,2022-02-04,28.3273,28.3273,27.675,27.8614,283303
LIBAS,2022-02-07,28.2341,28.2341,27.3023,27.675,243177
LIBAS,2022-02-08,27.9545,28.1875,26.8364,27.3489,234763
LIBAS,2022-02-09,27.7216,27.7216,27.1159,27.3489,147672
LIBAS,2022-02-10,27.8148,27.8148,27.0227,27.2557,154199
LIBAS,2022-02-11,27.2557,27.3955,26.6966,26.9295,159477
LIBAS,2022-02-14,24.2273,27.9545,24.2273,25.8114,322113
LIBAS,2022-02-15,27.0227,27.0227,25.5318,25.7648,252854
LIBAS,2022-02-16,26.9295,26.9295,25.858,26.0909,230827
LIBAS,2022-02-17,26.9295,29.6318,26.0909,27.908,916624
LIBAS,2022-02-18,27.8614,28.5602,27.2091,27.8614,557981
LIBAS,2022-02-21,26.8364,28.2807,26.0909,27.0693,273600
LIBAS,2022-02-22,27.0227,28.2807,25.2523,28.1409,732257
LIBAS,2022-02-23,28.1409,29.3057,27.675,28.8864,491100
LIBAS,2022-02-24,28.0477,28.0477,24.5068,25.2057,363725
LIBAS,2022-02-25,26.8364,27.2557,24.4602,26.3705,388224
LIBAS,2022-02-28,26.2773,26.883,25.625,26.3239,356154
LIBAS,2022-03-02,26.883,31.1693,25.7182,27.8614,1363653
LIBAS,2022-03-03,29.1659,29.8182,27.9545,28.8864,1034565
LIBAS,2022-03-04,28.8864,28.8864,27.3955,27.5818,523018
LIBAS,2022-03-07,26.5568,27.8614,25.9977,26.417,429459
LIBAS,2022-03-08,26.4636,26.9295,25.9045,26.2307,297841
LIBAS,2022-03-09,26.6034,27.0693,26.2773,26.7898,294881
LIBAS,2022-03-10,27.3955,28.1409,26.7432,26.9761,285117
LIBAS,2022-03-11,27.3955,27.7682,26.65,26.7898,211615
LIBAS,2022-03-14,27.5818,27.5818,26.3239,26.65,200484
LIBAS,2022-03-15,27.3023,27.3023,26.1375,26.3705,215143
LIBAS,2022-03-16,26.417,26.7432,26.2773,26.3705,219869
LIBAS,2022-03-17,26.7432,26.9295,26.2773,26.3705,180512
LIBAS,2022-03-21,26.4636,27.0227,25.0193,25.4386,278048
LIBAS,2022-03-22,25.9045,26.0909,25.1591,25.392,94251
LIBAS,2022-03-23,25.9977,26.0443,25.3455,25.5784,105871
LIBAS,2022-03-24,25.9045,25.9045,25.1125,25.1591,111190
LIBAS,2022-03-25,25.1591,25.625,23.1557,24.1807,225961
LIBAS,2022-03-28,24.6466,24.6466,22.2705,22.4102,440197
LIBAS,2022-03-29,22.783,23.2955,21.6648,22.1773,283636
LIBAS,2022-03-30,22.9227,23.2023,22.3636,22.8761,111128
LIBAS,2022-03-31,23.2955,23.2955,22.4102,22.5034,92567
LIBAS,2022-04-01,23.0159,23.8545,22.5034,23.575,55308
LIBAS,2022-04-04,24.1807,24.6932,23.6682,24.4602,127867
LIBAS,2022-04-05,24.7864,25.0193,24.2273,24.8795,179885
LIBAS,2022-04-06,24.8795,25.7182,24.6932,24.9727,89781
LIBAS,2022-04-07,25.4386,25.7182,25.1591,25.2989,47987
LIBAS,2022-04-08,25.8114,25.8114,25.0193,25.5318,114974
LIBAS,2022-04-11,25.1591,25.9045,25.1591,25.6716,92745
LIBAS,2022-04-12,25.2523,25.4386,24.6932,24.833,64351
LIBAS,2022-04-13,24.7864,25.392,24.7864,24.8795,33893
LIBAS,2022-04-18,24.8795,25.0193,24.2273,24.3205,61253
LIBAS,2022-04-19,24.9727,24.9727,24.2273,24.3205,47306
LIBAS,2022-04-20,24.7864,24.7864,24.0875,24.1807,37095
LIBAS,2022-04-21,24.6,24.6,23.1091,23.6682,177223
LIBAS,2022-04-22,24.0875,24.2273,23.4818,24.0409,54455
LIBAS,2022-04-25,23.575,24.1341,23.575,23.575,50877
LIBAS,2022-04-26,23.575,23.9943,23.4818,23.575,38156
LIBAS,2022-04-27,23.7148,23.7148,23.2023,23.2489,27483
LIBAS,2022-04-28,23.2489,23.575,22.9227,23.342,22057
LIBAS,2022-04-29,22.9227,23.2955,22.1773,22.6432,49656
LIBAS,2022-05-02,22.5034,23.4818,22.5034,23.1557,27736
LIBAS,2022-05-04,23.0159,23.2489,21.6182,22.1773,50752
LIBAS,2022-05-05,22.4568,22.6898,21.9443,22.4102,140305
LIBAS,2022-05-06,22.4568,22.4568,21.4318,21.9443,42111
LIBAS,2022-05-09,21.4318,24.2273,21.4318,22.5966,46881
LIBAS,2022-05-10,23.4352,23.4352,21.525,21.758,98145
LIBAS,2022-05-11,22.4102,22.4102,19.708,20.9193,106864
LIBAS,2022-05-12,21.3386,21.3386,20.3602,20.5,34396
LIBAS,2022-05-13,20.5932,24.6,20.2205,23.3886,737500
LIBAS,2022-05-16,24.2273,24.2273,22.5034,23.2489,351404
LIBAS,2022-05-17,23.2023,23.7148,23.1091,23.4352,103291
LIBAS,2022-05-18,23.7148,23.7148,23.0159,23.1091,124877
LIBAS,2022-05-19,22.783,23.0625,21.0125,22.1307,88458
LIBAS,2022-05-20,22.1773,23.7148,22.0375,23.0159,77626
LIBAS,2022-05-23,23.8545,23.9477,22.6898,23.7614,147347
LIBAS,2022-05-24,23.8545,24.0409,20.8261,22.8761,206429
LIBAS,2022-05-25,22.3636,25.392,22.3636,24.1807,691360
LIBAS,2022-05-26,24.1807,25.1125,22.2705,24.4136,737423
LIBAS,2022-05-27,24.2273,25.5318,24.0875,24.4136,263527
