symbol,date,open,high,low,close,volume
LPDC,2021-07-26,6.5,6.5,6.2,6.5,142664
LPDC,2021-07-27,6.8,6.8,6.2,6.2,168758
LPDC,2021-07-28,5.9,5.9,5.9,5.9,51035
LPDC,2021-07-29,5.65,5.65,5.65,5.65,140662
LPDC,2021-07-30,5.4,5.9,5.4,5.9,106073
LPDC,2021-08-02,6.15,6.15,5.9,6.1,185689
LPDC,2021-08-03,5.8,6.3,5.8,5.9,82667
LPDC,2021-08-04,6.15,6.15,5.65,5.9,87868
LPDC,2021-08-05,5.9,6.0,5.65,5.65,43122
LPDC,2021-08-06,5.4,5.65,5.4,5.45,58473
LPDC,2021-08-09,5.7,5.7,5.2,5.2,88110
LPDC,2021-08-10,4.95,5.4,4.95,4.95,72049
LPDC,2021-08-11,4.75,4.75,4.75,4.75,49619
LPDC,2021-08-12,4.55,4.75,4.55,4.6,57068
LPDC,2021-08-13,4.8,4.8,4.4,4.8,27975
LPDC,2021-08-16,4.9,5.0,4.6,5.0,71306
LPDC,2021-08-17,4.9,5.25,4.75,4.75,30687
LPDC,2021-08-18,4.95,4.95,4.55,4.8,85820
LPDC,2021-08-20,4.8,4.8,4.6,4.6,11353
LPDC,2021-08-23,4.4,4.4,4.4,4.4,23556
LPDC,2021-08-24,4.3,4.3,4.2,4.2,15608
LPDC,2021-08-25,4.2,4.4,4.0,4.3,59349
LPDC,2021-08-26,4.1,4.5,4.1,4.45,35548
LPDC,2021-08-27,4.4,4.65,4.25,4.4,46143
LPDC,2021-08-30,4.45,4.55,4.2,4.35,45242
LPDC,2021-08-31,4.55,4.55,4.15,4.25,25229
LPDC,2021-09-01,4.25,4.25,4.05,4.1,52628
LPDC,2021-09-02,4.2,4.3,3.9,4.1,45990
LPDC,2021-09-03,4.25,4.3,4.05,4.25,58328
LPDC,2021-09-06,4.45,4.45,4.05,4.15,46244
LPDC,2021-09-07,4.05,4.3,4.05,4.2,30368
LPDC,2021-09-08,4.35,4.35,4.1,4.2,29581
LPDC,2021-09-09,4.4,4.4,4.1,4.3,44194
LPDC,2021-09-13,4.3,4.3,4.15,4.2,33240
LPDC,2021-09-14,4.0,4.25,4.0,4.2,35788
LPDC,2021-09-15,4.2,4.4,4.05,4.35,82975
LPDC,2021-09-16,4.5,4.55,4.2,4.55,174078
LPDC,2021-09-17,4.5,4.75,4.5,4.7,75288
LPDC,2021-09-20,4.8,4.9,4.55,4.65,52654
LPDC,2021-09-21,4.6,4.8,4.45,4.55,48441
LPDC,2021-09-22,4.75,4.75,4.35,4.4,31600
LPDC,2021-09-23,4.4,4.6,4.2,4.6,63309
LPDC,2021-09-24,4.4,4.7,4.4,4.55,35085
LPDC,2021-09-27,4.65,4.7,4.35,4.45,97024
LPDC,2021-09-28,4.35,4.55,4.25,4.5,48745
LPDC,2021-09-29,4.45,4.7,4.3,4.65,74153
LPDC,2021-09-30,4.85,4.85,4.65,4.65,61395
LPDC,2021-10-01,4.8,4.8,4.45,4.65,34769
LPDC,2021-10-04,4.8,4.8,4.5,4.65,38447
LPDC,2021-10-05,4.55,4.85,4.55,4.85,73445
LPDC,2021-10-06,4.65,5.05,4.65,5.0,59267
LPDC,2021-10-07,5.2,5.2,4.75,5.05,72918
LPDC,2021-10-08,5.2,5.2,5.0,5.2,46247
LPDC,2021-10-11,5.45,5.45,5.0,5.45,69533
LPDC,2021-10-12,5.45,5.45,5.2,5.2,49411
LPDC,2021-10-13,5.0,5.1,4.95,4.95,41777
LPDC,2021-10-14,4.95,4.95,4.75,4.75,24268
LPDC,2021-10-18,4.9,4.9,4.55,4.6,115096
LPDC,2021-10-19,4.7,4.8,4.55,4.7,175264
LPDC,2021-10-20,4.8,4.8,4.6,4.6,69841
LPDC,2021-10-21,4.6,4.8,4.5,4.65,52766
LPDC,2021-10-22,4.75,4.85,4.55,4.65,31600
LPDC,2021-10-25,4.85,4.85,4.5,4.65,36257
LPDC,2021-10-26,4.65,4.75,4.45,4.45,53701
LPDC,2021-10-27,4.45,4.65,4.25,4.4,61628
LPDC,2021-10-28,4.5,4.5,4.2,4.25,33102
LPDC,2021-10-29,4.2,4.4,4.05,4.1,48176
LPDC,2021-11-01,4.2,4.3,4.1,4.3,26537
LPDC,2021-11-02,4.5,4.5,4.3,4.45,73296
LPDC,2021-11-03,4.55,4.55,4.35,4.4,37224
LPDC,2021-11-04,4.5,4.6,4.25,4.4,49071
LPDC,2021-11-08,4.6,4.6,4.2,4.55,76781
LPDC,2021-11-09,4.7,4.75,4.55,4.75,146084
LPDC,2021-11-10,4.8,4.95,4.7,4.95,90479
LPDC,2021-11-11,5.15,5.15,5.05,5.15,37371
LPDC,2021-11-12,5.4,5.4,5.4,5.4,65501
LPDC,2021-11-15,5.65,5.65,5.65,5.65,28618
LPDC,2021-11-16,5.9,5.9,5.4,5.4,361114
LPDC,2021-11-17,5.3,5.3,5.15,5.15,101198
LPDC,2021-11-18,5.1,5.25,4.95,5.1,76546
LPDC,2021-11-22,5.1,5.35,4.85,4.9,122458
LPDC,2021-11-23,5.05,5.1,4.7,5.1,50935
LPDC,2021-11-24,5.35,5.35,5.35,5.35,45031
LPDC,2021-11-25,5.6,5.6,5.6,5.6,42444
LPDC,2021-11-26,5.85,5.85,5.85,5.85,50263
LPDC,2021-11-29,6.1,6.1,6.1,6.1,116187
LPDC,2021-11-30,6.4,6.4,6.4,6.4,46928
LPDC,2021-12-01,6.7,6.7,6.1,6.1,321186
LPDC,2021-12-02,5.8,5.8,5.8,5.8,37318
LPDC,2021-12-03,5.55,6.0,5.55,5.6,131862
LPDC,2021-12-06,5.7,5.85,5.6,5.85,81398
LPDC,2021-12-07,6.1,6.1,6.1,6.1,32952
LPDC,2021-12-08,6.4,6.4,6.4,6.4,57765
LPDC,2021-12-09,6.55,6.7,6.1,6.7,540746
LPDC,2021-12-10,6.9,7.0,6.7,7.0,351909
LPDC,2021-12-13,7.35,7.35,7.25,7.35,87398
LPDC,2021-12-14,7.7,7.7,7.5,7.7,131566
LPDC,2021-12-15,8.05,8.05,8.05,8.05,25027
LPDC,2021-12-16,8.45,8.45,8.3,8.45,318112
LPDC,2021-12-17,8.85,8.85,8.85,8.85,82231
LPDC,2021-12-20,9.2,9.25,8.45,8.45,548452
LPDC,2021-12-21,8.05,8.05,8.05,8.05,143131
LPDC,2021-12-22,7.8,8.45,7.65,8.45,649178
LPDC,2021-12-23,8.85,8.85,8.85,8.85,43760
LPDC,2021-12-24,9.25,9.25,8.5,9.25,550249
LPDC,2021-12-27,9.7,9.7,9.7,9.7,28748
LPDC,2021-12-28,10.15,10.15,10.15,10.15,25626
LPDC,2021-12-29,10.65,10.65,10.65,10.65,22701
LPDC,2021-12-30,11.15,11.15,11.15,11.15,16090
LPDC,2021-12-31,11.7,11.7,11.7,11.7,41533
LPDC,2022-01-03,12.25,12.25,12.25,12.25,133944
LPDC,2022-01-04,12.85,12.85,11.7,12.85,561709
LPDC,2022-01-05,13.45,13.45,13.25,13.45,144810
LPDC,2022-01-06,14.1,14.1,14.1,14.1,79467
LPDC,2022-01-07,14.8,14.8,14.8,14.8,20968
LPDC,2022-01-10,15.5,15.5,15.5,15.5,23557
LPDC,2022-01-11,16.25,16.25,16.25,16.25,20281
LPDC,2022-01-12,17.05,17.05,16.25,17.05,618244
LPDC,2022-01-13,17.9,17.9,16.2,16.2,157324
LPDC,2022-01-14,15.4,15.4,15.4,15.4,48349
LPDC,2022-01-17,14.65,14.65,14.65,14.65,76260
LPDC,2022-01-18,13.95,13.95,13.95,13.95,38519
LPDC,2022-01-19,13.3,13.3,13.3,13.3,27870
LPDC,2022-01-20,12.65,12.65,12.65,12.65,24654
LPDC,2022-01-21,12.05,12.05,12.05,12.05,30079
LPDC,2022-01-24,11.45,11.45,11.45,11.45,23334
LPDC,2022-01-25,10.9,10.9,10.9,10.9,27593
LPDC,2022-01-27,10.4,10.4,10.4,10.4,18774
LPDC,2022-01-28,9.9,10.9,9.9,10.9,335497
LPDC,2022-01-31,11.4,11.4,10.4,10.4,244932
LPDC,2022-02-01,9.9,9.9,9.9,9.9,25613
LPDC,2022-02-02,9.45,10.35,9.45,10.25,323285
LPDC,2022-02-03,10.05,10.65,9.75,9.9,187531
LPDC,2022-02-04,9.45,10.15,9.45,10.0,119581
LPDC,2022-02-07,10.35,10.35,9.55,9.8,128928
LPDC,2022-02-08,9.95,10.0,9.35,9.5,126062
LPDC,2022-02-09,9.1,9.75,9.05,9.05,82531
LPDC,2022-02-10,8.7,9.25,8.6,8.6,75707
LPDC,2022-02-11,8.2,9.0,8.2,9.0,141521
LPDC,2022-02-14,9.4,9.45,8.6,9.35,170648
LPDC,2022-02-15,9.25,9.8,8.9,9.0,83483
LPDC,2022-02-16,9.0,9.45,9.0,9.3,83146
LPDC,2022-02-17,9.3,9.3,8.85,8.85,85265
LPDC,2022-02-18,8.85,9.15,8.45,8.5,60250
LPDC,2022-02-21,8.85,8.9,8.1,8.1,53092
LPDC,2022-02-22,8.0,8.0,7.7,7.7,35947
LPDC,2022-02-23,7.35,8.05,7.35,8.05,73998
LPDC,2022-02-24,7.9,7.9,7.65,7.65,21168
LPDC,2022-02-25,7.5,7.9,7.3,7.45,60539
LPDC,2022-02-28,7.75,7.75,7.1,7.55,32377
LPDC,2022-03-02,7.4,7.9,7.2,7.85,49936
LPDC,2022-03-03,8.15,8.2,7.85,8.15,55917
LPDC,2022-03-04,8.5,8.5,7.75,7.95,75405
LPDC,2022-03-07,8.25,8.25,7.6,7.65,32412
LPDC,2022-03-08,7.75,7.9,7.3,7.75,69801
LPDC,2022-03-09,7.75,8.1,7.7,8.1,68116
LPDC,2022-03-10,7.9,8.5,7.9,8.5,33880
LPDC,2022-03-11,8.65,8.9,8.25,8.9,97596
LPDC,2022-03-14,9.3,9.3,9.1,9.3,41429
LPDC,2022-03-15,9.55,9.75,9.5,9.7,70387
LPDC,2022-03-16,10.0,10.0,9.25,9.25,70274
LPDC,2022-03-17,9.1,9.5,8.8,8.8,57161
LPDC,2022-03-21,8.6,9.15,8.4,8.6,98177
LPDC,2022-03-22,8.85,8.85,8.2,8.3,52016
LPDC,2022-03-23,7.9,8.55,7.9,8.25,36805
LPDC,2022-03-24,8.25,8.35,7.85,8.15,51488
LPDC,2022-03-25,8.15,8.2,7.75,7.75,64027
LPDC,2022-03-28,7.75,7.95,7.4,7.45,51708
LPDC,2022-03-29,7.1,7.75,7.1,7.1,73702
LPDC,2022-03-30,7.1,7.4,6.85,7.05,74662
LPDC,2022-03-31,7.05,7.4,6.8,7.1,54844
LPDC,2022-04-01,7.1,7.45,6.9,7.45,33682
LPDC,2022-04-04,7.65,7.8,7.65,7.8,20993
LPDC,2022-04-05,8.15,8.15,8.15,8.15,22730
LPDC,2022-04-06,8.55,8.55,8.15,8.55,49515
LPDC,2022-04-07,8.95,8.95,8.55,8.95,51594
LPDC,2022-04-08,9.3,9.3,8.55,8.65,252367
LPDC,2022-04-11,8.85,9.05,8.5,9.0,164253
LPDC,2022-04-12,9.0,9.0,8.55,8.85,67576
LPDC,2022-04-13,8.7,9.1,8.6,8.85,130576
LPDC,2022-04-18,8.9,8.9,8.45,8.55,48105
LPDC,2022-04-19,8.2,8.85,8.15,8.2,69483
LPDC,2022-04-20,8.2,8.4,8.0,8.25,68042
LPDC,2022-04-21,8.45,8.55,8.0,8.4,55041
LPDC,2022-04-22,8.5,8.5,8.05,8.3,35700
LPDC,2022-04-25,8.15,8.4,7.9,8.1,106607
LPDC,2022-04-26,7.75,8.0,7.75,7.9,38439
LPDC,2022-04-27,7.8,8.15,7.6,7.7,39863
LPDC,2022-04-28,7.85,8.05,7.5,8.05,56585
LPDC,2022-04-29,8.45,8.45,7.65,7.8,91455
LPDC,2022-05-02,8.05,8.05,7.6,7.65,53115
LPDC,2022-05-04,7.95,7.95,7.3,7.35,48398
LPDC,2022-05-05,7.5,7.7,7.0,7.05,73371
LPDC,2022-05-06,7.2,7.2,6.7,6.8,73556
LPDC,2022-05-09,6.75,6.9,6.5,6.6,47248
LPDC,2022-05-10,6.4,6.9,6.4,6.9,42071
LPDC,2022-05-11,7.0,7.2,6.65,7.2,72679
LPDC,2022-05-12,7.5,7.55,7.25,7.55,81536
LPDC,2022-05-13,7.9,7.9,7.3,7.4,124136
LPDC,2022-05-16,7.1,7.6,7.05,7.2,63143
LPDC,2022-05-17,7.4,7.45,6.9,7.3,44381
LPDC,2022-05-18,7.5,7.65,7.05,7.5,43007
LPDC,2022-05-19,7.6,7.75,7.15,7.65,50240
LPDC,2022-05-20,7.8,8.0,7.3,7.9,190627
LPDC,2022-05-23,8.25,8.25,7.7,8.25,128549
LPDC,2022-05-24,8.65,8.65,7.9,8.05,164491
LPDC,2022-05-25,8.3,8.3,7.7,7.8,52525
LPDC,2022-05-26,8.0,8.0,7.45,7.65,37681
LPDC,2022-05-27,7.65,7.85,7.3,7.35,55054
LPDC,2022-05-30,7.1,7.7,7.1,7.25,47115
LPDC,2022-05-31,7.15,7.6,7.1,7.5,59089
LPDC,2022-06-01,7.3,7.85,7.3,7.55,27286
LPDC,2022-06-02,7.45,7.85,7.3,7.45,50763
LPDC,2022-06-03,7.75,7.8,7.3,7.4,53391
LPDC,2022-06-06,7.4,7.65,7.25,7.35,32192
LPDC,2022-06-07,7.35,7.55,7.15,7.2,28341
LPDC,2022-06-08,7.2,7.3,7.15,7.15,18823
LPDC,2022-06-09,7.15,7.25,7.0,7.0,43429
LPDC,2022-06-10,7.35,7.35,6.8,7.1,27970
LPDC,2022-06-13,7.25,7.4,6.8,6.85,49854
LPDC,2022-06-14,6.8,7.15,6.75,7.15,28919
LPDC,2022-06-15,7.4,7.4,6.9,6.95,44836
LPDC,2022-06-16,6.95,7.25,6.65,6.65,43905
LPDC,2022-06-17,6.8,6.8,6.35,6.35,31394
LPDC,2022-06-20,6.35,6.4,6.05,6.05,17485
LPDC,2022-06-21,5.75,6.05,5.75,5.75,81232
LPDC,2022-06-22,5.75,5.85,5.5,5.7,27444
LPDC,2022-06-23,5.85,5.9,5.45,5.45,63278
LPDC,2022-06-24,5.7,5.7,5.3,5.7,31649
LPDC,2022-06-27,5.95,5.95,5.95,5.95,13310
LPDC,2022-06-28,6.2,6.2,6.0,6.2,35091
LPDC,2022-06-29,6.4,6.5,6.1,6.25,62151
LPDC,2022-06-30,6.2,6.4,6.05,6.2,15358
LPDC,2022-07-01,6.4,6.4,5.9,5.95,32058
LPDC,2022-07-04,5.7,6.0,5.7,5.95,24149
LPDC,2022-07-05,5.95,6.0,5.75,5.8,19469
LPDC,2022-07-06,5.95,5.95,5.6,5.7,19148
LPDC,2022-07-07,5.7,5.9,5.5,5.8,25741
LPDC,2022-07-08,5.95,6.05,5.65,5.85,21716
LPDC,2022-07-11,6.0,6.1,5.75,6.1,31593
LPDC,2022-07-12,6.35,6.4,5.8,6.4,38326
LPDC,2022-07-13,6.7,6.7,6.4,6.7,32809
LPDC,2022-07-14,7.0,7.0,7.0,7.0,77045
LPDC,2022-07-15,6.8,7.0,6.65,6.65,64327
