symbol,date,open,high,low,close,volume
MAANALU,2025-07-23,121.0,124.87,119.25,122.06,22867
MAANALU,2025-07-24,122.06,122.1,120.13,120.4,25547
MAANALU,2025-07-25,120.5,121.0,119.85,119.89,35128
MAANALU,2025-07-28,118.02,120.48,118.02,120.09,20147
MAANALU,2025-07-29,120.99,122.8,118.31,120.0,19301
MAANALU,2025-07-30,122.78,123.49,120.0,120.77,8235
MAANALU,2025-07-31,120.0,120.5,118.2,120.03,16564
MAANALU,2025-08-01,120.5,121.47,119.0,120.0,14815
MAANALU,2025-08-04,118.0,121.59,117.0,117.83,18308
MAANALU,2025-08-05,116.01,119.0,115.0,116.13,8842
MAANALU,2025-08-06,116.5,116.98,110.32,113.96,28384
MAANALU,2025-08-07,111.1,119.65,108.5,118.18,65595
MAANALU,2025-08-08,116.7,122.0,116.1,118.09,15337
MAANALU,2025-08-11,119.0,120.0,114.7,117.67,20673
MAANALU,2025-08-12,115.25,119.38,112.1,113.51,12156
MAANALU,2025-08-13,114.2,114.97,110.01,111.83,23681
MAANALU,2025-08-14,113.97,113.97,107.1,109.21,17220
MAANALU,2025-08-18,108.5,111.77,107.0,107.69,10730
MAANALU,2025-08-19,108.9,109.0,106.0,107.29,20380
MAANALU,2025-08-20,110.9,110.9,105.13,108.61,26290
MAANALU,2025-08-21,108.61,109.58,105.5,107.47,5689
MAANALU,2025-08-22,109.0,109.0,103.1,104.86,30499
MAANALU,2025-08-25,105.0,106.98,102.0,102.82,21012
MAANALU,2025-08-26,102.86,104.82,101.0,103.18,14461
MAANALU,2025-08-28,104.94,104.95,100.0,101.67,9908
MAANALU,2025-08-29,101.67,106.75,101.67,106.75,34135
MAANALU,2025-09-01,109.99,112.08,108.89,112.08,17805
MAANALU,2025-09-02,117.68,117.68,113.51,114.5,32717
MAANALU,2025-09-03,116.83,118.0,110.0,113.27,89371
MAANALU,2025-09-04,114.0,115.0,110.0,110.64,14334
MAANALU,2025-09-05,109.1,112.36,109.1,110.01,36698
MAANALU,2025-09-08,110.01,113.69,110.0,110.94,9191
MAANALU,2025-09-09,110.94,113.0,109.57,111.53,15962
MAANALU,2025-09-10,111.53,112.35,110.0,110.62,7851
MAANALU,2025-09-11,112.3,114.0,109.16,112.06,6764
MAANALU,2025-09-12,112.06,114.99,110.0,113.71,7930
MAANALU,2025-09-15,109.3,113.45,109.3,111.6,17075
MAANALU,2025-09-16,111.6,113.95,111.6,113.0,20557
