symbol,date,open,high,low,close,volume
MAHLOG,2021-07-26,595.95,618.0,590.0,601.5,316928
MAHLOG,2021-07-27,609.9,618.0,590.5,607.05,442814
MAHLOG,2021-07-28,610.95,616.7,602.5,612.35,193366
MAHLOG,2021-07-29,615.0,681.0,610.3,671.75,2048628
MAHLOG,2021-07-30,671.0,806.1,660.0,748.4,2689341
MAHLOG,2021-08-02,740.0,821.0,726.15,799.6,3332057
MAHLOG,2021-08-03,780.0,798.6,735.0,747.95,415805
MAHLOG,2021-08-04,744.45,744.45,696.3,703.4,402747
MAHLOG,2021-08-05,706.9,746.0,700.0,704.75,359300
MAHLOG,2021-08-06,710.0,710.15,681.1,686.5,161317
MAHLOG,2021-08-09,692.9,715.0,683.1,687.55,108526
MAHLOG,2021-08-10,691.4,700.5,670.0,673.95,98770
MAHLOG,2021-08-11,684.0,684.0,641.8,658.9,139376
MAHLOG,2021-08-12,662.0,690.0,662.0,677.5,118504
MAHLOG,2021-08-13,684.95,710.0,683.8,694.15,152093
MAHLOG,2021-08-16,699.9,719.8,694.7,697.9,103184
MAHLOG,2021-08-17,699.0,704.95,691.0,696.95,62356
MAHLOG,2021-08-18,696.95,709.0,695.45,703.4,92152
MAHLOG,2021-08-20,701.95,740.0,696.65,718.3,572208
MAHLOG,2021-08-23,723.9,793.7,696.05,784.95,1231072
MAHLOG,2021-08-24,784.95,790.85,733.35,742.1,298246
MAHLOG,2021-08-25,742.1,770.0,724.2,732.15,164701
MAHLOG,2021-08-26,739.5,739.9,717.3,732.7,122126
MAHLOG,2021-08-27,738.6,774.0,736.75,766.1,554940
MAHLOG,2021-08-30,805.0,820.0,771.25,784.55,676825
MAHLOG,2021-08-31,771.0,788.85,761.1,766.2,146741
MAHLOG,2021-09-01,768.0,778.65,739.4,743.7,157794
MAHLOG,2021-09-02,756.0,763.3,729.0,737.05,96293
MAHLOG,2021-09-03,741.85,745.15,716.8,723.15,113302
MAHLOG,2021-09-06,727.85,740.0,712.65,713.85,101360
MAHLOG,2021-09-07,719.7,719.7,702.5,706.9,106996
MAHLOG,2021-09-08,710.0,736.5,706.9,733.2,212738
MAHLOG,2021-09-09,725.0,735.25,713.0,720.15,77631
MAHLOG,2021-09-13,724.0,724.0,705.0,707.55,147225
MAHLOG,2021-09-14,709.9,717.8,695.8,699.95,213711
MAHLOG,2021-09-15,699.95,729.5,699.75,712.95,208066
MAHLOG,2021-09-16,718.6,732.0,710.0,716.65,74045
MAHLOG,2021-09-17,718.0,735.0,710.5,727.4,140576
MAHLOG,2021-09-20,724.8,734.45,711.05,714.65,68992
MAHLOG,2021-09-21,714.9,728.95,710.6,720.7,57707
MAHLOG,2021-09-22,724.4,765.0,720.05,741.7,315122
MAHLOG,2021-09-23,745.5,752.0,712.85,726.65,92270
MAHLOG,2021-09-24,730.0,733.75,719.0,723.95,40787
MAHLOG,2021-09-27,725.0,732.45,705.55,710.35,132862
MAHLOG,2021-09-28,712.0,734.0,712.0,719.15,89579
MAHLOG,2021-09-29,724.85,729.15,715.65,724.9,55909
MAHLOG,2021-09-30,733.95,743.0,715.25,732.45,97821
MAHLOG,2021-10-01,735.0,753.55,725.85,731.35,80539
MAHLOG,2021-10-04,733.0,744.5,730.55,733.95,42382
MAHLOG,2021-10-05,733.95,781.0,733.35,773.95,239622
MAHLOG,2021-10-06,781.7,786.8,741.65,747.2,142194
MAHLOG,2021-10-07,752.8,790.0,752.35,758.95,131900
MAHLOG,2021-10-08,761.5,767.1,743.6,750.95,59017
MAHLOG,2021-10-11,751.0,756.45,736.0,742.55,67947
MAHLOG,2021-10-12,744.0,772.5,738.05,765.8,133825
MAHLOG,2021-10-13,767.0,770.0,750.0,751.4,101877
MAHLOG,2021-10-14,752.0,761.0,745.25,752.8,59682
MAHLOG,2021-10-18,760.0,760.2,746.45,750.2,84028
MAHLOG,2021-10-19,754.1,759.0,722.2,742.55,145935
MAHLOG,2021-10-20,740.0,746.5,706.6,709.95,99940
MAHLOG,2021-10-21,710.0,724.0,670.55,698.1,243807
MAHLOG,2021-10-22,700.1,702.05,682.05,690.25,72626
MAHLOG,2021-10-25,671.0,682.95,655.05,675.05,211274
MAHLOG,2021-10-26,670.1,683.6,664.8,668.95,121959
MAHLOG,2021-10-27,675.0,711.85,671.1,692.0,304586
MAHLOG,2021-10-28,670.0,676.85,640.35,657.45,307451
MAHLOG,2021-10-29,657.45,678.95,645.5,648.15,102813
MAHLOG,2021-11-01,622.0,654.15,614.3,637.0,247047
MAHLOG,2021-11-02,650.1,675.0,648.1,665.7,159352
MAHLOG,2021-11-03,664.25,672.0,648.0,655.15,92170
MAHLOG,2021-11-04,670.1,674.25,666.85,670.7,21978
MAHLOG,2021-11-08,674.85,718.0,672.3,704.55,314286
MAHLOG,2021-11-09,700.0,718.0,696.1,705.75,143030
MAHLOG,2021-11-10,714.0,722.3,705.0,710.5,144204
MAHLOG,2021-11-11,709.4,739.0,704.05,723.1,98827
MAHLOG,2021-11-12,726.7,740.8,716.65,731.95,121255
MAHLOG,2021-11-15,736.8,754.9,734.15,748.9,90096
MAHLOG,2021-11-16,755.0,772.5,742.05,760.65,110488
MAHLOG,2021-11-17,765.45,774.9,755.9,764.85,92285
MAHLOG,2021-11-18,770.8,778.9,735.0,743.45,83539
MAHLOG,2021-11-22,743.5,747.4,689.0,731.25,120811
MAHLOG,2021-11-23,732.9,748.0,701.25,738.1,88114
MAHLOG,2021-11-24,743.7,773.6,693.8,758.85,193143
MAHLOG,2021-11-25,767.0,814.0,736.55,748.8,836474
MAHLOG,2021-11-26,739.9,740.95,695.15,716.35,184266
MAHLOG,2021-11-29,700.1,708.9,666.1,674.75,111945
MAHLOG,2021-11-30,701.0,705.0,635.2,656.55,513031
MAHLOG,2021-12-01,647.9,694.2,647.05,668.15,130272
MAHLOG,2021-12-02,685.0,729.0,682.2,703.15,1388093
MAHLOG,2021-12-03,709.0,724.9,683.4,718.25,170530
MAHLOG,2021-12-06,715.55,718.0,680.0,688.35,84729
MAHLOG,2021-12-07,695.0,697.15,682.15,687.0,35548
MAHLOG,2021-12-08,694.95,705.0,688.1,701.3,60304
MAHLOG,2021-12-09,703.95,706.65,688.05,692.2,35851
MAHLOG,2021-12-10,690.0,695.0,684.25,690.3,25763
MAHLOG,2021-12-13,707.0,707.0,680.0,682.95,33953
MAHLOG,2021-12-14,681.6,687.35,671.0,675.75,27821
MAHLOG,2021-12-15,675.0,676.4,658.2,661.3,41920
MAHLOG,2021-12-16,666.4,695.0,655.35,674.9,320688
MAHLOG,2021-12-17,670.8,677.0,651.2,659.15,70076
