symbol,date,open,high,low,close,volume
MANCREDIT,2024-08-16,132.0,147.12,126.1,145.28,373810
MANCREDIT,2024-08-19,147.98,169.0,141.0,148.22,469733
MANCREDIT,2024-08-20,150.25,151.0,145.0,146.99,146380
MANCREDIT,2024-08-21,148.5,149.69,143.0,145.77,45802
MANCREDIT,2024-08-22,146.5,154.28,146.49,151.56,27676
MANCREDIT,2024-08-23,150.05,151.8,145.61,146.67,44734
MANCREDIT,2024-08-26,148.85,149.03,145.0,145.62,14597
MANCREDIT,2024-08-27,147.5,148.8,141.25,146.68,125278
MANCREDIT,2024-08-28,148.9,153.12,146.0,147.12,31011
MANCREDIT,2024-08-29,148.74,148.74,141.3,145.73,29918
MANCREDIT,2024-08-30,147.51,148.8,145.05,146.65,10474
MANCREDIT,2024-09-02,148.47,148.47,141.62,144.36,38837
MANCREDIT,2024-09-03,144.99,147.51,143.14,143.75,32301
MANCREDIT,2024-09-04,145.99,147.89,141.92,142.39,36433
MANCREDIT,2024-09-05,142.5,145.0,139.99,140.11,39822
MANCREDIT,2024-09-06,139.05,145.65,139.05,141.3,29225
MANCREDIT,2024-09-09,135.35,147.01,135.35,141.31,30952
MANCREDIT,2024-09-10,142.05,144.6,140.11,141.4,32315
MANCREDIT,2024-09-11,143.05,144.03,138.05,141.12,28699
MANCREDIT,2024-09-12,140.81,144.56,139.99,140.15,31752
MANCREDIT,2024-09-13,142.18,145.44,140.1,141.66,42429
MANCREDIT,2024-09-16,149.45,150.0,139.13,140.35,45239
MANCREDIT,2024-09-17,142.98,142.98,138.01,139.84,30252
MANCREDIT,2024-09-18,139.0,154.18,139.0,141.01,99364
MANCREDIT,2024-09-19,140.43,144.83,137.79,140.74,52952
MANCREDIT,2024-09-20,141.19,143.99,140.0,140.9,40246
MANCREDIT,2024-09-23,141.0,143.62,138.31,139.96,36641
MANCREDIT,2024-09-24,139.96,142.33,139.0,139.11,31998
MANCREDIT,2024-09-25,138.97,142.0,138.57,139.77,29355
MANCREDIT,2024-09-26,135.25,142.23,135.25,140.48,28914
MANCREDIT,2024-09-27,138.5,142.25,134.91,140.63,46594
MANCREDIT,2024-09-30,142.0,142.15,138.05,138.68,39678
MANCREDIT,2024-10-01,139.02,139.02,137.0,137.65,35256
MANCREDIT,2024-10-03,137.0,139.88,135.09,137.28,35637
MANCREDIT,2024-10-04,138.8,139.54,135.18,137.48,24989
MANCREDIT,2024-10-07,140.0,140.9,128.7,137.62,44683
MANCREDIT,2024-10-08,138.45,139.89,133.39,137.57,109287
MANCREDIT,2024-10-09,137.54,139.95,135.93,136.52,63492
MANCREDIT,2024-10-10,136.64,139.24,136.32,136.76,26529
MANCREDIT,2024-10-11,138.19,138.6,135.11,136.28,67061
MANCREDIT,2024-10-14,136.48,138.5,132.11,134.61,26987
MANCREDIT,2024-10-15,135.06,143.36,135.01,142.16,31953
MANCREDIT,2024-10-16,142.75,143.1,136.05,136.85,26026
MANCREDIT,2024-10-17,139.35,142.85,137.34,140.77,29703
MANCREDIT,2024-10-18,142.07,142.07,136.25,137.69,52005
MANCREDIT,2024-10-21,137.69,140.99,137.69,139.03,34097
MANCREDIT,2024-10-22,140.95,140.95,138.62,139.31,32644
MANCREDIT,2024-10-23,141.94,141.94,135.05,137.37,58970
MANCREDIT,2024-10-24,139.99,140.86,135.1,136.12,31344
MANCREDIT,2024-10-25,138.69,138.69,132.75,135.83,59042
