symbol,date,open,high,low,close,volume
MARCO,2025-07-23,41.7,41.85,40.5,41.55,18000
MARCO,2025-07-24,41.85,42.0,40.75,41.9,16500
MARCO,2025-07-25,41.2,41.5,40.2,40.65,24000
MARCO,2025-07-28,40.9,41.3,40.9,41.3,7500
MARCO,2025-07-29,42.45,42.85,41.15,42.85,9000
MARCO,2025-07-30,41.2,41.2,41.2,41.2,3000
MARCO,2025-07-31,40.25,41.15,40.25,40.8,10500
MARCO,2025-08-01,41.5,41.5,41.5,41.5,4500
MARCO,2025-08-04,41.0,41.0,39.1,39.85,15000
MARCO,2025-08-05,39.85,40.85,39.55,40.45,12000
MARCO,2025-08-06,40.45,40.65,40.45,40.65,4500
MARCO,2025-08-07,40.0,40.4,38.8,40.3,19500
MARCO,2025-08-08,39.9,39.9,38.0,38.5,16500
MARCO,2025-08-11,38.7,38.7,37.2,38.5,7500
MARCO,2025-08-12,38.5,39.7,38.5,38.5,6000
MARCO,2025-08-13,38.15,39.0,38.15,38.7,7500
MARCO,2025-08-14,38.85,41.0,38.85,39.9,27000
MARCO,2025-08-18,40.8,40.8,40.5,40.5,10500
MARCO,2025-08-19,40.8,41.8,40.65,41.4,9000
MARCO,2025-08-20,42.0,42.0,41.0,41.0,6000
MARCO,2025-08-21,41.0,41.0,40.25,40.4,9000
MARCO,2025-08-22,39.65,39.65,39.55,39.55,10500
MARCO,2025-08-25,40.95,42.0,40.5,40.65,15000
MARCO,2025-08-26,39.2,40.85,38.75,40.75,13500
MARCO,2025-08-28,40.8,40.85,39.1,39.65,12000
MARCO,2025-08-29,40.0,40.0,39.95,39.95,3000
MARCO,2025-09-01,40.85,40.85,39.0,39.15,24000
MARCO,2025-09-02,39.2,39.2,37.0,37.5,40500
MARCO,2025-09-03,37.1,38.0,37.0,38.0,31500
MARCO,2025-09-04,38.0,40.6,38.0,40.25,52500
MARCO,2025-09-05,40.8,43.5,40.25,43.1,33000
MARCO,2025-09-08,43.5,46.5,43.5,46.5,36000
MARCO,2025-09-09,46.5,46.5,44.3,45.5,24000
MARCO,2025-09-10,43.3,43.85,42.25,42.9,16500
MARCO,2025-09-11,42.05,42.4,41.7,41.7,10500
MARCO,2025-09-12,41.5,41.5,40.0,40.35,12000
MARCO,2025-09-15,39.3,41.3,39.3,40.65,18000
MARCO,2025-09-16,40.7,42.0,40.6,40.6,15000
MARCO,2025-09-17,40.6,41.5,40.6,41.1,10500
MARCO,2025-09-18,40.5,40.7,40.4,40.4,7500
MARCO,2025-09-19,40.45,41.3,40.4,40.65,10500
MARCO,2025-09-22,39.6,41.35,39.6,40.5,10500
MARCO,2025-09-23,40.5,40.5,40.5,40.5,0
MARCO,2025-09-24,40.0,40.95,40.0,40.5,4500
MARCO,2025-09-25,41.0,41.0,40.0,40.0,6000
MARCO,2025-09-26,40.0,40.0,39.15,39.15,4500
MARCO,2025-09-29,40.0,40.0,38.75,39.0,16500
MARCO,2025-09-30,39.0,39.0,39.0,39.0,0
MARCO,2025-10-01,39.0,39.0,38.5,38.5,9000
MARCO,2025-10-03,38.7,39.45,37.75,39.0,6000
MARCO,2025-10-06,39.8,40.0,39.15,39.5,9000
MARCO,2025-10-07,40.15,40.15,39.95,39.95,6000
MARCO,2025-10-08,41.35,41.35,39.0,39.05,19500
MARCO,2025-10-09,39.2,39.2,39.0,39.0,7500
MARCO,2025-10-10,40.55,40.7,39.0,40.25,27000
MARCO,2025-10-13,40.05,41.8,38.85,41.55,18000
MARCO,2025-10-14,41.6,41.6,39.0,40.55,30000
MARCO,2025-10-15,41.25,41.6,39.3,39.55,42000
MARCO,2025-10-16,39.8,41.1,39.6,41.1,7500
MARCO,2025-10-17,41.1,41.1,41.1,41.1,1500
MARCO,2025-10-20,40.3,43.4,40.3,43.4,19500
MARCO,2025-10-21,40.75,42.3,40.75,41.5,12000
MARCO,2025-10-23,40.5,41.85,40.5,40.85,30000
MARCO,2025-10-24,41.2,42.25,41.2,41.45,13500
MARCO,2025-10-27,41.45,42.85,41.45,42.85,19500
MARCO,2025-10-28,42.85,42.85,42.85,42.85,0
MARCO,2025-10-29,40.5,42.9,40.5,42.9,6000
MARCO,2025-10-30,42.0,42.0,40.65,41.2,16500
MARCO,2025-10-31,41.2,41.2,40.65,41.15,10500
MARCO,2025-11-03,39.75,40.95,39.75,40.75,16500
MARCO,2025-11-04,40.7,42.35,40.7,42.0,13500
MARCO,2025-11-06,40.75,41.85,40.0,40.9,24000
MARCO,2025-11-07,41.0,41.0,38.0,40.65,9000
MARCO,2025-11-10,40.0,40.65,39.55,39.6,16500
MARCO,2025-11-11,39.2,39.85,38.8,38.9,22500
MARCO,2025-11-12,38.7,38.7,36.5,38.0,24000
MARCO,2025-11-13,37.5,38.75,37.5,38.75,3000
MARCO,2025-11-14,38.75,38.9,37.9,38.0,13500
MARCO,2025-11-17,37.1,38.9,37.05,38.9,16500
MARCO,2025-11-18,37.5,38.5,37.5,38.5,3000
MARCO,2025-11-19,38.5,38.9,37.9,38.9,4500
MARCO,2025-11-20,38.8,39.0,38.0,38.9,15000
MARCO,2025-11-21,38.95,39.75,38.5,39.75,7500
MARCO,2025-11-24,39.7,39.7,39.0,39.3,6000
MARCO,2025-11-25,38.4,39.3,38.3,38.55,13500
MARCO,2025-11-26,39.0,39.0,39.0,39.0,4500
MARCO,2025-11-27,38.6,40.0,38.4,39.95,31500
MARCO,2025-11-28,39.95,39.95,39.95,39.95,0
MARCO,2025-12-01,39.95,41.25,38.9,41.25,36000
MARCO,2025-12-02,41.0,41.0,40.25,40.85,10500
MARCO,2025-12-03,39.6,41.0,39.6,40.6,13500
MARCO,2025-12-04,39.7,40.5,38.75,39.75,10500
MARCO,2025-12-05,38.75,39.75,38.5,39.75,6000
MARCO,2025-12-08,38.05,39.0,37.8,39.0,7500
MARCO,2025-12-09,37.1,40.95,37.1,40.7,28500
MARCO,2025-12-10,39.0,40.45,39.0,40.0,7500
MARCO,2025-12-11,38.8,38.8,38.8,38.8,1500
MARCO,2025-12-12,41.3,41.3,41.3,41.3,1500
MARCO,2025-12-15,41.3,41.3,40.5,41.3,4500
MARCO,2025-12-16,41.4,41.95,40.0,41.2,9000
MARCO,2025-12-17,41.0,41.0,39.0,39.9,9000
MARCO,2025-12-18,39.9,40.95,39.2,40.05,6000
MARCO,2025-12-19,40.05,40.05,40.05,40.05,0
MARCO,2025-12-22,39.35,40.5,38.8,40.5,6000
MARCO,2025-12-23,40.5,40.5,40.5,40.5,1500
MARCO,2025-12-24,38.7,38.7,38.7,38.7,3000
MARCO,2025-12-26,39.95,40.0,39.95,40.0,9000
MARCO,2025-12-29,39.0,39.85,38.55,39.2,15000
MARCO,2025-12-30,38.8,38.8,38.8,38.8,4500
MARCO,2025-12-31,38.8,38.8,38.8,38.8,0
MARCO,2026-01-01,38.8,38.8,38.8,38.8,0
MARCO,2026-01-02,38.0,38.75,38.0,38.75,4500
MARCO,2026-01-05,37.55,38.7,37.2,37.2,10500
MARCO,2026-01-06,37.2,37.2,37.2,37.2,6000
MARCO,2026-01-07,37.2,37.2,37.2,37.2,0
MARCO,2026-01-08,37.0,37.9,37.0,37.0,6000
MARCO,2026-01-09,37.1,37.1,35.0,35.8,10500
MARCO,2026-01-12,36.8,37.25,36.0,36.05,10500
