symbol,date,open,high,low,close,volume
MARKSANS,2021-07-26,86.7,87.75,85.3,85.75,2078625
MARKSANS,2021-07-27,86.3,86.6,82.35,83.25,2673747
MARKSANS,2021-07-28,83.65,83.7,80.1,81.3,2295008
MARKSANS,2021-07-29,81.9,83.55,81.5,82.4,1597768
MARKSANS,2021-07-30,82.6,83.25,81.5,81.75,1660647
MARKSANS,2021-08-02,81.9,83.4,81.2,82.25,2640403
MARKSANS,2021-08-03,82.65,82.95,81.5,81.65,1423303
MARKSANS,2021-08-04,82.2,88.0,82.2,84.95,8352777
MARKSANS,2021-08-05,85.1,85.75,82.6,84.05,1736103
MARKSANS,2021-08-06,83.9,84.5,83.55,83.75,1558239
MARKSANS,2021-08-09,84.0,84.1,80.25,80.6,2347386
MARKSANS,2021-08-10,80.3,81.55,74.55,76.5,3489204
MARKSANS,2021-08-11,76.5,77.4,69.5,71.9,6701748
MARKSANS,2021-08-12,72.95,79.0,72.5,78.2,3057813
MARKSANS,2021-08-13,78.95,79.65,75.3,75.65,2283230
MARKSANS,2021-08-16,75.0,75.7,72.6,74.25,1813236
MARKSANS,2021-08-17,74.55,75.35,72.1,72.7,1481594
MARKSANS,2021-08-18,72.85,73.35,70.65,71.25,1420976
MARKSANS,2021-08-20,70.0,71.0,68.0,68.35,2314959
MARKSANS,2021-08-23,68.0,69.5,62.2,67.6,7066187
MARKSANS,2021-08-24,68.0,71.0,66.4,70.45,4770208
MARKSANS,2021-08-25,70.45,71.85,69.0,69.8,2049191
MARKSANS,2021-08-26,70.2,72.9,69.1,71.75,4469908
MARKSANS,2021-08-27,72.25,73.45,70.5,72.75,2354640
MARKSANS,2021-08-30,74.35,74.5,72.9,73.1,1555058
MARKSANS,2021-08-31,71.2,73.2,70.5,70.85,1591007
MARKSANS,2021-09-01,71.25,71.7,70.55,71.1,1209145
MARKSANS,2021-09-02,71.2,75.0,71.1,73.35,2735796
MARKSANS,2021-09-03,73.75,74.3,72.75,72.95,1576682
MARKSANS,2021-09-06,73.5,74.5,73.3,73.65,1345307
MARKSANS,2021-09-07,73.7,74.05,72.0,72.15,1107484
MARKSANS,2021-09-08,72.55,72.55,70.55,71.3,1137438
MARKSANS,2021-09-09,71.5,71.5,69.8,70.05,1683876
MARKSANS,2021-09-13,70.55,72.65,69.45,71.0,2764317
MARKSANS,2021-09-14,71.6,72.7,71.35,72.1,1649242
MARKSANS,2021-09-15,72.5,72.5,70.6,70.9,1900751
MARKSANS,2021-09-16,71.3,71.5,70.1,71.05,1709959
MARKSANS,2021-09-17,71.6,71.9,69.05,71.15,2240187
MARKSANS,2021-09-20,71.0,71.15,69.05,69.3,1121397
MARKSANS,2021-09-21,69.1,70.15,67.85,69.6,1366807
MARKSANS,2021-09-22,69.1,70.15,69.0,69.15,935362
MARKSANS,2021-09-23,69.75,71.3,69.25,69.7,2047053
MARKSANS,2021-09-24,69.7,70.25,68.6,69.05,1570896
MARKSANS,2021-09-27,69.65,69.7,68.2,68.3,787220
MARKSANS,2021-09-28,68.6,68.6,67.55,68.0,1055985
MARKSANS,2021-09-29,67.7,69.95,67.7,68.35,2199166
