symbol,date,open,high,low,close,volume
MCL,2025-07-23,51.5,52.75,49.8,50.08,90080
MCL,2025-07-24,50.08,52.83,49.91,50.25,36808
MCL,2025-07-25,50.26,50.82,49.12,49.54,21475
MCL,2025-07-28,51.37,51.37,48.1,48.92,19965
MCL,2025-07-29,51.1,51.1,48.33,49.1,15263
MCL,2025-07-30,49.2,53.25,49.2,51.55,42547
MCL,2025-07-31,51.55,51.55,49.2,50.01,14632
MCL,2025-08-01,49.85,51.18,49.25,49.99,23019
MCL,2025-08-04,49.3,50.98,48.5,49.02,27046
MCL,2025-08-05,49.25,51.89,48.0,48.56,14660
MCL,2025-08-06,49.49,49.49,48.11,48.67,14551
MCL,2025-08-07,48.91,49.38,47.56,48.04,24241
MCL,2025-08-08,49.0,52.5,48.31,51.31,61497
MCL,2025-08-11,55.0,56.0,51.15,53.46,287534
MCL,2025-08-12,53.5,53.5,51.56,52.11,40919
MCL,2025-08-13,52.11,53.37,51.21,51.79,49406
MCL,2025-08-14,51.56,53.11,51.04,52.5,28894
MCL,2025-08-18,52.5,52.73,51.0,51.16,40543
MCL,2025-08-19,51.01,52.71,50.15,50.49,26363
MCL,2025-08-20,50.0,52.44,50.0,50.39,61843
MCL,2025-08-21,51.9,51.9,50.31,50.45,24478
MCL,2025-08-22,50.7,50.7,47.0,48.89,57695
MCL,2025-08-25,48.5,50.0,48.5,49.0,22287
MCL,2025-08-26,48.3,49.48,47.68,48.18,28039
MCL,2025-08-28,48.51,48.51,47.71,48.19,13501
MCL,2025-08-29,48.19,49.48,47.0,47.67,13285
MCL,2025-09-01,47.99,48.49,46.0,47.33,42377
MCL,2025-09-02,47.33,48.69,46.98,47.85,14807
MCL,2025-09-03,48.49,48.49,47.12,47.51,16652
MCL,2025-09-04,47.55,48.2,47.25,47.49,15455
MCL,2025-09-05,48.34,48.34,46.8,47.08,11249
MCL,2025-09-08,48.4,48.4,47.42,47.92,17341
MCL,2025-09-09,48.7,48.7,47.21,47.51,14610
MCL,2025-09-10,48.4,48.4,45.45,46.31,63393
MCL,2025-09-11,47.48,47.49,46.05,46.36,35207
MCL,2025-09-12,47.4,47.4,45.34,46.04,77064
MCL,2025-09-15,47.1,47.98,46.08,46.98,42846
MCL,2025-09-16,48.28,48.3,47.0,47.24,35813
MCL,2025-09-17,48.1,48.43,47.27,47.76,32073
MCL,2025-09-18,48.5,49.0,47.4,47.54,17940
MCL,2025-09-19,48.3,48.3,47.27,47.86,13804
MCL,2025-09-22,48.0,48.51,47.58,48.15,26292
MCL,2025-09-23,48.9,48.9,47.55,47.84,20387
MCL,2025-09-24,48.3,48.3,46.45,46.92,38971
MCL,2025-09-25,47.5,55.99,47.49,53.36,1989651
MCL,2025-09-26,54.75,61.9,54.5,58.53,2930144
