symbol,date,open,high,low,close,volume
METROGLOBL,2026-04-22,133.15,140.0,126.1,133.05,7401
METROGLOBL,2026-04-23,137.6,141.95,128.4,131.55,1285
METROGLOBL,2026-04-24,126.1,129.9,123.95,128.95,747
METROGLOBL,2026-04-27,128.95,136.8,110.0,128.3,345
METROGLOBL,2026-04-28,128.3,130.0,121.05,124.6,713
METROGLOBL,2026-04-29,128.8,128.8,128.8,128.8,101
METROGLOBL,2026-04-30,128.8,134.5,125.1,134.5,62
METROGLOBL,2026-05-04,134.5,134.5,125.0,125.31,764
METROGLOBL,2026-05-05,125.3,127.3,125.3,127.3,134
METROGLOBL,2026-05-06,127.3,132.0,125.0,129.75,424
METROGLOBL,2026-05-07,132.0,132.0,125.12,126.03,240
METROGLOBL,2026-05-08,126.03,133.08,126.03,130.92,456
METROGLOBL,2026-05-11,149.0,149.0,128.0,132.36,1573
METROGLOBL,2026-05-12,140.0,140.0,127.06,131.15,5266
METROGLOBL,2026-05-13,131.15,133.0,129.1,132.46,489
METROGLOBL,2026-05-14,132.0,132.0,126.52,131.95,702
METROGLOBL,2026-05-15,131.95,131.95,129.01,129.01,1383
METROGLOBL,2026-05-18,132.0,135.0,125.06,125.12,2007
METROGLOBL,2026-05-19,126.0,130.0,125.16,127.27,197
METROGLOBL,2026-05-20,126.0,131.0,126.0,131.0,264
METROGLOBL,2026-05-21,125.1,131.5,118.66,130.31,251
METROGLOBL,2026-05-22,128.0,130.7,127.0,127.37,747
METROGLOBL,2026-05-25,131.8,131.8,125.01,127.75,77
METROGLOBL,2026-05-26,127.76,128.05,127.76,127.84,190
METROGLOBL,2026-05-27,129.88,129.88,125.01,128.99,370
METROGLOBL,2026-05-28,128.99,128.99,128.99,128.99,0
METROGLOBL,2026-05-29,128.99,135.0,126.01,128.1,3257
METROGLOBL,2026-06-01,135.0,137.8,125.0,128.82,1433
METROGLOBL,2026-06-02,125.0,130.85,125.0,130.85,7
METROGLOBL,2026-06-03,121.0,130.85,121.0,125.01,715
METROGLOBL,2026-06-04,120.11,130.0,120.11,125.5,572
METROGLOBL,2026-06-05,126.0,129.0,125.5,128.99,598
METROGLOBL,2026-06-08,130.9,133.49,125.83,125.83,586
METROGLOBL,2026-06-09,128.3,130.39,127.0,127.87,881
METROGLOBL,2026-06-10,130.0,130.0,130.0,130.0,9
METROGLOBL,2026-06-11,125.0,127.99,123.0,126.88,1050
METROGLOBL,2026-06-12,127.98,135.99,125.0,130.45,2323
METROGLOBL,2026-06-15,134.97,134.97,130.1,132.15,2711
METROGLOBL,2026-06-16,135.9,135.9,129.5,131.58,2816
METROGLOBL,2026-06-17,131.57,131.57,125.55,128.02,3909
METROGLOBL,2026-06-18,132.5,132.5,126.5,127.4,1827
METROGLOBL,2026-06-19,124.0,131.44,122.1,128.69,1198
METROGLOBL,2026-06-22,128.69,130.5,127.3,127.99,4347
METROGLOBL,2026-06-23,128.0,129.99,128.0,129.92,799
METROGLOBL,2026-06-24,129.99,131.23,125.37,129.6,1182
METROGLOBL,2026-06-25,129.6,134.0,126.0,133.2,2785
METROGLOBL,2026-06-26,133.2,133.2,133.2,133.2,0
METROGLOBL,2026-06-29,133.2,133.2,128.5,129.03,857
METROGLOBL,2026-06-30,129.0,133.0,127.01,128.3,817
METROGLOBL,2026-07-01,128.4,131.98,128.0,129.84,862
METROGLOBL,2026-07-02,129.8,129.8,126.6,126.7,327
METROGLOBL,2026-07-03,126.0,128.0,126.0,128.0,195
METROGLOBL,2026-07-06,128.0,139.9,125.5,133.18,7794
METROGLOBL,2026-07-07,130.25,159.79,130.25,146.36,90434
METROGLOBL,2026-07-08,146.0,146.0,132.02,134.56,9316
METROGLOBL,2026-07-09,136.0,137.0,132.65,134.64,3614
METROGLOBL,2026-07-10,134.95,138.9,133.0,133.41,1618
METROGLOBL,2026-07-13,135.0,137.0,132.0,135.09,1726
METROGLOBL,2026-07-14,132.2,134.5,130.15,132.87,2198
METROGLOBL,2026-07-15,132.87,134.0,129.0,130.95,4429
METROGLOBL,2026-07-16,130.15,134.78,130.15,130.76,1333
METROGLOBL,2026-07-17,133.8,134.0,130.31,133.52,556
METROGLOBL,2026-07-20,133.52,136.95,130.1,133.35,1971
METROGLOBL,2026-07-21,129.5,140.8,129.5,135.83,9517
METROGLOBL,2026-07-22,136.95,141.95,130.1,131.28,4803
METROGLOBL,2026-07-23,131.28,136.97,127.0,128.05,2654
METROGLOBL,2026-07-24,132.0,132.0,127.32,129.79,466
METROGLOBL,2026-07-27,129.79,132.0,128.2,130.92,771
METROGLOBL,2026-07-28,131.99,131.99,127.0,127.65,1394
METROGLOBL,2026-07-29,131.0,132.0,128.0,128.13,498
METROGLOBL,2026-07-30,128.77,131.0,127.15,128.42,1881
METROGLOBL,2026-07-31,127.3,135.0,127.3,131.9,902
METROGLOBL,2026-08-03,131.9,135.0,129.1,133.26,748
METROGLOBL,2026-08-04,132.0,135.99,130.17,132.42,1246
METROGLOBL,2026-08-05,137.0,137.0,129.0,130.02,528
METROGLOBL,2026-08-06,135.0,135.9,131.0,135.02,977
METROGLOBL,2026-08-07,135.02,138.0,133.02,134.49,3203
METROGLOBL,2026-08-10,138.0,138.0,130.0,130.21,1715
METROGLOBL,2026-08-11,130.5,135.6,130.5,134.46,403
METROGLOBL,2026-08-12,137.0,137.0,132.0,133.05,1536
METROGLOBL,2026-08-13,134.5,139.78,130.2,132.32,1663
METROGLOBL,2026-08-14,135.0,147.95,133.5,146.11,23758
METROGLOBL,2026-08-17,145.1,165.0,145.0,154.74,114739
METROGLOBL,2026-08-18,157.0,157.0,141.81,149.94,13174
METROGLOBL,2026-08-19,149.94,151.0,140.26,142.27,3267
METROGLOBL,2026-08-20,141.0,147.0,138.4,145.41,2368
METROGLOBL,2026-08-21,143.96,146.7,137.26,140.98,2589
METROGLOBL,2026-08-24,141.0,146.9,140.25,143.28,3042
METROGLOBL,2026-08-25,143.28,145.0,137.01,138.94,5938
METROGLOBL,2026-08-26,137.3,141.94,135.0,137.82,4796
METROGLOBL,2026-08-27,138.1,140.0,135.0,135.07,875
METROGLOBL,2026-08-28,135.51,140.0,134.14,139.93,1100
METROGLOBL,2026-08-31,139.86,141.0,137.0,138.04,259
METROGLOBL,2026-09-01,137.35,143.0,135.0,139.85,1677
METROGLOBL,2026-09-02,136.0,139.99,131.0,132.95,2818
METROGLOBL,2026-09-03,137.0,137.0,133.3,133.3,334
