symbol,date,open,high,low,close,volume
MHLXMIRU,2025-07-22,225.4,227.6,224.05,225.06,5534
MHLXMIRU,2025-07-23,224.8,227.0,223.7,226.77,1622
MHLXMIRU,2025-07-24,223.0,225.53,220.6,222.17,7859
MHLXMIRU,2025-07-25,223.09,224.31,216.01,216.86,4347
MHLXMIRU,2025-07-28,223.02,224.0,216.01,216.48,4095
MHLXMIRU,2025-07-29,217.99,218.0,215.01,217.69,1602
MHLXMIRU,2025-07-30,229.0,229.0,216.06,220.52,7270
MHLXMIRU,2025-07-31,220.0,220.0,215.7,217.35,1383
MHLXMIRU,2025-08-01,220.29,220.29,215.2,215.42,4216
MHLXMIRU,2025-08-04,221.0,221.0,214.69,219.94,7264
MHLXMIRU,2025-08-05,218.14,228.3,215.0,217.77,5843
MHLXMIRU,2025-08-06,219.76,219.76,215.99,217.48,1215
MHLXMIRU,2025-08-07,218.11,218.11,212.1,214.44,2997
MHLXMIRU,2025-08-08,214.0,217.0,210.1,212.14,4015
MHLXMIRU,2025-08-11,217.0,221.5,210.94,217.74,4110
MHLXMIRU,2025-08-12,218.6,222.9,217.06,219.92,5302
MHLXMIRU,2025-08-13,223.7,236.49,217.01,225.84,10855
MHLXMIRU,2025-08-14,229.87,232.0,226.27,228.92,10136
MHLXMIRU,2025-08-18,224.34,231.38,224.34,226.68,3167
MHLXMIRU,2025-08-19,225.15,227.44,223.45,224.91,5712
MHLXMIRU,2025-08-20,227.5,231.0,220.5,223.51,10862
MHLXMIRU,2025-08-21,227.75,227.99,218.15,221.89,10635
MHLXMIRU,2025-08-22,229.65,229.65,221.0,221.21,2927
MHLXMIRU,2025-08-25,221.2,224.48,221.09,222.62,1394
MHLXMIRU,2025-08-26,224.0,224.0,215.35,218.85,3492
MHLXMIRU,2025-08-28,219.01,222.51,206.4,216.22,11339
MHLXMIRU,2025-08-29,217.01,217.01,210.42,212.56,5381
MHLXMIRU,2025-09-01,211.5,219.85,210.03,217.77,3904
MHLXMIRU,2025-09-02,215.4,227.74,213.17,219.08,5168
MHLXMIRU,2025-09-03,215.0,224.39,215.0,220.64,4100
MHLXMIRU,2025-09-04,216.0,227.99,215.66,221.26,2201
MHLXMIRU,2025-09-05,226.0,226.0,217.02,219.49,2451
MHLXMIRU,2025-09-08,219.0,223.9,216.57,216.91,7821
MHLXMIRU,2025-09-09,218.52,221.42,216.31,217.26,2419
MHLXMIRU,2025-09-10,222.45,222.94,217.65,217.78,2454
MHLXMIRU,2025-09-11,219.0,226.1,219.0,220.56,3483
MHLXMIRU,2025-09-12,220.7,223.98,219.01,221.4,3849
MHLXMIRU,2025-09-15,221.41,223.99,218.0,220.76,3299
MHLXMIRU,2025-09-16,222.98,224.98,216.21,218.43,4575
MHLXMIRU,2025-09-17,218.0,223.0,217.97,219.04,3148
MHLXMIRU,2025-09-18,220.14,224.99,218.41,220.22,5134
MHLXMIRU,2025-09-19,220.51,224.8,219.83,222.59,1080
MHLXMIRU,2025-09-22,221.51,224.98,220.0,221.15,1026
MHLXMIRU,2025-09-23,220.01,223.0,218.51,219.5,824
MHLXMIRU,2025-09-24,218.0,227.49,218.0,221.06,1084
MHLXMIRU,2025-09-25,222.16,224.68,220.11,221.67,788
MHLXMIRU,2025-09-26,220.5,222.0,216.3,218.02,1921
MHLXMIRU,2025-09-29,219.0,221.0,217.14,218.92,11300
MHLXMIRU,2025-09-30,218.91,221.0,216.1,219.32,2046
MHLXMIRU,2025-10-01,218.32,221.29,216.2,218.6,1965
MHLXMIRU,2025-10-03,220.49,220.49,217.0,217.17,681
MHLXMIRU,2025-10-06,218.25,219.3,216.1,216.44,4722
MHLXMIRU,2025-10-07,219.21,219.3,217.3,217.72,876
MHLXMIRU,2025-10-08,217.73,226.0,212.0,217.27,7838
MHLXMIRU,2025-10-09,219.51,224.9,218.53,220.14,4246
MHLXMIRU,2025-10-10,223.94,223.94,219.2,219.36,1193
MHLXMIRU,2025-10-13,216.25,223.95,216.25,219.05,1469
MHLXMIRU,2025-10-14,219.05,220.0,208.0,209.8,24716
MHLXMIRU,2025-10-15,219.94,219.94,205.27,207.06,5789
MHLXMIRU,2025-10-16,213.77,214.92,208.06,213.87,4765
MHLXMIRU,2025-10-17,218.89,218.89,211.01,211.72,2690
MHLXMIRU,2025-10-20,208.12,214.99,205.0,210.67,1443
MHLXMIRU,2025-10-21,215.63,215.64,211.75,214.7,721
MHLXMIRU,2025-10-23,217.8,217.8,210.01,213.49,1463
MHLXMIRU,2025-10-24,214.0,214.98,206.51,207.55,3584
MHLXMIRU,2025-10-27,207.6,214.95,207.6,211.99,3292
MHLXMIRU,2025-10-28,210.94,217.5,209.11,212.84,3693
MHLXMIRU,2025-10-29,217.49,217.49,208.25,209.07,5399
MHLXMIRU,2025-10-30,214.84,214.84,207.7,208.89,1524
MHLXMIRU,2025-10-31,214.64,214.64,207.6,208.18,5474
MHLXMIRU,2025-11-03,213.0,214.75,207.11,214.0,1853
MHLXMIRU,2025-11-04,213.87,215.99,210.6,211.46,2448
MHLXMIRU,2025-11-06,211.46,215.94,210.88,210.98,2569
MHLXMIRU,2025-11-07,209.01,210.06,206.2,206.61,373
MHLXMIRU,2025-11-10,206.5,214.5,205.0,207.79,1570
MHLXMIRU,2025-11-11,214.34,214.34,207.45,208.26,1939
MHLXMIRU,2025-11-12,214.29,214.3,208.05,208.74,4424
MHLXMIRU,2025-11-13,213.0,213.0,204.04,205.29,8092
MHLXMIRU,2025-11-14,220.0,244.65,220.0,230.35,190239
MHLXMIRU,2025-11-17,234.4,235.9,215.02,230.42,42768
MHLXMIRU,2025-11-18,227.0,243.9,227.0,233.08,33801
MHLXMIRU,2025-11-19,229.6,235.51,223.89,229.66,9065
MHLXMIRU,2025-11-20,229.66,234.91,225.0,231.9,5749
MHLXMIRU,2025-11-21,234.2,234.95,227.0,228.8,32418
MHLXMIRU,2025-11-24,229.95,238.0,227.0,230.59,8414
MHLXMIRU,2025-11-25,231.01,231.01,216.67,221.46,7965
MHLXMIRU,2025-11-26,220.01,227.47,216.0,217.67,6103
MHLXMIRU,2025-11-27,219.0,225.01,215.15,217.04,6517
MHLXMIRU,2025-11-28,219.0,227.0,217.0,217.26,9800
MHLXMIRU,2025-12-01,220.95,223.59,217.65,220.1,5398
MHLXMIRU,2025-12-02,219.05,230.62,217.83,227.36,7884
MHLXMIRU,2025-12-03,228.3,230.64,219.07,223.46,2559
MHLXMIRU,2025-12-04,226.19,234.8,223.77,228.72,8329
MHLXMIRU,2025-12-05,227.91,232.6,220.0,221.09,8273
MHLXMIRU,2025-12-08,223.02,232.0,216.52,226.45,10815
MHLXMIRU,2025-12-09,228.0,230.46,221.51,227.48,9036
MHLXMIRU,2025-12-10,230.76,230.85,219.01,220.74,9953
MHLXMIRU,2025-12-11,220.8,225.03,220.8,223.38,4669
MHLXMIRU,2025-12-12,225.71,228.4,218.01,224.91,6587
MHLXMIRU,2025-12-15,226.0,226.28,219.22,220.15,5466
MHLXMIRU,2025-12-16,222.4,222.94,218.0,218.59,7084
MHLXMIRU,2025-12-17,220.52,220.52,214.0,218.24,5186
MHLXMIRU,2025-12-18,219.84,221.0,212.21,215.3,5483
MHLXMIRU,2025-12-19,218.01,218.62,212.5,214.16,3473
MHLXMIRU,2025-12-22,216.97,219.19,211.2,213.46,844
MHLXMIRU,2025-12-23,217.01,218.03,209.22,210.66,20733
MHLXMIRU,2025-12-24,210.19,214.22,209.87,213.19,6119
MHLXMIRU,2025-12-26,213.84,214.04,205.8,208.66,5442
MHLXMIRU,2025-12-29,211.12,211.12,201.35,203.54,11589
MHLXMIRU,2025-12-30,206.01,213.0,200.42,206.66,8893
MHLXMIRU,2025-12-31,207.71,208.35,204.01,205.66,1873
MHLXMIRU,2026-01-01,208.58,212.5,205.61,209.94,4082
MHLXMIRU,2026-01-02,220.0,220.0,203.0,206.32,8853
MHLXMIRU,2026-01-05,204.0,208.78,204.0,205.46,2541
MHLXMIRU,2026-01-06,204.1,209.71,204.1,206.47,2256
MHLXMIRU,2026-01-07,211.0,211.0,205.16,208.17,3618
MHLXMIRU,2026-01-08,209.41,209.41,202.52,204.7,4197
MHLXMIRU,2026-01-09,203.74,203.91,201.1,202.06,968
MHLXMIRU,2026-01-12,206.01,207.0,196.41,197.89,3752
MHLXMIRU,2026-01-13,197.25,203.45,193.63,194.94,1883
MHLXMIRU,2026-01-14,201.01,209.5,196.5,197.44,3824
MHLXMIRU,2026-01-16,200.39,204.83,192.02,202.61,5176
MHLXMIRU,2026-01-19,204.83,204.84,196.1,197.04,978
MHLXMIRU,2026-01-20,201.01,202.56,197.0,197.01,2598
MHLXMIRU,2026-01-21,205.0,205.0,192.32,195.07,2762
MHLXMIRU,2026-01-22,204.94,204.94,193.1,196.11,67
MHLXMIRU,2026-01-23,194.01,200.0,194.0,196.76,552
MHLXMIRU,2026-01-27,191.33,195.0,190.51,190.51,1205
MHLXMIRU,2026-01-28,194.01,204.85,191.1,195.44,1880
MHLXMIRU,2026-01-29,195.89,201.5,189.0,195.0,200459
MHLXMIRU,2026-01-30,198.88,214.94,191.51,208.94,4815
MHLXMIRU,2026-02-02,212.19,214.79,196.2,203.83,1955
MHLXMIRU,2026-02-03,215.0,215.0,192.7,195.43,33067
MHLXMIRU,2026-02-04,196.51,201.8,192.0,196.03,7355
MHLXMIRU,2026-02-05,198.01,200.99,193.57,197.0,1925
MHLXMIRU,2026-02-06,193.53,199.0,188.25,195.2,223
MHLXMIRU,2026-02-09,195.21,199.0,192.0,196.85,203884
MHLXMIRU,2026-02-10,196.9,203.9,193.32,197.87,404479
MHLXMIRU,2026-02-11,193.5,199.95,175.0,194.67,87671
