symbol,date,open,high,low,close,volume
MIDHANI,2025-07-24,416.75,421.7,410.85,411.9,286607
MIDHANI,2025-07-25,411.5,413.0,402.15,404.2,291586
MIDHANI,2025-07-28,400.0,414.1,396.8,399.35,588688
MIDHANI,2025-07-29,399.4,405.5,395.35,403.95,311322
MIDHANI,2025-07-30,405.0,409.75,402.0,403.15,231945
MIDHANI,2025-07-31,396.0,402.9,394.0,395.15,253150
MIDHANI,2025-08-01,394.8,398.65,382.1,384.7,309205
MIDHANI,2025-08-04,384.5,400.0,383.05,396.75,392174
MIDHANI,2025-08-05,396.75,400.85,392.2,395.75,250502
MIDHANI,2025-08-06,402.0,409.7,396.8,401.9,612256
MIDHANI,2025-08-07,397.95,398.05,385.1,391.65,406422
MIDHANI,2025-08-08,390.0,394.3,383.0,384.55,220695
MIDHANI,2025-08-11,383.55,398.0,381.05,392.65,443884
MIDHANI,2025-08-12,393.0,393.8,386.25,387.1,182851
MIDHANI,2025-08-13,388.5,405.4,387.1,400.45,596540
MIDHANI,2025-08-14,404.0,408.85,393.55,396.35,443951
MIDHANI,2025-08-18,401.0,402.2,390.05,391.2,283227
MIDHANI,2025-08-19,392.4,398.5,390.25,397.0,220150
MIDHANI,2025-08-20,397.95,402.2,394.0,396.55,208633
MIDHANI,2025-08-21,396.4,401.0,390.0,391.65,304711
MIDHANI,2025-08-22,390.05,398.4,390.0,391.25,254800
MIDHANI,2025-08-25,395.95,397.7,388.0,390.0,259855
MIDHANI,2025-08-26,388.0,390.7,376.0,380.75,264036
MIDHANI,2025-08-28,380.0,380.0,367.9,369.1,203436
MIDHANI,2025-08-29,368.25,373.35,357.4,361.25,319520
MIDHANI,2025-09-01,364.6,379.4,363.1,376.7,447720
MIDHANI,2025-09-02,379.8,385.0,374.4,379.15,353233
MIDHANI,2025-09-03,377.5,392.0,377.5,390.85,430323
MIDHANI,2025-09-04,393.4,393.95,377.9,380.05,299072
MIDHANI,2025-09-05,380.05,386.05,375.45,376.9,312978
MIDHANI,2025-09-08,378.0,388.9,375.3,377.4,360196
MIDHANI,2025-09-09,378.95,381.15,374.5,375.85,143577
MIDHANI,2025-09-10,376.7,383.9,376.0,380.4,320940
MIDHANI,2025-09-11,381.4,396.3,381.4,388.85,961496
MIDHANI,2025-09-12,389.95,404.5,387.55,400.55,1144446
MIDHANI,2025-09-15,404.0,408.15,402.6,406.25,765482
MIDHANI,2025-09-16,413.0,419.7,408.0,410.95,1735057
MIDHANI,2025-09-17,412.0,417.0,408.3,412.55,622177
MIDHANI,2025-09-18,414.0,414.3,405.0,405.8,352725
MIDHANI,2025-09-19,405.9,409.45,403.85,406.95,271041
MIDHANI,2025-09-22,406.7,412.5,399.0,401.05,376498
MIDHANI,2025-09-23,401.05,406.95,394.5,404.3,456177
MIDHANI,2025-09-24,402.7,408.0,392.0,394.9,359121
MIDHANI,2025-09-25,395.0,403.9,393.25,394.1,337193
MIDHANI,2025-09-26,394.0,394.9,381.95,384.0,338285
MIDHANI,2025-09-29,384.0,388.35,369.25,371.4,706357
MIDHANI,2025-09-30,371.4,380.85,371.4,377.2,275429
MIDHANI,2025-10-01,376.8,383.85,374.5,382.9,372795
MIDHANI,2025-10-03,383.8,403.3,382.65,400.9,777946
MIDHANI,2025-10-06,400.9,400.9,391.15,392.85,327081
MIDHANI,2025-10-07,392.85,396.0,386.7,388.95,229976
MIDHANI,2025-10-08,388.95,390.8,381.65,382.85,190560
MIDHANI,2025-10-09,383.0,396.0,381.0,393.9,398369
MIDHANI,2025-10-10,394.1,395.85,387.3,388.6,201107
MIDHANI,2025-10-13,386.0,387.25,376.7,378.95,327776
MIDHANI,2025-10-14,380.0,382.75,375.0,377.95,222795
MIDHANI,2025-10-15,389.0,389.0,380.05,386.35,1123831
MIDHANI,2025-10-16,388.0,389.15,376.8,377.6,358866
MIDHANI,2025-10-17,377.6,385.75,376.25,380.3,347451
MIDHANI,2025-10-20,379.0,380.25,374.0,377.6,247783
MIDHANI,2025-10-21,380.0,385.4,380.0,382.15,103873
MIDHANI,2025-10-23,385.95,386.0,378.1,379.95,230370
MIDHANI,2025-10-24,381.65,387.3,378.0,380.4,332845
MIDHANI,2025-10-27,382.25,383.15,379.25,381.45,190509
MIDHANI,2025-10-28,381.0,383.55,377.15,378.6,161304
MIDHANI,2025-10-29,378.8,387.85,378.45,385.9,417953
MIDHANI,2025-10-30,386.0,389.4,382.0,384.15,210214
MIDHANI,2025-10-31,383.35,390.95,382.1,385.15,381766
MIDHANI,2025-11-03,387.0,394.2,382.15,392.15,376375
MIDHANI,2025-11-04,392.45,394.75,378.1,380.05,321723
MIDHANI,2025-11-06,380.5,381.0,371.2,372.6,210669
MIDHANI,2025-11-07,371.0,375.95,365.3,374.85,219219
MIDHANI,2025-11-10,375.0,383.0,375.0,377.85,189388
MIDHANI,2025-11-11,378.0,390.0,377.4,383.8,433610
MIDHANI,2025-11-12,385.0,390.3,382.05,388.65,237747
MIDHANI,2025-11-13,388.05,389.95,381.2,382.5,255033
MIDHANI,2025-11-14,372.0,377.35,361.5,364.7,995419
MIDHANI,2025-11-17,366.0,370.85,359.15,361.2,439572
MIDHANI,2025-11-18,361.0,362.2,349.5,352.7,476851
MIDHANI,2025-11-19,352.95,353.3,349.8,351.5,167943
MIDHANI,2025-11-20,351.4,359.8,350.15,353.15,199668
MIDHANI,2025-11-21,353.15,353.5,344.0,345.7,259563
MIDHANI,2025-11-24,341.0,344.0,326.0,327.05,420833
MIDHANI,2025-11-25,328.0,331.95,328.0,329.5,171527
MIDHANI,2025-11-26,329.5,335.2,325.0,328.9,368262
MIDHANI,2025-11-27,332.2,337.4,327.75,330.55,423830
MIDHANI,2025-11-28,332.0,332.8,327.85,328.7,169936
MIDHANI,2025-12-01,329.95,333.35,320.0,321.65,496620
MIDHANI,2025-12-02,321.0,322.7,317.3,320.8,222750
MIDHANI,2025-12-03,320.8,321.7,311.5,312.8,283632
MIDHANI,2025-12-04,311.35,319.0,311.25,317.0,285124
MIDHANI,2025-12-05,316.55,318.45,309.35,311.95,219296
MIDHANI,2025-12-08,311.25,311.95,293.8,295.2,702118
MIDHANI,2025-12-09,293.35,304.8,288.65,303.45,387626
MIDHANI,2025-12-10,303.2,307.55,296.6,298.35,261369
MIDHANI,2025-12-11,299.6,302.0,296.0,296.9,344967
MIDHANI,2025-12-12,298.25,302.25,297.55,300.55,347390
MIDHANI,2025-12-15,298.25,305.1,297.05,303.25,321630
MIDHANI,2025-12-16,302.5,302.8,297.0,298.6,214988
MIDHANI,2025-12-17,298.0,298.25,290.3,291.55,233219
MIDHANI,2025-12-18,291.55,293.9,286.9,291.9,209905
MIDHANI,2025-12-19,297.5,302.0,291.75,297.25,751427
MIDHANI,2025-12-22,299.8,313.6,298.65,308.9,794769
MIDHANI,2025-12-23,311.4,324.4,308.4,312.8,1043145
MIDHANI,2025-12-24,312.8,320.75,310.0,311.35,632289
MIDHANI,2025-12-26,311.95,322.9,309.2,318.6,948314
MIDHANI,2025-12-29,323.0,363.7,323.0,350.45,38883325
MIDHANI,2025-12-30,350.55,368.0,348.6,354.35,20354557
MIDHANI,2025-12-31,351.4,354.3,341.05,343.45,2019779
MIDHANI,2026-01-01,343.4,344.0,337.4,341.75,592578
MIDHANI,2026-01-02,340.05,360.7,340.05,355.15,1661827
MIDHANI,2026-01-05,357.1,360.75,349.0,351.0,1176167
MIDHANI,2026-01-06,352.2,352.2,344.5,346.35,481256
MIDHANI,2026-01-07,346.0,363.9,342.15,361.85,1556169
MIDHANI,2026-01-08,363.8,367.05,350.25,352.4,1190893
MIDHANI,2026-01-09,352.85,359.4,345.8,347.75,779068
MIDHANI,2026-01-12,348.0,350.45,337.15,347.65,683655
MIDHANI,2026-01-13,347.0,352.95,338.3,341.4,696834
MIDHANI,2026-01-14,342.0,362.15,341.2,350.65,1832181
MIDHANI,2026-01-15,350.65,350.65,350.65,350.65,0
MIDHANI,2026-01-16,354.0,366.45,349.0,357.85,1749860
MIDHANI,2026-01-19,358.25,366.3,355.0,362.65,1324186
MIDHANI,2026-01-20,363.0,363.0,343.0,345.75,1136314
MIDHANI,2026-01-21,345.0,348.35,336.1,339.1,1214192
MIDHANI,2026-01-22,342.9,349.95,339.45,342.2,458415
MIDHANI,2026-01-23,343.0,344.4,328.0,329.7,425803
MIDHANI,2026-01-27,332.0,342.0,324.75,338.95,578790
MIDHANI,2026-01-28,341.0,373.0,339.95,368.15,2012155
MIDHANI,2026-01-29,372.35,390.7,364.1,387.5,3666041
MIDHANI,2026-01-30,384.0,389.8,369.2,375.25,1717572
MIDHANI,2026-02-02,352.0,359.0,340.7,356.25,788795
MIDHANI,2026-02-03,369.0,372.3,353.25,362.15,926856
MIDHANI,2026-02-04,362.25,370.6,359.05,362.0,616982
MIDHANI,2026-02-05,367.0,368.35,359.0,361.9,714402
MIDHANI,2026-02-06,355.0,357.55,351.55,354.3,383510
MIDHANI,2026-02-09,360.0,370.0,356.55,367.45,696793
MIDHANI,2026-02-10,369.4,379.7,365.15,377.8,856007
MIDHANI,2026-02-11,379.0,379.7,366.0,369.95,482128
MIDHANI,2026-02-12,369.6,374.55,363.25,369.05,368530
MIDHANI,2026-02-13,368.8,368.8,355.05,360.95,360085
MIDHANI,2026-02-16,359.0,364.0,354.8,361.65,252199
MIDHANI,2026-02-17,359.9,368.9,358.4,360.35,320210
MIDHANI,2026-02-18,360.35,368.5,360.35,365.0,359681
MIDHANI,2026-02-19,365.0,367.2,351.0,353.2,361316
MIDHANI,2026-02-20,352.8,360.9,348.1,349.8,454267
MIDHANI,2026-02-23,353.7,355.45,342.35,344.1,387540
MIDHANI,2026-02-24,340.0,343.1,334.55,338.5,293365
MIDHANI,2026-02-25,338.1,349.5,338.1,346.85,377613
MIDHANI,2026-02-26,346.95,354.3,342.4,353.15,480025
MIDHANI,2026-02-27,351.55,353.8,345.0,346.25,151198
MIDHANI,2026-03-02,337.3,362.0,336.85,344.15,1252310
MIDHANI,2026-03-04,340.95,348.0,334.15,336.9,421321
MIDHANI,2026-03-05,337.8,347.75,337.8,343.65,511718
MIDHANI,2026-03-06,342.8,362.5,342.55,352.85,993307
MIDHANI,2026-03-09,348.9,349.4,334.6,337.2,497081
MIDHANI,2026-03-10,342.0,344.75,333.45,342.1,594885
