symbol,date,open,high,low,close,volume
MIRZAINT,2021-07-26,65.6,68.7,63.75,66.8,13794231
MIRZAINT,2021-07-27,68.35,69.4,63.65,65.35,3878909
MIRZAINT,2021-07-28,63.6,64.3,61.1,61.9,2929212
MIRZAINT,2021-07-29,62.6,64.8,62.2,63.75,1469329
MIRZAINT,2021-07-30,63.6,65.7,63.3,64.85,1860693
MIRZAINT,2021-08-02,65.1,65.9,62.5,62.85,1154123
MIRZAINT,2021-08-03,62.9,64.55,62.5,62.9,1145778
MIRZAINT,2021-08-04,64.1,65.45,61.85,62.5,1526343
MIRZAINT,2021-08-05,62.5,62.7,58.35,61.0,1248292
MIRZAINT,2021-08-06,60.8,63.45,60.35,62.75,791401
MIRZAINT,2021-08-09,63.15,65.5,61.6,61.85,1088886
MIRZAINT,2021-08-10,62.1,62.55,55.1,57.2,1378046
MIRZAINT,2021-08-11,57.15,57.95,54.15,55.45,1299468
MIRZAINT,2021-08-12,55.8,59.95,55.8,59.45,892850
MIRZAINT,2021-08-13,59.9,59.9,57.9,58.05,407600
MIRZAINT,2021-08-16,60.0,60.6,58.3,58.8,797891
MIRZAINT,2021-08-17,58.8,59.55,57.45,57.65,465384
MIRZAINT,2021-08-18,57.55,59.1,56.5,57.15,550837
MIRZAINT,2021-08-20,55.5,56.4,54.5,54.95,664404
MIRZAINT,2021-08-23,56.5,56.85,53.5,54.1,698886
MIRZAINT,2021-08-24,54.1,55.75,54.05,55.15,424240
MIRZAINT,2021-08-25,55.6,56.1,54.7,55.05,254667
MIRZAINT,2021-08-26,55.1,55.8,54.55,54.7,238106
MIRZAINT,2021-08-27,54.45,56.25,54.45,55.05,333857
MIRZAINT,2021-08-30,55.5,58.8,55.5,57.9,1016702
MIRZAINT,2021-08-31,58.65,58.95,57.5,57.95,553792
MIRZAINT,2021-09-01,58.2,58.4,57.15,57.65,291759
MIRZAINT,2021-09-02,57.7,59.9,57.6,58.35,744795
MIRZAINT,2021-09-03,58.4,58.85,57.35,57.55,261631
MIRZAINT,2021-09-06,58.0,62.9,57.6,61.4,3844557
MIRZAINT,2021-09-07,61.0,62.55,59.2,61.25,1733388
MIRZAINT,2021-09-08,61.25,61.9,59.75,60.1,673853
MIRZAINT,2021-09-09,60.1,60.65,59.5,59.7,394649
MIRZAINT,2021-09-13,60.0,60.4,58.85,59.1,278696
MIRZAINT,2021-09-14,59.6,60.2,58.8,59.15,330018
MIRZAINT,2021-09-15,59.2,60.75,59.15,59.4,458474
MIRZAINT,2021-09-16,59.4,60.35,58.7,58.95,390796
MIRZAINT,2021-09-17,58.85,59.3,56.6,57.35,360621
MIRZAINT,2021-09-20,56.0,60.45,56.0,58.05,1992260
MIRZAINT,2021-09-21,58.55,59.15,57.0,58.3,433553
MIRZAINT,2021-09-22,58.85,60.0,58.35,59.25,513436
MIRZAINT,2021-09-23,60.0,61.25,59.3,60.1,765897
MIRZAINT,2021-09-24,59.7,60.8,58.0,59.25,465044
MIRZAINT,2021-09-27,59.05,59.75,57.85,58.05,339209
MIRZAINT,2021-09-28,58.5,59.15,57.4,58.5,297182
MIRZAINT,2021-09-29,57.75,61.25,57.5,59.15,618798
MIRZAINT,2021-09-30,59.5,61.25,58.8,59.25,826707
MIRZAINT,2021-10-01,58.8,60.45,58.55,60.0,461043
MIRZAINT,2021-10-04,60.7,60.9,59.75,59.85,506688
MIRZAINT,2021-10-05,59.55,60.4,59.45,59.7,357590
MIRZAINT,2021-10-06,60.15,63.2,59.7,60.9,2212792
MIRZAINT,2021-10-07,61.35,64.2,61.25,62.2,1532277
MIRZAINT,2021-10-08,62.65,67.0,61.9,66.5,4364429
MIRZAINT,2021-10-11,67.45,68.45,64.05,64.7,2459730
MIRZAINT,2021-10-12,65.6,66.15,64.2,64.85,913505
MIRZAINT,2021-10-13,65.35,66.2,63.1,64.65,1146130
MIRZAINT,2021-10-14,65.15,66.6,63.85,64.2,820108
MIRZAINT,2021-10-18,64.4,66.2,63.2,63.7,778609
MIRZAINT,2021-10-19,64.0,65.45,61.9,62.35,777298
MIRZAINT,2021-10-20,61.9,67.45,60.05,64.15,2181294
MIRZAINT,2021-10-21,67.0,67.0,63.25,64.2,886259
MIRZAINT,2021-10-22,64.65,66.25,62.1,63.4,786898
MIRZAINT,2021-10-25,63.05,63.55,61.5,62.1,370705
MIRZAINT,2021-10-26,62.6,63.5,62.45,63.15,332916
MIRZAINT,2021-10-27,63.45,64.35,61.8,62.3,363069
MIRZAINT,2021-10-28,62.0,62.5,59.75,60.25,415411
MIRZAINT,2021-10-29,59.9,61.0,58.35,59.7,402641
MIRZAINT,2021-11-01,60.25,63.5,60.2,62.95,357015
MIRZAINT,2021-11-02,63.1,64.0,62.4,62.75,373516
MIRZAINT,2021-11-03,63.25,64.5,60.1,62.85,601159
MIRZAINT,2021-11-04,65.75,75.0,65.0,71.85,5354166
MIRZAINT,2021-11-08,77.0,83.0,76.0,79.35,10228115
MIRZAINT,2021-11-09,80.0,82.9,79.4,80.7,2795735
MIRZAINT,2021-11-10,79.95,85.0,78.7,83.05,2512381
MIRZAINT,2021-11-11,82.1,85.95,81.5,84.9,2670925
MIRZAINT,2021-11-12,85.5,88.1,78.1,79.35,2988949
MIRZAINT,2021-11-15,82.55,94.4,82.2,90.85,6810584
MIRZAINT,2021-11-16,90.85,93.75,87.05,88.5,2883988
MIRZAINT,2021-11-17,88.2,90.0,85.0,86.0,1293429
MIRZAINT,2021-11-18,88.0,90.4,83.75,85.2,2262885
MIRZAINT,2021-11-22,82.0,84.0,79.5,81.0,1821453
MIRZAINT,2021-11-23,80.5,90.0,78.1,87.8,2272347
MIRZAINT,2021-11-24,88.95,88.95,85.65,85.95,909563
MIRZAINT,2021-11-25,94.0,94.0,90.5,92.35,2472212
MIRZAINT,2021-11-26,91.45,93.75,88.1,88.75,1884483
MIRZAINT,2021-11-29,87.5,88.8,82.9,84.9,1155553
MIRZAINT,2021-11-30,85.5,90.0,85.0,85.45,1122718
MIRZAINT,2021-12-01,87.0,99.8,86.6,98.5,7958708
MIRZAINT,2021-12-02,99.5,110.55,95.1,108.8,11573034
MIRZAINT,2021-12-03,108.8,112.8,106.15,106.85,4738785
MIRZAINT,2021-12-06,107.0,108.15,100.8,101.7,2047033
MIRZAINT,2021-12-07,102.8,105.6,100.3,101.35,1637639
MIRZAINT,2021-12-08,102.3,114.85,102.3,112.0,5706566
MIRZAINT,2021-12-09,113.0,117.4,112.0,113.95,4202247
MIRZAINT,2021-12-10,113.55,134.9,113.05,129.7,11337101
MIRZAINT,2021-12-13,132.0,138.5,127.0,128.6,6025279
MIRZAINT,2021-12-14,127.05,129.3,120.1,121.4,2013499
MIRZAINT,2021-12-15,122.05,126.2,120.2,123.3,1286864
MIRZAINT,2021-12-16,123.9,130.45,121.1,126.0,2659798
MIRZAINT,2021-12-17,126.0,126.15,117.0,118.4,1369100
MIRZAINT,2021-12-20,116.95,116.95,105.3,108.4,1589068
MIRZAINT,2021-12-21,118.0,119.0,112.7,114.4,1183568
MIRZAINT,2021-12-22,115.9,118.0,113.0,114.05,697397
MIRZAINT,2021-12-23,114.75,121.5,114.5,119.3,1477621
MIRZAINT,2021-12-24,120.5,127.35,120.3,121.45,1727745
MIRZAINT,2021-12-27,125.4,129.5,123.55,128.1,1631352
MIRZAINT,2021-12-28,130.0,131.9,126.1,126.95,1351167
MIRZAINT,2021-12-29,127.7,128.4,122.0,122.65,780041
MIRZAINT,2021-12-30,123.5,126.4,122.35,124.85,723595
MIRZAINT,2021-12-31,125.3,129.0,123.05,125.85,761650
MIRZAINT,2022-01-03,126.0,128.8,124.5,127.2,704948
MIRZAINT,2022-01-04,131.6,151.5,131.05,148.8,6326458
MIRZAINT,2022-01-05,148.75,148.85,140.35,143.4,1832146
MIRZAINT,2022-01-06,140.0,164.4,138.05,162.35,5312976
MIRZAINT,2022-01-07,162.2,162.2,150.6,152.2,2442299
MIRZAINT,2022-01-10,153.5,164.0,152.25,160.1,2702970
MIRZAINT,2022-01-11,159.7,160.55,152.0,153.7,961895
MIRZAINT,2022-01-12,155.0,159.0,151.5,153.05,929122
MIRZAINT,2022-01-13,154.0,158.2,153.0,153.8,558268
MIRZAINT,2022-01-14,153.0,155.9,146.25,151.45,968902
MIRZAINT,2022-01-17,152.2,169.85,151.7,163.3,3362463
MIRZAINT,2022-01-18,163.8,166.6,155.6,157.25,1196395
MIRZAINT,2022-01-19,158.0,163.2,153.25,157.2,952889
MIRZAINT,2022-01-20,156.8,163.85,156.1,158.6,791859
MIRZAINT,2022-01-21,156.75,161.0,150.45,152.65,935275
MIRZAINT,2022-01-24,153.4,156.0,135.85,139.35,1651457
MIRZAINT,2022-01-25,137.0,149.2,132.05,144.75,1218905
MIRZAINT,2022-01-27,141.0,147.25,137.55,141.85,913734
MIRZAINT,2022-01-28,144.0,152.5,143.0,147.55,939208
MIRZAINT,2022-01-31,148.75,150.5,144.0,145.1,404789
MIRZAINT,2022-02-01,146.55,151.8,143.3,145.85,634680
MIRZAINT,2022-02-02,147.0,154.25,147.0,153.15,758063
MIRZAINT,2022-02-03,153.0,154.9,150.15,151.35,421287
MIRZAINT,2022-02-04,151.6,152.05,145.5,146.55,344675
MIRZAINT,2022-02-07,147.0,148.15,142.65,144.15,349247
MIRZAINT,2022-02-08,144.5,146.35,136.25,139.5,576233
MIRZAINT,2022-02-09,140.7,144.4,139.3,141.95,280105
MIRZAINT,2022-02-10,142.05,145.3,138.15,143.55,517047
MIRZAINT,2022-02-11,142.0,142.75,128.5,132.55,773915
MIRZAINT,2022-02-14,141.55,156.45,138.85,146.7,4734369
MIRZAINT,2022-02-15,152.3,156.0,139.05,151.3,2412542
MIRZAINT,2022-02-16,154.0,174.45,150.5,167.7,5286070
MIRZAINT,2022-02-17,168.2,173.45,161.25,163.2,2799265
MIRZAINT,2022-02-18,164.1,166.55,155.3,157.25,1013982
MIRZAINT,2022-02-21,156.0,163.9,150.0,153.7,1933686
MIRZAINT,2022-02-22,143.5,151.45,143.05,145.3,1446840
MIRZAINT,2022-02-23,151.7,162.8,151.0,152.0,2323270
MIRZAINT,2022-02-24,146.15,149.3,138.45,141.25,1651141
MIRZAINT,2022-02-25,151.25,153.65,145.1,147.65,924107
MIRZAINT,2022-02-28,148.65,152.5,143.0,150.75,784305
MIRZAINT,2022-03-02,148.05,153.7,147.0,151.75,675419
