symbol,date,open,high,low,close,volume
MODTHREAD,2025-07-22,47.0,47.31,46.12,47.01,3360
MODTHREAD,2025-07-23,48.0,49.36,46.61,49.36,6304
MODTHREAD,2025-07-24,51.82,51.82,50.96,51.82,6059
MODTHREAD,2025-07-25,52.0,54.19,49.22,49.34,4796
MODTHREAD,2025-07-28,51.8,51.8,50.07,51.8,2702
MODTHREAD,2025-07-29,54.3,54.39,52.31,54.29,4561
MODTHREAD,2025-07-30,54.29,54.29,51.57,51.57,2535
MODTHREAD,2025-07-31,49.03,52.18,48.99,51.69,4927
MODTHREAD,2025-08-01,51.69,51.69,49.1,49.1,1104
MODTHREAD,2025-08-04,49.09,51.29,46.65,47.39,2611
MODTHREAD,2025-08-05,49.74,49.75,46.23,49.4,3614
MODTHREAD,2025-08-06,51.87,51.87,48.0,51.58,1052
MODTHREAD,2025-08-07,48.1,51.0,48.1,48.74,2278
MODTHREAD,2025-08-08,48.19,48.2,48.02,48.02,146
MODTHREAD,2025-08-11,48.02,51.95,47.37,47.49,2311
MODTHREAD,2025-08-12,51.0,51.0,46.46,46.51,3504
MODTHREAD,2025-08-13,47.11,49.97,46.51,46.96,1487
MODTHREAD,2025-08-14,46.96,48.0,46.46,46.78,3650
MODTHREAD,2025-08-18,46.78,46.78,44.13,45.11,3577
MODTHREAD,2025-08-19,41.0,49.62,41.0,49.62,4043
MODTHREAD,2025-08-20,54.48,54.58,50.71,54.58,14194
MODTHREAD,2025-08-21,57.99,60.03,55.5,60.02,90354
MODTHREAD,2025-08-22,61.4,62.0,57.01,57.01,16579
MODTHREAD,2025-08-25,57.1,59.39,56.53,57.94,11624
MODTHREAD,2025-08-26,56.25,58.0,55.04,55.04,2663
MODTHREAD,2025-08-28,55.05,57.79,53.11,56.81,3174
MODTHREAD,2025-08-29,59.34,59.4,54.29,55.46,1156
MODTHREAD,2025-09-01,55.0,55.5,52.68,53.43,27605
MODTHREAD,2025-09-02,53.43,54.89,51.55,51.69,3910
MODTHREAD,2025-09-03,51.35,54.27,51.35,54.06,4213
MODTHREAD,2025-09-04,55.0,56.76,54.06,56.75,1582
MODTHREAD,2025-09-05,59.4,59.58,57.0,59.26,1834
MODTHREAD,2025-09-08,59.57,61.5,56.29,56.29,1566
MODTHREAD,2025-09-09,56.29,56.29,53.47,53.98,2927
MODTHREAD,2025-09-10,51.29,56.67,51.29,56.13,4134
MODTHREAD,2025-09-11,56.41,57.5,53.85,57.24,1150
MODTHREAD,2025-09-12,57.24,57.24,54.44,56.98,1489
MODTHREAD,2025-09-15,56.61,56.65,54.13,54.87,11405
MODTHREAD,2025-09-16,54.6,55.3,52.14,53.24,6189
MODTHREAD,2025-09-17,52.97,52.98,50.59,51.76,4141
MODTHREAD,2025-09-18,54.0,54.0,49.2,51.11,5169
MODTHREAD,2025-09-19,51.11,51.11,48.6,48.73,9613
MODTHREAD,2025-09-22,48.0,51.15,47.6,49.75,9820
MODTHREAD,2025-09-23,50.0,50.0,47.26,47.59,11441
MODTHREAD,2025-09-24,46.0,49.01,45.61,48.01,3447
MODTHREAD,2025-09-25,49.21,50.41,47.0,47.34,11209
MODTHREAD,2025-09-26,49.63,49.63,44.97,45.13,15379
MODTHREAD,2025-09-29,44.23,44.48,43.0,43.11,6523
MODTHREAD,2025-09-30,43.32,45.26,42.0,45.26,20212
MODTHREAD,2025-10-01,47.39,47.39,44.3,44.32,5806
MODTHREAD,2025-10-03,44.32,46.53,44.32,46.16,3268
MODTHREAD,2025-10-06,46.01,47.48,45.0,45.35,2519
MODTHREAD,2025-10-07,45.13,47.61,45.13,47.28,6001
MODTHREAD,2025-10-08,49.64,49.64,46.39,49.16,1565
MODTHREAD,2025-10-09,48.4,48.5,46.82,47.36,831
MODTHREAD,2025-10-10,47.0,49.4,46.1,46.26,847
MODTHREAD,2025-10-13,45.0,48.57,45.0,47.26,2790
MODTHREAD,2025-10-14,47.26,47.26,44.89,45.08,3929
MODTHREAD,2025-10-15,47.1,47.1,45.22,46.0,173
MODTHREAD,2025-10-16,46.23,48.0,45.1,47.17,3926
MODTHREAD,2025-10-17,49.45,49.45,45.74,45.79,885
MODTHREAD,2025-10-20,45.0,48.07,45.0,47.78,7030
MODTHREAD,2025-10-21,46.82,47.0,46.1,46.22,465
MODTHREAD,2025-10-23,45.51,46.98,45.3,45.56,2228
MODTHREAD,2025-10-24,45.56,47.8,45.5,47.6,3054
MODTHREAD,2025-10-27,48.55,48.55,46.79,48.28,414
MODTHREAD,2025-10-28,48.04,49.27,46.4,47.37,1498
MODTHREAD,2025-10-29,45.91,48.68,45.91,48.32,3286
MODTHREAD,2025-10-30,48.32,48.32,45.9,45.98,2865
MODTHREAD,2025-10-31,45.99,48.0,45.99,46.1,1837
MODTHREAD,2025-11-03,47.02,47.99,45.5,45.88,1466
MODTHREAD,2025-11-04,45.5,47.22,44.8,45.26,1291
MODTHREAD,2025-11-06,45.48,47.19,44.53,44.8,2153
MODTHREAD,2025-11-07,43.9,47.04,43.9,46.98,10951
MODTHREAD,2025-11-10,46.5,49.3,46.11,46.27,564
MODTHREAD,2025-11-11,46.02,48.0,45.02,45.3,4020
MODTHREAD,2025-11-12,46.01,46.74,45.21,45.22,3456
MODTHREAD,2025-11-13,46.12,46.12,43.58,43.87,3375
MODTHREAD,2025-11-14,43.59,45.45,43.59,44.0,105
MODTHREAD,2025-11-17,43.87,45.45,43.58,43.58,8336
MODTHREAD,2025-11-18,45.75,45.75,43.66,43.85,2398
MODTHREAD,2025-11-19,44.99,44.99,43.62,43.71,1814
MODTHREAD,2025-11-20,43.6,45.34,43.6,44.85,6931
MODTHREAD,2025-11-21,46.0,46.51,44.51,46.1,804
MODTHREAD,2025-11-24,47.0,47.0,45.4,45.42,1157
MODTHREAD,2025-11-25,45.42,45.42,44.51,44.77,406
MODTHREAD,2025-11-26,44.55,44.56,44.02,44.08,349
MODTHREAD,2025-11-27,43.6,45.5,43.6,45.32,1185
MODTHREAD,2025-11-28,45.32,46.6,43.85,44.66,304
MODTHREAD,2025-12-01,44.67,45.99,44.11,44.75,484
MODTHREAD,2025-12-02,45.2,45.99,45.2,45.35,1146
MODTHREAD,2025-12-03,44.5,46.49,44.12,44.24,1280
MODTHREAD,2025-12-04,44.26,45.99,44.26,44.76,1788
MODTHREAD,2025-12-05,45.66,46.01,43.86,45.0,2346
MODTHREAD,2025-12-08,45.0,45.5,44.1,44.2,1749
MODTHREAD,2025-12-09,43.62,44.05,43.62,44.04,144
MODTHREAD,2025-12-10,44.0,44.97,43.65,44.89,279
MODTHREAD,2025-12-11,45.33,49.0,43.66,47.25,4915
MODTHREAD,2025-12-12,48.0,51.0,45.4,46.02,48351
MODTHREAD,2025-12-15,46.0,48.5,45.0,45.6,25588
MODTHREAD,2025-12-16,45.1,47.94,44.45,44.71,4966
MODTHREAD,2025-12-17,46.01,46.01,44.01,44.09,385
MODTHREAD,2025-12-18,47.99,47.99,43.55,43.74,1477
MODTHREAD,2025-12-19,43.15,46.89,43.13,43.37,348
MODTHREAD,2025-12-22,43.2,44.66,43.2,43.24,596
MODTHREAD,2025-12-23,43.5,44.86,43.0,43.34,241
MODTHREAD,2025-12-24,43.0,44.0,43.0,43.0,721
MODTHREAD,2025-12-26,44.0,45.22,43.27,43.93,5312
MODTHREAD,2025-12-29,48.32,48.32,43.36,43.37,5732
MODTHREAD,2025-12-30,44.24,44.38,43.37,43.99,180
MODTHREAD,2025-12-31,46.99,46.99,44.01,45.09,4745
MODTHREAD,2026-01-01,45.99,46.0,45.21,46.0,1358
MODTHREAD,2026-01-02,45.99,46.23,43.98,44.01,4738
MODTHREAD,2026-01-05,44.01,46.5,44.01,44.61,2449
MODTHREAD,2026-01-06,45.5,47.4,42.78,46.36,5043
MODTHREAD,2026-01-07,46.12,46.6,44.61,45.02,652
MODTHREAD,2026-01-08,45.92,48.0,44.0,45.39,6543
MODTHREAD,2026-01-09,47.5,47.7,45.75,45.87,1712
MODTHREAD,2026-01-12,44.51,45.78,43.62,44.2,381
