symbol,date,open,high,low,close,volume
MOKSH,2018-01-03,8.88,8.88,8.88,8.88,3420000
MOKSH,2018-01-04,9.87,10.65,9.2,10.65,11340000
MOKSH,2018-01-05,11.4,12.49,10.12,10.61,10680000
MOKSH,2018-01-08,10.8,10.95,10.11,10.38,1410000
MOKSH,2018-01-09,10.2,10.2,9.3,9.58,1710000
MOKSH,2018-01-10,9.72,9.72,8.8,8.93,2520000
MOKSH,2018-01-11,9.0,10.6,8.72,10.33,4005000
MOKSH,2018-01-12,10.9,10.9,9.91,10.0,1080000
MOKSH,2018-01-15,10.67,10.7,10.4,10.54,1080000
MOKSH,2018-01-16,10.79,10.91,10.01,10.1,990000
MOKSH,2018-01-17,9.9,10.09,9.72,9.99,540000
MOKSH,2018-01-18,10.2,10.2,9.6,9.69,465000
MOKSH,2018-01-19,10.3,10.3,9.6,9.66,300000
MOKSH,2018-01-22,9.7,9.7,8.82,9.18,300000
MOKSH,2018-01-23,9.16,9.33,8.9,9.03,360000
MOKSH,2018-01-24,9.04,9.09,8.87,9.09,195000
MOKSH,2018-01-25,8.88,9.1,8.8,8.87,375000
MOKSH,2018-01-29,9.06,9.2,8.94,9.01,225000
MOKSH,2018-01-30,9.0,9.0,8.81,8.9,105000
MOKSH,2018-01-31,8.74,8.85,8.7,8.7,225000
MOKSH,2018-02-01,8.41,9.6,8.41,9.41,570000
MOKSH,2018-02-02,8.94,9.0,8.32,8.54,1035000
MOKSH,2018-02-05,8.2,9.2,7.7,8.89,495000
MOKSH,2018-02-06,8.62,8.98,8.45,8.7,345000
MOKSH,2018-02-07,8.9,9.36,8.9,9.03,390000
MOKSH,2018-02-08,9.1,9.15,9.03,9.05,90000
MOKSH,2018-02-09,9.1,9.1,8.71,8.9,75000
MOKSH,2018-02-12,8.95,9.04,8.8,8.9,165000
MOKSH,2018-02-14,8.95,9.18,8.92,9.1,150000
MOKSH,2018-02-15,9.05,9.21,8.9,9.09,345000
MOKSH,2018-02-16,9.01,9.01,8.5,8.5,150000
MOKSH,2018-02-19,8.8,8.8,8.05,8.46,165000
MOKSH,2018-02-20,8.56,8.65,8.0,8.2,195000
MOKSH,2018-02-21,8.25,8.25,7.93,8.2,180000
MOKSH,2018-02-22,8.2,8.2,8.0,8.16,60000
MOKSH,2018-02-23,8.02,8.15,8.02,8.14,75000
MOKSH,2018-02-26,8.15,8.15,7.8,7.8,120000
MOKSH,2018-02-27,7.44,8.2,7.44,8.12,390000
MOKSH,2018-02-28,8.04,8.46,8.02,8.44,420000
MOKSH,2018-03-01,8.04,8.5,8.04,8.35,45000
MOKSH,2018-03-05,8.5,8.54,8.49,8.52,90000
MOKSH,2018-03-06,8.6,8.65,8.2,8.41,120000
MOKSH,2018-03-07,8.49,8.5,8.12,8.4,105000
MOKSH,2018-03-08,7.93,8.0,7.6,7.94,240000
