symbol,date,open,high,low,close,volume
MOL,2025-07-24,98.3,99.3,96.91,97.2,691331
MOL,2025-07-25,96.99,97.86,94.01,94.14,1257348
MOL,2025-07-28,94.0,98.3,93.27,95.25,1438799
MOL,2025-07-29,95.42,100.7,95.06,100.17,2299853
MOL,2025-07-30,102.0,106.3,100.3,100.76,9401265
MOL,2025-07-31,99.0,100.95,98.25,99.16,1647850
MOL,2025-08-01,98.99,101.85,94.0,94.37,1396683
MOL,2025-08-04,95.8,96.62,91.6,92.17,1331838
MOL,2025-08-05,92.49,94.7,89.79,90.1,1329839
MOL,2025-08-06,90.3,90.5,86.4,86.66,1107827
MOL,2025-08-07,86.9,87.78,85.1,87.21,1030358
MOL,2025-08-08,87.62,87.79,85.51,85.85,594977
MOL,2025-08-11,85.95,87.42,85.26,86.59,468953
MOL,2025-08-12,86.94,87.14,85.01,85.36,560660
MOL,2025-08-13,85.54,86.14,83.0,83.32,616218
MOL,2025-08-14,83.32,84.8,82.65,83.48,591608
MOL,2025-08-18,84.09,85.24,83.5,83.71,502416
MOL,2025-08-19,83.56,86.71,83.42,86.46,865079
MOL,2025-08-20,86.7,87.79,84.99,87.22,737852
MOL,2025-08-21,87.6,88.88,84.5,85.98,701230
MOL,2025-08-22,85.41,87.1,85.09,86.53,587697
MOL,2025-08-25,87.0,87.49,85.21,85.57,470501
MOL,2025-08-26,85.5,85.78,83.94,84.68,325486
MOL,2025-08-28,84.75,85.03,82.05,82.31,540778
MOL,2025-08-29,82.99,83.15,81.67,81.84,324597
MOL,2025-09-01,82.18,82.6,81.0,81.91,437599
MOL,2025-09-02,81.5,84.33,81.5,82.51,570407
MOL,2025-09-03,82.79,84.47,81.95,82.2,733043
MOL,2025-09-04,83.25,83.75,79.6,79.79,976749
MOL,2025-09-05,79.8,81.39,79.01,80.12,479876
MOL,2025-09-08,85.03,85.75,80.0,80.59,1090022
MOL,2025-09-09,81.0,81.5,80.25,80.76,368401
MOL,2025-09-10,81.16,82.0,80.66,81.48,465678
MOL,2025-09-11,81.84,82.05,80.8,81.01,424546
MOL,2025-09-12,81.38,81.89,80.07,80.34,568687
MOL,2025-09-15,80.7,84.0,80.4,83.07,1062977
MOL,2025-09-16,83.7,85.0,83.11,84.11,836922
MOL,2025-09-17,84.39,86.24,83.91,84.7,877535
MOL,2025-09-18,85.69,87.75,84.65,86.69,1263839
MOL,2025-09-19,86.7,87.7,85.8,85.99,429358
MOL,2025-09-22,85.99,87.2,85.66,86.5,443252
MOL,2025-09-23,86.0,86.67,85.2,86.0,331014
MOL,2025-09-24,86.19,86.4,84.35,84.89,493532
MOL,2025-09-25,84.55,85.29,83.1,83.48,444399
MOL,2025-09-26,83.73,84.0,80.44,80.87,460388
MOL,2025-09-29,81.3,82.24,81.0,81.49,232360
MOL,2025-09-30,81.5,82.38,80.18,80.65,388462
MOL,2025-10-01,80.65,82.49,80.65,82.23,290789
MOL,2025-10-03,82.23,84.88,82.23,84.51,470066
MOL,2025-10-06,84.52,85.35,82.71,83.85,413906
MOL,2025-10-07,84.14,84.43,83.0,83.52,226455
MOL,2025-10-08,83.99,83.99,81.94,82.35,314540
MOL,2025-10-09,82.5,83.01,80.8,81.36,400359
MOL,2025-10-10,81.36,82.2,80.64,81.01,376106
MOL,2025-10-13,81.41,81.6,80.1,80.48,291922
MOL,2025-10-14,80.49,81.48,79.28,79.62,372185
MOL,2025-10-15,79.65,80.7,78.51,80.1,575927
MOL,2025-10-16,80.1,81.4,80.06,80.5,252135
MOL,2025-10-17,80.08,80.59,78.93,79.22,267727
MOL,2025-10-20,79.98,81.21,79.3,80.3,193973
MOL,2025-10-21,80.3,81.95,80.3,81.76,184901
MOL,2025-10-23,83.3,83.45,81.6,82.06,418546
MOL,2025-10-24,82.29,82.68,80.4,80.89,260807
MOL,2025-10-27,80.74,81.79,80.1,80.18,286723
MOL,2025-10-28,80.18,81.75,80.06,80.7,368867
MOL,2025-10-29,80.75,82.0,80.75,81.82,298817
MOL,2025-10-30,81.97,82.0,80.6,81.26,243223
MOL,2025-10-31,81.36,82.5,80.75,81.07,330845
MOL,2025-11-03,81.07,81.44,78.1,78.56,791277
MOL,2025-11-04,78.9,79.44,77.26,77.6,434338
MOL,2025-11-06,77.66,78.68,74.51,75.63,1043571
MOL,2025-11-07,75.63,77.39,74.25,74.57,1027312
MOL,2025-11-10,77.0,77.0,71.79,72.08,1337987
MOL,2025-11-11,72.4,75.04,72.08,73.94,840971
MOL,2025-11-12,74.4,74.55,72.49,72.87,523886
MOL,2025-11-13,72.87,73.23,71.49,71.92,621736
MOL,2025-11-14,71.92,72.5,71.61,71.9,433768
MOL,2025-11-17,71.9,72.5,71.12,72.11,361197
MOL,2025-11-18,72.7,73.0,71.5,71.69,325360
MOL,2025-11-19,71.79,71.82,69.1,69.59,553420
MOL,2025-11-20,69.7,70.96,69.5,69.67,657642
