symbol,date,open,high,low,close,volume
MONOPHARMA,2023-09-07,29.0,30.45,29.0,30.45,2024000
MONOPHARMA,2023-09-08,31.95,31.95,31.0,31.95,824000
MONOPHARMA,2023-09-11,31.05,33.0,30.35,32.45,1152000
MONOPHARMA,2023-09-12,32.8,32.8,30.85,30.85,332000
MONOPHARMA,2023-09-13,29.75,29.75,29.3,29.3,224000
MONOPHARMA,2023-09-14,29.3,30.5,28.1,30.25,208000
MONOPHARMA,2023-09-15,30.0,31.75,30.0,31.75,268000
MONOPHARMA,2023-09-18,33.0,33.0,30.2,31.6,364000
MONOPHARMA,2023-09-20,31.75,32.25,31.0,31.85,468000
MONOPHARMA,2023-09-21,31.85,32.8,31.5,32.5,356000
MONOPHARMA,2023-09-22,33.05,33.05,31.2,31.3,260000
MONOPHARMA,2023-09-25,32.0,33.5,31.65,33.15,500000
MONOPHARMA,2023-09-26,33.4,33.8,31.0,31.7,208000
MONOPHARMA,2023-09-27,31.7,32.55,31.05,32.4,112000
MONOPHARMA,2023-09-28,32.4,33.0,31.0,31.4,120000
MONOPHARMA,2023-09-29,31.95,33.4,31.95,32.9,192000
MONOPHARMA,2023-10-03,32.85,35.85,32.0,34.0,336000
MONOPHARMA,2023-10-04,33.0,35.35,33.0,34.9,164000
MONOPHARMA,2023-10-05,35.95,38.0,35.2,37.55,164000
MONOPHARMA,2023-10-06,39.8,39.9,38.7,39.25,152000
MONOPHARMA,2023-10-09,33.05,39.7,33.05,37.4,124000
MONOPHARMA,2023-10-10,38.35,38.35,36.0,37.5,80000
MONOPHARMA,2023-10-11,38.35,38.35,36.25,36.95,112000
MONOPHARMA,2023-10-12,38.4,41.5,37.85,41.15,300000
MONOPHARMA,2023-10-13,42.0,49.35,42.0,45.85,760000
MONOPHARMA,2023-10-16,47.25,48.3,45.2,47.95,140000
MONOPHARMA,2023-10-17,48.95,49.3,47.8,48.0,80000
MONOPHARMA,2023-10-18,50.8,50.8,46.15,47.2,92000
MONOPHARMA,2023-10-19,46.0,46.75,45.75,46.3,52000
MONOPHARMA,2023-10-20,45.2,45.2,44.0,44.75,36000
MONOPHARMA,2023-10-23,43.6,46.85,43.6,44.3,112000
MONOPHARMA,2023-10-25,45.0,48.0,42.15,45.85,136000
MONOPHARMA,2023-10-26,46.85,47.6,45.0,47.1,64000
MONOPHARMA,2023-10-27,47.9,50.7,47.9,48.95,104000
MONOPHARMA,2023-10-30,48.1,48.7,47.95,48.05,36000
MONOPHARMA,2023-10-31,48.55,48.55,47.0,47.0,8000
MONOPHARMA,2023-11-01,48.95,49.0,47.5,48.8,52000
MONOPHARMA,2023-11-02,49.05,52.25,48.1,49.95,60000
MONOPHARMA,2023-11-03,50.9,51.45,48.5,48.5,32000
MONOPHARMA,2023-11-06,49.9,51.9,49.85,51.8,52000
MONOPHARMA,2023-11-07,52.3,53.2,51.8,52.7,56000
MONOPHARMA,2023-11-08,51.6,52.85,51.5,52.85,16000
MONOPHARMA,2023-11-09,53.5,53.5,46.1,47.55,112000
MONOPHARMA,2023-11-10,47.75,49.1,46.05,49.1,28000
MONOPHARMA,2023-11-13,49.8,51.0,49.0,51.0,48000
MONOPHARMA,2023-11-15,58.0,58.0,53.0,53.85,168000
MONOPHARMA,2023-11-16,54.5,55.0,52.05,52.55,120000
MONOPHARMA,2023-11-17,52.0,52.0,49.0,50.4,128000
MONOPHARMA,2023-11-20,49.05,49.05,46.05,46.6,148000
MONOPHARMA,2023-11-21,48.0,48.4,46.15,46.95,48000
MONOPHARMA,2023-11-22,47.0,47.85,46.0,46.0,108000
MONOPHARMA,2023-11-23,45.05,45.05,43.0,45.0,112000
MONOPHARMA,2023-11-24,45.85,45.85,42.0,44.1,140000
MONOPHARMA,2023-11-28,43.3,45.0,41.5,44.8,120000
MONOPHARMA,2023-11-29,44.75,45.05,44.0,44.2,72000
MONOPHARMA,2023-11-30,44.9,46.0,44.05,45.85,156000
MONOPHARMA,2023-12-01,45.8,46.2,44.8,45.35,76000
MONOPHARMA,2023-12-04,44.7,45.0,44.7,45.0,8000
MONOPHARMA,2023-12-05,44.6,48.55,44.5,47.55,360000
MONOPHARMA,2023-12-06,47.95,49.05,46.65,48.05,132000
MONOPHARMA,2023-12-07,48.0,49.05,47.5,48.5,80000
MONOPHARMA,2023-12-08,48.5,53.95,48.5,52.35,252000
MONOPHARMA,2023-12-11,53.5,53.8,51.05,52.5,64000
MONOPHARMA,2023-12-12,52.0,52.0,50.0,50.25,124000
MONOPHARMA,2023-12-13,50.2,51.0,50.2,50.75,20000
MONOPHARMA,2023-12-14,51.25,51.9,50.4,50.7,28000
MONOPHARMA,2023-12-15,50.3,51.0,50.2,50.45,24000
MONOPHARMA,2023-12-18,50.5,50.55,50.0,50.15,28000
