symbol,date,open,high,low,close,volume
MUKANDLTD,2025-07-24,141.49,162.0,141.0,144.04,2753866
MUKANDLTD,2025-07-25,145.0,147.23,138.17,139.37,592895
MUKANDLTD,2025-07-28,138.5,138.5,128.4,131.5,495869
MUKANDLTD,2025-07-29,131.9,143.8,131.9,141.34,622166
MUKANDLTD,2025-07-30,141.34,149.19,140.7,147.62,582289
MUKANDLTD,2025-07-31,144.0,147.0,141.35,142.73,337711
MUKANDLTD,2025-08-01,141.65,144.69,140.0,140.6,165163
MUKANDLTD,2025-08-04,141.75,141.75,137.34,138.47,114587
MUKANDLTD,2025-08-05,140.0,142.51,132.65,134.0,267933
MUKANDLTD,2025-08-06,135.0,135.8,127.9,128.94,283618
MUKANDLTD,2025-08-07,129.99,129.99,121.0,124.02,349928
MUKANDLTD,2025-08-08,125.87,138.7,123.5,136.2,1655530
MUKANDLTD,2025-08-11,136.35,141.3,133.11,137.58,418683
MUKANDLTD,2025-08-12,137.55,137.9,133.01,133.95,96292
MUKANDLTD,2025-08-13,133.95,135.85,132.39,134.95,73985
MUKANDLTD,2025-08-14,134.91,137.39,132.81,135.25,120124
MUKANDLTD,2025-08-18,135.25,137.85,133.7,136.58,140336
MUKANDLTD,2025-08-19,136.3,141.89,135.91,137.89,146722
MUKANDLTD,2025-08-20,137.0,140.2,135.9,136.87,204287
MUKANDLTD,2025-08-21,136.87,140.0,136.85,137.41,147582
MUKANDLTD,2025-08-22,137.0,138.1,133.77,136.84,130450
MUKANDLTD,2025-08-25,136.85,137.53,132.78,133.37,104091
MUKANDLTD,2025-08-26,132.99,132.99,130.05,130.32,93772
MUKANDLTD,2025-08-28,130.32,131.0,128.11,128.8,49104
MUKANDLTD,2025-08-29,130.0,131.94,127.16,127.76,82273
MUKANDLTD,2025-09-01,127.4,137.85,127.4,133.82,247298
MUKANDLTD,2025-09-02,133.5,136.79,131.53,133.79,99803
MUKANDLTD,2025-09-03,133.09,137.85,133.09,136.67,199019
MUKANDLTD,2025-09-04,137.97,137.97,132.15,132.9,64584
MUKANDLTD,2025-09-05,133.56,133.95,130.4,131.35,60940
MUKANDLTD,2025-09-08,133.0,138.8,132.62,136.25,181879
MUKANDLTD,2025-09-09,136.25,137.79,130.69,131.62,223203
MUKANDLTD,2025-09-10,132.0,137.5,132.0,135.05,145331
MUKANDLTD,2025-09-11,136.0,141.09,133.58,136.42,185520
MUKANDLTD,2025-09-12,137.45,140.0,135.17,136.74,94534
