symbol,date,open,high,low,close,volume
NAVKARCORP,2025-07-24,131.66,132.55,127.46,128.59,700813
NAVKARCORP,2025-07-25,127.4,130.0,122.81,123.77,1096406
NAVKARCORP,2025-07-28,124.0,124.54,118.13,118.71,770618
NAVKARCORP,2025-07-29,119.0,140.0,117.53,137.23,5148600
NAVKARCORP,2025-07-30,136.0,140.2,129.91,132.05,2764674
NAVKARCORP,2025-07-31,130.88,135.99,128.78,132.01,1015323
NAVKARCORP,2025-08-01,132.21,132.79,124.1,125.03,889351
NAVKARCORP,2025-08-04,125.89,129.95,124.09,126.27,772294
NAVKARCORP,2025-08-05,127.28,127.28,122.22,123.81,429186
NAVKARCORP,2025-08-06,123.81,124.37,120.26,121.05,459179
NAVKARCORP,2025-08-07,120.0,123.94,118.01,123.19,1015088
NAVKARCORP,2025-08-08,125.0,126.0,116.2,117.9,708389
NAVKARCORP,2025-08-11,118.0,121.01,116.15,119.78,594063
NAVKARCORP,2025-08-12,119.5,121.37,117.05,117.37,316764
NAVKARCORP,2025-08-13,117.7,123.51,116.56,121.9,607182
NAVKARCORP,2025-08-14,122.5,123.14,117.6,118.58,377848
NAVKARCORP,2025-08-18,120.9,125.0,119.83,121.05,705880
NAVKARCORP,2025-08-19,121.97,126.83,120.6,124.27,597762
NAVKARCORP,2025-08-20,124.1,126.58,122.7,124.27,430759
NAVKARCORP,2025-08-21,124.99,127.75,122.2,122.66,441475
NAVKARCORP,2025-08-22,122.0,124.02,119.27,120.91,403250
NAVKARCORP,2025-08-25,122.0,123.25,121.0,121.22,208856
NAVKARCORP,2025-08-26,121.22,121.59,118.5,119.16,254660
NAVKARCORP,2025-08-28,119.1,122.48,117.48,118.78,238016
NAVKARCORP,2025-08-29,118.95,120.54,116.41,117.02,235914
NAVKARCORP,2025-09-01,118.2,119.95,117.06,118.86,222298
NAVKARCORP,2025-09-02,119.1,121.29,118.5,118.8,276666
NAVKARCORP,2025-09-03,118.8,119.75,117.85,118.19,402691
NAVKARCORP,2025-09-04,119.1,120.6,116.45,116.72,224694
NAVKARCORP,2025-09-05,117.0,117.8,115.1,115.64,193168
NAVKARCORP,2025-09-08,115.99,131.22,115.9,126.14,1241715
NAVKARCORP,2025-09-09,129.9,132.46,127.56,129.78,1401932
NAVKARCORP,2025-09-10,130.7,132.5,126.38,127.06,661345
NAVKARCORP,2025-09-11,127.06,128.4,124.81,125.25,378431
NAVKARCORP,2025-09-12,125.79,126.25,123.85,124.67,301822
NAVKARCORP,2025-09-15,124.0,126.14,122.5,123.06,238875
NAVKARCORP,2025-09-16,123.0,131.5,122.99,128.57,932787
NAVKARCORP,2025-09-17,128.7,128.7,126.0,126.88,279243
NAVKARCORP,2025-09-18,127.85,129.7,125.5,127.15,340680
NAVKARCORP,2025-09-19,127.32,132.0,127.32,128.15,460168
NAVKARCORP,2025-09-22,128.89,129.66,125.5,126.69,215634
NAVKARCORP,2025-09-23,127.5,129.49,126.05,126.34,344072
NAVKARCORP,2025-09-24,126.34,126.81,122.5,122.86,315499
NAVKARCORP,2025-09-25,123.69,124.89,120.44,120.9,221757
NAVKARCORP,2025-09-26,121.99,122.01,118.5,119.91,337006
NAVKARCORP,2025-09-29,121.7,122.01,118.06,119.25,215242
NAVKARCORP,2025-09-30,119.73,122.16,119.01,121.11,170373
NAVKARCORP,2025-10-01,121.11,128.4,120.38,126.43,652073
NAVKARCORP,2025-10-03,127.43,128.48,121.95,125.0,368997
NAVKARCORP,2025-10-06,125.0,125.01,122.79,123.22,150159
NAVKARCORP,2025-10-07,123.0,124.3,116.85,119.13,556398
NAVKARCORP,2025-10-08,120.05,120.65,117.44,118.62,266575
NAVKARCORP,2025-10-09,119.5,122.0,118.43,119.43,335847
NAVKARCORP,2025-10-10,119.0,121.6,118.5,119.05,292810
NAVKARCORP,2025-10-13,119.53,122.0,118.0,120.86,256018
NAVKARCORP,2025-10-14,121.27,131.28,120.83,128.37,4236687
NAVKARCORP,2025-10-15,129.5,131.36,122.53,123.37,1661947
NAVKARCORP,2025-10-16,123.0,125.66,120.55,121.22,538367
NAVKARCORP,2025-10-17,122.45,122.9,119.1,120.62,370972
NAVKARCORP,2025-10-20,120.03,122.37,120.03,120.81,211664
NAVKARCORP,2025-10-21,122.7,123.5,121.7,122.36,123129
NAVKARCORP,2025-10-23,122.51,122.85,120.4,121.02,152193
NAVKARCORP,2025-10-24,121.9,126.72,121.3,123.02,811246
NAVKARCORP,2025-10-27,123.7,124.9,119.73,120.34,351720
NAVKARCORP,2025-10-28,121.3,121.7,119.44,119.66,281031
NAVKARCORP,2025-10-29,120.9,121.3,119.0,119.49,274800
NAVKARCORP,2025-10-30,119.71,120.9,118.5,118.97,229720
NAVKARCORP,2025-10-31,119.45,119.75,117.9,118.29,200016
NAVKARCORP,2025-11-03,118.76,121.5,118.31,119.03,234398
NAVKARCORP,2025-11-04,119.6,119.79,113.35,114.73,469799
NAVKARCORP,2025-11-06,114.75,116.01,113.2,113.99,284763
NAVKARCORP,2025-11-07,114.22,116.0,112.5,114.36,204720
NAVKARCORP,2025-11-10,114.39,117.1,113.45,114.29,265942
NAVKARCORP,2025-11-11,114.8,114.98,111.55,112.19,233598
NAVKARCORP,2025-11-12,113.3,113.85,111.1,111.75,197181
NAVKARCORP,2025-11-13,111.9,114.9,110.01,110.7,428609
NAVKARCORP,2025-11-14,110.91,111.84,108.0,108.84,328855
NAVKARCORP,2025-11-17,108.72,111.61,107.81,108.26,440668
NAVKARCORP,2025-11-18,108.37,110.39,108.05,108.42,172569
NAVKARCORP,2025-11-19,108.45,109.25,105.6,106.26,396953
NAVKARCORP,2025-11-20,106.26,108.92,104.05,104.43,365957
NAVKARCORP,2025-11-21,104.52,104.87,100.0,101.14,513274
NAVKARCORP,2025-11-24,100.69,101.67,95.65,96.09,1180370
NAVKARCORP,2025-11-25,97.0,101.3,94.23,100.11,583487
NAVKARCORP,2025-11-26,99.5,102.5,99.3,102.2,325266
NAVKARCORP,2025-11-27,102.2,102.78,99.12,99.75,225096
NAVKARCORP,2025-11-28,99.75,100.55,98.62,99.89,161171
NAVKARCORP,2025-12-01,100.9,101.43,99.3,99.8,127484
NAVKARCORP,2025-12-02,100.4,100.4,97.5,98.83,136469
NAVKARCORP,2025-12-03,99.09,99.1,97.35,97.65,124798
NAVKARCORP,2025-12-04,97.5,99.5,97.5,98.7,101249
NAVKARCORP,2025-12-05,98.0,98.85,96.4,96.86,138493
NAVKARCORP,2025-12-08,98.0,98.0,93.55,95.3,468974
NAVKARCORP,2025-12-09,96.5,98.88,92.0,97.94,335169
NAVKARCORP,2025-12-10,98.7,100.49,96.1,96.98,205165
NAVKARCORP,2025-12-11,96.7,97.16,94.92,95.47,240596
NAVKARCORP,2025-12-12,95.96,96.33,94.44,94.97,255922
NAVKARCORP,2025-12-15,95.06,99.19,94.92,97.11,316141
NAVKARCORP,2025-12-16,97.0,97.3,95.4,95.82,127957
NAVKARCORP,2025-12-17,95.8,96.72,94.4,95.19,171953
NAVKARCORP,2025-12-18,96.15,96.15,93.7,94.26,132336
NAVKARCORP,2025-12-19,94.35,102.5,94.07,97.73,1275368
NAVKARCORP,2025-12-22,98.05,103.7,98.05,101.79,634078
NAVKARCORP,2025-12-23,101.79,105.82,101.38,104.41,408414
NAVKARCORP,2025-12-24,103.6,104.1,101.15,101.67,146751
NAVKARCORP,2025-12-26,102.47,104.79,101.0,101.78,243001
NAVKARCORP,2025-12-29,101.78,101.78,98.36,98.56,209961
NAVKARCORP,2025-12-30,100.4,100.4,98.05,98.61,155872
NAVKARCORP,2025-12-31,98.6,99.81,98.29,98.84,123339
NAVKARCORP,2026-01-01,99.28,102.4,99.1,101.14,202070
NAVKARCORP,2026-01-02,102.0,102.0,100.31,101.32,150280
NAVKARCORP,2026-01-05,101.0,102.09,98.31,98.54,219342
NAVKARCORP,2026-01-06,98.15,101.9,98.15,100.07,310419
NAVKARCORP,2026-01-07,99.79,100.19,97.2,97.95,243453
NAVKARCORP,2026-01-08,98.15,100.0,95.51,96.7,248947
NAVKARCORP,2026-01-09,96.8,97.77,95.05,95.48,191784
NAVKARCORP,2026-01-12,96.97,99.75,95.3,99.14,310098
NAVKARCORP,2026-01-13,99.14,113.98,99.14,110.44,9133533
NAVKARCORP,2026-01-14,108.55,109.85,102.12,103.29,2516042
NAVKARCORP,2026-01-15,103.29,103.29,103.29,103.29,0
NAVKARCORP,2026-01-16,102.55,104.69,100.13,100.98,633869
NAVKARCORP,2026-01-19,98.0,100.09,97.5,98.05,369636
NAVKARCORP,2026-01-20,98.05,98.5,95.42,95.82,433986
NAVKARCORP,2026-01-21,95.92,98.69,94.7,96.85,413913
NAVKARCORP,2026-01-22,96.85,101.0,96.85,99.74,412851
NAVKARCORP,2026-01-23,99.7,100.16,96.1,97.39,274025
NAVKARCORP,2026-01-27,98.98,98.98,95.0,95.67,351528
NAVKARCORP,2026-01-28,95.89,99.0,95.89,98.27,269909
NAVKARCORP,2026-01-29,97.6,97.77,96.0,96.63,204722
NAVKARCORP,2026-01-30,96.66,99.52,95.75,96.55,274511
NAVKARCORP,2026-02-02,95.71,97.0,94.01,95.74,359289
NAVKARCORP,2026-02-03,104.3,104.3,96.66,97.71,388627
NAVKARCORP,2026-02-04,98.49,99.9,96.5,99.45,281257
NAVKARCORP,2026-02-05,99.45,101.85,98.0,100.47,237370
NAVKARCORP,2026-02-06,100.03,100.25,97.47,98.7,132174
NAVKARCORP,2026-02-09,99.27,102.98,98.0,101.04,316555
NAVKARCORP,2026-02-10,101.1,103.99,101.1,102.58,367107
NAVKARCORP,2026-02-11,103.09,103.09,100.24,101.04,171716
NAVKARCORP,2026-02-12,101.39,101.75,95.5,97.8,399716
NAVKARCORP,2026-02-13,96.99,98.58,96.0,97.7,223218
NAVKARCORP,2026-02-16,97.7,98.07,96.13,96.66,181949
NAVKARCORP,2026-02-17,97.0,99.45,96.51,97.02,105871
NAVKARCORP,2026-02-18,96.8,98.15,96.8,96.98,95765
NAVKARCORP,2026-02-19,97.07,97.78,95.8,96.21,141281
