symbol,date,open,high,low,close,volume
NETWORK18,2002-08-12,63.6264,64.1243,63.029,63.7758,20294
NETWORK18,2002-08-13,63.8753,65.7174,63.8753,65.2693,30072
NETWORK18,2002-08-14,65.3191,67.6591,64.2736,65.2693,72268
NETWORK18,2002-08-15,65.2693,65.2693,65.2693,65.2693,0
NETWORK18,2002-08-16,65.2196,67.6093,63.726,64.2238,49139
NETWORK18,2002-08-19,68.7544,69.5509,64.1243,64.5723,27675
NETWORK18,2002-08-20,65.4187,68.605,64.2238,67.6093,71758
NETWORK18,2002-08-21,67.7089,70.5466,66.8127,69.4016,105698
NETWORK18,2002-08-22,70.4969,70.9449,67.9578,68.605,48757
NETWORK18,2002-08-23,68.8041,81.6489,65.7174,71.393,154575
NETWORK18,2002-08-26,71.9407,74.5793,70.7458,73.4342,116496
NETWORK18,2002-08-27,74.6789,77.5167,72.1896,72.8866,249288
NETWORK18,2002-08-28,72.9364,73.1853,71.3432,72.0402,70137
NETWORK18,2002-08-29,71.6917,71.9407,70.2977,70.7956,33459
NETWORK18,2002-08-30,70.696,72.787,70.696,72.3887,42895
NETWORK18,2002-09-02,72.9364,74.5295,72.2394,72.6874,65237
NETWORK18,2002-09-03,72.787,72.787,71.2437,71.5922,26950
NETWORK18,2002-09-04,70.696,70.696,69.2522,70.1982,38987
NETWORK18,2002-09-05,71.4428,71.6917,70.2479,70.6462,24480
NETWORK18,2002-09-06,69.7003,70.1982,67.8582,68.1569,22121
NETWORK18,2002-09-09,68.2565,69.2024,66.2153,66.6633,27138
NETWORK18,2002-09-10,66.6633,66.6633,66.6633,66.6633,0
NETWORK18,2002-09-11,67.1612,69.0033,65.0204,68.4059,18715
NETWORK18,2002-09-12,67.8582,69.7003,67.7089,69.1526,19041
NETWORK18,2002-09-13,68.9535,69.2024,67.7586,68.2067,13978
NETWORK18,2002-09-16,67.7089,68.605,66.9123,67.4599,11024
NETWORK18,2002-09-17,67.7586,68.6548,66.9123,67.1114,23973
NETWORK18,2002-09-18,67.7089,67.7089,66.0659,66.6136,12213
NETWORK18,2002-09-19,66.3646,66.7131,64.3234,65.1698,18922
NETWORK18,2002-09-20,64.423,65.4187,63.477,64.5723,15153
NETWORK18,2002-09-23,63.726,64.9706,63.2281,63.5766,9408
NETWORK18,2002-09-24,63.6264,63.726,60.0418,61.0873,32444
NETWORK18,2002-09-25,60.4401,62.1328,59.8427,61.7843,16446
NETWORK18,2002-09-26,61.7843,63.5766,61.7843,62.78,20726
NETWORK18,2002-09-27,62.9294,63.4273,62.2324,62.9792,14694
NETWORK18,2002-09-30,62.2822,62.6805,60.7388,61.0873,17904
NETWORK18,2002-10-01,60.0916,61.5852,59.2452,60.689,12311
NETWORK18,2002-10-02,60.689,60.689,60.689,60.689,0
NETWORK18,2002-10-03,61.6848,61.7345,60.0418,60.3405,9206
NETWORK18,2002-10-04,60.6393,61.1869,58.5482,60.689,14924
NETWORK18,2002-10-07,60.689,61.3363,60.1414,61.0375,10257
NETWORK18,2002-10-08,61.1869,63.1285,61.1869,62.332,32581
NETWORK18,2002-10-09,62.6307,63.5766,61.2865,61.5354,19705
NETWORK18,2002-10-10,60.9878,61.1371,60.241,60.7388,11035
NETWORK18,2002-10-11,61.635,63.1783,61.3363,62.5311,12414
NETWORK18,2002-10-14,62.3818,63.029,62.2324,62.78,17559
NETWORK18,2002-10-15,62.78,62.78,62.78,62.78,0
NETWORK18,2002-10-16,62.8298,63.726,61.4358,61.6848,16382
NETWORK18,2002-10-17,61.635,62.0333,60.8384,61.4358,9111
NETWORK18,2002-10-18,62.1826,63.1783,61.9337,62.1826,18226
NETWORK18,2002-10-21,62.4813,63.2281,61.7345,62.083,19469
