symbol,date,open,high,low,close,volume
NITCO,2025-07-23,144.0,144.0,139.9,141.59,126449
NITCO,2025-07-24,141.6,142.59,134.51,134.51,299820
NITCO,2025-07-25,130.45,135.0,127.78,133.84,737985
NITCO,2025-07-28,134.0,137.61,131.12,132.56,161451
NITCO,2025-07-29,134.5,135.0,129.62,133.45,165051
NITCO,2025-07-30,134.7,134.7,129.7,130.19,111868
NITCO,2025-07-31,130.0,131.58,127.1,128.97,83195
NITCO,2025-08-01,127.0,130.0,125.1,125.68,107087
NITCO,2025-08-04,120.48,127.37,120.48,125.08,148358
NITCO,2025-08-05,125.08,128.58,123.22,123.8,87285
NITCO,2025-08-06,124.21,127.98,121.84,123.23,120317
NITCO,2025-08-07,123.9,126.8,122.38,124.3,59018
NITCO,2025-08-08,124.3,125.45,120.63,122.09,136377
NITCO,2025-08-11,125.8,134.29,122.32,130.44,459283
NITCO,2025-08-12,139.94,141.99,128.0,129.33,842979
NITCO,2025-08-13,130.1,136.0,129.62,132.77,291466
NITCO,2025-08-14,134.0,136.8,126.51,127.37,308360
NITCO,2025-08-18,129.3,134.44,127.55,133.62,163506
NITCO,2025-08-19,135.6,135.6,124.46,125.14,765683
NITCO,2025-08-20,126.25,130.0,124.46,128.46,278807
NITCO,2025-08-21,128.46,129.64,125.75,126.4,75278
NITCO,2025-08-22,128.5,128.5,124.8,125.29,77000
NITCO,2025-08-25,125.0,126.38,123.22,123.88,45674
NITCO,2025-08-26,124.38,125.7,120.42,122.29,178914
NITCO,2025-08-28,119.5,121.19,115.6,117.15,140360
NITCO,2025-08-29,117.49,119.49,112.0,113.85,227076
NITCO,2025-09-01,115.0,122.96,111.2,119.02,250202
NITCO,2025-09-02,120.5,123.85,117.53,119.21,90894
NITCO,2025-09-03,119.2,122.31,115.5,118.13,206359
NITCO,2025-09-04,119.01,121.69,116.44,117.61,49613
NITCO,2025-09-05,117.2,119.56,117.2,118.7,46964
NITCO,2025-09-08,119.1,126.0,119.1,121.63,141035
NITCO,2025-09-09,122.99,122.99,115.76,116.72,173766
NITCO,2025-09-10,118.5,119.23,114.75,115.25,140702
NITCO,2025-09-11,116.0,118.0,114.3,114.7,378720
NITCO,2025-09-12,115.0,118.5,114.4,115.46,141187
NITCO,2025-09-15,117.44,118.8,114.53,115.11,236812
NITCO,2025-09-16,117.25,117.25,113.5,114.12,610485
NITCO,2025-09-17,114.0,115.57,113.0,113.53,179426
NITCO,2025-09-18,115.2,121.64,113.71,115.36,908092
NITCO,2025-09-19,114.6,117.99,113.5,114.18,496160
NITCO,2025-09-22,115.55,123.59,114.39,117.56,608514
NITCO,2025-09-23,117.56,119.8,115.55,116.02,184013
NITCO,2025-09-24,115.56,118.6,115.11,115.82,101928
NITCO,2025-09-25,115.51,116.64,112.6,113.33,125284
NITCO,2025-09-26,113.0,116.0,110.01,112.05,204409
NITCO,2025-09-29,112.05,114.99,108.4,110.15,692967
NITCO,2025-09-30,110.97,120.0,109.19,118.48,520050
NITCO,2025-10-01,114.8,116.63,112.51,113.9,181734
NITCO,2025-10-03,113.9,116.0,112.21,115.38,136468
NITCO,2025-10-06,115.6,116.85,112.0,113.49,127550
NITCO,2025-10-07,113.0,114.27,110.61,111.09,88436
NITCO,2025-10-08,112.7,112.7,108.56,109.32,109459
NITCO,2025-10-09,109.1,109.95,106.31,107.18,141751
NITCO,2025-10-10,107.0,117.68,106.1,114.02,664179
NITCO,2025-10-13,114.8,114.99,111.1,111.95,114950
