symbol,date,open,high,low,close,volume
NMDC,2008-03-03,94.5776,94.5776,90.5384,94.2723,206077
NMDC,2008-03-04,95.6533,95.6533,89.5588,89.5588,73532
NMDC,2008-03-05,87.1043,88.7782,85.081,88.1402,64750
NMDC,2008-03-07,89.6749,89.6749,83.7333,83.817,87934
NMDC,2008-03-10,75.5917,87.0872,75.5917,85.1536,150577
NMDC,2008-03-11,87.4544,93.6693,85.6182,93.6693,127159
NMDC,2008-03-12,103.0361,103.0365,103.0361,103.0365,45547
NMDC,2008-03-13,110.167,110.167,92.7329,92.7329,412623
NMDC,2008-03-14,93.0911,102.0065,85.4474,100.7968,380072
NMDC,2008-03-17,93.0057,96.9258,90.7173,90.7335,165564
NMDC,2008-03-18,93.9366,95.6533,85.3193,88.2064,197998
NMDC,2008-03-19,93.7744,95.7387,80.1096,81.3373,137346
NMDC,2008-03-24,85.3193,85.362,73.3627,75.862,166384
NMDC,2008-03-25,69.1787,81.9885,69.1787,80.6643,169779
NMDC,2008-03-26,83.6881,83.6881,77.8891,79.6548,97184
NMDC,2008-03-27,77.5475,82.4156,76.8642,81.2058,89339
NMDC,2008-03-28,81.3053,89.3265,76.8642,87.8558,108893
NMDC,2008-03-31,89.3265,96.6414,87.9669,88.5207,355132
NMDC,2008-04-01,91.7674,97.3528,88.7355,93.4447,240384
NMDC,2008-04-02,98.2154,101.6316,91.477,92.3626,128095
NMDC,2008-04-03,92.2798,92.2798,87.1128,88.4289,91446
NMDC,2008-04-04,91.2976,96.5073,86.2588,87.0103,222353
NMDC,2008-04-07,90.4436,95.7114,89.2479,95.7114,586618
NMDC,2008-04-08,103.2543,105.2827,99.915,105.2827,222821
NMDC,2008-04-09,115.8109,115.8109,115.8109,115.8109,210527
NMDC,2008-04-10,121.6035,121.6035,121.6035,121.6035,86072
NMDC,2008-04-11,127.6843,127.6843,127.6843,127.6843,60137
NMDC,2008-04-15,134.0683,134.0683,121.3003,121.3003,787345
NMDC,2008-04-16,115.7234,117.0045,115.2366,115.2366,352416
NMDC,2008-04-17,116.1504,121.0014,110.5991,111.2738,708052
NMDC,2008-04-21,114.1861,115.2964,110.8553,111.9357,170880
NMDC,2008-04-22,112.3072,112.3072,106.615,107.2384,158644
NMDC,2008-04-23,107.1829,108.0967,102.4003,103.4635,170950
NMDC,2008-04-24,105.9018,107.9516,102.6565,104.7574,98729
NMDC,2008-04-25,107.6099,109.997,101.6316,109.997,190387
NMDC,2008-04-28,115.4971,115.4971,112.7342,115.4971,79808
NMDC,2008-04-29,121.2747,121.2747,113.1612,114.9932,644051
NMDC,2008-04-30,116.3212,120.7452,116.3212,120.7452,249084
NMDC,2008-05-02,126.7833,126.7833,126.7833,126.7833,47514
NMDC,2008-05-05,133.1246,133.1246,124.6909,130.6094,1614606
NMDC,2008-05-06,132.3773,132.3773,125.1264,126.1129,546316
NMDC,2008-05-07,128.1071,128.5341,120.4847,121.1808,276401
NMDC,2008-05-08,120.8391,127.2402,116.1504,127.2402,310006
NMDC,2008-05-09,131.4208,133.6029,122.1287,123.1493,797813
NMDC,2008-05-12,122.9828,129.3027,118.2941,126.5484,459295
NMDC,2008-05-13,128.8416,131.9503,123.4098,124.5756,385669
NMDC,2008-05-14,123.8368,128.9611,123.8368,127.031,384592
NMDC,2008-05-15,127.253,128.1071,123.128,126.9584,332803
NMDC,2008-05-16,128.0217,128.1071,122.385,123.7215,281553
NMDC,2008-05-20,124.6909,127.5947,118.8834,120.0534,613865
NMDC,2008-05-21,122.701,126.0574,121.7017,126.0574,634695
NMDC,2008-05-22,132.3602,132.3602,126.5698,131.1945,934335
NMDC,2008-05-23,131.7838,131.7838,124.6354,124.6354,418833
NMDC,2008-05-26,122.7266,122.7266,118.4094,118.4094,101657
NMDC,2008-05-27,113.2723,119.1268,112.4908,112.4908,227114
NMDC,2008-05-28,111.8119,112.7342,107.1616,109.775,189548
NMDC,2008-05-29,111.4532,112.7086,108.9166,110.2233,113377
NMDC,2008-05-30,112.2218,112.2218,105.0478,105.8933,64625
NMDC,2008-06-02,107.3537,108.3786,100.6025,100.6025,99213
NMDC,2008-06-03,95.8241,99.1549,95.5807,97.2589,101953
NMDC,2008-06-04,96.3365,98.3862,92.4036,92.4036,56027
NMDC,2008-06-05,90.1874,93.4541,88.7141,92.1218,74219
NMDC,2008-06-06,91.9809,96.7337,91.9809,95.6319,86228
NMDC,2008-06-09,91.7247,99.821,90.8535,97.2973,115173
NMDC,2008-06-10,97.6176,100.9484,94.1075,96.849,100068
NMDC,2008-06-11,98.3862,99.9235,96.5927,97.6048,76588
NMDC,2008-06-12,96.8233,99.7698,93.9025,97.8482,50430
NMDC,2008-06-13,98.13,100.4103,94.0306,96.1316,69184
NMDC,2008-06-16,98.13,99.0268,96.4006,97.1948,43967
NMDC,2008-06-17,94.7992,97.9891,94.7992,96.7849,17625
NMDC,2008-06-18,96.0803,99.6673,93.5182,97.5023,50200
NMDC,2008-06-19,97.3614,97.3614,94.8761,95.3501,17793
NMDC,2008-06-20,94.2868,95.286,90.5973,90.5973,53537
NMDC,2008-06-23,87.1128,89.4187,86.0751,86.0751,45922
NMDC,2008-06-24,86.1136,87.1128,81.7707,81.7707,86369
NMDC,2008-06-25,77.6969,80.4,77.6841,78.3887,150104
NMDC,2008-06-26,79.6826,81.7323,76.8642,77.4023,103639
NMDC,2008-06-27,74.3021,76.8642,73.5335,73.5335,122998
NMDC,2008-06-30,73.5335,73.5335,69.8568,69.8568,60687
NMDC,2008-07-01,69.1778,69.1778,66.3723,66.3723,60718
NMDC,2008-07-02,64.0535,67.0,63.0543,65.5524,143102
NMDC,2008-07-03,67.1281,67.1281,62.2857,62.2857,27847
NMDC,2008-07-04,59.2111,62.7725,59.1727,59.1727,43303
NMDC,2008-07-07,56.2134,58.673,56.2134,56.2134,204438
NMDC,2008-07-08,53.4078,59.0317,53.4078,59.0317,363282
NMDC,2008-07-09,61.991,61.991,61.991,61.991,9714
NMDC,2008-07-10,65.0912,65.0912,62.0038,64.4891,396379
NMDC,2008-07-11,67.6405,67.6405,61.2736,61.8501,333373
NMDC,2008-07-14,60.4794,64.9503,60.2103,64.2841,559375
NMDC,2008-07-15,63.5027,63.5411,61.0686,61.0686,163148
