symbol,date,open,high,low,close,volume
NTCIND,2026-08-18,146.0,146.0,140.0,142.17,241
NTCIND,2026-08-19,146.0,146.0,133.57,140.11,444
NTCIND,2026-08-20,140.0,145.0,136.02,139.66,2443
NTCIND,2026-08-21,145.0,145.0,136.0,140.0,665
NTCIND,2026-08-24,147.0,147.0,137.0,139.85,3149
NTCIND,2026-08-25,144.8,145.0,132.65,136.89,2502
NTCIND,2026-08-26,142.75,142.75,133.0,135.91,3060
NTCIND,2026-08-27,134.9,139.69,133.0,136.42,541
NTCIND,2026-08-28,136.42,138.9,132.5,133.47,1527
NTCIND,2026-08-31,133.47,138.49,130.0,135.5,1386
