symbol,date,open,high,low,close,volume
OCCLLTD,2025-07-22,143.85,143.85,136.7,137.09,52605
OCCLLTD,2025-07-23,136.8,139.76,135.0,135.64,51809
OCCLLTD,2025-07-24,138.99,141.75,135.66,137.47,48052
OCCLLTD,2025-07-25,140.5,140.5,135.0,136.35,32832
OCCLLTD,2025-07-28,136.0,139.88,135.5,138.18,44703
OCCLLTD,2025-07-29,138.88,138.95,136.61,137.72,44156
OCCLLTD,2025-07-30,139.0,144.6,136.8,144.6,73980
OCCLLTD,2025-07-31,151.83,151.83,151.83,151.83,49638
OCCLLTD,2025-08-01,159.42,159.42,147.0,152.53,202605
OCCLLTD,2025-08-04,148.9,153.9,144.9,145.42,72821
OCCLLTD,2025-08-05,144.5,144.5,138.14,140.25,97184
OCCLLTD,2025-08-06,139.0,140.24,133.23,137.6,62580
OCCLLTD,2025-08-07,137.36,144.0,135.7,137.74,57620
OCCLLTD,2025-08-08,141.4,141.4,133.88,134.15,49650
OCCLLTD,2025-08-11,138.9,138.9,132.91,135.4,34167
OCCLLTD,2025-08-12,135.98,138.0,135.01,136.12,27389
OCCLLTD,2025-08-13,136.2,138.75,134.5,134.75,12199
OCCLLTD,2025-08-14,135.0,138.5,133.5,134.16,37470
OCCLLTD,2025-08-18,135.02,137.8,135.0,135.66,39964
OCCLLTD,2025-08-19,137.0,142.0,135.33,136.57,59016
OCCLLTD,2025-08-20,136.57,140.0,135.27,137.76,18656
OCCLLTD,2025-08-21,140.98,140.98,137.0,138.09,11944
OCCLLTD,2025-08-22,137.25,139.9,135.25,137.68,20430
OCCLLTD,2025-08-25,134.0,138.0,133.7,134.95,18933
OCCLLTD,2025-08-26,135.0,136.0,128.25,133.02,50995
OCCLLTD,2025-08-28,128.25,135.45,128.25,130.97,40475
OCCLLTD,2025-08-29,130.97,134.45,129.02,131.61,13516
OCCLLTD,2025-09-01,131.61,132.98,126.6,128.23,35290
OCCLLTD,2025-09-02,127.01,133.43,127.01,129.33,22440
OCCLLTD,2025-09-03,130.98,132.5,127.35,130.12,39876
OCCLLTD,2025-09-04,132.5,132.5,128.0,129.4,32011
OCCLLTD,2025-09-05,134.0,134.0,130.0,132.39,24116
OCCLLTD,2025-09-08,129.2,139.0,129.2,138.82,64813
OCCLLTD,2025-09-09,136.05,141.0,136.05,139.71,33983
OCCLLTD,2025-09-10,141.0,143.55,137.0,140.5,41880
OCCLLTD,2025-09-11,143.0,143.0,138.0,138.19,36645
OCCLLTD,2025-09-12,139.3,142.0,137.02,138.99,43497
OCCLLTD,2025-09-15,138.99,139.95,133.2,137.59,44735
OCCLLTD,2025-09-16,139.0,142.0,137.6,139.69,38415
OCCLLTD,2025-09-17,142.5,142.5,139.04,140.42,33545
OCCLLTD,2025-09-18,142.5,144.45,140.15,141.46,50162
OCCLLTD,2025-09-19,142.9,142.9,139.0,140.0,31509
OCCLLTD,2025-09-22,142.0,144.0,135.45,137.63,99642
OCCLLTD,2025-09-23,139.7,139.7,132.82,133.32,96681
OCCLLTD,2025-09-24,137.0,137.0,133.05,134.28,33305
OCCLLTD,2025-09-25,134.25,135.25,130.0,131.0,33575
OCCLLTD,2025-09-26,131.0,131.0,127.73,128.82,47218
OCCLLTD,2025-09-29,136.8,136.8,125.55,128.23,35609
OCCLLTD,2025-09-30,125.55,129.29,122.0,122.95,92133
OCCLLTD,2025-10-01,124.8,131.46,124.55,128.15,160390
OCCLLTD,2025-10-03,130.0,131.0,127.18,130.04,59531
OCCLLTD,2025-10-06,132.0,134.39,126.06,127.41,61161
OCCLLTD,2025-10-07,129.0,129.58,125.1,126.7,25297
OCCLLTD,2025-10-08,128.61,128.61,125.29,127.15,16714
OCCLLTD,2025-10-09,125.46,127.92,120.81,126.06,44577
OCCLLTD,2025-10-10,128.07,129.0,126.73,127.73,13619
OCCLLTD,2025-10-13,128.0,128.5,125.25,127.3,51545
OCCLLTD,2025-10-14,129.8,129.8,123.1,124.87,27567
OCCLLTD,2025-10-15,126.0,127.05,123.51,126.06,18053
OCCLLTD,2025-10-16,124.01,127.58,124.01,125.25,25805
OCCLLTD,2025-10-17,129.0,129.0,123.52,123.96,31883
OCCLLTD,2025-10-20,128.8,128.8,123.43,125.43,27046
OCCLLTD,2025-10-21,126.07,128.99,125.02,126.13,9458
OCCLLTD,2025-10-23,129.0,129.0,124.01,125.55,30678
