symbol,date,open,high,low,close,volume
ODIGMA,2025-07-22,37.98,37.98,36.0,36.61,25234
ODIGMA,2025-07-23,36.15,37.1,36.15,36.82,15822
ODIGMA,2025-07-24,36.8,36.95,35.99,36.02,24436
ODIGMA,2025-07-25,36.0,36.79,35.4,35.64,20365
ODIGMA,2025-07-28,36.0,36.9,34.25,35.17,12529
ODIGMA,2025-07-29,35.17,35.9,34.5,35.39,11307
ODIGMA,2025-07-30,36.99,36.99,35.01,35.98,14718
ODIGMA,2025-07-31,35.7,36.4,35.22,35.64,8346
ODIGMA,2025-08-01,35.74,36.75,35.01,35.41,19446
ODIGMA,2025-08-04,34.55,36.0,34.0,35.62,40967
ODIGMA,2025-08-05,36.51,36.51,34.5,34.55,24960
ODIGMA,2025-08-06,34.05,34.86,34.0,34.56,13463
ODIGMA,2025-08-07,35.3,35.3,33.1,33.88,11937
ODIGMA,2025-08-08,33.85,34.5,33.25,33.92,8998
ODIGMA,2025-08-11,33.92,34.4,32.22,32.46,48211
ODIGMA,2025-08-12,33.48,33.48,31.65,31.8,27756
ODIGMA,2025-08-13,31.8,32.28,30.5,30.93,20504
ODIGMA,2025-08-14,31.35,31.39,29.55,29.98,36957
ODIGMA,2025-08-18,29.98,31.25,29.41,29.78,41501
ODIGMA,2025-08-19,29.78,30.69,29.05,29.38,49855
ODIGMA,2025-08-20,29.7,30.78,29.5,30.35,34581
ODIGMA,2025-08-21,30.35,30.59,30.0,30.38,12535
ODIGMA,2025-08-22,30.99,31.15,30.38,30.8,13840
ODIGMA,2025-08-25,30.8,31.48,29.81,30.07,24121
ODIGMA,2025-08-26,30.5,30.7,29.8,29.93,9245
ODIGMA,2025-08-28,29.93,31.25,29.5,30.69,10986
ODIGMA,2025-08-29,30.15,30.89,30.12,30.28,8260
ODIGMA,2025-09-01,30.99,30.99,30.0,30.2,19447
ODIGMA,2025-09-02,30.89,30.89,30.2,30.49,11914
ODIGMA,2025-09-03,30.41,32.01,30.02,32.01,24270
ODIGMA,2025-09-04,33.5,33.61,32.65,33.61,33422
ODIGMA,2025-09-05,35.29,35.29,35.29,35.29,39627
ODIGMA,2025-09-08,37.05,37.05,36.03,37.05,35538
ODIGMA,2025-09-09,37.51,38.7,36.15,36.91,77010
ODIGMA,2025-09-10,36.5,38.37,36.5,38.06,74026
ODIGMA,2025-09-11,38.51,39.96,38.1,39.96,84447
ODIGMA,2025-09-12,39.96,41.95,39.75,41.88,114916
ODIGMA,2025-09-15,43.8,43.97,43.0,43.97,76362
ODIGMA,2025-09-16,45.26,46.16,44.62,46.16,68266
ODIGMA,2025-09-17,46.99,48.46,46.98,48.46,56452
ODIGMA,2025-09-18,50.68,50.88,49.43,50.88,78269
ODIGMA,2025-09-19,53.42,53.42,53.42,53.42,23274
ODIGMA,2025-09-22,56.09,56.09,56.09,56.09,35376
ODIGMA,2025-09-23,54.4,54.4,53.28,53.28,62793
ODIGMA,2025-09-24,50.61,50.61,50.61,50.61,12541
ODIGMA,2025-09-25,48.07,48.07,48.07,48.07,17668
ODIGMA,2025-09-26,45.66,45.66,45.66,45.66,8360
ODIGMA,2025-09-29,43.37,43.37,43.37,43.37,10361
ODIGMA,2025-09-30,41.2,45.53,41.2,45.53,143448
ODIGMA,2025-10-01,45.53,47.36,43.25,43.41,181271
ODIGMA,2025-10-03,41.65,42.96,41.23,41.83,71408
ODIGMA,2025-10-06,41.4,41.4,39.73,39.73,43014
ODIGMA,2025-10-07,38.08,40.0,37.82,39.62,54505
ODIGMA,2025-10-08,40.4,40.4,38.75,39.45,26996
ODIGMA,2025-10-09,39.45,40.27,38.75,38.92,26846
ODIGMA,2025-10-10,39.57,40.86,39.0,40.86,40594
ODIGMA,2025-10-13,41.42,42.8,41.0,42.43,37284
ODIGMA,2025-10-14,42.73,43.93,40.5,40.69,20320
ODIGMA,2025-10-15,40.89,41.5,39.1,40.92,16256
ODIGMA,2025-10-16,40.92,41.5,40.1,40.3,11193
ODIGMA,2025-10-17,40.95,40.95,39.65,39.9,13152
ODIGMA,2025-10-20,40.0,41.89,39.3,41.89,36308
ODIGMA,2025-10-21,41.89,42.8,41.15,42.23,14974
ODIGMA,2025-10-23,42.3,42.4,41.0,41.14,18577
ODIGMA,2025-10-24,41.05,41.94,39.65,40.36,19121
ODIGMA,2025-10-27,40.2,40.9,39.6,40.21,15904
ODIGMA,2025-10-28,40.75,40.75,39.5,39.51,23072
ODIGMA,2025-10-29,39.4,40.0,39.0,39.21,51400
ODIGMA,2025-10-30,39.02,39.1,38.04,38.67,16560
ODIGMA,2025-10-31,39.8,39.8,38.67,39.36,12633
ODIGMA,2025-11-03,39.36,40.0,38.35,38.75,13550
ODIGMA,2025-11-04,39.49,39.49,37.7,37.84,18233
ODIGMA,2025-11-06,37.5,37.7,37.02,37.2,12975
ODIGMA,2025-11-07,37.0,38.0,36.7,36.99,16661
ODIGMA,2025-11-10,37.7,38.79,36.4,37.26,17098
ODIGMA,2025-11-11,37.26,37.79,36.52,36.74,15935
ODIGMA,2025-11-12,37.4,37.4,36.5,36.93,22514
ODIGMA,2025-11-13,37.5,37.98,36.55,36.78,25977
ODIGMA,2025-11-14,36.78,37.0,35.6,36.06,29373
ODIGMA,2025-11-17,36.25,37.29,35.82,36.16,21052
ODIGMA,2025-11-18,35.9,36.24,35.5,35.73,16399
ODIGMA,2025-11-19,35.99,35.99,34.25,34.94,20642
ODIGMA,2025-11-20,35.5,36.2,34.5,35.37,25499
ODIGMA,2025-11-21,36.08,36.08,34.41,34.61,16893
ODIGMA,2025-11-24,34.61,34.65,33.1,33.17,21685
ODIGMA,2025-11-25,33.8,34.4,33.3,33.55,13381
ODIGMA,2025-11-26,33.1,34.56,33.05,33.87,9686
ODIGMA,2025-11-27,33.87,35.56,33.12,35.4,34366
ODIGMA,2025-11-28,36.11,36.11,34.5,34.97,12698
