symbol,date,open,high,low,close,volume
OMFURN,2025-07-22,95.0,97.45,94.55,96.6,36000
OMFURN,2025-07-23,97.4,100.0,97.0,100.0,15600
OMFURN,2025-07-24,98.5,104.0,98.0,103.75,156000
OMFURN,2025-07-25,99.5,110.0,98.05,105.65,67200
OMFURN,2025-07-28,102.0,103.5,100.3,103.45,14400
OMFURN,2025-07-29,99.0,99.0,95.0,95.75,92400
OMFURN,2025-07-30,96.45,96.45,96.45,96.45,1200
OMFURN,2025-07-31,95.0,95.0,95.0,95.0,1200
OMFURN,2025-08-01,95.0,95.6,94.65,94.65,6000
OMFURN,2025-08-04,94.65,100.7,94.1,100.15,33600
OMFURN,2025-08-05,101.15,101.15,101.15,101.15,1200
OMFURN,2025-08-06,99.0,101.95,97.0,101.35,26400
OMFURN,2025-08-07,101.35,101.35,101.35,101.35,0
OMFURN,2025-08-08,101.35,101.35,101.35,101.35,1200
OMFURN,2025-08-11,96.5,105.0,96.0,100.75,36000
OMFURN,2025-08-12,104.95,105.0,98.85,98.9,10800
OMFURN,2025-08-13,99.9,103.9,99.9,103.9,8400
OMFURN,2025-08-14,100.0,102.85,96.85,102.85,6000
OMFURN,2025-08-18,102.35,103.95,98.55,102.15,8400
OMFURN,2025-08-19,99.7,100.35,95.05,100.35,10800
OMFURN,2025-08-20,97.2,109.8,97.0,105.6,44400
OMFURN,2025-08-21,105.5,109.8,104.45,109.15,21600
OMFURN,2025-08-22,108.0,108.05,104.95,106.9,36000
OMFURN,2025-08-25,110.95,114.9,105.5,111.0,96000
OMFURN,2025-08-26,110.0,122.8,108.0,121.0,172800
OMFURN,2025-08-28,120.0,120.5,116.05,118.95,18000
OMFURN,2025-08-29,117.95,123.5,117.95,122.95,57600
OMFURN,2025-09-01,124.0,131.0,120.2,129.8,103200
OMFURN,2025-09-02,130.0,136.9,129.0,132.85,78000
OMFURN,2025-09-03,130.5,132.4,130.0,131.85,21600
OMFURN,2025-09-04,136.0,138.5,128.1,129.05,16800
OMFURN,2025-09-05,130.0,130.0,127.7,129.0,18000
OMFURN,2025-09-08,135.0,135.0,128.0,129.1,13200
OMFURN,2025-09-09,127.0,133.0,125.15,131.15,54000
OMFURN,2025-09-10,133.95,133.95,129.5,130.65,25200
OMFURN,2025-09-11,127.65,129.2,125.25,127.25,16800
OMFURN,2025-09-12,131.3,131.3,128.65,129.0,4800
OMFURN,2025-09-15,129.0,129.0,129.0,129.0,0
OMFURN,2025-09-16,126.0,128.85,126.0,128.5,10800
OMFURN,2025-09-17,125.4,127.9,123.9,124.4,14400
OMFURN,2025-09-18,128.0,131.95,125.55,127.2,79200
