symbol,date,open,high,low,close,volume
ONWARDTEC,2002-07-01,29.3,30.0,29.2,29.45,10130
ONWARDTEC,2002-07-02,30.6,30.6,28.5,28.65,3778
ONWARDTEC,2002-07-03,28.65,29.9,28.65,29.65,11702
ONWARDTEC,2002-07-04,29.85,31.4,29.8,30.1,33918
ONWARDTEC,2002-07-05,30.2,31.2,30.05,30.95,12801
ONWARDTEC,2002-07-08,31.9,31.9,30.8,30.9,20410
ONWARDTEC,2002-07-09,31.2,32.0,30.2,30.55,32836
ONWARDTEC,2002-07-10,30.55,30.8,29.55,29.65,13739
ONWARDTEC,2002-07-11,29.4,29.55,28.35,28.75,14974
ONWARDTEC,2002-07-12,29.9,29.9,28.15,28.75,12957
ONWARDTEC,2002-07-15,28.4,28.45,27.75,28.15,8621
ONWARDTEC,2002-07-16,28.8,28.8,27.3,27.75,7439
ONWARDTEC,2002-07-17,28.2,28.2,27.0,27.35,6351
ONWARDTEC,2002-07-18,28.0,28.15,27.5,27.65,4469
ONWARDTEC,2002-07-19,26.2,27.9,26.2,27.3,5237
ONWARDTEC,2002-07-22,27.75,27.75,25.8,26.25,5180
ONWARDTEC,2002-07-23,25.15,26.6,25.0,26.4,9095
ONWARDTEC,2002-07-24,26.85,27.05,25.2,25.8,7046
ONWARDTEC,2002-07-25,27.35,27.4,25.2,25.45,9077
ONWARDTEC,2002-07-26,23.35,24.75,23.35,23.6,8024
ONWARDTEC,2002-07-29,22.75,24.0,22.2,23.5,15968
ONWARDTEC,2002-07-30,24.25,25.7,23.5,24.35,12876
ONWARDTEC,2002-07-31,24.0,24.0,22.25,23.15,11248
ONWARDTEC,2002-08-01,23.2,23.25,22.65,23.0,12420
ONWARDTEC,2002-08-02,22.55,22.75,21.8,22.35,3505
ONWARDTEC,2002-08-05,22.25,23.75,22.25,23.6,3605
ONWARDTEC,2002-08-06,23.25,24.65,23.25,24.2,3247
ONWARDTEC,2002-08-07,24.8,24.9,23.65,24.25,10040
ONWARDTEC,2002-08-08,24.25,24.4,22.05,22.5,9833
ONWARDTEC,2002-08-09,23.5,23.5,21.75,22.6,10449
ONWARDTEC,2002-08-12,23.9,23.9,22.95,23.0,3700
ONWARDTEC,2002-08-13,22.9,23.4,22.9,23.0,1300
ONWARDTEC,2002-08-14,23.05,23.4,22.8,22.85,3800
ONWARDTEC,2002-08-15,22.85,22.85,22.85,22.85,0
ONWARDTEC,2002-08-16,23.05,23.5,22.6,22.75,6000
ONWARDTEC,2002-08-19,22.9,23.45,22.65,22.95,6200
ONWARDTEC,2002-08-20,22.3,23.95,22.3,23.7,6500
ONWARDTEC,2002-08-21,24.6,24.9,22.15,23.8,10900
ONWARDTEC,2002-08-22,23.95,24.4,23.25,23.5,8900
ONWARDTEC,2002-08-23,27.7,27.7,23.4,23.85,18500
ONWARDTEC,2002-08-26,27.65,27.65,23.5,23.75,6200
ONWARDTEC,2002-08-27,23.9,24.4,23.0,23.3,7500
ONWARDTEC,2002-08-28,23.1,24.35,23.0,23.85,11300
ONWARDTEC,2002-08-29,23.2,24.9,23.1,24.0,4200
ONWARDTEC,2002-08-30,24.0,27.5,23.6,27.0,50100
ONWARDTEC,2002-09-02,28.3,29.85,27.85,28.95,85900
ONWARDTEC,2002-09-03,26.1,28.75,24.05,27.4,32200
ONWARDTEC,2002-09-04,32.0,32.0,27.0,28.05,18800
ONWARDTEC,2002-09-05,28.9,29.0,27.3,27.95,11600
ONWARDTEC,2002-09-06,27.4,27.65,25.95,26.4,15100
ONWARDTEC,2002-09-09,26.55,26.55,25.75,26.1,8700
ONWARDTEC,2002-09-10,26.1,26.1,26.1,26.1,0
ONWARDTEC,2002-09-11,26.25,26.5,25.75,25.8,10300
ONWARDTEC,2002-09-12,26.0,28.55,25.85,27.55,25700
ONWARDTEC,2002-09-13,29.9,29.9,26.55,26.75,12300
