symbol,date,open,high,low,close,volume
ORCHPHARMA,2002-07-01,54.0,55.27,53.67,54.37,102141
ORCHPHARMA,2002-07-02,54.67,58.9,54.17,58.0,484113
ORCHPHARMA,2002-07-03,59.07,60.93,57.07,57.67,534586
ORCHPHARMA,2002-07-04,57.7,58.6,57.0,57.2,134667
ORCHPHARMA,2002-07-05,57.67,58.0,56.67,56.97,80454
ORCHPHARMA,2002-07-08,56.83,59.33,56.67,57.9,123097
ORCHPHARMA,2002-07-09,57.8,58.67,57.4,57.63,92664
ORCHPHARMA,2002-07-10,58.13,60.0,56.33,56.77,76069
ORCHPHARMA,2002-07-11,57.63,57.63,54.9,55.27,42921
ORCHPHARMA,2002-07-12,55.17,56.3,54.73,55.2,48565
ORCHPHARMA,2002-07-15,56.3,56.3,53.33,54.47,58035
ORCHPHARMA,2002-07-16,53.33,53.33,52.0,52.8,43296
ORCHPHARMA,2002-07-17,52.67,52.83,51.5,51.87,27585
ORCHPHARMA,2002-07-18,52.83,54.97,51.57,54.47,104851
ORCHPHARMA,2002-07-19,55.0,55.87,53.37,53.73,128808
ORCHPHARMA,2002-07-22,53.93,53.93,51.0,51.7,42664
ORCHPHARMA,2002-07-23,50.2,54.0,49.2,53.27,34324
ORCHPHARMA,2002-07-24,52.67,52.9,51.33,51.57,27268
ORCHPHARMA,2002-07-25,52.83,54.67,51.33,51.53,20862
ORCHPHARMA,2002-07-26,51.03,51.03,48.73,49.07,45369
ORCHPHARMA,2002-07-29,48.07,50.0,46.8,47.1,46393
ORCHPHARMA,2002-07-30,47.5,48.0,46.67,46.87,67648
ORCHPHARMA,2002-07-31,44.07,46.77,44.07,45.93,28743
ORCHPHARMA,2002-08-01,46.67,47.77,46.07,46.5,26737
ORCHPHARMA,2002-08-02,45.47,46.47,45.43,45.9,19944
ORCHPHARMA,2002-08-05,46.27,46.97,45.67,46.5,33910
ORCHPHARMA,2002-08-06,46.57,48.0,46.03,47.4,15922
ORCHPHARMA,2002-08-07,47.33,48.3,46.83,47.4,24232
ORCHPHARMA,2002-08-08,47.3,47.33,46.0,46.27,25431
ORCHPHARMA,2002-08-09,45.67,46.57,45.37,46.03,15604
ORCHPHARMA,2002-08-12,46.53,46.6,46.0,46.17,19224
ORCHPHARMA,2002-08-13,46.57,46.83,46.33,46.6,12370
ORCHPHARMA,2002-08-14,46.57,46.93,46.07,46.43,23356
ORCHPHARMA,2002-08-15,46.43,46.43,46.43,46.43,0
ORCHPHARMA,2002-08-16,46.67,46.87,46.33,46.53,10822
ORCHPHARMA,2002-08-19,44.7,46.67,44.7,45.33,25698
ORCHPHARMA,2002-08-20,45.5,46.17,45.47,45.6,18892
ORCHPHARMA,2002-08-21,46.0,46.27,45.53,45.7,13677
ORCHPHARMA,2002-08-22,46.0,46.0,45.07,45.4,9739
ORCHPHARMA,2002-08-23,45.33,45.83,45.0,45.37,8779
ORCHPHARMA,2002-08-26,45.67,46.0,45.33,45.37,18252
ORCHPHARMA,2002-08-27,45.97,46.0,45.07,45.3,11766
ORCHPHARMA,2002-08-28,45.0,45.3,44.83,45.0,13099
ORCHPHARMA,2002-08-29,45.2,45.2,44.0,44.1,18006
ORCHPHARMA,2002-08-30,44.47,44.77,44.33,44.57,13443
ORCHPHARMA,2002-09-02,45.33,45.73,44.47,44.63,25552
ORCHPHARMA,2002-09-03,45.3,45.33,44.07,44.23,20193
ORCHPHARMA,2002-09-04,45.27,45.27,43.4,43.57,20310
ORCHPHARMA,2002-09-05,43.8,44.83,43.8,44.3,14793
ORCHPHARMA,2002-09-06,45.0,45.0,44.0,44.13,15696
ORCHPHARMA,2002-09-09,44.07,44.33,43.33,43.67,10564
ORCHPHARMA,2002-09-10,43.67,43.67,43.67,43.67,0
ORCHPHARMA,2002-09-11,43.67,44.53,43.33,43.93,9196
ORCHPHARMA,2002-09-12,44.93,44.93,44.0,44.17,6288
ORCHPHARMA,2002-09-13,44.03,44.13,43.47,43.83,10396
ORCHPHARMA,2002-09-16,45.63,45.63,43.73,43.93,9222
ORCHPHARMA,2002-09-17,44.33,45.93,43.77,44.3,19689
ORCHPHARMA,2002-09-18,45.27,45.27,43.93,44.47,16159
ORCHPHARMA,2002-09-19,45.0,45.0,43.73,44.1,7357
ORCHPHARMA,2002-09-20,44.67,44.67,43.37,43.83,17532
ORCHPHARMA,2002-09-23,45.97,45.97,43.83,43.97,10590
ORCHPHARMA,2002-09-24,43.63,44.0,43.5,43.87,8914
ORCHPHARMA,2002-09-25,43.53,43.97,43.33,43.5,8284
ORCHPHARMA,2002-09-26,43.83,44.43,43.67,43.8,11961
ORCHPHARMA,2002-09-27,44.67,44.67,43.93,44.1,9060
ORCHPHARMA,2002-09-30,43.7,44.13,43.67,43.73,8065
ORCHPHARMA,2002-10-01,47.33,47.33,43.2,43.3,8533
ORCHPHARMA,2002-10-02,43.3,43.3,43.3,43.3,0
ORCHPHARMA,2002-10-03,43.43,43.63,43.0,43.2,13189
ORCHPHARMA,2002-10-04,43.0,44.33,42.77,44.07,8850
ORCHPHARMA,2002-10-07,44.07,44.47,42.4,43.6,23131
ORCHPHARMA,2002-10-08,43.67,43.93,43.17,43.5,7644
ORCHPHARMA,2002-10-09,43.87,44.1,43.33,43.63,5877
ORCHPHARMA,2002-10-10,44.0,44.0,43.47,43.9,3331
ORCHPHARMA,2002-10-11,44.0,44.33,43.27,43.33,6889
ORCHPHARMA,2002-10-14,43.33,43.83,43.33,43.43,4989
ORCHPHARMA,2002-10-15,43.43,43.43,43.43,43.43,0
ORCHPHARMA,2002-10-16,44.0,44.0,43.0,43.1,8068
ORCHPHARMA,2002-10-17,43.07,43.27,42.33,42.47,10885
ORCHPHARMA,2002-10-18,43.33,43.33,42.27,42.8,7842
ORCHPHARMA,2002-10-21,42.77,42.83,42.37,42.6,7422
ORCHPHARMA,2002-10-22,42.53,42.97,42.4,42.57,5359
ORCHPHARMA,2002-10-23,42.6,42.63,41.7,42.27,14295
ORCHPHARMA,2002-10-24,42.37,42.37,41.67,41.8,6208
ORCHPHARMA,2002-10-25,41.7,41.93,41.03,41.43,10332
ORCHPHARMA,2002-10-28,40.6,42.6,40.03,40.33,14358
ORCHPHARMA,2002-10-29,40.67,41.0,39.43,40.37,21379
ORCHPHARMA,2002-10-30,40.0,40.6,38.87,39.17,33112
ORCHPHARMA,2002-10-31,39.97,40.0,39.27,39.77,32268
ORCHPHARMA,2002-11-01,39.97,40.6,39.47,40.23,12798
ORCHPHARMA,2002-11-04,40.67,42.0,40.67,41.0,15817
ORCHPHARMA,2002-11-05,41.0,41.43,40.83,41.1,8512
ORCHPHARMA,2002-11-06,41.1,41.1,41.1,41.1,0
ORCHPHARMA,2002-11-07,41.13,41.57,40.67,41.13,11044
