symbol,date,open,high,low,close,volume
PASHUPATI,2025-07-24,70.74,70.91,69.07,69.315,262270
PASHUPATI,2025-07-25,69.1,70.75,68.41,69.915,172900
PASHUPATI,2025-07-28,70.0,70.18,69.075,69.12,16580
PASHUPATI,2025-07-29,70.295,70.495,69.1,69.155,16950
PASHUPATI,2025-07-30,69.72,70.465,69.1,69.105,12910
PASHUPATI,2025-07-31,69.505,69.905,69.075,69.095,29120
PASHUPATI,2025-08-01,69.7,70.5,69.04,70.16,61300
PASHUPATI,2025-08-04,70.98,70.98,69.99,70.065,6740
PASHUPATI,2025-08-05,69.6,69.6,69.0,69.02,2940
PASHUPATI,2025-08-06,69.92,69.92,69.0,69.0,7500
PASHUPATI,2025-08-07,69.025,69.505,69.0,69.22,5530
PASHUPATI,2025-08-08,69.585,70.49,68.9,68.995,66140
PASHUPATI,2025-08-11,69.425,70.675,69.295,70.37,9000
PASHUPATI,2025-08-12,69.455,69.805,69.0,69.025,5300
PASHUPATI,2025-08-13,69.565,69.965,69.0,69.26,16340
PASHUPATI,2025-08-14,69.005,69.49,69.0,69.0,4570
PASHUPATI,2025-08-18,69.5,70.475,69.0,69.0,23850
PASHUPATI,2025-08-19,69.005,69.99,68.45,68.695,31080
PASHUPATI,2025-08-20,69.07,69.44,67.5,67.67,20460
PASHUPATI,2025-08-21,69.005,69.295,67.4,68.83,12240
PASHUPATI,2025-08-22,69.305,69.305,68.5,68.65,150590
PASHUPATI,2025-08-25,69.255,69.255,67.32,68.235,17630
PASHUPATI,2025-08-26,69.26,69.26,67.7,67.905,782730
PASHUPATI,2025-08-28,68.66,69.0,67.23,67.335,941850
PASHUPATI,2025-08-29,68.305,68.305,67.2,67.265,638740
PASHUPATI,2025-09-01,68.54,68.54,66.975,67.435,505570
PASHUPATI,2025-09-02,68.24,68.24,67.2,67.215,407740
PASHUPATI,2025-09-03,68.35,68.35,67.2,67.855,628830
