symbol,date,open,high,low,close,volume
PATANJALI,2002-07-01,266.6667,268.6667,260.0,267.0,229
PATANJALI,2002-07-02,286.6667,294.0,269.3333,294.0,631
PATANJALI,2002-07-03,300.3333,312.3333,286.6667,288.6667,305
PATANJALI,2002-07-04,286.6667,306.6667,284.0,287.0,224
PATANJALI,2002-07-05,290.0,296.6667,273.3333,281.6667,151
PATANJALI,2002-07-08,290.0,293.3333,274.0,292.3333,370
PATANJALI,2002-07-09,295.3333,300.0,287.3333,291.6667,925
PATANJALI,2002-07-10,299.0,299.0,288.3333,288.6667,161
PATANJALI,2002-07-11,300.0,300.0,277.0,283.6667,35
PATANJALI,2002-07-12,283.3333,283.3333,277.0,277.6667,77
PATANJALI,2002-07-15,286.6667,305.3333,276.6667,278.0,127
PATANJALI,2002-07-16,281.0,293.3333,271.3333,277.3333,429
PATANJALI,2002-07-17,280.6667,280.6667,267.0,269.6667,92
PATANJALI,2002-07-18,266.6667,275.0,266.6667,271.3333,47
PATANJALI,2002-07-19,276.6667,276.6667,268.3333,274.0,176
PATANJALI,2002-07-22,276.0,276.0,256.6667,257.0,131
PATANJALI,2002-07-23,265.6667,268.3333,248.0,265.6667,118
PATANJALI,2002-07-24,257.6667,258.3333,257.0,257.0,47
PATANJALI,2002-07-25,256.6667,261.6667,249.3333,259.3333,64
PATANJALI,2002-07-26,253.3333,256.6667,243.6667,256.3333,46
PATANJALI,2002-07-29,243.6667,246.6667,234.3333,246.6667,123
PATANJALI,2002-07-30,236.0,240.0,236.0,237.3333,25
PATANJALI,2002-07-31,215.0,230.0,215.0,220.3333,97
PATANJALI,2002-08-01,229.3333,229.3333,220.0,220.3333,16
PATANJALI,2002-08-02,214.3333,226.6667,214.3333,225.0,29
PATANJALI,2002-08-05,226.3333,246.6667,226.3333,239.0,40
PATANJALI,2002-08-06,233.3333,243.3333,233.3333,239.6667,36
PATANJALI,2002-08-07,253.3333,253.3333,233.3333,235.0,26
PATANJALI,2002-08-08,233.3333,233.3333,227.3333,233.0,9
PATANJALI,2002-08-09,243.3333,243.3333,223.6667,239.0,4
PATANJALI,2002-08-12,238.6667,240.0,236.3333,236.3333,15
PATANJALI,2002-08-13,251.3333,256.6667,234.0,251.0,243
PATANJALI,2002-08-14,246.6667,253.0,243.3333,252.0,16
PATANJALI,2002-08-15,252.0,252.0,252.0,252.0,0
PATANJALI,2002-08-16,243.3333,251.3333,240.6667,244.6667,56
PATANJALI,2002-08-19,240.6667,248.0,233.6667,238.3333,41
PATANJALI,2002-08-20,236.3333,242.6667,236.3333,242.6667,35
PATANJALI,2002-08-21,243.3333,243.3333,243.3333,243.3333,3
PATANJALI,2002-08-22,240.0,243.6667,240.0,243.6667,94
PATANJALI,2002-08-23,243.3333,250.0,241.6667,249.0,76
PATANJALI,2002-08-26,240.0,241.6667,240.0,241.6667,2
PATANJALI,2002-08-27,242.0,246.6667,242.0,246.6667,15
PATANJALI,2002-08-28,240.0,246.6667,215.0,224.0,4
PATANJALI,2002-08-29,226.0,233.3333,224.0,233.3333,38
PATANJALI,2002-08-30,224.6667,226.6667,224.6667,226.6667,7
PATANJALI,2002-09-02,216.6667,227.6667,216.6667,227.6667,3
PATANJALI,2002-09-03,225.3333,244.6667,225.3333,233.3333,24
PATANJALI,2002-09-04,246.0,260.0,226.6667,253.0,994
PATANJALI,2002-09-05,253.3333,253.3333,250.0,251.6667,22
PATANJALI,2002-09-06,250.0,253.3333,250.0,250.3333,111
PATANJALI,2002-09-09,250.3333,250.3333,250.3333,250.3333,3
PATANJALI,2002-09-10,250.3333,250.3333,250.3333,250.3333,0
PATANJALI,2002-09-11,250.6667,252.0,240.0,250.3333,106
PATANJALI,2002-09-12,250.0,250.0,244.3333,246.0,68
PATANJALI,2002-09-13,246.6667,249.3333,240.0,240.6667,25
PATANJALI,2002-09-16,243.3333,245.3333,233.3333,237.6667,25
PATANJALI,2002-09-17,253.0,253.0,240.0,248.6667,75
PATANJALI,2002-09-18,250.0,250.0,240.3333,244.6667,25
PATANJALI,2002-09-19,240.0,250.0,240.0,243.3333,42
PATANJALI,2002-09-20,233.3333,241.6667,221.0,239.0,51
PATANJALI,2002-09-23,237.3333,243.3333,227.0,241.0,32
PATANJALI,2002-09-24,233.6667,242.3333,233.3333,233.3333,57
PATANJALI,2002-09-25,233.6667,233.6667,227.3333,227.3333,12
PATANJALI,2002-09-26,227.3333,227.3333,227.3333,227.3333,0
PATANJALI,2002-09-27,230.0,239.6667,227.0,239.0,16
PATANJALI,2002-09-30,226.6667,233.3333,221.6667,226.6667,16
PATANJALI,2002-10-01,246.3333,246.3333,223.3333,226.6667,30
PATANJALI,2002-10-02,226.6667,226.6667,226.6667,226.6667,0
PATANJALI,2002-10-03,226.6667,243.0,226.6667,243.0,15
PATANJALI,2002-10-04,228.0,236.6667,228.0,236.6667,14
PATANJALI,2002-10-07,233.3333,242.6667,220.0,228.0,40
PATANJALI,2002-10-08,233.3333,240.0,230.0,233.6667,16
PATANJALI,2002-10-09,228.3333,234.0,228.3333,233.3333,22
PATANJALI,2002-10-10,246.6667,250.0,233.3333,235.0,15
PATANJALI,2002-10-11,233.6667,239.6667,233.3333,233.3333,5
PATANJALI,2002-10-14,239.3333,240.0,238.6667,239.3333,18
PATANJALI,2002-10-15,239.3333,239.3333,239.3333,239.3333,0
PATANJALI,2002-10-16,228.3333,233.0,219.3333,219.3333,23
PATANJALI,2002-10-17,232.6667,251.6667,220.6667,233.6667,26
PATANJALI,2002-10-18,238.0,239.0,233.0,239.0,16
PATANJALI,2002-10-21,251.6667,251.6667,210.6667,230.3333,19
PATANJALI,2002-10-22,228.3333,228.3333,228.3333,228.3333,3
PATANJALI,2002-10-23,233.3333,233.3333,226.6667,226.6667,31
PATANJALI,2002-10-24,235.6667,235.6667,230.6667,230.6667,9
PATANJALI,2002-10-25,228.6667,236.6667,228.6667,228.6667,36
PATANJALI,2002-10-28,220.0,250.0,217.0,221.3333,26
PATANJALI,2002-10-29,226.0,238.0,222.6667,238.0,20
PATANJALI,2002-10-30,223.6667,238.6667,223.6667,229.6667,25
PATANJALI,2002-10-31,224.0,229.0,221.6667,227.6667,41
PATANJALI,2002-11-01,214.0,225.6667,213.3333,217.3333,8
PATANJALI,2002-11-04,233.3333,233.3333,220.0,228.3333,37
PATANJALI,2002-11-05,226.6667,226.6667,226.6667,226.6667,3
PATANJALI,2002-11-06,226.6667,226.6667,226.6667,226.6667,0
PATANJALI,2002-11-07,228.6667,228.6667,226.6667,226.6667,7
PATANJALI,2002-11-08,226.6667,231.3333,226.6667,227.3333,32
PATANJALI,2002-11-11,226.6667,228.6667,226.6667,228.6667,39
PATANJALI,2002-11-12,226.6667,226.6667,220.0,220.0,6
PATANJALI,2002-11-13,226.3333,226.3333,201.3333,215.0,7
PATANJALI,2002-11-14,213.3333,220.0,194.3333,209.0,22
PATANJALI,2002-11-15,206.6667,216.6667,206.6667,213.0,28
PATANJALI,2002-11-18,207.0,213.3333,205.3333,207.6667,23
PATANJALI,2002-11-19,207.6667,207.6667,207.6667,207.6667,0
PATANJALI,2002-11-20,206.6667,216.6667,206.6667,212.6667,21
PATANJALI,2002-11-21,208.6667,208.6667,208.6667,208.6667,6
PATANJALI,2002-11-22,206.6667,211.3333,200.3333,210.3333,22
PATANJALI,2002-11-25,200.3333,210.0,200.3333,210.0,7
PATANJALI,2002-11-26,216.6667,216.6667,213.3333,213.3333,42
PATANJALI,2002-11-27,226.6667,226.6667,210.0,210.0,9
PATANJALI,2002-11-28,210.3333,216.6667,210.3333,213.6667,27
PATANJALI,2002-11-29,194.6667,220.0,194.6667,216.6667,27
PATANJALI,2002-12-02,222.6667,226.6667,220.3333,226.6667,21
PATANJALI,2002-12-03,223.0,233.3333,223.0,229.0,24
PATANJALI,2002-12-04,223.3333,225.0,210.6667,215.3333,108
PATANJALI,2002-12-05,216.6667,216.6667,208.0,213.3333,58
PATANJALI,2002-12-06,207.3333,226.3333,207.3333,218.3333,17
PATANJALI,2002-12-09,200.0,220.0,200.0,219.6667,21
PATANJALI,2002-12-10,209.3333,213.3333,209.0,213.3333,70
PATANJALI,2002-12-11,224.6667,225.0,208.3333,219.3333,31
PATANJALI,2002-12-12,210.3333,217.6667,210.0,216.0,26
PATANJALI,2002-12-13,210.6667,216.0,206.6667,210.0,94
PATANJALI,2002-12-16,213.3333,213.3333,206.6667,208.6667,42
PATANJALI,2002-12-17,207.6667,207.6667,207.3333,207.3333,3
PATANJALI,2002-12-18,216.6667,216.6667,208.0,208.3333,32
PATANJALI,2002-12-19,206.6667,216.6667,206.6667,213.3333,52
PATANJALI,2002-12-20,216.6667,216.6667,213.3333,213.3333,9
PATANJALI,2002-12-23,213.3333,215.6667,213.3333,213.6667,24
PATANJALI,2002-12-24,213.6667,220.0,213.3333,216.3333,23
PATANJALI,2002-12-25,216.3333,216.3333,216.3333,216.3333,0
PATANJALI,2002-12-26,222.6667,238.0,203.3333,236.0,675
PATANJALI,2002-12-27,245.0,245.0,230.0,233.3333,106
PATANJALI,2002-12-30,220.3333,234.3333,220.3333,230.3333,129
PATANJALI,2002-12-31,226.6667,227.3333,226.6667,226.6667,21
PATANJALI,2003-01-01,226.6667,230.6667,226.6667,230.6667,9
PATANJALI,2003-01-02,246.6667,246.6667,226.6667,226.6667,54
PATANJALI,2003-01-03,226.6667,228.0,226.6667,227.0,19
PATANJALI,2003-01-06,226.6667,232.6667,226.6667,232.6667,64
PATANJALI,2003-01-07,226.6667,227.3333,226.6667,226.6667,32
PATANJALI,2003-01-08,226.6667,226.6667,216.6667,217.3333,92
PATANJALI,2003-01-09,218.3333,225.0,218.3333,224.0,88
PATANJALI,2003-01-10,226.6667,226.6667,218.6667,218.6667,16
PATANJALI,2003-01-13,218.3333,224.6667,216.6667,218.0,512
PATANJALI,2003-01-14,226.0,226.0,215.6667,217.6667,88
PATANJALI,2003-01-15,226.0,226.0,213.6667,214.0,39
PATANJALI,2003-01-16,226.0,226.0,211.3333,215.0,165
PATANJALI,2003-01-17,215.0,216.6667,213.3333,216.6667,16
PATANJALI,2003-01-20,220.0,225.3333,214.3333,214.6667,59
PATANJALI,2003-01-21,215.0,219.0,215.0,216.3333,34
PATANJALI,2003-01-22,216.6667,219.6667,214.6667,217.6667,36
PATANJALI,2003-01-23,225.3333,225.3333,210.3333,216.0,141
PATANJALI,2003-01-24,225.0,225.0,213.3333,213.3333,105
PATANJALI,2003-01-27,218.0,218.0,208.0,208.0,11
PATANJALI,2003-01-28,214.0,216.0,214.0,216.0,11
PATANJALI,2003-01-29,216.6667,216.6667,211.3333,212.3333,6
PATANJALI,2003-01-30,210.3333,210.6667,208.0,210.0,32
PATANJALI,2003-01-31,218.0,218.0,200.0,213.6667,33
PATANJALI,2003-02-03,212.0,217.6667,207.6667,210.3333,37
PATANJALI,2003-02-04,211.6667,219.6667,211.6667,213.0,181
PATANJALI,2003-02-05,216.3333,219.0,209.3333,217.3333,56
PATANJALI,2003-02-06,210.0,216.3333,210.0,216.3333,9
PATANJALI,2003-02-07,206.0,216.0,206.0,214.3333,15
PATANJALI,2003-02-10,207.3333,217.3333,207.3333,216.6667,161
PATANJALI,2003-02-11,217.6667,217.6667,201.0,215.6667,40
PATANJALI,2003-02-12,204.6667,219.3333,204.6667,216.3333,25
PATANJALI,2003-02-13,216.3333,216.3333,216.3333,216.3333,0
PATANJALI,2003-02-14,223.3333,223.3333,205.0,213.0,58
PATANJALI,2003-02-17,216.0,226.3333,211.3333,218.6667,218
PATANJALI,2003-02-18,214.0,214.0,211.0,211.0,14
PATANJALI,2003-02-19,216.0,223.3333,213.6667,213.6667,15
PATANJALI,2003-02-20,226.6667,226.6667,207.3333,213.0,43
PATANJALI,2003-02-21,233.3333,233.3333,213.3333,218.0,24
PATANJALI,2003-02-24,226.0,226.0,213.6667,219.0,73
PATANJALI,2003-02-25,211.3333,220.3333,211.3333,220.3333,36
PATANJALI,2003-02-26,226.6667,226.6667,226.6667,226.6667,0
PATANJALI,2003-02-27,219.0,219.0,212.3333,215.3333,24
