symbol,date,open,high,low,close,volume
PATELENG,2005-02-24,94.3278,94.3278,89.5073,90.2703,4097
PATELENG,2005-02-25,90.1662,92.7672,87.0451,88.1548,10478
PATELENG,2005-02-28,91.5187,91.5534,89.1605,90.3743,931
PATELENG,2005-03-01,93.5648,93.5995,89.2993,89.8888,3085
PATELENG,2005-03-02,90.3396,90.6517,88.4323,89.8194,2386
PATELENG,2005-03-03,92.5244,94.3278,90.8598,94.3278,10412
PATELENG,2005-03-04,95.7149,99.0441,95.7149,99.0441,10862
PATELENG,2005-03-07,104.0033,104.0033,103.3444,104.0033,18757
PATELENG,2005-03-08,109.2052,109.2052,109.1705,109.2052,12422
PATELENG,2005-03-09,114.6845,114.6845,114.6845,114.6845,4267
PATELENG,2005-03-10,120.4413,120.4413,120.4413,120.4413,7580
PATELENG,2005-03-11,126.4755,126.4755,126.4755,126.4755,11173
PATELENG,2005-03-14,132.8218,132.8218,132.8218,132.8218,6870
PATELENG,2005-03-15,139.4802,139.4802,133.9315,139.4802,183015
PATELENG,2005-03-16,145.6532,146.4855,144.9596,146.4855,47248
PATELENG,2005-03-17,151.8261,153.8375,151.8261,153.8375,71391
PATELENG,2005-03-18,159.3862,161.5363,146.3467,151.0284,191599
PATELENG,2005-03-21,158.5885,158.5885,143.7111,146.5895,57672
PATELENG,2005-03-22,145.6532,146.3814,139.3415,139.4109,41850
PATELENG,2005-03-23,135.9429,138.7173,132.4403,132.579,28372
PATELENG,2005-03-24,131.0878,134.5211,125.9553,130.9491,24269
PATELENG,2005-03-28,131.8161,137.5035,131.7814,137.3995,31965
PATELENG,2005-03-29,139.4109,140.0351,130.5676,131.7121,23920
PATELENG,2005-03-30,131.7814,138.3011,130.4289,138.3011,46514
PATELENG,2005-03-31,144.7515,145.237,143.5724,145.237,18747
PATELENG,2005-04-01,151.7567,152.5197,149.1211,152.5197,64880
PATELENG,2005-04-04,158.1377,160.1491,153.2826,155.9876,127505
PATELENG,2005-04-05,159.3862,159.3862,149.8147,150.9938,38861
PATELENG,2005-04-06,153.9762,158.0683,150.7857,152.0688,35261
PATELENG,2005-04-07,155.9529,158.7619,150.5083,151.5833,43396
PATELENG,2005-04-08,155.6755,155.6755,146.3814,148.5662,22077
PATELENG,2005-04-11,147.7339,147.7339,141.1448,142.6707,15546
