symbol,date,open,high,low,close,volume
PHANTOMFX,2022-10-21,300.0,315.0,290.05,312.7,1632000
PHANTOMFX,2022-10-24,300.0,300.0,297.1,297.1,64800
PHANTOMFX,2022-10-25,282.25,282.25,282.25,282.25,2400
PHANTOMFX,2022-10-27,268.15,268.15,268.15,268.15,4800
PHANTOMFX,2022-10-28,254.75,254.75,254.75,254.75,36000
PHANTOMFX,2022-10-31,246.5,267.45,246.5,267.0,355200
PHANTOMFX,2022-11-01,263.0,266.8,253.7,258.65,56400
PHANTOMFX,2022-11-02,253.65,264.0,245.75,246.15,85200
PHANTOMFX,2022-11-03,240.0,254.7,233.85,249.1,82800
PHANTOMFX,2022-11-04,250.0,261.55,250.0,261.55,120000
PHANTOMFX,2022-11-07,261.55,267.8,258.0,259.5,33600
PHANTOMFX,2022-11-09,262.8,273.9,256.95,265.35,88800
PHANTOMFX,2022-11-10,267.9,269.3,263.0,263.0,15600
PHANTOMFX,2022-11-11,265.0,267.0,248.0,252.8,28800
PHANTOMFX,2022-11-14,278.0,296.8,255.0,292.1,214800
PHANTOMFX,2022-11-15,292.1,292.1,274.9,288.8,58800
PHANTOMFX,2022-11-16,288.0,288.8,265.0,272.75,64800
PHANTOMFX,2022-11-17,280.0,280.0,262.0,264.0,85200
PHANTOMFX,2022-11-18,264.0,274.55,258.0,272.2,73200
PHANTOMFX,2022-11-21,270.1,270.1,261.3,264.6,51600
PHANTOMFX,2022-11-22,266.0,266.0,258.0,262.8,37200
PHANTOMFX,2022-11-23,262.05,263.0,212.0,259.55,146400
PHANTOMFX,2022-11-24,260.0,269.0,260.0,264.0,18000
PHANTOMFX,2022-11-25,267.0,272.0,253.0,254.85,58800
PHANTOMFX,2022-11-28,260.0,275.0,259.0,260.0,48000
PHANTOMFX,2022-11-29,264.95,266.0,261.0,262.45,15600
PHANTOMFX,2022-11-30,260.15,266.0,258.15,260.1,14400
PHANTOMFX,2022-12-01,259.0,261.95,250.1,251.85,26400
PHANTOMFX,2022-12-02,250.0,250.0,249.25,250.0,18000
