symbol,date,open,high,low,close,volume
PKTEA,2025-07-22,700.0,700.0,682.0,685.0,373
PKTEA,2025-07-23,685.0,699.0,682.0,689.95,800
PKTEA,2025-07-24,688.0,700.0,682.0,695.2,774
PKTEA,2025-07-25,695.0,699.0,683.05,685.0,980
PKTEA,2025-07-28,654.0,678.9,650.75,654.2,1049
PKTEA,2025-07-29,654.2,654.2,621.5,622.05,1199
PKTEA,2025-07-30,642.0,642.0,605.0,608.05,464
PKTEA,2025-07-31,608.05,632.0,585.0,614.15,334
PKTEA,2025-08-01,615.45,615.45,583.45,591.35,446
PKTEA,2025-08-04,592.0,618.0,581.2,613.3,302
PKTEA,2025-08-05,603.35,614.0,591.0,608.0,457
PKTEA,2025-08-06,604.95,604.95,595.0,597.95,343
PKTEA,2025-08-07,597.0,605.0,585.0,604.05,233
PKTEA,2025-08-08,604.05,604.05,575.3,596.0,303
PKTEA,2025-08-11,567.2,625.8,567.2,621.0,1074
PKTEA,2025-08-12,621.0,644.0,620.0,620.0,753
PKTEA,2025-08-13,620.0,630.8,600.0,625.15,532
PKTEA,2025-08-14,615.05,656.4,615.05,656.4,752
PKTEA,2025-08-18,689.2,689.2,689.2,689.2,521
PKTEA,2025-08-19,723.0,723.65,723.0,723.65,2894
PKTEA,2025-08-20,713.05,759.8,687.5,759.75,5005
PKTEA,2025-08-21,767.0,770.0,740.0,741.0,337
PKTEA,2025-08-22,750.0,760.0,710.0,719.95,1429
PKTEA,2025-08-25,719.95,736.0,719.95,729.0,488
PKTEA,2025-08-26,704.0,727.0,704.0,715.0,250
PKTEA,2025-08-28,702.0,740.0,702.0,717.0,1389
PKTEA,2025-08-29,718.0,752.85,718.0,749.05,779
PKTEA,2025-09-01,752.0,785.0,730.0,757.6,98
PKTEA,2025-09-02,757.6,795.45,757.6,794.0,737
PKTEA,2025-09-03,800.0,800.0,771.0,794.0,124
PKTEA,2025-09-04,788.0,789.0,758.05,782.15,42
PKTEA,2025-09-05,765.0,769.7,747.0,769.65,130
PKTEA,2025-09-08,768.95,768.95,735.0,740.5,1226
